Subsector,Field Name,Source,Release Date,Data Collection Period,Data Level,Field Notes,Calculation,Data Type
All Subsectors,HIPID,HIP,,,,A unique identifier for each Impact Entity assigned by HIP Investor,Raw,String
All Subsectors,Impact Entity Name,HIP,,,,A unique name for each Impact Entity assigned by HIP Investor. The Impact Entity universe is created using institutional designations from subsector specific sources and datasets which are: reported using a common framework; most closely aligned with issuers / obligors in the financial industry; and most material in measuring an Impact Entity's ability to achieve its' stated mission.,Raw,String
All Subsectors,Representative CUSIP,HIP,,,,"Where available, the representative CUSIP provides an example security that HIP Investor has mapped to the Impact Entity. HIP Investor's mapping process involves a security level review of the use of proceeds to attach the Impact Entity most closely related to the intended beneficiary. These CUSIPs may or may not perfectly align with the issuer and / or obligor. There can be instances where multiple issuers map to a single Impact Entity (eg: the State of California and California State Public Works Board both map to the HIP Impact Entity for the State of California). There are also instances where a single issuer can map to multiple HIP Impact Entities (eg: Dorm Authority State of New York may map to the Impact Entity for a specific University or Hospital or municipality utilizing the bond funds).",Raw,String
All Subsectors,State Abbreviation,HIP,,,,,Raw,String
All Subsectors,Impact Entity Name,HIP,,,,A unique name for each Impact Entity assigned by HIP Investor. The Impact Entity universe is created using institutional designations from subsector specific sources and datasets which are: reported using a common framework; most closely aligned with issuers / obligors in the financial industry; and most material in measuring an Impact Entity's ability to achieve its' stated mission.,Raw,String
K-12 School Districts,LEAID,Department of Education: Common Core Data,1/1/2022 0:00,2020-2021,District,National Center for Education Statistics'(NCES) Local Education Agency Identifier (LEAID),Raw,Integer
K-12 School Districts,Highest Grade Served,Department of Education: Common Core Data,1/1/2022 0:00,2020-2021,District,,Raw,Integer
K-12 School Districts,Student Count,Department of Education: Common Core Data,1/1/2022 0:00,2020-2021,District,,Raw,Integer
K-12 School Districts,Student To Faculty Ratio,Department of Education: Common Core Data,1/1/2022 0:00,2020-2021,District,,Calculated,Decimal
K-12 School Districts,Math Proficiency,Department of Education: ED Facts,9/1/2020 0:00,2018-2019,District,Percent of students achieving math proficiency on state assessment. Assessment exams vary state to state.,Calculated,Decimal
K-12 School Districts,Reading Proficiency ,Department of Education: ED Facts,9/1/2020 0:00,2018-2019,District,Percent of students achieving reading proficiency on state assessment. Assessment exams vary state to state.,Calculated,Decimal
