DISTRICT,D20708DR19R,D20708DR20R,D20912DR19R,D20912DR20R,D20AT19R,D20AT20R,D20CA19R,D20CA20R,D30708DR19R,D30708DR20R,D30912DR19R,D30912DR20R,D30AT19R,D30AT20R,D30CA19R,D30CA20R,D40708DR19R,D40708DR20R,D40912DR19R,D40912DR20R,D40AT19R,D40AT20R,D40CA19R,D40CA20R,DA0708DR19R,DA0708DR20R,DA0912DR19R,DA0912DR20R,DA0AT19R,DA0AT20R,DA0CA19R,DA0CA20R,DB0708DR19R,DB0708DR20R,DB0912DR19R,DB0912DR20R,DB0AT19R,DB0AT20R,DB0CA19R,DB0CA20R,DE0708DR19R,DE0708DR20R,DE0912DR19R,DE0912DR20R,DE0AT19R,DE0AT20R,DE0CA19R,DE0CA20R,DF0708DR19R,DF0708DR20R,DF0912DR19R,DF0912DR20R,DF0AT19R,DF0AT20R,DH0708DR19R,DH0708DR20R,DH0912DR19R,DH0912DR20R,DH0AT19R,DH0AT20R,DH0CA19R,DH0CA20R,DI0708DR19R,DI0708DR20R,DI0912DR19R,DI0912DR20R,DI0AT19R,DI0AT20R,DI0CA19R,DI0CA20R,DISTNAME,DL0708DR19R,DL0708DR20R,DL0912DR19R,DL0912DR20R,DL0AT19R,DL0AT20R,DL0CA19R,DL0CA20R,DM0708DR19R,DM0708DR20R,DM0912DR19R,DM0912DR20R,DM0AT19R,DM0AT20R,DR0708DR19R,DR0708DR20R,DR0912DR19R,DR0912DR20R,DR0AT19R,DR0AT20R,DR0CA19R,DR0CA20R,DS0708DR19R,DS0708DR20R,DS0912DR19R,DS0912DR20R,DS0AT19R,DS0AT20R,DS0CA19R,DS0CA20R,DW0708DR19R,DW0708DR20R,DW0912DR19R,DW0912DR20R,DW0AT19R,DW0AT20R,DW0CA19R,DW0CA20R
"'001902",-1,-1,0,0,97.1,98.7,4,8.7,-1,.,.,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0,0,0.5,0,96.7,98.9,5.3,5.8,-1,-1,0,0,96.5,98.8,13.3,7.7,0,0,1.3,0,95.9,98.6,7.4,7.4,0,0,0,0,96.7,99.2,0,0,0,0,96.2,98.7,5.4,9.6,.,.,.,.,.,.,.,.,"CAYUGA ISD",-1,-1,.,.,-1,-1,-1,-1,0,0,0.9,0,96.7,98.7,0,0,1.1,0,96.5,98.5,5.2,8.2,0,0,0,0,95.9,97.9,7.4,10.4,0,0,0.6,0,96.7,99,5.1,5
"'001903",0,0,0,0,96.7,99,11.1,3.7,-1,.,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,0.5,0,0,0,96.4,98.8,7,5,0,0,0,0,96,98.4,10,5.2,0.9,0,0,0,95.8,98.5,8.7,6,0,0,0,0,96.3,98.8,0,0,0,0,96.5,98.8,2.2,2.2,.,.,-1,-1,-1,-1,0,0,"ELKHART ISD",-1,-1,.,.,96.3,99.5,0,0,1,0,0,0,96.5,98.8,0,0,0,0,95.4,98.4,9.9,6.8,0,0,0,0,95.6,97.7,11.2,12.4,0.6,0,0,0,96.3,98.8,7.4,5.6
"'001904",0,0,-1,-1,94.5,98.7,10,3.3,.,.,-1,-1,98.7,99.5,0,0,.,.,.,.,.,.,.,.,0,0,0,0,95.1,98.9,8.1,4,0,0,0,0,95.9,98.8,10.3,5.6,0,0,0,0,94.7,98.7,10.3,6.1,0,0,0,0,95.1,99,0,0,0,0,95.7,99.2,7,3.3,.,.,-1,-1,-1,-1,0,0,"FRANKSTON ISD",-1,-1,-1,-1,97.4,99.7,5.3,0,0,0,0,0,95.1,98.9,0,0,0,0,95.2,99,8.1,3.8,0,0,0,0,95,98.4,9.4,7.8,0,0,0,0,94.9,98.9,8.1,4
"'001906",-1,-1,-1,-1,96.1,-1,0,0,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,0,0,0,0,95.9,99,10,3.9,0,0,0,0,96.2,99.3,9.7,0,0,0,0,0,95.5,98.7,11.7,4.9,0,0,0,0,95.6,98.9,0,0,0,0,95.8,98.2,11.5,11.1,.,.,.,.,-1,-1,-1,-1,"NECHES ISD",-1,-1,-1,-1,93.7,-1,28.6,42.9,0,0,0,0,96.2,99.1,0,0,0,0,95,98.6,19.4,8,0,0,0,0,94,98.5,19.4,9.7,0,0,0,0,95.8,99.1,10.2,3.2
"'001907",0,0,0,0,94.9,97.8,12.4,7.8,-1,0,0,0,97.5,98.8,0,3.7,.,.,.,.,-1,-1,-1,-1,0,0,0.1,0.1,95.8,98.7,9.1,4.8,0,0,0.3,0.4,95.8,98.8,9.6,5.2,0,0,0.1,0.1,95.6,98.7,9.7,4.6,0,0,0,0,95.8,98.8,0,0,0,0,96.3,99,6.6,3.3,-1,-1,-1,.,-1,-1,57.1,0,"PALESTINE ISD",0,0,0,0,96.6,99,4.2,2.2,0,0,0.2,0.2,95.8,98.7,0,0,0.2,0,95.4,98.6,10.1,5.5,0,0,0,0,94.7,98,14.1,8.8,0,0,0,0,95.2,98.5,11.8,6.1
"'001908",0,0,0,0,94.9,98.4,16.1,3.3,.,-1,0,-1,98.4,-1,0,0,.,.,.,.,.,.,.,.,0,0,0.5,0.4,95.6,98.5,10.9,6.9,0,0,2.2,0,95.8,98.5,10.6,7.8,0,0,0.9,0.4,95.2,98.4,13.1,7.6,0,0,0,0.4,95.8,98.6,0,0,0,1,96.2,98.8,8.6,5.4,-1,-1,-1,-1,96.6,98.3,0,8.3,"WESTWOOD ISD",0,0,0,0,97.1,99.2,5.6,2.3,0,0,0.9,0.4,95.4,98.4,0,0,0.5,0,95.3,98.5,12.2,8.2,0,0,0,0,94.6,98.1,16.2,12,0,0,0,0.4,95.2,98.4,12.1,7.7
"'001909",0,-1,-1,-1,97.9,99.5,0,0,.,.,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,1.6,0,0,0,97.4,99.4,2.7,2,-1,.,-1,-1,96.4,-1,0,-1,0,0,0,0,96.9,99.3,1.9,3,0,0,0,0,97.6,99.5,-1,0,0,0,97.3,99,9.4,2.9,.,.,-1,.,-1,.,-1,.,"SLOCUM ISD",.,.,-1,.,-1,-1,0,-1,3.4,0,0,0,97.2,99.4,4.3,0,0,0,96.8,99.2,3.3,3,0,0,0,0,96.8,98.9,3.8,3.6,1.9,0,0,0,97.4,99.5,2.2,2
"'002901",0,0,0,4,95.6,97.8,10,8.2,-1,-1,-1,-1,98,99.1,6.3,5,-1,.,.,.,-1,.,-1,.,0,0.1,0.4,0.9,96.1,98.6,6.8,4.6,0,0,0,0,94.5,97,11.9,10,0,0.3,0.4,1.7,95.6,98.3,8.2,6,0,0,0.2,0.7,96.2,98.6,0,0.2,0.5,1,96.2,98.6,6.5,4.4,0,-1,0,0,96.8,98.3,4.8,5.9,"ANDREWS ISD",0,0,1,2,96.2,98.9,7.5,3.2,0,0.3,0.6,1.2,96.1,98.6,0,0,0.8,1.2,95.7,98.4,8,6.3,0,0,0,1.6,95.2,98.2,10.3,7.2,0,0,0.3,0.6,96,98.6,7.3,4.9
"'003801",-1,0,0,0,96.9,99.2,3.3,0,.,.,0,-1,98.6,-1,0,0,.,.,-1,-1,-1,-1,-1,-1,0,0,0,0,96.1,98.9,6.2,3.6,0,0,0,0,97.2,99.3,5.2,1.4,0,0,0,0,96.1,98.9,6.2,3.3,0,0,0,0,96.3,99,0,0,0,0,96.4,99,3.3,2.9,.,.,.,.,.,-1,.,-1,"PINEYWOODS COMMUNITY ACADEMY",0,0,0,0,96.5,99.3,2.3,2.4,0,0,0,0,96,98.8,0,0,0,0,95.4,98.9,9.4,3.4,0,0,0,0,95.4,98.7,7.4,4.5,0,0,0,0,95.6,98.7,8.2,4.8
"'003902",0,0,0,0,96.5,98.8,8.7,8.2,-1,-1,0,0,96.9,99.7,4.5,0,.,.,.,.,.,.,.,.,0,0,1.3,0.8,95.9,99,8.6,4.3,0,0,1.3,1.4,94.5,97.7,16.5,11.1,0,0,2.6,1.3,95.3,98.6,11.5,5.5,0,0,0.4,0.2,96.1,99,0,0,2.6,1.4,96,99.2,7.9,2.9,.,-1,0,0,96.1,97.9,10,4.5,"HUDSON ISD",0,0,10.5,0,96.2,99.5,6.1,1.2,0,0,2.3,1.4,95.8,99,0,0,1.6,1.2,95.2,98.6,12.4,6.6,0,0,4.6,0,95.1,98.6,15.1,7.8,0,0,1,0.5,96,99,7.9,3.9
"'003903",0,0,7.4,0,94.5,97.3,14.5,7.9,0,0,0,0,97.5,99.1,3.8,0,.,-1,-1,.,-1,-1,0,-1,0.5,0.9,2.8,1.3,95.6,97.9,11.3,6,0,0.8,3.8,1.9,95.3,97.9,13,6.7,0.7,0.9,3.2,1.5,95.4,97.9,12.1,6.1,0.3,1.3,2.4,1,95.7,98,0.2,0.8,2.3,1.3,96.1,98.1,8.8,5.3,-1,-1,0,0,94.1,97.3,27.8,11.1,"LUFKIN ISD",0,2.2,4.9,3.6,96.8,98.5,6,3,0.7,0.6,3.1,1.7,95.6,97.9,0.5,1,3.5,1.3,95.3,97.8,12.7,6.7,0.7,0.5,2.7,2.4,93.7,97.2,20.2,10.6,1.5,1.5,2.4,1,95.3,97.8,13,6.3
"'003904",0,0,0,0,95.1,97.6,10.4,3.8,-1,-1,0,-1,97.8,-1,0,-1,.,.,-1,.,-1,-1,.,-1,0,0.3,0.3,0,95,97.7,12.9,6.3,0,0,0,0,95.3,98,9.1,11.5,0,0.6,0.7,0,94.3,97.4,17.1,8.4,0,0,0.4,0,94.8,97.7,0,0,0,0,95.2,97.9,13.9,10,-1,.,0,0,92.1,95.1,33.3,22.2,"HUNTINGTON ISD",-1,-1,-1,-1,96.6,98.1,5.9,10.5,0,0.8,0.3,0,95.2,97.8,0,0,0.8,0,94.4,97.4,15.3,8.1,0,0,0,0,94.6,97.2,13.7,9.9,0,0.4,0.4,0,95,97.7,13,5.8
