DISTRICT,D20GR20N,D20GR20R,D30GR20N,D30GR20R,D40GR20N,D40GR20R,DA0GA20N,DA0GA20P,DA0GE20N,DA0GE20P,DA0GH20N,DA0GH20P,DA0GM20N,DA0GM20P,DA0GN20N,DA0GN20P,DA0GR20N,DA0GR20R,DB0GR20N,DB0GR20R,DE0GR20N,DE0GR20R,DH0GR20N,DH0GR20R,DI0GR20N,DI0GR20R,DISTNAME,DL0GR20N,DL0GR20R,DR0GR20N,DR0GR20R,DS0GR20N,DS0GR20R,DW0GR20N,DW0GR20R
"'001902",3,7.3,0,0,0,0,31,75.6,6,14.6,0,0,0,0,4,9.8,41,100,2,4.9,15,36.6,3,7.3,0,0,"CAYUGA ISD",0,0,16,39,10,24.4,33,80.5
"'001903",4,4.3,1,1.1,0,0,64,69.6,1,1.1,0,0,0,0,27,29.3,92,100,6,6.5,39,42.4,11,12,0,0,"ELKHART ISD",0,0,44,47.8,15,16.3,70,76.1
"'001904",0,0,0,0,0,0,46,90.2,0,0,0,0,0,0,5,9.8,51,100,2,3.9,19,37.3,5,9.8,1,2,"FRANKSTON ISD",1,2,16,31.4,5,9.8,43,84.3
"'001906",0,0,1,2.9,0,0,24,70.6,0,0,0,0,0,0,10,29.4,34,100,3,8.8,11,32.4,5,14.7,0,0,"NECHES ISD",0,0,10,29.4,5,14.7,25,73.5
"'001907",5,2.2,3,1.3,0,0,209,90.9,0,0,0,0,0,0,21,9.1,230,100,57,24.8,145,63,103,44.8,0,0,"PALESTINE ISD",8,3.5,135,58.7,22,9.6,62,27
"'001908",5,5.1,0,0,0,0,84,84.8,0,0,0,0,0,0,15,15.2,99,100,28,28.3,51,51.5,19,19.2,1,1,"WESTWOOD ISD",2,2,46,46.5,11,11.1,46,46.5
"'001909",0,0,0,0,0,0,23,88.5,0,0,0,0,0,0,3,11.5,26,100,0,0,10,38.5,2,7.7,0,0,"SLOCUM ISD",0,0,7,26.9,6,23.1,24,92.3
"'002901",3,1.2,0,0,0,0,209,86.7,0,0,0,0,0,0,32,13.3,241,100,2,0.8,96,39.8,165,68.5,1,0.4,"ANDREWS ISD",15,6.2,89,36.9,19,7.9,70,29
"'003801",1,1.8,3,5.3,1,1.8,49,86,2,3.5,0,0,0,0,6,10.5,57,100,12,21.1,26,45.6,9,15.8,0,0,"PINEYWOODS COMMUNITY ACADEMY",0,0,17,29.8,6,10.5,31,54.4
"'003902",5,2.5,0,0,0,0,160,78.4,13,6.4,0,0,0,0,31,15.2,204,100,19,9.3,89,43.6,44,21.6,2,1,"HUDSON ISD",1,0.5,71,34.8,14,6.9,134,65.7
"'003903",7,1.4,6,1.2,0,0,444,90.4,33,6.7,2,0.4,0,0,12,2.4,491,100,140,28.5,389,79.2,212,43.2,1,0.2,"LUFKIN ISD",36,7.3,222,45.2,60,12.2,125,25.5
"'003904",4,3.2,0,0,0,0,106,85.5,4,3.2,0,0,0,0,14,11.3,124,100,2,1.6,53,42.7,16,12.9,1,0.8,"HUNTINGTON ISD",1,0.8,32,25.8,7,5.6,101,81.5
"'003905",1,0.7,0,0,0,0,106,77.4,16,11.7,0,0,0,0,15,10.9,137,100,19,13.9,128,93.4,80,58.4,0,0,"DIBOLL ISD",6,4.4,50,36.5,13,9.5,37,27
"'003906",1,3.8,0,0,0,0,13,50,0,0,0,0,0,0,13,50,26,100,0,0,18,69.2,1,3.8,0,0,"ZAVALLA ISD",0,0,11,42.3,5,19.2,24,92.3
"'003907",3,3.1,0,0,0,0,77,79.4,5,5.2,0,0,0,0,15,15.5,97,100,5,5.2,40,41.2,13,13.4,0,0,"CENTRAL ISD",2,2.1,27,27.8,7,7.2,76,78.4
"'004901",4,1.8,4,1.8,0,0,158,72.8,0,0,0,0,0,0,59,27.2,217,100,2,0.9,126,58.1,85,39.2,0,0,"ARANSAS COUNTY ISD",5,2.3,76,35,22,10.1,122,56.2
"'005901",2,5.9,0,0,0,0,33,97.1,0,0,0,0,0,0,1,2.9,34,100,0,0,6,17.6,1,2.9,0,0,"ARCHER CITY ISD",0,0,7,20.6,2,5.9,31,91.2
"'005902",1,1.2,0,0,0,0,69,84.1,0,0,0,0,0,0,13,15.9,82,100,0,0,15,18.3,7,8.5,0,0,"HOLLIDAY ISD",0,0,17,20.7,6,7.3,74,90.2
"'005904",0,0,0,0,0,0,30,93.8,1,3.1,0,0,0,0,1,3.1,32,100,0,0,7,21.9,8,25,0,0,"WINDTHORST ISD",0,0,8,25,1,3.1,24,75
"'006902",1,5,0,0,0,0,19,95,0,0,0,0,0,0,1,5,20,100,1,5,4,20,1,5,0,0,"CLAUDE ISD",0,0,4,20,1,5,17,85
"'007901",0,0,0,0,0,0,29,74.4,5,12.8,0,0,0,0,5,12.8,39,100,0,0,26,66.7,32,82.1,0,0,"CHARLOTTE ISD",0,0,30,76.9,11,28.2,7,17.9
"'007902",3,2.6,0,0,0,0,79,68.7,2,1.7,0,0,0,0,34,29.6,115,100,0,0,64,55.7,69,60,0,0,"JOURDANTON ISD",2,1.7,45,39.1,13,11.3,43,37.4
"'007904",0,0,0,0,0,0,68,66.7,4,3.9,0,0,2,2,28,27.5,102,100,1,1,71,69.6,83,81.4,0,0,"LYTLE ISD",10,9.8,42,41.2,6,5.9,18,17.6
"'007905",2,0.8,0,0,0,0,227,88.3,1,0.4,4,1.6,1,0.4,24,9.3,257,100,1,0.4,134,52.1,176,68.5,0,0,"PLEASANTON ISD",7,2.7,105,40.9,26,10.1,78,30.4
"'007906",0,0,0,0,0,0,92,85.2,0,0,0,0,0,0,16,14.8,108,100,1,0.9,74,68.5,90,83.3,0,0,"POTEET ISD",3,2.8,63,58.3,12,11.1,17,15.7
"'008901",0,0,1,0.6,0,0,131,79.9,25,15.2,0,0,0,0,8,4.9,164,100,10,6.1,57,34.8,47,28.7,0,0,"BELLVILLE ISD",6,3.7,44,26.8,9,5.5,106,64.6
"'008902",2,1.1,5,2.6,0,0,149,78.4,1,0.5,0,0,1,0.5,39,20.5,190,100,21,11.1,92,48.4,87,45.8,1,0.5,"SEALY ISD",26,13.7,77,40.5,11,5.8,74,38.9
"'008903",0,0,1,1.4,0,0,50,71.4,15,21.4,0,0,0,0,5,7.1,70,100,8,11.4,37,52.9,34,48.6,0,0,"BRAZOS ISD",4,5.7,29,41.4,7,10,27,38.6
"'009901",0,0,0,0,0,0,72,93.5,0,0,0,0,0,0,5,6.5,77,100,0,0,63,81.8,67,87,0,0,"MULESHOE ISD",6,7.8,29,37.7,9,11.7,10,13
"'010901",1,4.2,0,0,0,0,17,70.8,0,0,0,0,0,0,7,29.2,24,100,1,4.2,16,66.7,3,12.5,0,0,"MEDINA ISD",0,0,11,45.8,3,12.5,19,79.2
"'010902",5,3.6,0,0,0,0,116,83.5,4,2.9,0,0,0,0,19,13.7,139,100,0,0,44,31.7,51,36.7,0,0,"BANDERA ISD",2,1.4,25,18,18,12.9,83,59.7
"'011901",28,3.4,5,0.6,1,0.1,570,69.9,15,1.8,0,0,1,0.1,229,28.1,815,100,39,4.8,497,61,530,65,2,0.2,"BASTROP ISD",99,12.1,395,48.5,56,6.9,210,25.8
"'011902",6,1.9,1,0.3,0,0,292,94.5,8,2.6,0,0,0,0,9,2.9,309,100,32,10.4,202,65.4,199,64.4,0,0,"ELGIN ISD",31,10,150,48.5,25,8.1,71,23
"'011904",5,4.2,1,0.8,0,0,82,69.5,5,4.2,0,0,2,1.7,29,24.6,118,100,11,9.3,61,51.7,47,39.8,1,0.8,"SMITHVILLE ISD",5,4.2,58,49.2,16,13.6,53,44.9
"'011905",0,0,0,0,0,0,12,75,2,12.5,0,0,0,0,2,12.5,16,100,0,0,9,56.3,10,62.5,0,0,"MCDADE ISD",1,6.3,4,25,2,12.5,6,37.5
"'012901",2,5.4,0,0,0,0,33,89.2,1,2.7,0,0,0,0,3,8.1,37,100,0,0,21,56.8,9,24.3,0,0,"SEYMOUR ISD",0,0,7,18.9,4,10.8,26,70.3
"'013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST MARY'S ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.
"'013901",6,2.5,1,0.4,0,0,183,75,25,10.2,0,0,0,0,36,14.8,244,100,7,2.9,196,80.3,195,79.9,0,0,"BEEVILLE ISD",2,0.8,140,57.4,24,9.8,35,14.3
"'013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PAWNEE ISD",.,.,.,.,.,.,.,.
"'013903",2,5.4,0,0,0,0,26,70.3,6,16.2,0,0,0,0,5,13.5,37,100,2,5.4,29,78.4,24,64.9,0,0,"PETTUS ISD",0,0,20,54.1,3,8.1,9,24.3
"'013905",0,0,2,3.2,1,1.6,59,93.7,0,0,0,0,0,0,4,6.3,63,100,0,0,38,60.3,46,73,0,0,"SKIDMORE-TYNAN ISD",0,0,19,30.2,7,11.1,14,22.2
"'014801",9,2,1,0.2,0,0,295,64.6,27,5.9,2,0.4,10,2.2,123,26.9,457,100,55,12,318,69.6,294,64.3,2,0.4,"RICHARD MILBURN ALTER HIGH SCHOOL",43,9.4,392,85.8,65,14.2,96,21
"'014803",1,6.7,0,0,0,0,5,33.3,4,26.7,0,0,0,0,6,40,15,100,2,13.3,3,20,5,33.3,0,0,"PRIORITY CHARTER SCHOOLS",0,0,8,53.3,5,33.3,7,46.7
"'014804",2,2.2,3,3.3,1,1.1,84,93.3,1,1.1,0,0,0,0,5,5.6,90,100,1,1.1,6,6.7,17,18.9,0,0,"ORENDA CHARTER SCHOOL",0,0,25,27.8,3,3.3,66,73.3
