DISTRICT,D20GI19R,D20GI20R,D20GW19R,D20GW20R,D23G419R,D23G420R,D23GG19R,D23GG20R,D2SGA19R,D2SGA20R,D30GI19R,D30GI20R,D30GW19R,D30GW20R,D33G419R,D33G420R,D33GG19R,D33GG20R,D3SGA19R,D3SGA20R,D40GI19R,D40GI20R,D40GW19R,D40GW20R,D43G419R,D43G420R,D43GG19R,D43GG20R,D4SGA19R,D4SGA20R,DA0GI19R,DA0GI20R,DA0GW19R,DA0GW20R,DA3G419R,DA3G420R,DA3GG19R,DA3GG20R,DASGA19R,DASGA20R,DB0GI19R,DB0GI20R,DB0GW19R,DB0GW20R,DB3G419R,DB3G420R,DB3GG19R,DB3GG20R,DBSGA19R,DBSGA20R,DE0GI19R,DE0GI20R,DE0GW19R,DE0GW20R,DE3G419R,DE3G420R,DE3GG19R,DE3GG20R,DESGA19R,DESGA20R,DF0GI19R,DF0GI20R,DF0GW19R,DF0GW20R,DF3G419R,DF3G420R,DF3GG19R,DF3GG20R,DFSGA19R,DFSGA20R,DH0GI19R,DH0GI20R,DH0GW19R,DH0GW20R,DH3G419R,DH3G420R,DH3GG19R,DH3GG20R,DHSGA19R,DHSGA20R,DI0GI19R,DI0GI20R,DI0GW19R,DI0GW20R,DI3G419R,DI3G420R,DI3GG19R,DI3GG20R,DISGA19R,DISGA20R,DISTNAME,DL0GI19R,DL0GI20R,DL0GW19R,DL0GW20R,DL3G419R,DL3G420R,DL3GG19R,DL3GG20R,DLSGA19R,DLSGA20R,DM0GI19R,DM0GI20R,DM0GW19R,DM0GW20R,DM3G419R,DM3G420R,DM3GG19R,DM3GG20R,DMSGA19R,DMSGA20R,DR0GI19R,DR0GI20R,DR0GW19R,DR0GW20R,DR3G419R,DR3G420R,DR3GG19R,DR3GG20R,DRSGA19R,DRSGA20R,DS0GI19R,DS0GI20R,DS0GW19R,DS0GW20R,DS3G419R,DS3G420R,DS3GG19R,DS3GG20R,DSSGA19R,DSSGA20R,DW0GI19R,DW0GI20R,DW0GW19R,DW0GW20R,DW3G419R,DW3G420R,DW3GG19R,DW3GG20R,DWSGA19R,DWSGA20R
"'001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,39,14.6,17.1,2.1,0,54.2,51.2,2.1,19.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,40,20,33.3,0,0,60,60,5,40,0,31.8,15.8,9.1,0,0,50,36.4,0,13.6,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,0,47.4,13.8,26.3,3.4,0,56.9,68.4,3.4,26.3,0,37.5,53.8,37.5,0,0,88.5,62.5,7.7,37.5,0,40,87.5,70,0,0,100,90,12.5,80,0,39.4,14,9.1,2.3,0,54.7,48.5,2.3,15.2
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,17.5,16.3,5,12,0,0,61.3,29.3,2.5,1.1,-1,0,-1,33.3,-1,0,-1,33.3,-1,0,12.5,17.9,7.5,15.4,0,0,62.5,33.3,5,0,25,14,5.6,16,0,0,56.9,32,2.8,2,14.3,18.2,0,9.1,0,0,57.1,27.3,0,0,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,11.4,19,4.5,7.1,0,0,64.8,26.2,2.3,0,5,13.6,5,20.5,0,0,60,36.4,5,2.3,12.5,0,50,73.3,0,0,93.8,80,25,6.7,18.8,18.6,5.8,10,0,0,61.6,30,1.4,1.4
"'001904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,41.2,-1,2,-1,0,-1,43.1,-1,0,.,-1,.,-1,.,-1,.,-1,.,-1,-1,26.3,-1,5.3,-1,0,-1,31.6,-1,0,-1,25,-1,0,-1,0,-1,25,-1,0,.,40,.,0,.,0,.,40,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,"FRANKSTON ISD",.,-1,.,-1,.,-1,.,-1,.,-1,.,48.6,.,2.9,.,0,.,51.4,.,0,.,56.3,.,6.3,.,0,.,62.5,.,0,.,40,.,20,.,0,.,60,.,0,-1,41.9,-1,2.3,-1,0,-1,44.2,-1,0
"'001906",-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,0,2.9,18.2,14.7,0,0,45.5,14.7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,50,18.2,0,0,68.8,18.2,0,0,0,0,18.2,5.9,0,0,50,5.9,0,0,-1,0,-1,20,-1,0,-1,20,-1,0,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,0,5.9,18.2,23.5,0,0,40.9,23.5,0,0,0,10,66.7,50,0,0,75,50,0,0,-1,20,-1,100,-1,0,-1,100,-1,0,0,4,17.6,12,0,0,47.1,12,0,0
"'001907",20,20,20,0,20,0,50,20,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,20.3,22.2,8.2,5.2,3.4,0,73.4,28.3,4.3,1.7,12.7,22.8,12.7,8.8,0,0,75.4,29.8,9.5,0,18.8,24.1,10.1,6.2,3.6,0,75,30.3,5.8,1.4,33,19,5,1.7,7,0,76.5,21.6,2,0.9,26.2,27.2,4.8,2.9,2.4,0,72.6,32,3.6,1.9,.,.,.,.,.,.,.,.,.,.,"PALESTINE ISD",0,25,22.2,12.5,0,0,83.3,37.5,33.3,0,8.4,25.4,11.2,8.8,0,0,70.6,35.1,6.5,2.6,17.4,23.7,10.1,8.9,2.9,0,77.2,33.3,5.8,1.5,0,22.7,59.3,54.5,0,0,90.7,86.4,33.3,18.2,19.2,14.5,5.8,6.5,7.7,0,74,22.6,0,3.2
"'001908",-1,60,-1,0,-1,0,-1,60,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,0,32.3,8.3,6.1,0,0,46.5,36.4,0,0,0,50,4.8,0,0,0,42.9,50,0,0,0,39.2,5.1,5.9,0,0,44.9,43.1,0,0,0,40,4.4,6,0,0,43.3,42,0,0,0,31.6,7.7,5.3,0,0,38.5,36.8,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,"WESTWOOD ISD",0,-1,0,-1,0,-1,20,-1,0,-1,0,24.5,14.8,6.1,0,0,51.9,30.6,0,0,0,32.6,19.2,8.7,0,0,48.1,39.1,0,0,0,27.3,100,54.5,0,0,100,63.6,0,0,0,19.6,12.1,10.9,0,0,50,26.1,0,0
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,3.8,0,0,0,0,56.8,19.2,4.5,15.4,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,57.1,20,14.3,20,0,11.1,0,0,0,0,50,22.2,0,11.1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,66.7,17.6,11.1,17.6,-1,0,-1,0,-1,0,-1,28.6,-1,28.6,-1,0,-1,0,-1,0,-1,66.7,-1,66.7,0,4.2,0,0,0,0,57.1,20.8,4.8,16.7
"'002901",0,-1,0,-1,0,-1,8.3,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,1.1,2.1,1.8,1.2,29.6,8.3,3.3,5,0,-1,0,-1,0,-1,33.3,-1,0,-1,0,0,2,3.1,3,0,30.2,8.3,4,5.2,0,0,1.4,1.8,2.1,1.8,28.7,5.3,3.5,1.8,0,0,1.2,1.8,1.7,1.8,32.3,7.9,4.1,4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",0,0,0,0,0,0,27.3,6.7,9.1,6.7,0,0,0.8,2.3,1.5,0.8,30.5,10.9,3.1,7.8,0,0,1.3,1.1,0,1.1,28.9,11.2,11.8,9,0,0,11.1,26.3,0,0,63.9,89.5,50,63.2,0,0,1.1,2.9,1.1,0,24.7,10,2.3,7.1
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,14.5,7,0,0,5.5,1.8,27.3,10.5,1.8,5.3,16.7,0,0,0,16.7,0,29.2,8.3,0,8.3,21.1,7.7,0,0,10.5,0,39.5,11.5,5.3,3.8,27.6,10.7,0,0,10.3,3.6,31,14.3,0,3.6,9.1,11.1,0,0,9.1,0,18.2,11.1,9.1,0,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",-1,.,-1,.,-1,.,-1,.,-1,.,0,3.4,0,0,0,0,23.1,6.9,3.8,6.9,0,0,0,0,0,0,32.1,11.8,7.1,11.8,0,33.3,0,0,0,0,40,66.7,20,50,13.8,9.7,0,0,0,3.2,29.3,12.9,0,6.5
"'003902",40,0,0,0,0,0,70,0,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,30.8,18.6,1.9,1.5,9.1,1,61.5,22.5,2.4,1.5,27.8,15.8,11.1,10.5,0,0,61.1,31.6,11.1,5.3,28.4,19.1,3.2,3.4,7.4,1.1,61.1,27,3.2,3.4,31.6,10,0.9,1.8,11.4,0,61.4,11.8,1.8,0,30.6,18.2,2,0,10.2,2.3,60.2,20.5,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.8,28.7,3.2,1.1,6.4,2.1,61.7,35.1,3.2,3.2,24.6,16.9,4.6,4.2,9.2,1.4,59.2,26.8,7.7,4.2,16.7,0,22.2,21.4,0,0,77.8,42.9,27.8,21.4,30.8,19.4,0.8,0.7,10.5,0.7,61.7,22.4,1.5,1.5
