DISTRICT,DD004AMA1221R,DD004AMA1321R,DD004AMA1S21R,DD004ARE1221R,DD004ARE1321R,DD004ARE1S21R,DD004AWR1221R,DD004AWR1321R,DD004AWR1S21R,DD204AMA1221R,DD204AMA1321R,DD204AMA1S21R,DD204ARE1221R,DD204ARE1321R,DD204ARE1S21R,DD204AWR1221R,DD204AWR1321R,DD204AWR1S21R,DD304AMA1221R,DD304AMA1321R,DD304AMA1S21R,DD304ARE1221R,DD304ARE1321R,DD304ARE1S21R,DD304AWR1221R,DD304AWR1321R,DD304AWR1S21R,DD404AMA1221R,DD404AMA1321R,DD404AMA1S21R,DD404ARE1221R,DD404ARE1321R,DD404ARE1S21R,DD404AWR1221R,DD404AWR1321R,DD404AWR1S21R,DDA04AMA1221R,DDA04AMA1321R,DDA04AMA1S21R,DDA04ARE1221R,DDA04ARE1321R,DDA04ARE1S21R,DDA04AWR1221R,DDA04AWR1321R,DDA04AWR1S21R,DDB04AMA1221R,DDB04AMA1321R,DDB04AMA1S21R,DDB04ARE1221R,DDB04ARE1321R,DDB04ARE1S21R,DDB04AWR1221R,DDB04AWR1321R,DDB04AWR1S21R,DDE04AMA1221R,DDE04AMA1321R,DDE04AMA1S21R,DDE04ARE1221R,DDE04ARE1321R,DDE04ARE1S21R,DDE04AWR1221R,DDE04AWR1321R,DDE04AWR1S21R,DDF04AMA1221R,DDF04AMA1321R,DDF04AMA1S21R,DDF04ARE1221R,DDF04ARE1321R,DDF04ARE1S21R,DDF04AWR1221R,DDF04AWR1321R,DDF04AWR1S21R,DDH04AMA1221R,DDH04AMA1321R,DDH04AMA1S21R,DDH04ARE1221R,DDH04ARE1321R,DDH04ARE1S21R,DDH04AWR1221R,DDH04AWR1321R,DDH04AWR1S21R,DDI04AMA1221R,DDI04AMA1321R,DDI04AMA1S21R,DDI04ARE1221R,DDI04ARE1321R,DDI04ARE1S21R,DDI04AWR1221R,DDI04AWR1321R,DDI04AWR1S21R,DDL04AMA1221R,DDL04AMA1321R,DDL04AMA1S21R,DDL04ARE1221R,DDL04ARE1321R,DDL04ARE1S21R,DDL04AWR1221R,DDL04AWR1321R,DDL04AWR1S21R,DDM04AMA1221R,DDM04AMA1321R,DDM04AMA1S21R,DDM04ARE1221R,DDM04ARE1321R,DDM04ARE1S21R,DDM04AWR1221R,DDM04AWR1321R,DDM04AWR1S21R,DDR04AMA1221R,DDR04AMA1321R,DDR04AMA1S21R,DDR04ARE1221R,DDR04ARE1321R,DDR04ARE1S21R,DDR04AWR1221R,DDR04AWR1321R,DDR04AWR1S21R,DDS04AMA1221R,DDS04AMA1321R,DDS04AMA1S21R,DDS04ARE1221R,DDS04ARE1321R,DDS04ARE1S21R,DDS04AWR1221R,DDS04AWR1321R,DDS04AWR1S21R,DDW04AMA1221R,DDW04AMA1321R,DDW04AMA1S21R,DDW04ARE1221R,DDW04ARE1321R,DDW04ARE1S21R,DDW04AWR1221R,DDW04AWR1321R,DDW04AWR1S21R,DISTNAME,DNC04AMA1221R,DNC04AMA1321R,DNC04AMA1S21R,DNC04ARE1221R,DNC04ARE1321R,DNC04ARE1S21R,DNC04AWR1221R,DNC04AWR1321R,DNC04AWR1S21R,DNM04AMA1221R,DNM04AMA1321R,DNM04AMA1S21R,DNM04ARE1221R,DNM04ARE1321R,DNM04ARE1S21R,DNM04AWR1221R,DNM04AWR1321R,DNM04AWR1S21R,DNS04AMA1221R,DNS04AMA1321R,DNS04AMA1S21R,DNS04ARE1221R,DNS04ARE1321R,DNS04ARE1S21R,DNS04AWR1221R,DNS04AWR1321R,DNS04AWR1S21R
"'001902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,43,80,64,42,82,41,14,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,35,82,69,44,88,24,0,76,47,35,65,47,29,71,35,24,71,71,43,100,57,14,86,29,0,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,47,88,73,48,88,44,9,76,40,20,60,0,0,60,20,0,40,17,17,50,17,17,17,0,0,0,63,46,76,63,48,80,46,17,73,"CAYUGA ISD",59,47,75,63,44,81,41,22,66,63,37,89,67,39,83,42,0,89,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,51,88,59,37,88,47,22,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,39,81,45,19,90,35,13,65,63,44,90,59,37,85,48,19,83,56,33,78,44,44,89,44,11,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,59,84,59,38,91,47,25,66,42,21,68,21,11,79,5,0,37,0,0,0,0,0,33,0,0,17,71,55,91,62,34,90,49,24,80,"ELKHART ISD",67,51,88,57,37,90,47,22,71,67,50,88,63,38,83,48,20,84,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,51,23,79,51,17,77,34,6,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,25,75,46,18,71,29,4,68,43,22,74,48,17,74,39,13,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,25,83,54,17,79,29,0,75,25,19,56,25,13,38,31,6,63,57,0,71,57,0,71,43,0,57,56,25,89,53,19,81,33,6,78,"FRANKSTON ISD",60,27,83,60,20,87,40,7,80,35,18,71,35,12,59,24,6,65,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,50,17,71,33,13,58,25,4,58,40,20,80,40,20,60,20,0,40,64,14,79,43,21,64,29,0,57,45,9,45,36,18,55,36,9,82,80,40,80,40,20,80,40,20,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,54,23,92,31,8,62,15,0,38,25,0,63,25,0,50,13,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,8,67,33,8,58,25,0,75,"NECHES ISD",50,17,67,33,17,56,22,6,67,50,17,83,33,0,67,33,0,33,.,.,.,.,.,.,.,.,.
"'001907",26,9,57,17,10,52,8,0,38,22,11,33,33,11,56,13,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,27,14,55,31,12,61,13,1,42,10,3,31,20,3,44,10,0,31,20,9,48,23,7,54,10,1,35,22,9,52,30,8,64,14,3,40,28,13,60,24,9,60,9,1,43,.,.,.,.,.,.,.,.,.,25,10,56,16,10,51,8,0,37,30,17,58,31,15,59,13,0,44,18,5,43,13,4,40,6,0,25,24,9,29,15,0,26,14,3,26,40,24,74,47,24,79,21,3,55,"PALESTINE ISD",28,14,58,29,11,62,14,1,45,23,12,46,35,13,58,10,2,35,50,0,83,33,0,83,0,0,67
"'001908",40,20,60,0,0,0,40,0,60,22,0,67,0,0,44,11,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,18,65,22,8,46,20,1,45,38,38,56,38,19,56,18,6,41,30,15,61,20,7,39,21,1,42,26,14,55,17,7,44,24,2,48,37,17,73,7,0,34,20,0,40,.,.,.,.,.,.,.,.,.,40,20,60,0,0,0,40,0,60,46,22,74,26,9,48,17,0,43,28,6,61,22,6,28,22,0,50,11,6,17,11,6,17,11,0,28,39,15,61,33,12,52,24,0,52,"WESTWOOD ISD",38,17,65,17,6,48,23,2,47,30,22,65,35,13,39,13,0,39,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001909",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,10,62,62,43,76,43,10,76,.,.,.,.,.,.,.,.,.,10,0,40,50,30,60,30,10,60,36,7,57,71,50,71,43,14,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,14,71,43,29,86,43,0,71,20,0,60,20,0,60,40,0,40,20,0,20,20,0,20,20,0,20,39,11,61,72,50,78,44,11,83,"SLOCUM ISD",39,11,67,67,44,83,44,6,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'002901",18,8,50,36,6,54,24,2,50,60,40,80,60,20,60,40,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,41,25,71,37,11,68,25,3,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,16,64,31,10,60,22,2,52,37,23,69,39,10,70,29,3,60,33,20,68,31,9,63,22,2,56,.,.,.,.,.,.,.,.,.,9,2,42,26,5,47,16,2,42,46,28,74,34,13,66,20,3,55,18,6,48,26,4,51,20,1,40,26,13,39,22,4,43,17,9,30,58,38,77,45,17,81,29,6,62,"ANDREWS ISD",44,26,75,37,10,68,27,4,60,36,23,63,36,14,68,20,1,52,20,20,100,20,0,100,0,0,20
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,59,40,79,51,29,70,37,11,55,20,0,60,20,10,20,0,0,0,46,30,72,41,22,59,30,11,43,63,44,78,59,41,70,59,19,67,68,46,82,39,25,71,43,14,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,38,80,47,24,69,25,7,49,30,14,64,20,7,43,9,0,25,8,8,38,15,8,23,0,0,15,55,42,79,61,32,76,34,5,63,"PINEYWOODS COMMUNITY ACADEMY",51,34,74,46,26,64,28,7,46,81,57,95,67,38,86,62,24,81,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003902",35,20,60,45,5,55,25,0,45,29,29,71,57,14,71,43,14,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,45,29,70,49,27,72,33,10,61,7,0,43,36,7,64,7,0,36,26,10,54,28,10,56,13,1,42,49,30,75,57,30,80,37,17,66,37,21,61,36,13,55,21,2,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,20,60,45,5,55,25,0,45,42,27,66,42,24,63,30,3,55,22,11,47,27,4,56,13,0,38,11,4,19,12,8,23,11,0,22,55,35,79,57,37,81,42,16,69,"HUDSON ISD",52,35,77,55,31,75,39,13,64,31,15,56,35,18,65,21,5,54,57,43,86,43,29,86,14,14,71
