DISTRICT,DISTNAME,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP
"'001902","CAYUGA ISD",60.4,72.2,14.8,14.4,102.7,0,1,2.6,2.5,79500,0,14.1,13.7,17.7,15,0,0,9,16,61.1,59.5,2,0,4.2,4.1,71006,0,0,.,6.8,14.3,41422,6.3,13.3,48309,14.5,30.4,55711,14.6,30.8,60675,5.4,11.3,65717,0,0,42.7,89.8,0.1,0.2,3.9,8.2,0,0,16.7,38,79.9,0,0,1,2,0,0,11.2,9.6,20.1,4.9,10.2,0,0,0.1,0.2,0,0,0,0,39.1,82.1,4.9,10.3,9.1,47.6,46.3,55335,0,0,12.9,3.4,7.2,42.7,89.8,6.8,6.6,56649,3,27.5,26.8
"'001903","ELKHART ISD",62.7,67.6,18.5,10.1,183.7,0,1,1,0.5,121000,0,31.5,17.2,6.3,5.3,7,7,0,0,117.5,64,3,0,5.3,2.9,70164,3,2.9,34307,21,20.5,36799,18.5,18.1,44201,36.7,35.9,51504,18,17.6,55552,5,4.9,58020,0,0,81.5,79.7,0.6,0.6,1,1,3.2,3.1,13.7,81.2,79.4,0.7,0.7,7,6.8,0,0,11.7,21,20.6,19.7,19.3,1,1,1.1,1.1,0,0,0,0,74.5,72.9,10.1,9.9,8.1,102.2,55.6,47689,0,0,21.7,12.1,11.8,94.2,92.2,9,4.9,57372,0,34.7,18.9
"'001904","FRANKSTON ISD",57.9,63.3,15.3,11.5,132.6,0,0,2,1.5,97250,0,20,15.1,3.3,3,1.7,1.7,0,0,77.5,58.4,2,1,5.1,3.8,69246,1,1.5,35748,18.4,28.1,44110,13,19.9,46122,17.5,26.8,54973,9.5,14.5,56716,6,9.2,55933,0,0,49.4,75.5,0,0,5,7.6,2,3.1,13,48.5,74.2,0,0,0,0,0,0,11.7,16.9,25.8,15.9,24.3,0.1,0.2,0,0,0,0,0,0,56.8,86.8,4.9,7.5,5.5,65.4,49.3,50207,0,0,15.7,1.7,2.6,60.4,92.4,5,3.8,54797,0,35.1,26.5
"'001906","NECHES ISD",56.5,62.1,11,16.8,65.4,0,0,1.5,2.3,88657,0,8,12.2,15,14,3,3,0,0,41,62.7,1,0,3,4.6,79291,2,5.6,49628,4,11.3,43249,11,31,47137,8,22.5,54691,10.5,29.5,64600,0,0,.,0,0,33,93,0,0,2,5.6,0.3,0.8,14,28,78.9,0.6,1.8,0,0,0,0,9.5,7.5,21.1,2.5,7,0,0,0,0,0,0,0,0,28.6,80.7,2,5.7,7.5,35.5,54.2,53700,0,0,17.4,3.9,10.9,33.5,94.4,1,1.5,72643,0,16.4,25.1
"'001907","PALESTINE ISD",60.1,71,166.6,30.5,545.8,1,0,10.5,1.9,98067,0,106.5,19.5,4,4,5,3.8,0,0,335.7,61.5,6,0,17.5,3.2,78085,45.5,17.4,40940,55.3,21.2,41621,51.5,19.7,47329,57.9,22.1,52810,29.5,11.3,59654,21.8,8.3,62130,0,0,209.2,80,3.8,1.4,27,10.3,17.1,6.5,11.3,197.5,75.5,3.8,1.4,34,13,1,0.4,13,64,24.5,48.3,18.5,4,1.5,1.3,0.5,0,0,0,0,185.4,70.9,27.6,10.6,6.5,261.6,47.9,48850,5,1.9,14.6,22.6,8.6,194.6,74.4,46.2,8.5,63021,0,103.6,19
"'001908","WESTWOOD ISD",56.3,59.2,66.2,25.2,262.8,0,1,3,1.1,114517,0,46.5,17.7,6,5.8,1,1,0,0,152.6,58.1,4,0,9.1,3.5,72457,42.4,33.6,41416,32.9,26.2,40474,14,11.1,45285,23.8,18.9,54318,10.9,8.6,57279,2,1.6,40541,0,0,102.2,81.2,0,0,11.9,9.4,6.8,5.4,7.7,91.3,72.5,0,0,6,4.7,1,0.8,10.7,34.6,27.5,21.7,17.3,1,0.8,3.5,2.8,1,0.8,0,0,96.6,76.7,10,7.9,2.9,125.9,47.9,45391,1,0.8,34.5,9,7.1,106.1,84.3,14.6,5.6,61263,0,63.7,24.2
"'001909","SLOCUM ISD",69.3,70.7,1.9,2.9,66.8,1,0,2,3,83637,0,6.7,10.1,8.3,8.3,0,0,0,0,43.2,64.7,2,0,2.4,3.6,81241,0,0,.,4.2,11.8,42282,6,16.8,45340,11,30.7,55734,13.6,38,60373,1,2.8,62800,0,0,29.2,81.6,0,0,0,0,7.1,19.9,16.9,28.2,78.8,0,0,0,0,0,0,10.2,7.6,21.2,6.6,18.4,0,0,1.1,3,0,0,0,0,20.4,56.9,3.7,10.4,10,35.8,53.6,54368,1,2.8,10.6,3.5,9.8,34.8,97.2,3,4.5,59471,0,16.8,25.2
"'002901","ANDREWS ISD",63.2,64.4,227.7,40.7,559.9,2,2,9,1.6,123325,0,74.5,13.3,4.3,3.3,4.5,1.7,0,0,345.6,61.7,7,2,14.9,2.7,87513,11,3.8,54756,57.3,20,56350,62.8,21.9,58768,94.3,32.8,63582,46.4,16.2,68176,15.4,5.4,76350,2,0.7,218.5,76.1,27,9.4,5,1.7,14.2,4.9,13.4,215,74.9,44.8,15.6,75.4,26.3,1,0.3,14.3,72.2,25.1,65.7,22.9,2,0.7,3,1,1,0.3,0,0,162.2,56.5,19,6.6,6.9,287.2,51.3,62176,8,2.8,12.2,17.1,6,195.7,68.2,34.5,6.2,70266,0,139.8,25
"'003801","PINEYWOODS COMMUNITY ACADEMY",61.5,62.8,29.2,22.5,129.7,0,0,5,3.9,107549,0,15,11.6,2.7,2.7,4,3.3,0,0,89.8,69.2,1,1,4,3.1,84963,3,4.4,46017,20.9,30.9,47603,20,29.7,50920,18.6,27.5,58990,5,7.4,62598,0,0,.,0,0,52.9,78.4,0,0,5,7.4,2,3,10.2,56.4,83.7,1,1.5,6,8.9,0,0,14.8,11,16.3,14.6,21.6,0,0,0,0,0,0,0,0,57.2,84.8,5,7.4,3.7,67.4,52,52763,0,0,12.4,2.2,3.3,56.4,83.7,13.3,10.3,62310,0,25,19.2
"'003902","HUDSON ISD",64,60.2,74.9,18.1,414.7,3,1,3,0.7,136042,0,32.5,7.8,6.8,6.6,5.9,5.4,2.3,0,249.2,60.1,7,0,16.1,3.9,80968,5.9,2.9,45901,43.5,21,48892,44.7,21.6,51030,66.3,32.1,56042,33.5,16.2,63260,12.8,6.2,63426,0,0,164.2,79.4,1.1,0.6,1,0.5,16.4,7.9,13.6,161.1,77.9,7.8,3.8,10.8,5.2,0,0,13.4,45.6,22.1,38.5,18.7,2,1,4.6,2.2,2,1,0,0,139,67.3,21,10.2,8.3,206.6,49.8,54791,1,0.5,6.9,16.7,8.1,193.8,93.8,23.5,5.7,66536,3.3,133,32.1
