DISTRICT,D20BKA20R,D20BKA21R,D20BKC20R,D20BKC21R,D20BKE20R,D20BKE21R,D20BKM20R,D20BKM21R,D20BKS20R,D20BKS21R,D20BTA20R,D20BTA21R,D20BTC20R,D20BTC21R,D20BTE20R,D20BTE21R,D20BTM20R,D20BTM21R,D20BTS20R,D20BTS21R,D30BKA20R,D30BKA21R,D30BKC20R,D30BKC21R,D30BKE20R,D30BKE21R,D30BKM20R,D30BKM21R,D30BKS20R,D30BKS21R,D30BTA20R,D30BTA21R,D30BTC20R,D30BTC21R,D30BTE20R,D30BTE21R,D30BTM20R,D30BTM21R,D30BTS20R,D30BTS21R,D40BKA20R,D40BKA21R,D40BKC20R,D40BKC21R,D40BKE20R,D40BKE21R,D40BKM20R,D40BKM21R,D40BKS20R,D40BKS21R,D40BTA20R,D40BTA21R,D40BTC20R,D40BTC21R,D40BTE20R,D40BTE21R,D40BTM20R,D40BTM21R,D40BTS20R,D40BTS21R,DA0BKA20R,DA0BKA21R,DA0BKC20R,DA0BKC21R,DA0BKE20R,DA0BKE21R,DA0BKM20R,DA0BKM21R,DA0BKS20R,DA0BKS21R,DA0BTA20R,DA0BTA21R,DA0BTC20R,DA0BTC21R,DA0BTE20R,DA0BTE21R,DA0BTM20R,DA0BTM21R,DA0BTS20R,DA0BTS21R,DB0BKA20R,DB0BKA21R,DB0BKC20R,DB0BKC21R,DB0BKE20R,DB0BKE21R,DB0BKM20R,DB0BKM21R,DB0BKS20R,DB0BKS21R,DB0BTA20R,DB0BTA21R,DB0BTC20R,DB0BTC21R,DB0BTE20R,DB0BTE21R,DB0BTM20R,DB0BTM21R,DB0BTS20R,DB0BTS21R,DE0BKA20R,DE0BKA21R,DE0BKC20R,DE0BKC21R,DE0BKE20R,DE0BKE21R,DE0BKM20R,DE0BKM21R,DE0BKS20R,DE0BKS21R,DE0BTA20R,DE0BTA21R,DE0BTC20R,DE0BTC21R,DE0BTE20R,DE0BTE21R,DE0BTM20R,DE0BTM21R,DE0BTS20R,DE0BTS21R,DF0BKA20R,DF0BKA21R,DF0BKC20R,DF0BKC21R,DF0BKE20R,DF0BKE21R,DF0BKM20R,DF0BKM21R,DF0BKS20R,DF0BKS21R,DF0BTA20R,DF0BTA21R,DF0BTC20R,DF0BTC21R,DF0BTE20R,DF0BTE21R,DF0BTM20R,DF0BTM21R,DF0BTS20R,DF0BTS21R,DH0BKA20R,DH0BKA21R,DH0BKC20R,DH0BKC21R,DH0BKE20R,DH0BKE21R,DH0BKM20R,DH0BKM21R,DH0BKS20R,DH0BKS21R,DH0BTA20R,DH0BTA21R,DH0BTC20R,DH0BTC21R,DH0BTE20R,DH0BTE21R,DH0BTM20R,DH0BTM21R,DH0BTS20R,DH0BTS21R,DI0BKA20R,DI0BKA21R,DI0BKC20R,DI0BKC21R,DI0BKE20R,DI0BKE21R,DI0BKM20R,DI0BKM21R,DI0BKS20R,DI0BKS21R,DI0BTA20R,DI0BTA21R,DI0BTC20R,DI0BTC21R,DI0BTE20R,DI0BTE21R,DI0BTM20R,DI0BTM21R,DI0BTS20R,DI0BTS21R,DISTNAME,DL0BKA20R,DL0BKA21R,DL0BKC20R,DL0BKC21R,DL0BKE20R,DL0BKE21R,DL0BKM20R,DL0BKM21R,DL0BKS20R,DL0BKS21R,DL0BTA20R,DL0BTA21R,DL0BTC20R,DL0BTC21R,DL0BTE20R,DL0BTE21R,DL0BTM20R,DL0BTM21R,DL0BTS20R,DL0BTS21R,DM0BKA20R,DM0BKA21R,DM0BKC20R,DM0BKC21R,DM0BKE20R,DM0BKE21R,DM0BKM20R,DM0BKM21R,DM0BKS20R,DM0BKS21R,DM0BTA20R,DM0BTA21R,DM0BTC20R,DM0BTC21R,DM0BTE20R,DM0BTE21R,DM0BTM20R,DM0BTM21R,DM0BTS20R,DM0BTS21R,DR0BKA20R,DR0BKA21R,DR0BKC20R,DR0BKC21R,DR0BKE20R,DR0BKE21R,DR0BKM20R,DR0BKM21R,DR0BKS20R,DR0BKS21R,DR0BTA20R,DR0BTA21R,DR0BTC20R,DR0BTC21R,DR0BTE20R,DR0BTE21R,DR0BTM20R,DR0BTM21R,DR0BTS20R,DR0BTS21R,DS0BKA20R,DS0BKA21R,DS0BKC20R,DS0BKC21R,DS0BKE20R,DS0BKE21R,DS0BKM20R,DS0BKM21R,DS0BKS20R,DS0BKS21R,DS0BTA20R,DS0BTA21R,DS0BTC20R,DS0BTC21R,DS0BTE20R,DS0BTE21R,DS0BTM20R,DS0BTM21R,DS0BTS20R,DS0BTS21R,DW0BKA20R,DW0BKA21R,DW0BKC20R,DW0BKC21R,DW0BKE20R,DW0BKE21R,DW0BKM20R,DW0BKM21R,DW0BKS20R,DW0BKS21R,DW0BTA20R,DW0BTA21R,DW0BTC20R,DW0BTC21R,DW0BTE20R,DW0BTE21R,DW0BTM20R,DW0BTM21R,DW0BTS20R,DW0BTS21R
"'001902",.,-1,.,-1,.,.,.,.,.,.,0,40,0,40,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66.7,.,66.7,.,.,.,.,.,.,0,14.3,0,14.3,0,0,0,0,0,0,.,-1,.,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,0,14.3,0,14.3,0,0,0,0,0,0,.,60,.,60,.,.,.,.,.,.,0,25.6,0,25.6,0,0,0,0,0,0,.,-1,.,-1,.,.,.,.,.,.,0,28.6,0,28.6,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,0,4.4,0,4.4,0,0,0,0,0,0,.,-1,.,-1,.,.,.,.,.,.,0,6.9,0,6.9,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,71.4,.,71.4,.,.,.,.,.,.,0,10.1,0,10.1,0,0,0,0,0,0
"'001903",-1,.,.,.,-1,.,-1,.,.,.,16.7,0,0,0,8.3,0,8.3,0,0,0,.,-1,.,.,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.7,9.1,.,.,12.5,11.1,-1,.,16.7,0,6.2,6.3,0,0,4.1,5.2,1.6,0,3.1,5.7,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,40,-1,.,.,-1,-1,-1,.,-1,-1,5.3,2.4,0,0,4.3,2.4,1.1,0,1.1,1.2,42.9,12.5,.,.,16.7,12.5,-1,.,-1,0,7.4,10.3,0,0,6.3,10.3,1.1,0,4.2,9,-1,-1,.,.,-1,-1,.,.,-1,.,9.5,5.6,0,0,9.5,5.6,0,0,4.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,-1,.,.,-1,-1,-1,.,-1,-1,5.1,3.1,0,0,2,1,2,0,2,3.1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,37.5,0,.,.,0,0,-1,.,20,0,5.4,6.5,0,0,3.4,5,1.4,0,3.4,6.5
"'001904",.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47.4,-1,.,.,.,.,.,.,.,.,18.6,2.2,0,0,0,0,0,0,0,0,-1,.,.,.,.,.,.,.,.,.,14.3,0,0,0,0,0,0,0,0,0,44.4,-1,.,.,.,.,.,.,.,.,21.4,2.6,0,0,0,0,0,0,0,0,50,-1,.,.,.,.,.,.,.,.,31.8,2.6,0,0,0,0,0,0,0,0,-1,.,.,.,.,.,.,.,.,.,11.1,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"FRANKSTON ISD",.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,40,-1,.,.,.,.,.,.,.,.,8.6,1.9,0,0,0,0,0,0,0,0,-1,.,.,.,.,.,.,.,.,.,13,0,0,0,0,0,0,0,0,0,-1,.,.,.,.,.,.,.,.,.,14.3,0,0,0,0,0,0,0,0,0,41.2,-1,.,.,.,.,.,.,.,.,21.3,2.7,0,0,0,0,0,0,0,0
"'001906",.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,-1,0,-1,0,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"'001907",.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72.2,-1,-1,.,.,.,.,.,.,.,4.1,0.6,0.2,0,0,0,0,0,0,0,-1,.,.,.,.,.,.,.,.,.,0.9,0,0,0,0,0,0,0,0,0,64.3,-1,-1,.,.,.,.,.,.,.,5.2,0.6,0.4,0,0,0,0,0,0,0,71.4,-1,.,.,.,.,.,.,.,.,6.7,0.9,0,0,0,0,0,0,0,0,75,-1,-1,.,.,.,.,.,.,.,8.5,1.4,0.5,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PALESTINE ISD",66.7,-1,.,.,.,.,.,.,.,.,17.6,2,0,0,0,0,0,0,0,0,-1,-1,-1,.,.,.,.,.,.,.,1.8,0.4,0.4,0,0,0,0,0,0,0,57.1,-1,.,.,.,.,.,.,.,.,2.9,0.3,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,-1,.,.,.,.,.,.,.,.,.,0.9,0,0,0,0,0,0,0,0,0
"'001908",.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42.9,33.3,40,33.3,.,.,-1,33.3,.,.,3.6,4.5,2.6,3,0,0,2.1,3,0,0,-1,.,-1,.,.,.,-1,.,.,.,2.1,0,2.1,0,0,0,2.1,0,0,0,-1,-1,-1,-1,.,.,-1,-1,.,.,3.3,2,1.1,1,0,0,2.2,1,0,0,-1,0,-1,-1,.,.,-1,-1,.,.,3.3,5.2,2.2,3.1,0,0,2.2,3.1,0,0,-1,-1,.,.,.,.,-1,-1,.,.,5.3,2.3,0,0,0,0,5.3,2.3,0,0,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,"WESTWOOD ISD",.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,.,.,-1,-1,.,.,3.9,3.9,2.9,2.9,0,0,1.9,2.9,0,0,.,-1,.,-1,.,.,.,.,.,.,0,1.7,0,1.7,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,-1,37.5,-1,33.3,.,.,-1,40,.,.,4,6.9,4,5.2,0,0,1,4.3,0,0
"'001909",.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"'002901",-1,-1,.,-1,.,.,-1,-1,-1,.,9.1,22.2,0,11.1,0,0,9.1,11.1,9.1,0,-1,-1,.,-1,.,-1,.,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47.5,56.9,41.7,85.7,60,45,56.3,50,42.4,34.8,11.2,10.2,2.2,3.7,2.8,3.5,2.9,3.5,6.1,4,.,.,.,.,.,.,.,.,.,.,0,-1,0,-1,0,-1,0,-1,0,-1,46.7,60,-1,-1,-1,-1,-1,75,55.6,20,6.6,7.3,0.9,2,1.8,2,1.8,3.9,4,2.4,50,50,42.9,66.7,57.1,45.5,-1,20,44.4,40,8.9,8.5,2.6,2.1,2.6,3.9,1.5,1.8,3.3,3.5,37.1,51.9,25,88.9,57.1,40,37.5,45.5,31.3,10,9.2,6.7,2.1,2.2,1.8,2.5,2.1,2.7,4.2,2.5,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",.,-1,.,.,.,.,.,.,.,.,0,4.4,0,0,0,0,0,0,0,0,45.9,61.8,40,93.3,62.5,44.4,66.7,60,41.7,30.8,13.5,11.8,1.8,5.2,2.9,3.1,4.4,5.2,8.7,4.5,50,-1,.,.,-1,-1,.,-1,-1,.,2.6,1.4,0,0,0.9,1.1,0,0.4,0.9,0,-1,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,0,0,0,0,58.3,59.3,-1,80,62.5,55.6,71.4,42.9,46.7,53.8,16.4,18.1,2.7,6.7,5.5,6,4.8,4.7,10.3,8.7
"'003801",.,.,.,.,.,.,.,.,.,.,0,-1,0,-1,0,-1,0,-1,0,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0
"'003902",.,-1,.,.,.,.,.,.,.,-1,0,10,0,0,0,0,0,0,0,10,-1,-1,.,-1,-1,-1,.,.,-1,-1,-1,60,-1,40,-1,20,-1,0,-1,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61.4,46.2,60,20,58.5,58.5,72.7,-1,32.4,28.9,22.6,16.9,1.3,1.3,13.6,10.6,2.8,1,9.5,9.9,-1,-1,.,.,-1,-1,.,.,-1,.,12.1,3.6,0,0,12.1,3.6,0,0,9.1,0,50,40,-1,-1,40,44.4,-1,.,9.1,50,16.7,8.9,1.2,0.6,8.9,5.4,0.6,0,6.5,4.8,67.8,47.2,-1,-1,62.5,55.6,-1,-1,43.5,26.3,29.1,18,1.5,1.5,19.7,13.5,2,0.5,11.3,9.5,70.6,46.2,.,-1,28.6,55.6,-1,.,-1,40,22.1,15.9,0,1.2,9.1,11,1.3,0,3.9,6.1,-1,.,.,.,.,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",.,-1,.,.,.,.,.,.,.,.,-1,10,-1,0,-1,0,-1,0,-1,0,48.3,44.8,-1,-1,46.2,64.3,71.4,-1,14.3,31.6,15.6,15.7,1.1,1.1,7,7.6,3.8,1.6,7.5,10.3,54.5,20,.,.,50,-1,.,.,-1,-1,7.7,3.6,0,0,4.2,1.4,0,0,2.8,1.4,.,-1,.,.,.,-1,.,.,.,.,0,2.6,0,0,0,2.6,0,0,0,0,57.8,46.8,60,-1,65,60,66.7,-1,33.3,29,24.1,18.1,1.9,0.8,15,11.6,3.4,1.5,11.3,12
