DISTRICT,DD800A00200022R,DD800AM0200022R,DD800AR0200022R,DDA00A00200022R,DDA00AM0200022R,DDA00AR0200022R,DDC00A00200022R,DDC00AM0200022R,DDC00AR0200022R,DDJ00A00200022R,DDJ00AM0200022R,DDJ00AR0200022R,DDK00A00200022R,DDK00AM0200022R,DDK00AR0200022R,DDL00A00200022R,DDL00AM0200022R,DDL00AR0200022R,DDQ00A00200022R,DDQ00AM0200022R,DDQ00AR0200022R,DDT00A00200022R,DDT00AM0200022R,DDT00AR0200022R,DDU00A00200022R,DDU00AM0200022R,DDU00AR0200022R,DDX00A00200022R,DDX00AM0200022R,DDX00AR0200022R,DDY00A00200022R,DDY00AM0200022R,DDY00AR0200022R,DDZ00A00200022R,DDZ00AM0200022R,DDZ00AR0200022R,DISTNAME,DNB00A00200022R,DNB00AM0200022R,DNB00AR0200022R,DNE00A00200022R,DNE00AM0200022R,DNE00AR0200022R,DNT00A00200022R,DNT00AM0200022R,DNT00AR0200022R
"'001902",72,66,78,72,66,78,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.
"'001903",73,65,80,73,65,80,83,90,75,.,.,.,.,.,.,84,91,77,.,.,.,.,.,.,.,.,.,-1,-1,.,82,89,75,-1,-1,-1,"ELKHART ISD",.,.,.,.,.,.,87,86,88
"'001904",74,70,78,74,70,79,71,61,83,.,.,.,.,.,.,71,61,83,.,.,.,.,.,.,.,.,.,71,57,80,72,64,-1,.,.,.,"FRANKSTON ISD",.,.,.,.,.,.,85,88,80
"'001906",81,83,79,81,83,78,80,90,70,.,.,.,.,.,.,80,90,70,.,.,.,.,.,.,.,.,.,80,90,70,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.
"'001907",74,70,77,74,71,78,80,79,81,.,.,.,.,.,.,72,68,77,.,.,.,.,.,.,70,65,76,85,85,85,-1,.,-1,65,62,69,"PALESTINE ISD",70,65,76,76,76,77,86,84,87
"'001908",75,68,81,75,67,82,72,59,87,.,.,.,.,.,.,75,60,89,.,.,.,.,.,.,.,.,.,-1,-1,-1,75,65,85,-1,-1,-1,"WESTWOOD ISD",.,.,.,50,33,-1,70,75,65
"'001909",74,70,79,75,70,80,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,-1,-1,-1
"'002901",72,69,75,72,69,75,68,63,73,.,.,.,.,.,.,70,68,73,73,73,73,-1,-1,.,73,73,73,67,67,67,68,63,73,76,78,75,"ANDREWS ISD",.,.,.,.,.,.,83,85,82
"'003801",76,72,80,76,71,80,67,59,75,.,.,.,.,.,.,67,60,74,.,.,.,.,.,.,.,.,.,66,58,73,80,-1,-1,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,.,.,.,.,.,92,-1,-1
"'003902",77,75,79,77,74,79,60,50,72,.,.,.,.,.,.,68,62,74,.,.,.,.,.,.,80,75,84,.,.,.,60,50,72,79,80,78,"HUDSON ISD",80,75,84,.,.,.,86,85,86
