DISTRICT,D22C6X18R,D22C6X19R,D23C6X18R,D23C6X19R,D2DC6X18R,D2DC6X19R,D2EC6X18R,D2EC6X19R,D2GC6X18R,D2GC6X19R,D2NC6X18R,D2NC6X19R,D32C6X18R,D32C6X19R,D33C6X18R,D33C6X19R,D3DC6X18R,D3DC6X19R,D3EC6X18R,D3EC6X19R,D3GC6X18R,D3GC6X19R,D3NC6X18R,D3NC6X19R,D42C6X18R,D42C6X19R,D43C6X18R,D43C6X19R,D4DC6X18R,D4DC6X19R,D4EC6X18R,D4EC6X19R,D4GC6X18R,D4GC6X19R,D4NC6X18R,D4NC6X19R,DA2C6X18R,DA2C6X19R,DA3C6X18R,DA3C6X19R,DADC6X18R,DADC6X19R,DAEC6X18R,DAEC6X19R,DAGC6X18R,DAGC6X19R,DANC6X18R,DANC6X19R,DB2C6X18R,DB2C6X19R,DB3C6X18R,DB3C6X19R,DBDC6X18R,DBDC6X19R,DBEC6X18R,DBEC6X19R,DBGC6X18R,DBGC6X19R,DBNC6X18R,DBNC6X19R,DE2C6X18R,DE2C6X19R,DE3C6X18R,DE3C6X19R,DEDC6X18R,DEDC6X19R,DEEC6X18R,DEEC6X19R,DEGC6X18R,DEGC6X19R,DENC6X18R,DENC6X19R,DF2C6X18R,DF2C6X19R,DF3C6X18R,DF3C6X19R,DFDC6X18R,DFDC6X19R,DFEC6X18R,DFEC6X19R,DFGC6X18R,DFGC6X19R,DFNC6X18R,DFNC6X19R,DH2C6X18R,DH2C6X19R,DH3C6X18R,DH3C6X19R,DHDC6X18R,DHDC6X19R,DHEC6X18R,DHEC6X19R,DHGC6X18R,DHGC6X19R,DHNC6X18R,DHNC6X19R,DI2C6X18R,DI2C6X19R,DI3C6X18R,DI3C6X19R,DIDC6X18R,DIDC6X19R,DIEC6X18R,DIEC6X19R,DIGC6X18R,DIGC6X19R,DINC6X18R,DINC6X19R,DISTNAME,DL2C6X18R,DL2C6X19R,DL3C6X18R,DL3C6X19R,DLDC6X18R,DLDC6X19R,DLEC6X18R,DLEC6X19R,DLGC6X18R,DLGC6X19R,DLNC6X18R,DLNC6X19R,DM2C6X18R,DM2C6X19R,DM3C6X18R,DM3C6X19R,DMDC6X18R,DMDC6X19R,DMEC6X18R,DMEC6X19R,DMGC6X18R,DMGC6X19R,DMNC6X18R,DMNC6X19R,DR2C6X18R,DR2C6X19R,DR3C6X18R,DR3C6X19R,DRDC6X18R,DRDC6X19R,DREC6X18R,DREC6X19R,DRGC6X18R,DRGC6X19R,DRNC6X18R,DRNC6X19R,DS2C6X18R,DS2C6X19R,DS3C6X18R,DS3C6X19R,DSDC6X18R,DSDC6X19R,DSEC6X18R,DSEC6X19R,DSGC6X18R,DSGC6X19R,DSNC6X18R,DSNC6X19R,DW2C6X18R,DW2C6X19R,DW3C6X18R,DW3C6X19R,DWDC6X18R,DWDC6X19R,DWEC6X18R,DWEC6X19R,DWGC6X18R,DWGC6X19R,DWNC6X18R,DWNC6X19R
"'001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,100,98,100,96,0,2,0,0,100,96,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,95.2,100,90.5,0,4.8,0,0,100,90.5,0,4.8,100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,100,96.8,100,93.5,0,3.2,0,0,100,93.5,0,3.2,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,88.9,0,0,0,0,100,88.9,0,11.1,100,100,100,97.7,0,0,0,0,100,97.7,0,2.3
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,1.2,100,98.8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,2.3,100,97.7,0,0,100,100,100,100,0,0,0,5,100,95,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,1.4,100,98.6,0,0
"'001904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.7,83.3,96.7,83.3,3.3,16.7,0,50,96.7,33.3,0,0,100,.,100,.,0,.,0,.,100,.,0,.,92,-1,92,-1,8,-1,0,-1,92,-1,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,90,-1,90,-1,10,-1,0,-1,90,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"FRANKSTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,94.1,-1,94.1,-1,5.9,-1,0,-1,94.1,-1,0,-1,93.3,-1,93.3,-1,6.7,-1,0,-1,93.3,-1,0,-1,66.7,.,66.7,.,33.3,.,0,.,66.7,.,0,.,97.7,80,97.7,80,2.3,20,0,40,97.7,40,0,0
"'001906",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,4.2,0,95.8,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,0,0,11.1,0,88.9,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,7.1,0,92.9,100,0,0,100,100,100,100,0,0,14.3,0,85.7,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,5.6,0,94.4,100,0,0
"'001907",-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,99.5,98.6,99.5,98.6,0.5,1.4,0,0,99.5,98.6,0,0,98,96.9,98,96.9,2,3.1,0,0,98,96.9,0,0,99.2,97.9,99.2,97.9,0.8,2.1,0,0,99.2,97.9,0,0,100,99,100,99,0,1,0,0,100,99,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"PALESTINE ISD",-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,99.1,98.2,99.1,98.2,0.9,1.8,0,0,99.1,98.2,0,0,99.2,97.9,99.2,97.9,0.8,2.1,0,0,99.2,97.9,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,98.1,100,98.1,0,1.9,0,0,100,98.1,0,0
"'001908",100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,99,97.4,99,97.4,1,2.6,0,0,99,97.4,0,0,96,95.2,96,95.2,4,4.8,0,0,96,95.2,0,0,98,97.7,98,97.7,2,2.3,0,0,98,97.7,0,0,100,97.9,100,97.9,0,2.1,0,0,100,97.9,0,0,100,94.1,100,94.1,0,5.9,0,0,100,94.1,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"WESTWOOD ISD",-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,98.1,96.6,98.1,96.6,1.9,3.4,0,0,98.1,96.6,0,0,100,96.6,100,96.6,0,3.4,0,0,100,96.6,0,0,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,100,100,0,0,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,100,100,100,100,0,0,0,0,100,100,0,0
"'002901",-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,98.3,97.1,98.3,97.1,1.7,2.9,0,0.4,98.3,96.7,0,0,100,100,100,100,0,0,0,0,100,100,0,0,97.5,95.2,97.5,95.2,2.5,4.8,0,0,97.5,95.2,0,0,98.3,98.6,98.3,98.6,1.7,1.4,0,0.7,98.3,97.8,0,0,98.1,96.6,98.1,96.6,1.9,3.4,0,0,98.1,96.6,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"ANDREWS ISD",100,83.3,100,83.3,0,16.7,0,0,100,83.3,0,0,98.3,95.7,98.3,95.7,1.7,4.3,0,0,98.3,95.7,0,0,98.3,93.9,98.3,93.9,1.7,6.1,0,0,98.3,93.9,0,0,100,100,100,100,0,0,0,0,100,100,0,0,98.7,97.7,98.7,97.7,1.3,2.3,0,1.2,98.7,96.5,0,0
"'003801",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,97.9,100,97.9,100,2.1,0,0,0,97.9,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,92.9,100,92.9,100,7.1,0,0,0,92.9,100,0,0,96.3,100,96.3,100,3.7,0,0,0,96.3,100,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,0,0,100,100,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,0,96.7,100,96.7,100,3.3,0,0,0,96.7,100,0,0
"'003902",-1,83.3,-1,83.3,-1,16.7,-1,0,-1,83.3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,98.5,96.3,98.5,96.3,1.5,3.7,0,0.5,98.5,95.9,0,0,100,90.5,100,90.5,0,9.5,0,0,100,90.5,0,0,96.9,93.3,96.9,93.3,3.1,6.7,0,1,96.9,92.4,0,0,100,99.1,100,99.1,0,0.9,0,0,100,99.1,0,0,98.2,94.4,98.2,94.4,1.8,5.6,0,1.9,98.2,92.6,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"HUDSON ISD",83.3,-1,83.3,-1,16.7,-1,0,-1,83.3,-1,0,-1,97.2,93.1,97.2,93.1,2.8,6.9,0,1,97.2,92.1,0,0,96.6,94.4,96.6,94.4,3.4,5.6,0,1.4,96.6,93.1,0,0,95.8,86.4,95.8,86.4,4.2,13.6,0,0,95.8,86.4,0,0,98.5,98.5,98.5,98.5,1.5,1.5,0,0,98.5,98.5,0,0
