DISTRICT,D20GA20R,D20GA21R,D20GE20R,D20GE21R,D20GS20R,D20GS21R,D2AC4X20R,D2AC4X21R,D2PC4X20R,D2PC4X21R,D2SC4X20R,D2SC4X21R,D30GA20R,D30GA21R,D30GE20R,D30GE21R,D30GS20R,D30GS21R,D3AC4X20R,D3AC4X21R,D3PC4X20R,D3PC4X21R,D3SC4X20R,D3SC4X21R,D40GA20R,D40GA21R,D40GE20R,D40GE21R,D40GS20R,D40GS21R,D4AC4X20R,D4AC4X21R,D4PC4X20R,D4PC4X21R,D4SC4X20R,D4SC4X21R,DA0GA20R,DA0GA21R,DA0GE20R,DA0GE21R,DA0GS20R,DA0GS21R,DAAC4X20R,DAAC4X21R,DAPC4X20R,DAPC4X21R,DASC4X20R,DASC4X21R,DB0GA20R,DB0GA21R,DB0GE20R,DB0GE21R,DB0GS20R,DB0GS21R,DBAC4X20R,DBAC4X21R,DBPC4X20R,DBPC4X21R,DBSC4X20R,DBSC4X21R,DE0GA20R,DE0GA21R,DE0GE20R,DE0GE21R,DE0GS20R,DE0GS21R,DEAC4X20R,DEAC4X21R,DEPC4X20R,DEPC4X21R,DESC4X20R,DESC4X21R,DF0GA20R,DF0GA21R,DF0GE20R,DF0GE21R,DF0GS20R,DF0GS21R,DFAC4X20R,DFAC4X21R,DFPC4X20R,DFPC4X21R,DFSC4X20R,DFSC4X21R,DH0GA20R,DH0GA21R,DH0GE20R,DH0GE21R,DH0GS20R,DH0GS21R,DHAC4X20R,DHAC4X21R,DHPC4X20R,DHPC4X21R,DHSC4X20R,DHSC4X21R,DI0GA20R,DI0GA21R,DI0GE20R,DI0GE21R,DI0GS20R,DI0GS21R,DIAC4X20R,DIAC4X21R,DIPC4X20R,DIPC4X21R,DISC4X20R,DISC4X21R,DISTNAME,DL0GA20R,DL0GA21R,DL0GE20R,DL0GE21R,DL0GS20R,DL0GS21R,DLAC4X20R,DLAC4X21R,DLPC4X20R,DLPC4X21R,DLSC4X20R,DLSC4X21R,DM0GA20R,DM0GA21R,DM0GE20R,DM0GE21R,DM0GS20R,DM0GS21R,DMAC4X20R,DMAC4X21R,DMPC4X20R,DMPC4X21R,DMSC4X20R,DMSC4X21R,DR0GA20R,DR0GA21R,DR0GE20R,DR0GE21R,DR0GS20R,DR0GS21R,DRAC4X20R,DRAC4X21R,DRPC4X20R,DRPC4X21R,DRSC4X20R,DRSC4X21R,DS0GA20R,DS0GA21R,DS0GE20R,DS0GE21R,DS0GS20R,DS0GS21R,DSAC4X20R,DSAC4X21R,DSPC4X20R,DSPC4X21R,DSSC4X20R,DSSC4X21R,DW0GA20R,DW0GA21R,DW0GE20R,DW0GE21R,DW0GS20R,DW0GS21R,DWAC4X20R,DWAC4X21R,DWPC4X20R,DWPC4X21R,DWSC4X20R,DWSC4X21R
"'001902",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75.6,94.4,14.6,0,90.2,94.4,78.9,94.6,15.8,0,94.7,94.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,88.9,26.7,0,86.7,88.9,69.2,88.9,30.8,0,100,88.9,86.4,100,9.1,0,95.5,100,90,100,10,0,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,.,.,63.2,90.9,21.1,0,84.2,90.9,66.7,90.9,22.2,0,88.9,90.9,50,100,31.3,0,81.3,100,50,100,35.7,0,85.7,100,20,-1,60,-1,80,-1,22.2,-1,66.7,-1,88.9,-1,87.9,93.5,12.1,0,100,93.5,87.5,93.8,12.5,0,100,93.8
"'001903",-1,100,-1,0,-1,100,-1,100,-1,0,-1,100,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,69.6,86.8,1.1,0,70.7,86.8,72.7,83.7,1.1,0,73.9,83.7,33.3,40,0,0,33.3,40,33.3,40,0,0,33.3,40,56.4,78.7,0,0,56.4,78.7,61.1,75,0,0,61.1,75,72,100,2,0,74,100,73.5,97.4,2,0,75.5,97.4,72.7,100,0,0,72.7,100,80,90.9,0,0,80,90.9,.,.,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,66.7,76.9,0,0,66.7,76.9,71.8,73.6,0,0,71.8,73.6,47.7,76.9,2.3,0,50,76.9,52.5,69.2,2.5,0,55,69.2,0,33.3,6.7,0,6.7,33.3,0,30,7.1,0,7.1,30,72.9,87,1.4,0,74.3,87,76.1,84.1,1.5,0,77.6,84.1
"'001904",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,90.2,97.6,0,0,90.2,97.6,90,100,0,0,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.9,94.1,0,0,78.9,94.1,78.9,100,0,0,78.9,100,100,100,0,0,100,100,100,100,0,0,100,100,100,-1,0,-1,100,-1,100,-1,0,-1,100,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"FRANKSTON ISD",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,85.7,95.7,0,0,85.7,95.7,85.3,100,0,0,85.3,100,68.8,100,0,0,68.8,100,66.7,100,0,0,66.7,100,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,88.4,97,0,0,88.4,97,88.1,100,0,0,88.1,100
"'001906",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,70.6,73.9,0,0,70.6,73.9,75,73.9,0,0,75,73.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63.6,42.9,0,0,63.6,42.9,70,42.9,0,0,70,42.9,94.1,83.3,0,0,94.1,83.3,94.1,83.3,0,0,94.1,83.3,60,-1,0,-1,60,-1,60,-1,0,-1,60,-1,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,.,47.1,63.6,0,0,47.1,63.6,53.3,63.6,0,0,53.3,63.6,30,-1,0,-1,30,-1,37.5,-1,0,-1,37.5,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,72,64.7,0,0,72,64.7,78.3,64.7,0,0,78.3,64.7
"'001907",80,85.7,0,14.3,80,100,80,85.7,0,14.3,80,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,90.9,91.5,0,7,90.9,98.5,91.6,92,0,6.5,91.6,98.5,87.7,85.7,0,10.2,87.7,95.9,89.3,85.4,0,10.4,89.3,95.8,91.7,92.9,0,6.4,91.7,99.3,92.2,92.8,0,6.5,92.2,99.3,96.6,96.6,0,2.3,96.6,98.9,97.4,96.6,0,2.3,97.4,98.9,94.2,95.6,0,4.4,94.2,100,95,95.6,0,4.4,95,100,.,.,.,.,.,.,.,.,.,.,.,.,"PALESTINE ISD",87.5,90.5,0,9.5,87.5,100,87.5,90.5,0,9.5,87.5,100,85.1,87.6,0,10.6,85.1,98.2,85.6,88.3,0,9.9,85.6,98.2,85.2,88.2,0,10,85.2,98.2,86.3,89.1,0,9.1,86.3,98.2,18.2,0,0,82.4,18.2,82.4,19,0,0,81.3,19,81.3,88.7,90.4,0,7.7,88.7,98.1,88.5,92.2,0,5.9,88.5,98
"'001908",100,-1,0,-1,100,-1,100,-1,0,-1,100,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,84.8,81.1,0,0,84.8,81.1,85.6,82.2,0,0,85.6,82.2,85.7,81.8,0,0,85.7,81.8,89.3,81,0,0,89.3,81,80.4,73.3,0,0,80.4,73.3,79.6,75,0,0,79.6,75,82,90.5,0,0,82,90.5,82.4,92.1,0,0,82.4,92.1,94.7,75,0,0,94.7,75,94.4,77.8,0,0,94.4,77.8,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"WESTWOOD ISD",-1,50,-1,0,-1,50,-1,50,-1,0,-1,50,87.8,73.6,0,0,87.8,73.6,89.1,75,0,0,89.1,75,76.1,72.5,0,0,76.1,72.5,77.3,73.5,0,0,77.3,73.5,0,0,0,0,0,0,0,0,0,0,0,0,78.3,81.8,0,0,78.3,81.8,77.8,83.7,0,0,77.8,83.7
"'001909",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.5,84.4,0,0,88.5,84.4,92.3,83.9,0,0,92.3,83.9,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,80,72.7,0,0,80,72.7,83.3,75,0,0,83.3,75,77.8,100,0,0,77.8,100,77.8,100,0,0,77.8,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,94.1,75,0,0,94.1,75,100,73.7,0,0,100,73.7,71.4,100,0,0,71.4,100,83.3,88.9,0,0,83.3,88.9,66.7,71.4,0,0,66.7,71.4,80,71.4,0,0,80,71.4,91.7,80,0,0,91.7,80,95.8,80,0,0,95.8,80
"'002901",-1,83.3,-1,0,-1,83.3,-1,83.3,-1,0,-1,83.3,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,86.7,80.2,0,1,86.7,81.2,90.4,87.3,0.4,1.1,90.9,88.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.2,72.2,0,0,79.2,72.2,84.3,83.9,1.1,0,85.4,83.9,91.2,80.4,0,1.3,91.2,81.7,91.9,86.6,0,1.4,91.9,88,89.1,79.6,0,1,89.1,80.6,92.4,86.3,0,1.1,92.4,87.4,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,"ANDREWS ISD",66.7,71.4,0,0,66.7,71.4,66.7,80,6.7,0,73.3,80,82.8,80,0,0.7,82.8,80.7,89.1,88.1,0.8,0.8,89.9,88.9,74.2,68.8,0,0,74.2,68.8,79,80.5,1.2,0,80.2,80.5,63.2,62.5,0,0,63.2,62.5,92.3,74.1,0,0,92.3,74.1,80,80.8,0,1.3,80,82.1,84.8,90,1.5,1.4,86.4,91.4
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,86,100,3.5,0,89.5,100,86,100,3.5,0,89.5,100,75,100,0,0,75,100,75,100,0,0,75,100,76.9,100,3.8,0,80.8,100,76.9,100,3.8,0,80.8,100,85.7,100,0,0,85.7,100,85.7,100,0,0,85.7,100,88.9,100,0,0,88.9,100,88.9,100,0,0,88.9,100,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,86.2,100,6.9,0,93.1,100,86.2,100,6.9,0,93.1,100,76.5,100,5.9,0,82.4,100,77.8,100,7.4,0,85.2,100,16.7,.,33.3,.,50,.,16.7,.,33.3,.,50,.,87.1,100,6.5,0,93.5,100,87.1,100,6.5,0,93.5,100
"'003902",80,-1,0,-1,80,-1,-1,60,-1,0,-1,60,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,78.4,71.9,6.4,6.6,84.8,78.6,79.9,75.3,6.7,6.3,86.6,81.6,57.9,53.3,5.3,0,63.2,53.3,64.7,53.3,5.9,0,70.6,53.3,64,58.8,10.1,9.4,74.2,68.2,67.1,59.8,11,9.8,78,69.5,80,79.6,4.5,1.9,84.5,81.5,82.7,82.1,4.8,1.9,87.5,84,68.2,83.3,11.4,8.3,79.5,91.7,73.2,84.8,12.2,9.1,85.4,93.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,76.6,62.5,8.5,12.5,85.1,75,76.7,66.7,8.9,11.9,85.6,78.6,49.3,51.3,12.7,15.8,62,67.1,50.8,53.3,13.8,16,64.6,69.3,14.3,12.5,7.1,18.8,21.4,31.3,15.4,13.3,7.7,20,23.1,33.3,84.3,71,5.2,7.2,89.6,78.3,84,75.2,5.3,6.8,89.3,82
