DISTRICT,D2BGC20R,D2BGC21R,D2BGT20R,D2BGT21R,D2EGC20R,D2EGC21R,D2EGT20R,D2EGT21R,D2MGC20R,D2MGC21R,D2MGT20R,D2MGT21R,D3BGC20R,D3BGC21R,D3BGT20R,D3BGT21R,D3EGC20R,D3EGC21R,D3EGT20R,D3EGT21R,D3MGC20R,D3MGC21R,D3MGT20R,D3MGT21R,D4BGC20R,D4BGC21R,D4BGT20R,D4BGT21R,D4EGC20R,D4EGC21R,D4EGT20R,D4EGT21R,D4MGC20R,D4MGC21R,D4MGT20R,D4MGT21R,DABGC20R,DABGC21R,DABGT20R,DABGT21R,DAEGC20R,DAEGC21R,DAEGT20R,DAEGT21R,DAMGC20R,DAMGC21R,DAMGT20R,DAMGT21R,DBBGC20R,DBBGC21R,DBBGT20R,DBBGT21R,DBEGC20R,DBEGC21R,DBEGT20R,DBEGT21R,DBMGC20R,DBMGC21R,DBMGT20R,DBMGT21R,DEBGC20R,DEBGC21R,DEBGT20R,DEBGT21R,DEEGC20R,DEEGC21R,DEEGT20R,DEEGT21R,DEMGC20R,DEMGC21R,DEMGT20R,DEMGT21R,DFBGC20R,DFBGC21R,DFBGT20R,DFBGT21R,DFEGC20R,DFEGC21R,DFEGT20R,DFEGT21R,DFMGC20R,DFMGC21R,DFMGT20R,DFMGT21R,DHBGC20R,DHBGC21R,DHBGT20R,DHBGT21R,DHEGC20R,DHEGC21R,DHEGT20R,DHEGT21R,DHMGC20R,DHMGC21R,DHMGT20R,DHMGT21R,DIBGC20R,DIBGC21R,DIBGT20R,DIBGT21R,DIEGC20R,DIEGC21R,DIEGT20R,DIEGT21R,DIMGC20R,DIMGC21R,DIMGT20R,DIMGT21R,DISTNAME,DLBGC20R,DLBGC21R,DLBGT20R,DLBGT21R,DLEGC20R,DLEGC21R,DLEGT20R,DLEGT21R,DLMGC20R,DLMGC21R,DLMGT20R,DLMGT21R,DMBGC20R,DMBGC21R,DMBGT20R,DMBGT21R,DMEGC20R,DMEGC21R,DMEGT20R,DMEGT21R,DMMGC20R,DMMGC21R,DMMGT20R,DMMGT21R,DRBGC20R,DRBGC21R,DRBGT20R,DRBGT21R,DREGC20R,DREGC21R,DREGT20R,DREGT21R,DRMGC20R,DRMGC21R,DRMGT20R,DRMGT21R,DSBGC20R,DSBGC21R,DSBGT20R,DSBGT21R,DSEGC20R,DSEGC21R,DSEGT20R,DSEGT21R,DSMGC20R,DSMGC21R,DSMGT20R,DSMGT21R,DWBGC20R,DWBGC21R,DWBGT20R,DWBGT21R,DWEGC20R,DWEGC21R,DWEGT20R,DWEGT21R,DWMGC20R,DWMGC21R,DWMGT20R,DWMGT21R
"'001902",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.4,0,46.3,58.3,4.9,16.7,70.7,72.2,4.9,2.8,48.8,66.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.7,0,20,33.3,13.3,22.2,40,66.7,6.7,0,26.7,33.3,4.5,0,50,64.3,9.1,21.4,81.8,71.4,9.1,7.1,54.5,78.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,.,.,0,0,42.1,54.5,0,13.6,57.9,72.7,0,0,42.1,59.1,0,0,18.8,55.6,0,11.1,56.3,77.8,0,11.1,18.8,55.6,0,-1,0,-1,10,-1,20,-1,0,-1,10,-1,3,0,54.5,58.1,6.1,12.9,78.8,74.2,6.1,3.2,57.6,67.7
"'001903",-1,0,-1,16.7,-1,0,-1,83.3,-1,33.3,-1,16.7,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,0,0,34.8,27.5,0,0,51.1,51.6,17.4,7.7,38,28.6,0,0,0,20,0,0,16.7,20,16.7,0,16.7,20,0,0,15.4,17,0,0,35.9,40.4,12.8,10.6,17.9,19.1,0,0,44,35.9,0,0,62,66.7,24,5.1,44,38.5,0,0,27.3,30,0,0,54.5,30,18.2,20,27.3,40,.,.,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,0,0,23.8,21.2,0,0,38.1,40.4,9.5,9.6,31,21.2,0,0,4.5,7.7,0,0,27.3,34.6,18.2,3.8,6.8,7.7,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,37.1,29,0,0,51.4,53.6,17.1,4.3,40,29
"'001904",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,13.7,43.9,0,0,68.6,56.1,0,0,13.7,53.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,5.3,23.5,0,0,47.4,35.3,0,0,5.3,35.3,0,0,18.8,61.1,0,0,81.3,72.2,0,0,18.8,66.7,0,-1,0,-1,0,-1,40,-1,0,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"FRANKSTON ISD",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,0,0,11.4,30.4,0,0,62.9,43.5,0,0,11.4,43.5,0,0,12.5,33.3,0,0,43.8,33.3,0,0,12.5,33.3,0,-1,0,-1,0,-1,20,-1,0,-1,0,-1,0,0,14,42.4,0,0,72.1,51.5,0,0,14,51.5
"'001906",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,52.9,56.5,0,0,58.8,65.2,0,0,55.9,60.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,63.6,14.3,0,0,63.6,28.6,0,0,63.6,14.3,0,0,70.6,66.7,0,0,82.4,75,0,0,76.5,66.7,0,-1,60,-1,0,-1,60,-1,0,-1,60,-1,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,.,0,0,35.3,45.5,0,0,35.3,54.5,0,0,35.3,54.5,0,-1,20,-1,0,-1,20,-1,0,-1,20,-1,0,-1,20,-1,0,-1,20,-1,0,-1,20,-1,0,0,56,58.8,0,0,64,64.7,0,0,60,58.8
"'001907",0,0,40,28.6,0,0,40,57.1,0,0,40,28.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,33.9,34.3,0,0,43,47.3,0,0,36.1,36.3,0,0,17.5,10.2,0,0,22.8,24.5,0,0,19.3,12.2,0,0,31,29.3,0,0,37.9,40,0,0,32.4,32.1,0,0,41.4,38.6,0,0,52.6,50,0,0,43.1,40.9,0,0,34,36.7,0,0,41.7,45.6,0,0,36.9,38.9,.,.,.,.,.,.,.,.,.,.,.,.,"PALESTINE ISD",0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,26.3,31,0,0,33.3,45.1,0,0,28.9,32.7,0,0,8.9,9.1,0,0,15.6,20,0,0,11.1,10.9,0,0,0,5.9,0,0,0,11.8,0,0,0,5.9,0,0,46.8,50,0,0,62.9,67.3,0,0,48.4,51.9
"'001908",0,-1,0,-1,0,-1,40,-1,0,-1,20,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,11.6,18.2,20,0,23.2,48.5,35.8,0,24.2,21.2,25.3,0,9.1,21.4,9.1,0,27.3,42.9,22.7,0,18.2,21.4,9.1,0,11.1,17.6,11.1,0,33.3,47.1,31.1,0,20,23.5,17.8,0,16.7,14,21.4,0,31,50,40.5,0,31,18,31,0,18.8,26.3,12.5,0,25,42.1,18.8,0,25,36.8,18.8,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"WESTWOOD ISD",-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,7.5,22.4,18.9,0,17,46.9,32.1,0,18.9,24.5,20.8,0,13.7,6.5,2,0,21.6,28.3,5.9,0,17.6,6.5,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,15.2,27.3,0,20,54.3,47.3,0,27.3,15.2,34.5
"'001909",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,11.5,9.4,0,0,73.1,46.9,0,0,11.5,12.5,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,0,0,0,0,0,0,50,18.2,0,0,0,0,0,0,11.1,16.7,0,0,66.7,33.3,0,0,11.1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,0,0,11.8,5,0,0,76.5,55,0,0,11.8,5,0,0,0,12.5,0,0,57.1,50,0,0,0,12.5,0,0,0,0,0,0,16.7,14.3,0,0,0,0,0,0,12.5,4,0,0,70.8,40,0,0,12.5,8
"'002901",-1,33.3,-1,16.7,-1,50,-1,33.3,-1,33.3,-1,16.7,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,42.3,25.3,21.2,0,62.1,41.9,38.6,0,46.4,31.5,24.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50.9,15.6,13.9,0,65.7,31.3,23.1,0,52.8,20.8,15.7,0,46.4,25.7,17.6,0,62.1,44.2,34.6,0,52.3,33.6,20.9,0,49.5,22.4,17,0,69.9,35.8,30.1,0,51,30.3,20.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",0,60.7,0,0,0,75,0,0,0,64.3,0,0,0,37.9,25,25,0,62.1,39.8,42.9,0,40,29.7,27.9,0,53.6,7.9,2.2,0,65.9,20.2,10.9,0,57.2,11.2,5.8,0,53.1,5.3,0,0,59.4,10.5,9.4,0,62.5,5.3,0,0,24.4,32.9,32.1,0,43.6,55.7,60.3,0,35.9,35.7,33.3
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,0,0,22.8,23.1,0,0,42.1,40.4,0,0,36.8,34.6,0,0,8.3,0,0,0,33.3,14.3,0,0,16.7,0,0,0,11.5,15.8,0,0,34.6,26.3,0,0,19.2,31.6,0,0,21.4,32,0,0,39.3,40,0,0,42.9,44,0,0,11.1,10,0,0,33.3,20,0,0,44.4,20,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,0,0,24.1,14.8,0,0,44.8,40.7,0,0,31,25.9,0,0,0,14.3,0,0,17.6,28.6,0,0,0,21.4,0,.,0,.,0,.,0,.,0,.,0,.,0,0,25.8,28.1,0,0,41.9,46.9,0,0,35.5,43.8
"'003902",0,-1,0,-1,0,-1,0,-1,0,-1,20,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,17.6,17.9,0,0,27.5,26.5,0,6.6,42.6,28.1,0,0,21.1,13.3,0,0,31.6,40,0,0,26.3,20,0,0,18,20,0,0,29.2,29.4,0,7.1,28.1,27.1,0,0,20.9,22.2,0,0,31.8,34.3,0,6.5,46.4,31.5,0,0,20.5,27.8,0,0,22.7,36.1,0,11.1,34.1,36.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,13.8,12.5,0,0,22.3,17,0,6.8,38.3,23.9,0,0,2.8,5.3,0,0,16.9,15.8,0,10.5,4.2,10.5,0,0,0,6.3,0,0,21.4,6.3,0,0,0,6.3,0,0,17.2,15.9,0,0,29.9,23.2,0,6.5,49.3,27.5
