DISTRICT,DD005AMA1222R,DD005AMA1322R,DD005AMA1S22R,DD005ARE1222R,DD005ARE1322R,DD005ARE1S22R,DD005ASC1222R,DD005ASC1322R,DD005ASC1S22R,DD205AMA1222R,DD205AMA1322R,DD205AMA1S22R,DD205ARE1222R,DD205ARE1322R,DD205ARE1S22R,DD205ASC1222R,DD205ASC1322R,DD205ASC1S22R,DD305AMA1222R,DD305AMA1322R,DD305AMA1S22R,DD305ARE1222R,DD305ARE1322R,DD305ARE1S22R,DD305ASC1222R,DD305ASC1322R,DD305ASC1S22R,DD405AMA1222R,DD405AMA1322R,DD405AMA1S22R,DD405ARE1222R,DD405ARE1322R,DD405ARE1S22R,DD405ASC1222R,DD405ASC1322R,DD405ASC1S22R,DDA05AMA1222R,DDA05AMA1322R,DDA05AMA1S22R,DDA05ARE1222R,DDA05ARE1322R,DDA05ARE1S22R,DDA05ASC1222R,DDA05ASC1322R,DDA05ASC1S22R,DDB05AMA1222R,DDB05AMA1322R,DDB05AMA1S22R,DDB05ARE1222R,DDB05ARE1322R,DDB05ARE1S22R,DDB05ASC1222R,DDB05ASC1322R,DDB05ASC1S22R,DDE05AMA1222R,DDE05AMA1322R,DDE05AMA1S22R,DDE05ARE1222R,DDE05ARE1322R,DDE05ARE1S22R,DDE05ASC1222R,DDE05ASC1322R,DDE05ASC1S22R,DDF05AMA1222R,DDF05AMA1322R,DDF05AMA1S22R,DDF05ARE1222R,DDF05ARE1322R,DDF05ARE1S22R,DDF05ASC1222R,DDF05ASC1322R,DDF05ASC1S22R,DDH05AMA1222R,DDH05AMA1322R,DDH05AMA1S22R,DDH05ARE1222R,DDH05ARE1322R,DDH05ARE1S22R,DDH05ASC1222R,DDH05ASC1322R,DDH05ASC1S22R,DDI05AMA1222R,DDI05AMA1322R,DDI05AMA1S22R,DDI05ARE1222R,DDI05ARE1322R,DDI05ARE1S22R,DDI05ASC1222R,DDI05ASC1322R,DDI05ASC1S22R,DDL05AMA1222R,DDL05AMA1322R,DDL05AMA1S22R,DDL05ARE1222R,DDL05ARE1322R,DDL05ARE1S22R,DDL05ASC1222R,DDL05ASC1322R,DDL05ASC1S22R,DDM05AMA1222R,DDM05AMA1322R,DDM05AMA1S22R,DDM05ARE1222R,DDM05ARE1322R,DDM05ARE1S22R,DDM05ASC1222R,DDM05ASC1322R,DDM05ASC1S22R,DDR05AMA1222R,DDR05AMA1322R,DDR05AMA1S22R,DDR05ARE1222R,DDR05ARE1322R,DDR05ARE1S22R,DDR05ASC1222R,DDR05ASC1322R,DDR05ASC1S22R,DDS05AMA1222R,DDS05AMA1322R,DDS05AMA1S22R,DDS05ARE1222R,DDS05ARE1322R,DDS05ARE1S22R,DDS05ASC1222R,DDS05ASC1322R,DDS05ASC1S22R,DDW05AMA1222R,DDW05AMA1322R,DDW05AMA1S22R,DDW05ARE1222R,DDW05ARE1322R,DDW05ARE1S22R,DDW05ASC1222R,DDW05ASC1322R,DDW05ASC1S22R,DISTNAME,DNC05AMA1222R,DNC05AMA1322R,DNC05AMA1S22R,DNC05ARE1222R,DNC05ARE1322R,DNC05ARE1S22R,DNC05ASC1222R,DNC05ASC1322R,DNC05ASC1S22R,DNM05AMA1222R,DNM05AMA1322R,DNM05AMA1S22R,DNM05ARE1222R,DNM05ARE1322R,DNM05ARE1S22R,DNM05ASC1222R,DNM05ASC1322R,DNM05ASC1S22R,DNS05AMA1222R,DNS05AMA1322R,DNS05AMA1S22R,DNS05ARE1222R,DNS05ARE1322R,DNS05ARE1S22R,DNS05ASC1222R,DNS05ASC1322R,DNS05ASC1S22R
"'001902",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71,44,94,67,48,88,60,29,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,32,95,63,26,89,53,16,84,63,44,88,50,50,81,50,44,75,60,60,100,60,40,100,60,40,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,44,97,75,47,91,66,22,97,47,24,82,29,18,71,35,0,71,14,0,57,0,0,29,0,0,43,74,46,92,69,54,85,62,28,90,"CAYUGA ISD",74,49,94,74,54,89,63,29,91,62,31,92,46,31,85,54,31,85,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,43,96,74,47,93,50,29,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,30,96,63,30,93,33,15,67,73,41,98,78,41,98,49,24,78,60,30,100,60,30,100,30,10,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,46,94,69,54,89,51,34,74,32,4,89,43,11,86,14,11,50,0,0,57,0,0,43,0,0,14,68,47,97,78,52,92,55,32,82,"ELKHART ISD",69,44,96,71,46,94,50,25,75,64,43,96,79,50,93,50,36,79,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,73,43,96,76,39,98,71,39,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,39,94,68,26,97,65,32,94,64,50,100,73,36,100,64,41,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,37,93,78,41,96,78,37,93,52,24,90,57,29,95,48,10,86,67,22,89,56,22,89,67,33,89,79,46,95,82,36,100,77,44,95,"FRANKSTON ISD",75,47,94,81,47,97,81,47,94,71,35,100,65,24,100,53,24,88,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,43,10,90,81,48,95,38,5,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,90,70,50,90,50,0,60,36,0,91,82,45,100,27,0,73,67,17,100,83,50,100,50,0,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,50,20,90,80,50,90,50,10,90,25,0,83,75,25,92,17,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,11,89,78,44,100,44,11,89,"NECHES ISD",39,11,89,83,50,94,44,6,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.
"'001907",47,29,86,37,18,76,37,14,65,17,0,67,33,0,83,33,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,50,25,85,51,27,80,42,20,68,31,6,76,33,19,65,17,11,54,44,20,82,46,23,76,33,14,63,53,25,80,54,32,82,36,12,62,48,35,86,48,24,80,39,15,62,.,.,.,.,.,.,.,.,.,47,29,86,37,18,76,37,14,65,47,24,89,50,24,78,46,26,72,39,14,82,41,19,75,31,10,61,18,3,53,26,3,47,26,6,47,69,29,94,73,42,92,69,35,89,"PALESTINE ISD",51,27,86,53,27,80,45,21,69,44,14,81,44,25,78,31,17,64,75,25,100,50,38,88,50,13,100
"'001908",33,17,67,33,17,50,17,17,33,33,11,78,56,11,78,33,11,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,19,75,49,26,72,39,18,62,25,19,69,40,33,67,27,20,47,37,18,72,41,23,69,34,14,59,40,14,79,49,22,78,29,15,54,44,21,82,47,18,71,41,15,65,.,.,.,.,.,.,.,.,.,33,17,67,33,17,50,17,17,33,39,24,73,49,29,67,47,22,69,50,11,67,44,33,61,33,28,56,11,0,32,11,5,21,5,5,16,44,21,71,53,35,74,44,24,68,"WESTWOOD ISD",38,13,79,47,21,71,37,16,65,43,33,67,53,37,73,43,23,57,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001909",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,4,93,63,37,85,44,19,93,.,.,.,.,.,.,.,.,.,33,0,93,47,20,87,33,13,93,40,7,93,67,47,93,40,13,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,0,92,58,25,75,50,25,83,27,0,87,33,7,73,27,7,87,33,0,83,17,0,67,17,0,83,41,5,91,64,45,82,45,18,91,"SLOCUM ISD",48,5,90,67,43,90,52,19,95,17,0,100,50,17,67,17,17,83,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'002901",32,11,79,57,28,83,17,2,51,33,17,67,50,50,83,50,17,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,44,21,81,57,34,86,33,13,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,12,79,52,30,83,23,8,53,42,19,78,61,36,90,27,11,55,42,19,80,55,31,85,26,10,57,.,.,.,.,.,.,.,.,.,26,5,76,52,26,81,12,2,48,46,22,85,53,33,82,38,14,66,23,7,70,43,20,78,14,2,44,26,10,48,32,16,55,19,3,29,48,25,85,60,42,89,45,20,68,"ANDREWS ISD",49,23,84,59,35,87,33,11,62,32,14,74,51,33,83,32,17,55,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,68,45,91,71,45,88,71,41,88,33,8,75,42,8,83,42,17,58,69,40,90,74,45,88,71,45,90,70,48,91,74,52,87,74,30,91,78,56,93,74,48,89,74,44,93,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,43,91,70,42,89,70,45,87,39,14,79,43,4,68,39,7,71,31,0,62,23,0,54,31,8,54,71,50,94,76,56,88,79,47,94,"PINEYWOODS COMMUNITY ACADEMY",64,38,89,71,40,84,65,35,87,81,62,95,71,57,100,86,57,90,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003902",60,20,85,55,30,65,25,5,55,44,33,100,78,67,89,33,22,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,64,37,90,59,42,83,36,18,70,38,15,92,31,23,77,8,0,54,43,15,82,41,21,72,17,6,53,66,38,92,68,54,86,38,19,70,61,25,86,55,32,73,23,5,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,20,85,55,30,65,25,5,55,61,36,88,50,29,80,33,17,71,40,13,81,27,13,68,15,4,48,21,11,71,14,7,39,7,7,21,69,45,91,63,47,88,45,25,77,"HUDSON ISD",69,43,91,63,45,86,39,22,72,47,18,86,47,33,73,27,6,63,50,50,83,67,17,100,50,17,83
