DISTRICT,DEXPAVGP,DEXPHCNT,DISTNAME,DMSTAVGP,DMSTHCNT,DPFEIERP,DPSAINHP,DPSAMIFC,DPSAMIFP,DPSATOFC,DPSBTOFC,DPSBTOPC,DPSCTOFC,DPSCTOFP,DPSCTOSA,DPSECOFC,DPSETOFC,DPSETOFP,DPSHEXPA,DPSHTENA,DPSLEXPA,DPSLTENA,DPSOTOFC,DPSPCOFC,DPSPTOFC,DPSPTOFP,DPSRTOFC,DPSRTOPC,DPSSTOFC,DPSSTOFP,DPSSTOSA,DPST00FC,DPST00FP,DPST00SA,DPST01FC,DPST01FP,DPST01SA,DPST06FC,DPST06FP,DPST06SA,DPST11FC,DPST11FP,DPST11SA,DPST21FC,DPST21FP,DPST21SA,DPST30FC,DPST30FP,DPST30SA,DPSTASFC,DPSTASFP,DPSTBAFC,DPSTBAFP,DPSTBIFC,DPSTBIFP,DPSTBLFC,DPSTBLFP,DPSTCOFC,DPSTCOFP,DPSTEXPA,DPSTFEFC,DPSTFEFP,DPSTGIFC,DPSTGIFP,DPSTHIFC,DPSTHIFP,DPSTINFC,DPSTINFP,DPSTKIDR,DPSTMAFC,DPSTMAFP,DPSTMSFC,DPSTMSFP,DPSTNOFC,DPSTNOFP,DPSTOPFC,DPSTOPFP,DPSTPHFC,DPSTPHFP,DPSTPIFC,DPSTPIFP,DPSTREFC,DPSTREFP,DPSTSPFC,DPSTSPFP,DPSTTENA,DPSTTOFC,DPSTTOFP,DPSTTOSA,DPSTTWFC,DPSTTWFP,DPSTURNR,DPSTVOFC,DPSTVOFP,DPSTWHFC,DPSTWHFP,DPSUTOFC,DPSUTOFP,DPSUTOSA,DPSXCOFC,DPSXTOFC,DPSXTOFP,DRECAVGP,DRECHCNT
"'001902",.,.,"CAYUGA ISD",.,.,57.8,69.3,15.6,15.6,99.9,0,1,1.5,1.5,93333,0,14.8,14.8,9.3,7,0,0,0.8,17.2,58.6,58.7,3,2,5,5,73300,0,0,.,4.8,10.4,40667,7.8,16.6,48523,14.6,31.2,55457,14.6,31.2,61895,5,10.6,62936,0,0,39.8,85.2,0,0,3.9,8.3,0,0,16.7,38.9,83.4,0,0,0,0,0,0,12.3,7.8,16.6,6.9,14.8,0,0,0,0,0,0,0,0,38.1,81.6,4.6,9.9,9.9,46.7,46.8,55570,0,0,19.1,4,8.5,42.8,91.7,5.4,5.4,59550,2,26.5,26.5,.,.
"'001903",.,.,"ELKHART ISD",.,.,63.4,69.3,25,13.4,186.6,0,1,2,1.1,100313,0,30.2,16.2,3.5,3.5,0,0,0,0,120,64.3,3,0,4,2.1,79305,3,2.9,34140,22,21,37671,17,16.2,43504,39.9,38,51813,17,16.2,55179,6,5.7,58387,0,0,83,79.1,0.7,0.7,3,2.9,5.1,4.9,13.5,82.9,79,0.7,0.6,7,6.7,0,0,11,22,21,19.9,19,2,1.9,0.9,0.9,0,0,0,0,75,71.5,8.8,8.4,7.6,104.9,56.2,47916,0,0,13.9,13.7,13,94.9,90.5,9.1,4.9,60616,0,36.4,19.5,.,.
"'001904",.,.,"FRANKSTON ISD",.,.,57.5,60.3,16,10.9,146.7,0,0,2,1.4,98293,0,22,15,4.3,4,2.5,2.5,0,0,84.5,57.6,2,1,5.1,3.5,71215,2.3,3.1,43792,22,29.5,44043,14,18.8,47406,17.9,24,55698,12.7,17.1,58742,5.5,7.4,49434,0,0,50.7,68,0,0,3,4,2,2.7,12.8,57.6,77.3,0,0,1,1.3,0,0,10.8,16.9,22.7,22.8,30.7,1,1.3,0,0,0,0,0,0,65.2,87.6,5.6,7.5,5.1,74.5,50.8,50382,1,1.3,21.6,1.7,2.2,69.5,93.3,2.9,2,58022,0,40.2,27.4,.,.
"'001906",-1,-1,"NECHES ISD",.,.,56,60.7,9.8,16.3,60.1,0,0,1.9,3.1,85537,0,8.2,13.7,16,15,1,1,0,0,36.1,60.1,1,0,3,5,81593,0,0,.,2.9,9.7,48836,8.7,28.7,46205,9,29.8,59396,7.7,25.5,61848,1.9,6.4,61414,0,0,27.3,90.4,0,0,2,6.5,3.6,12,14.8,23.1,76.4,0.5,1.7,0,0,0,0,11.3,7.1,23.6,2.9,9.6,0,0,0,0,0,0,0,0,21.2,70,1.7,5.5,7.8,30.2,50.3,55346,0,0,18.3,3.3,10.8,28.3,93.5,1,1.7,77642,0,15.8,26.2,.,.
"'001907",11571,5,"PALESTINE ISD",.,.,61.4,71.4,177.9,32.1,553.4,1,0,11.5,2.1,99324,0,108.9,19.7,6,4.7,4.4,3.5,0,0,336.6,60.8,8,0,19,3.4,80415,21,8.1,35960,67,25.7,41037,46.6,17.9,47126,72.4,27.8,53211,26,10,58624,27.3,10.5,59777,0,0,217.3,83.5,6.9,2.6,25,9.6,13.1,5,12.7,190.3,73.1,3.8,1.4,36,13.8,0,0,12.9,70,26.9,40,15.4,3,1.2,0.9,0.3,0,0,0,0,185.8,71.4,26.5,10.2,7,260.3,47,48825,5,1.9,17.9,23.3,9,194.3,74.6,45.8,8.3,63829,0,107.9,19.5,5799,12
"'001908",.,.,"WESTWOOD ISD",.,.,56.5,61.1,79.1,29.9,265.1,1,0,3,1.1,121228,0,51,19.2,6.5,6,1.4,1.4,0,0,147.3,55.6,4,0,12.1,4.6,69527,12,9.9,29672,42.1,34.9,39253,21,17.4,43155,23.6,19.5,52525,17,14.1,57159,5,4.1,54824,0,0,97.7,80.9,0,0,14,11.6,7.4,6.1,10.3,90.2,74.7,0,0,8,6.6,1,0.8,11,30.5,25.3,19,15.7,2,1.7,6.4,5.3,2,1.6,0,0,86.2,71.4,7.7,6.4,3.6,120.6,45.5,44741,0,0,30.6,13,10.8,97.7,80.9,11.6,4.4,63612,0,66.8,25.2,.,.
"'001909",.,.,"SLOCUM ISD",.,.,66.5,66.8,1.3,1.9,68.8,1,0,2.9,4.1,81398,0,6.7,9.8,9.3,9.3,0,0,0,0,46.3,67.2,1,1,2.3,3.4,84885,3,7.7,39533,4,10.3,42305,7,17.9,46369,11,28.2,56836,13,33.3,60664,1,2.6,65560,0,0,32.4,83.1,0,0,0,0,7.5,19.2,15.4,31.3,80.3,0,0,0,0,0,0,9.3,7.7,19.7,6.6,16.9,0,0,1.3,3.4,0,0,0,0,23.8,61,2.3,5.8,9.1,39,56.7,53637,0,0,14.6,4.1,10.5,39,100,2.1,3,59419,0,15.8,23,.,.
"'002901",.,.,"ANDREWS ISD",.,.,62,64.9,234,41.3,566.4,2,1,8.5,1.5,120931,0,87.2,15.4,4.3,3.3,3.7,2.4,0,0,343.9,60.7,7,2,15,2.6,85630,10,3.5,56152,52,18.1,56354,69.6,24.2,59371,90.9,31.6,64326,48.5,16.8,68368,16.9,5.9,76565,2,0.7,215.8,75,25.9,9,4,1.4,18.6,6.5,13.8,215.7,74.9,61.4,21.3,74.1,25.7,1,0.3,14.4,72.1,25.1,69,24,2,0.7,3.2,1.1,1,0.3,0,0,120.2,41.7,41.4,14.4,7.3,287.9,50.8,62805,8,2.8,11.5,17.2,6,198.7,69,32.6,5.8,71267,0,135.2,23.9,.,.
"'003801",.,.,"PINEYWOODS COMMUNITY ACADEMY",.,.,64.6,68.3,29.8,22.2,134.3,0,0,6,4.5,98684,0,14.9,11.1,2.8,2.8,1,1,0,0,90.7,67.5,2,0,4.1,3.1,81583,5,7.4,46350,18.5,27.5,47878,22.9,34.1,51665,10.9,16.3,58723,8.9,13.2,62853,1,1.5,64120,0,0,54.7,81.5,0,0,3,4.4,5,7.4,10.2,56.2,83.7,0,0,6,8.9,0,0,14.8,11,16.3,12.4,18.5,0,0,0,0,0,0,0,0,55.5,82.7,4.5,6.8,4.1,67.2,50,53037,0,0,17,2.1,3.1,58.2,86.7,13.4,10,62481,0,28.7,21.4,.,.
"'003902",.,.,"HUDSON ISD",.,.,64.2,61,80.3,18.8,427.8,2,2,4,0.9,133169,0,34.9,8.2,4.4,4.4,4.3,3.4,0.7,0,259,60.5,7,0,16.7,3.9,78880,5.5,2.6,46102,41,19.3,47433,50.3,23.7,50845,69.4,32.6,55461,30.3,14.3,62015,16,7.5,62665,0,0,163,76.7,1.4,0.7,1,0.5,19.5,9.2,13.8,164.7,77.5,9.9,4.6,12,5.6,0,0,13.2,47.8,22.5,45.5,21.4,2,0.9,4.4,2.1,2,0.9,0,0,141.1,66.4,20.4,9.6,8.4,212.5,49.7,54054,0,0,9.5,15.7,7.4,199.5,93.9,25.8,6,66985,3.3,133.9,31.3,-1,-1
