Data field,Subcategory,Data Level
All Grades ELA/Reading,At Meets Grade Level or Above,District
All Grades Mathematics,At Meets Grade Level or Above,District
Attendance Rate,,District
Chronic Absenteeism,,District
5-Year Extended Longitudinal Rate (Gr 9-12),Graduated,District
5-Year Extended Longitudinal Rate (Gr 9-12),Graduated,Econ Disadv
College Ready,College Ready (Annual Graduates),District
Graduates,,
Student Information,Total Students,District – Count
Student Information,Economically Disadvantaged,District – Percent
Staff Information,Teachers,District - Count
