OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
1,30180,Sabine Pass ISD,Sabine Pass,123913,123-913,123913,4838490,1,0.0922658449605933,1.88951797635288
2,34380,Boys Ranch ISD,Boys Ranch,180901,180-901,180901,4811040,7,0.000126242267469934,0.0456012706802015
3,00002,Grady ISD,Grady,156905,156-905,156905,4821300,6,0.076326935199404,1.73010313510464
4,40080,Wheeler ISD,Wheeler,242903,242-903,242903,4845420,6,0.0472032384279828,1.55466993026173
5,38400,Grandview-Hopkins ISD,Grandview-Hopkins,90905,090-905,090905,4821560,5,0.0332217745740309,0.811751485281737
6,35580,Wolfe City ISD,Wolfe City,116909,116-909,116909,4846350,4,0.0216106379018584,1.09030609195676
7,44730,Sam Rayburn ISD,Sam Rayburn,74917,074-917,074917,4838640,1,0.035959096229135,1.18694964328873
8,34110,Stafford MSD,Stafford MSD,79910,079-910,079910,4841350,7,0.00170569102829177,0.302188764672634
9,18540,Pearland ISD,Pearland,20908,020-908,020908,4834440,6,0.0104703018364489,0.609827791845087
10,16710,Alief ISD,Alief,101903,101-903,101903,4807830,1,0.00946416922761273,0.523675619391912
11,09780,Dayton ISD,Dayton,146902,146-902,146902,4816410,2,0.0634619860049952,1.75511372209672
12,45630,Houston ISD,Houston,101912,101-912,101912,4823640,3,0.0805173723201733,1.98418945810232
13,14580,Sheldon ISD,Sheldon,101924,101-924,101924,4839990,6,0.0129184784304925,0.616218033333433
14,18750,Highland ISD,Highland,177905,177-905,177905,4823190,1,0.0639102608231497,1.1934865032678
15,12090,Beckville ISD,Beckville,183901,183-901,183901,4809690,6,0.0290914173310739,1.28026154552017
16,39300,Tatum ISD,Tatum,201910,201-910,201910,4842240,7,0.0283326879796277,1.34013298946382
17,37320,Aldine ISD,Aldine,101902,101-902,101902,4807710,6,0.0264522911929816,1.0588180501614
18,36930,Channelview ISD,Channelview,101905,101-905,101905,4813590,2,0.00490030957553245,0.363042602341702
19,25680,Humble ISD,Humble,101913,101-913,101913,4823910,7,0.0222863497156141,0.815617355895264
20,08490,Pasadena ISD,Pasadena,101917,101-917,101917,4834320,5,0.014482615887573,0.626821892813233
21,43200,Panhandle ISD,Panhandle,33902,033-902,033902,4834230,4,0.144148362134501,1.70028851546827
22,25470,Amherst ISD,Amherst,140901,140-901,140901,4808160,5,0.0260982163699737,0.75965394562827
23,24730,Levelland ISD,Levelland,110902,110-902,110902,4827240,1,0.0797699685965654,1.68461970384086
24,09090,Loraine ISD,Loraine,168902,168-902,168902,4828170,4,0.0407087598143789,1.175106741324
25,34550,Centerville ISD (Trinity),Centerville (Trinity),228904,228-904,228904,4813380,6,0.026840674851428,1.13785981313303
26,09330,Spearman ISD,Spearman,98904,098-904,098904,4841010,2,0.123332758895685,2.06386213994195
27,42420,Texhoma ISD,Texhoma,211901,211-901,211901,4842540,2,0.0614393903665587,1.35309839010467
28,17100,Priddy ISD,Priddy,167904,167-904,167904,4835820,6,0.0235063072334469,1.06678430856239
29,41250,Canyon ISD,Canyon,191901,191-901,191901,4812810,7,0.182762527961813,2.21124426553361
30,42090,Clint ISD,Clint,71901,071-901,071901,4814430,4,0.0930139648849035,1.39962217203389
31,33390,Fabens ISD,Fabens,71903,071-903,071903,4818900,1,0.0152804823499082,0.676914218446399
32,16350,Ysleta ISD,Ysleta,71905,071-905,071905,4846680,5,0.0154523821388466,0.908410199404906
33,40290,Chapel Hill ISD (Titus),Chapel Hill (Titus),225906,225-906,225906,4813680,7,0.0133509505892562,0.818555252211793
34,32220,Sweeny ISD,Sweeny,20906,020-906,020906,4841970,6,0.0429789640327272,1.50590884620028
35,22650,Cotton Center ISD,Cotton Center,95902,095-902,095902,4815360,5,0.0333249778416302,1.11011539986583
36,17160,Hale Center ISD,Hale Center,95903,095-903,095903,4822050,7,0.0396462338028414,1.23721853412452
37,41400,Borden County ISD,Borden County,17901,017-901,017901,4810860,2,0.226348483683523,2.0279583087612
38,33960,San Perlita ISD,San Perlita,245904,245-904,245904,4839000,4,0.0640206487673822,1.33896057256771
39,30340,Spring Creek ISD,Spring Creek,117907,117-907,117907,4841130,6,0.0427810067972132,1.01442937320761
40,08400,Marathon ISD,Marathon,22902,022-902,022902,4828980,3,0.492042377981079,3.35181259646588
41,43110,Saltillo ISD,Saltillo,112909,112-909,112909,4838610,7,0.0149459595893404,0.986507646100867
42,37470,Winnsboro ISD,Winnsboro,250907,250-907,250907,4846200,1,0.0417482757989092,1.82318129620663
43,22260,Bryson ISD,Bryson,119901,119-901,119901,4811820,3,0.0454980194399468,1.31217926116206
44,09750,Bronte ISD,Bronte,41901,041-901,041901,4811490,4,0.0810964746169702,2.02184031534978
45,20970,Evadale ISD,Evadale,121906,121-906,121906,4818750,6,0.00682171714629476,0.554414033603566
46,33270,Friendswood ISD,Friendswood,84911,084-911,084911,4819950,1,0.00395567368309457,0.420212734539455
47,44150,Brookesmith ISD,Brookesmith,25908,025-908,025908,4811550,7,0.0390429545711868,1.20190279171986
48,24150,Roma ISD,Roma,214903,214-903,214903,4837740,2,0.120630824420687,1.96921497396003
49,10500,Olton ISD,Olton,140905,140-905,140905,4833660,3,0.0879980457857528,1.77242621165249
50,42810,Jim Hogg County ISD,Jim Hogg County,124901,124-901,124901,4824750,4,0.267680302828239,2.27206794456921
51,29370,Comfort ISD,Comfort,130902,130-902,130902,4814790,5,0.0925762620142905,2.05840409408788
52,09630,Ingram ISD,Ingram,133904,133-904,133904,4824210,4,0.0506952121384074,1.64043691430994
53,34020,Wellington ISD,Wellington,44902,044-902,044902,4844890,6,0.229900482635912,2.86066040855866
54,33570,Eden Cons ISD,Eden Cons,48901,048-901,048901,4818070,5,0.134919261341793,2.31053207305784
55,46260,Paint Rock ISD,Paint Rock,48903,048-903,048903,4833980,3,0.0782984747668252,1.7559268678333
56,30750,Kaufman ISD,Kaufman,129903,129-903,129903,4825200,3,0.0413027518773106,1.32514714999224
57,09300,Mabank ISD,Mabank,129905,129-905,129905,4828680,2,0.0321814751362126,1.31392023758482
58,11490,Divide ISD,Divide,133905,133-905,133905,4817190,7,0.0679186802424283,1.56263977262687
59,34230,Hunt ISD,Hunt,133902,133-902,133902,4823970,3,0.0426016994533711,1.30537960897736
60,39150,Silverton ISD,Silverton,23902,023-902,023902,4840290,3,0.140919861562907,1.66857771213488
61,42210,Dawson ISD (Dawson),Dawson (Dawson),58902,058-902,058902,4816350,3,0.0344812740020188,0.842385031024428
62,19350,New Home ISD,New Home,153905,153-905,153905,4832490,4,0.0339438935147882,0.849146918686068
63,26610,Wilson ISD,Wilson,153907,153-907,153907,4845990,3,0.0347410246417894,0.879894475564128
64,25790,O'Donnell ISD,O'Donnell,153903,153-903,153903,4833390,7,0.0813314357337731,1.79233563787701
65,35730,Lasara ISD,Lasara,245901,245-901,245901,4826850,4,0.0154728766081007,0.524819596996817
66,32790,Calhoun County ISD,Calhoun County,29901,029-901,029901,4812480,5,0.246358028111899,2.50433927525408
67,31200,Ore City ISD,Ore City,230903,230-903,230903,4833840,4,0.0175220766675466,0.955138006446671
68,38520,Ropes ISD,Ropes,110905,110-905,110905,4837830,7,0.0396713329878366,0.968789516207744
69,29700,Seagraves ISD,Seagraves,83901,083-901,083901,4839600,5,0.0481978596762929,1.36848616299912
70,15570,Tahoka ISD,Tahoka,153904,153-904,153904,4842090,5,0.0910294328982673,1.88376469687964
71,22230,Sterling City ISD,Sterling City,216901,216-901,216901,4841550,7,0.227858930696129,1.94656373386049
72,42030,Sanford-Fritch ISD,Sanford-Fritch,117903,117-903,117903,4839150,5,0.00880136365276485,0.446862859498011
73,38040,Italy ISD,Italy,70907,070-907,070907,4824450,3,0.0148813965479349,0.672533113316434
74,37860,Milford ISD,Milford,70909,070-909,070909,4830780,6,0.0149808574444705,0.83692708547596
75,23040,Lubbock ISD,Lubbock,152901,152-901,152901,4828500,3,0.0219862255300995,0.610200785516402
76,35890,Abernathy ISD,Abernathy,95901,095-901,095901,4807410,6,0.0457536268700096,1.2883657191106
77,41580,Smyer ISD,Smyer,110906,110-906,110906,4840590,2,0.0265351664693299,0.768892540789892
78,41130,Sundown ISD,Sundown,110907,110-907,110907,4841850,5,0.0222005843388615,0.600452337294802
79,10890,Whitharral ISD,Whitharral,110908,110-908,110908,4845690,3,0.0301699422200272,0.794847691286562
80,41010,New Deal ISD,New Deal,152902,152-902,152902,4832430,5,0.0303231508853514,1.00797596452493
81,45380,Commerce ISD,Commerce,116903,116-903,116903,4814820,2,0.0286342142480862,1.28408056759779
82,28350,Northside ISD (Wilbarger),Northside (Wilbarger),244905,244-905,244905,4833090,4,0.0236035745392655,0.914676378801367
83,18280,London ISD,London,178906,178-906,178906,4827990,7,0.0206105454021781,0.650036142814616
84,35800,San Diego ISD,San Diego,66902,066-902,066902,4838820,6,0.120609003598474,2.02060077629628
85,23760,Spring Branch ISD,Spring Branch,101920,101-920,101920,4841100,7,0.0099524638026196,0.588645367887887
86,36480,Spring ISD,Spring,101919,101-919,101919,4841220,1,0.0135448674147938,0.852644338019957
87,17960,Huffman ISD,Huffman,101925,101-925,101925,4823820,3,0.0127991457416101,0.564497545673415
88,15810,Galena Park ISD,Galena Park,101910,101-910,101910,4820250,7,0.00815020999766602,0.662138360026634
89,14070,Fort Hancock ISD,Fort Hancock,115901,115-901,115901,4820130,1,0.420858503900945,2.96649824749783
90,37230,Dell City ISD,Dell City,115903,115-903,115903,4816650,6,0.152405901984366,1.79306727408447
91,27600,Gorman ISD,Gorman,67904,067-904,067904,4821270,6,0.029742369106998,1.4405150289727
92,21270,Eastland ISD,Eastland,67903,067-903,067903,4817960,2,0.0640446388340479,1.70623746768427
93,16440,Lingleville ISD,Lingleville,72909,072-909,072909,4827600,3,0.0300854487729794,1.75864846026007
94,39960,Rising Star ISD,Rising Star,67908,067-908,067908,4837230,5,0.0312761930549641,1.26010431137205
95,27270,Bovina ISD,Bovina,185901,185-901,185901,4810950,1,0.0545559166873772,1.37328766314779
96,33870,Memphis ISD,Memphis,96904,096-904,096904,4830180,5,0.170096305465222,2.46849909312245
97,31650,Adrian ISD,Adrian,180903,180-903,180903,4807500,5,0.170227186033799,2.36384905794568
98,26700,Spur ISD,Spur,63903,063-903,063903,4800002,3,0.133311973130731,2.1168623022877
99,22970,Patton Springs ISD,Patton Springs,63906,063-906,063906,4834380,5,0.0982415228229456,1.48384792901313
100,20400,Nordheim ISD,Nordheim,62902,062-902,062902,4832880,3,0.0253361660775226,0.862449926624619
101,16080,Yorktown ISD,Yorktown,62904,062-904,062904,4846650,5,0.0501119803116126,1.3611335769225
102,42240,Westhoff ISD,Westhoff,62905,062-905,062905,4845240,2,0.0185322206841647,0.738659896446319
103,38360,Devine ISD,Devine,163901,163-901,163901,4816950,6,0.0474787324524186,1.58543328473059
104,42000,Farwell ISD,Farwell,185902,185-902,185902,4819110,6,0.0419993863251875,1.24937112469659
105,18890,Huckabay ISD,Huckabay,72908,072-908,072908,4823760,1,0.0392995127008362,1.52885641274296
106,40110,Dublin ISD,Dublin,72902,072-902,072902,4817580,7,0.0630691227079296,1.85040216199225
107,31560,Morgan Mill ISD,Morgan Mill,72910,072-910,072910,4831410,6,0.0184305067173227,0.857508789923711
108,44890,Early ISD,Early,25909,025-909,025909,4817790,5,0.0207442103403537,0.821586324366298
109,22740,Blanket ISD,Blanket,25904,025-904,025904,4810380,3,0.0232581016039148,0.88067363672696
110,38280,Brownwood ISD,Brownwood,25902,025-902,025902,4811700,3,0.0343758886106116,1.5212288855497
111,41910,Beaumont ISD,Beaumont,123910,123-910,123910,4809670,7,0.043092499947079,1.43661750063246
112,17610,Port Arthur ISD,Port Arthur,123907,123-907,123907,4835400,2,0.0197751329221774,0.735463012779827
113,15690,Aransas County ISD,Aransas County,4901,004-901,004901,4808550,4,0.119230732516144,2.15946861444848
114,39570,Natalia ISD,Natalia,163903,163-903,163903,4832130,1,0.00996497997221013,0.588917414543034
115,25320,San Marcos Cons ISD,San Marcos Cons,105902,105-902,105902,4838970,3,0.0446079937880768,1.37038886874783
116,30000,Quanah ISD,Quanah,99903,099-903,099903,4836180,2,0.142068632513883,1.9368506749486
117,44910,Louise ISD,Louise,241906,241-906,241906,4828350,2,0.0413792677697984,1.11482839103807
118,28140,Dimmitt ISD,Dimmitt,35901,035-901,035901,4817160,2,0.113797889890293,2.00178373965795
119,28410,Jayton-Girard ISD,Jayton-Girard,132902,132-902,132902,4824660,6,0.199597716617973,2.1857626983539
120,26910,Friona ISD,Friona,185903,185-903,185903,4819980,6,0.088497041144592,2.03262080983167
121,21630,Cherokee ISD,Cherokee,206903,206-903,206903,4813740,1,0.0589167000225643,1.62773281413266
122,15720,Richland Springs ISD,Richland Springs,206902,206-902,206902,4837080,4,0.0850572234621723,1.73292554819619
123,31170,Port Aransas ISD,Port Aransas,178908,178-908,178908,4835370,6,0.0260127969231689,1.0556234275237
124,21480,Agua Dulce ISD,Agua Dulce,178901,178-901,178901,4807530,7,0.02317228886659,0.792214873796323
125,21300,Bishop Cons ISD,Bishop Cons,178902,178-902,178902,4810260,2,0.0401496718586714,1.45705610410758
126,32700,Tuloso-Midway ISD,Tuloso-Midway,178912,178-912,178912,4843350,5,0.0118257501314929,0.72619517380348
127,21360,Murchison ISD,Murchison,107908,107-908,107908,4832010,7,0.00307611454672951,0.288479622851372
128,22680,Driscoll ISD,Driscoll,178905,178-905,178905,4817550,6,0.0110249492288403,0.814039859921385
129,13620,Robstown ISD,Robstown,178909,178-909,178909,4837440,4,0.0192603416119255,0.627884927695707
