,zipcode,period_end,median_ppsf,area,year,DISTRICT,District_N
0,75001,2016-12-31,163.32776850306067,1910.2691652470187,2015,57905.0,DALLAS ISD
7,75002,2016-12-31,122.54252747988932,2211.8566147942556,2015,43901.0,ALLEN ISD
8,75002,2016-12-31,122.54252747988932,2211.8566147942556,2015,43919.0,LOVEJOY ISD
21,75006,2016-12-31,122.5769669327252,1835.5813953488373,2015,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
22,75006,2016-12-31,122.5769669327252,1835.5813953488373,2015,57851.0,BRIDGEWAY PREPARATORY ACADEMY
23,75006,2016-12-31,122.5769669327252,1835.5813953488373,2015,57903.0,CARROLLTON-FARMERS BRANCH ISD
42,75007,2016-12-31,127.71050029114544,1949.3307083791956,2015,57903.0,CARROLLTON-FARMERS BRANCH ISD
43,75007,2016-12-31,127.71050029114544,1949.3307083791956,2015,61902.0,LEWISVILLE ISD
56,75009,2016-12-31,124.86187845303868,2892.011592920354,2015,43903.0,CELINA ISD
57,75009,2016-12-31,124.86187845303868,2892.011592920354,2015,43912.0,PROSPER ISD
70,75010,2016-12-31,136.0901010723254,2175.029613966486,2015,61805.0,TRIVIUM ACADEMY
71,75010,2016-12-31,136.0901010723254,2175.029613966486,2015,61902.0,LEWISVILLE ISD
84,75013,2016-12-31,138.6898174131278,2932.533242786592,2015,43901.0,ALLEN ISD
85,75013,2016-12-31,138.6898174131278,2932.533242786592,2015,43910.0,PLANO ISD
99,75019,2016-12-31,153.0290349578317,2613.8830458561215,2015,57903.0,CARROLLTON-FARMERS BRANCH ISD
100,75019,2016-12-31,153.0290349578317,2613.8830458561215,2015,57922.0,COPPELL ISD
113,75020,2016-12-31,64.59436964279145,1702.9348007930548,2015,91903.0,DENISON ISD
114,75020,2016-12-31,64.59436964279145,1702.9348007930548,2015,91906.0,SHERMAN ISD
134,75022,2016-12-31,141.55746695285697,3072.9569365978305,2015,61902.0,LEWISVILLE ISD
141,75023,2016-12-31,128.296828033888,1962.2464861992019,2015,43910.0,PLANO ISD
