,zipcode,period_end,median_ppsf,area,year,median_ppsf_prev,median_ppsf_change_percent,DISTRICT,DISTNAME
6,75001,2022-12-31,238.06563549261745,1856.6308366404553,2023,202.7605633802817,17.412198666128358,57905.0,DALLAS ISD
19,75002,2022-12-31,213.04662040716187,2253.0279949179803,2023,193.9175451945402,9.864540721898669,43901.0,ALLEN ISD
20,75002,2022-12-31,213.04662040716187,2253.0279949179803,2023,193.9175451945402,9.864540721898669,43919.0,LOVEJOY ISD
39,75006,2022-12-31,207.1988924780803,1689.1982182628062,2023,182.4817518248175,13.54499307798801,57828.0,WINFREE ACADEMY CHARTER SCHOOLS
40,75006,2022-12-31,207.1988924780803,1689.1982182628062,2023,182.4817518248175,13.54499307798801,57851.0,BRIDGEWAY PREPARATORY ACADEMY
41,75006,2022-12-31,207.1988924780803,1689.1982182628062,2023,182.4817518248175,13.54499307798801,57903.0,CARROLLTON-FARMERS BRANCH ISD
54,75007,2022-12-31,207.73854244928623,1968.820976491863,2023,183.694078754328,13.089405961264134,57903.0,CARROLLTON-FARMERS BRANCH ISD
55,75007,2022-12-31,207.73854244928623,1968.820976491863,2023,183.694078754328,13.089405961264134,61902.0,LEWISVILLE ISD
68,75009,2022-12-31,221.92898272552785,2721.591351351351,2023,201.88850673545429,9.926506621961254,43903.0,CELINA ISD
69,75009,2022-12-31,221.92898272552785,2721.591351351351,2023,201.88850673545429,9.926506621961254,43912.0,PROSPER ISD
82,75010,2022-12-31,223.99192135813792,2578.217984373831,2023,200.97772949483976,11.451115464954567,61805.0,TRIVIUM ACADEMY
83,75010,2022-12-31,223.99192135813792,2578.217984373831,2023,200.97772949483976,11.451115464954567,61902.0,LEWISVILLE ISD
96,75013,2022-12-31,225.96548890714877,2547.955454545454,2023,199.1040318566451,13.49116680361547,43901.0,ALLEN ISD
97,75013,2022-12-31,225.96548890714877,2547.955454545454,2023,199.1040318566451,13.49116680361547,43910.0,PLANO ISD
110,75019,2022-12-31,242.44932480465508,2433.2919898842006,2023,206.9126576366184,17.174718827712532,57903.0,CARROLLTON-FARMERS BRANCH ISD
111,75019,2022-12-31,242.44932480465508,2433.2919898842006,2023,206.9126576366184,17.174718827712532,57922.0,COPPELL ISD
124,75020,2022-12-31,160.02922422954305,1437.2374865111644,2023,144.65408805031447,10.628898489118885,91903.0,DENISON ISD
125,75020,2022-12-31,160.02922422954305,1437.2374865111644,2023,144.65408805031447,10.628898489118885,91906.0,SHERMAN ISD
139,75022,2022-12-31,224.01687744572288,2923.886840439958,2023,210.40297327850976,6.470395334761947,61902.0,LEWISVILLE ISD
