DISTRICT,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDA00AC01221R,DDA00AC01321R,DDA00AC01S21R,DDA00AM01221R,DDA00AM01321R,DDA00AM01S21R,DDA00AR01221R,DDA00AR01321R,DDA00AR01S21R,DDA00AS01221R,DDA00AS01321R,DDA00AS01S21R,DDA00AW01221R,DDA00AW01321R,DDA00AW01S21R,DDC00A001221R,DDC00A001321R,DDC00A001S21R,DDC00AC01221R,DDC00AC01321R,DDC00AC01S21R,DDC00AM01221R,DDC00AM01321R,DDC00AM01S21R,DDC00AR01221R,DDC00AR01321R,DDC00AR01S21R,DDC00AS01221R,DDC00AS01321R,DDC00AS01S21R,DDC00AW01221R,DDC00AW01321R,DDC00AW01S21R,DDJ00A001221R,DDJ00A001321R,DDJ00A001S21R,DDJ00AC01221R,DDJ00AC01321R,DDJ00AC01S21R,DDJ00AM01221R,DDJ00AM01321R,DDJ00AM01S21R,DDJ00AR01221R,DDJ00AR01321R,DDJ00AR01S21R,DDJ00AS01221R,DDJ00AS01321R,DDJ00AS01S21R,DDJ00AW01221R,DDJ00AW01321R,DDJ00AW01S21R,DDK00A001221R,DDK00A001321R,DDK00A001S21R,DDK00AC01221R,DDK00AC01321R,DDK00AC01S21R,DDK00AM01221R,DDK00AM01321R,DDK00AM01S21R,DDK00AR01221R,DDK00AR01321R,DDK00AR01S21R,DDK00AS01221R,DDK00AS01321R,DDK00AS01S21R,DDK00AW01221R,DDK00AW01321R,DDK00AW01S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDL00AC01221R,DDL00AC01321R,DDL00AC01S21R,DDL00AM01221R,DDL00AM01321R,DDL00AM01S21R,DDL00AR01221R,DDL00AR01321R,DDL00AR01S21R,DDL00AS01221R,DDL00AS01321R,DDL00AS01S21R,DDL00AW01221R,DDL00AW01321R,DDL00AW01S21R,DDQ00A001221R,DDQ00A001321R,DDQ00A001S21R,DDQ00AC01221R,DDQ00AC01321R,DDQ00AC01S21R,DDQ00AM01221R,DDQ00AM01321R,DDQ00AM01S21R,DDQ00AR01221R,DDQ00AR01321R,DDQ00AR01S21R,DDQ00AS01221R,DDQ00AS01321R,DDQ00AS01S21R,DDQ00AW01221R,DDQ00AW01321R,DDQ00AW01S21R,DDT00A001221R,DDT00A001321R,DDT00A001S21R,DDT00AC01221R,DDT00AC01321R,DDT00AC01S21R,DDT00AM01221R,DDT00AM01321R,DDT00AM01S21R,DDT00AR01221R,DDT00AR01321R,DDT00AR01S21R,DDT00AS01221R,DDT00AS01321R,DDT00AS01S21R,DDT00AW01221R,DDT00AW01321R,DDT00AW01S21R,DDU00A001221R,DDU00A001321R,DDU00A001S21R,DDU00AC01221R,DDU00AC01321R,DDU00AC01S21R,DDU00AM01221R,DDU00AM01321R,DDU00AM01S21R,DDU00AR01221R,DDU00AR01321R,DDU00AR01S21R,DDU00AS01221R,DDU00AS01321R,DDU00AS01S21R,DDU00AW01221R,DDU00AW01321R,DDU00AW01S21R,DDX00A001221R,DDX00A001321R,DDX00A001S21R,DDX00AC01221R,DDX00AC01321R,DDX00AC01S21R,DDX00AM01221R,DDX00AM01321R,DDX00AM01S21R,DDX00AR01221R,DDX00AR01321R,DDX00AR01S21R,DDX00AS01221R,DDX00AS01321R,DDX00AS01S21R,DDX00AW01221R,DDX00AW01321R,DDX00AW01S21R,DDY00A001221R,DDY00A001321R,DDY00A001S21R,DDY00AC01221R,DDY00AC01321R,DDY00AC01S21R,DDY00AM01221R,DDY00AM01321R,DDY00AM01S21R,DDY00AR01221R,DDY00AR01321R,DDY00AR01S21R,DDY00AS01221R,DDY00AS01321R,DDY00AS01S21R,DDY00AW01221R,DDY00AW01321R,DDY00AW01S21R,DDZ00A001221R,DDZ00A001321R,DDZ00A001S21R,DDZ00AC01221R,DDZ00AC01321R,DDZ00AC01S21R,DDZ00AM01221R,DDZ00AM01321R,DDZ00AM01S21R,DDZ00AR01221R,DDZ00AR01321R,DDZ00AR01S21R,DDZ00AS01221R,DDZ00AS01321R,DDZ00AS01S21R,DDZ00AW01221R,DDZ00AW01321R,DDZ00AW01S21R,DISTNAME,DNB00A001221R,DNB00A001321R,DNB00A001S21R,DNB00AC01221R,DNB00AC01321R,DNB00AC01S21R,DNB00AM01221R,DNB00AM01321R,DNB00AM01S21R,DNB00AR01221R,DNB00AR01321R,DNB00AR01S21R,DNB00AS01221R,DNB00AS01321R,DNB00AS01S21R,DNB00AW01221R,DNB00AW01321R,DNB00AW01S21R,DNE00A001221R,DNE00A001321R,DNE00A001S21R,DNE00AC01221R,DNE00AC01321R,DNE00AC01S21R,DNE00AM01221R,DNE00AM01321R,DNE00AM01S21R,DNE00AR01221R,DNE00AR01321R,DNE00AR01S21R,DNE00AS01221R,DNE00AS01321R,DNE00AS01S21R,DNE00AW01221R,DNE00AW01321R,DNE00AW01S21R,DNN00A001221R,DNN00A001321R,DNN00A001S21R,DNN00AC01221R,DNN00AC01321R,DNN00AC01S21R,DNN00AM01221R,DNN00AM01321R,DNN00AM01S21R,DNN00AR01221R,DNN00AR01321R,DNN00AR01S21R,DNN00AS01221R,DNN00AS01321R,DNN00AS01S21R,DNN00AW01221R,DNN00AW01321R,DNN00AW01S21R,DNT00A001221R,DNT00A001321R,DNT00A001S21R,DNT00AC01221R,DNT00AC01321R,DNT00AC01S21R,DNT00AM01221R,DNT00AM01321R,DNT00AM01S21R,DNT00AR01221R,DNT00AR01321R,DNT00AR01S21R,DNT00AS01221R,DNT00AS01321R,DNT00AS01S21R,DNT00AW01221R,DNT00AW01321R,DNT00AW01S21R
"'001902",60,30,85,52,21,86,67,37,89,64,32,83,54,26,81,42,13,76,20,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,30,85,53,21,86,67,38,89,65,32,83,54,26,81,42,13,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'001903",54,25,83,53,21,80,50,23,84,57,28,83,64,32,91,52,23,78,27,15,55,-1,-1,-1,23,8,54,23,15,54,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,13,58,40,20,80,20,7,53,20,13,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,15,55,-1,-1,-1,23,8,54,23,15,54,-1,-1,-1,-1,-1,-1,0,0,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,25,83,54,21,80,51,23,85,57,28,83,64,32,91,53,23,79,63,29,100,-1,-1,-1,38,25,100,89,33,100,-1,-1,-1,-1,-1,-1
"'001904",52,23,79,52,24,80,55,25,85,52,21,76,62,43,81,32,4,67,24,16,53,0,0,67,43,29,64,19,13,44,-1,-1,-1,40,20,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,16,57,0,0,67,47,29,71,16,11,47,-1,-1,-1,40,20,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,26,43,-1,-1,-1,50,38,50,38,25,38,-1,-1,-1,-1,-1,-1,6,6,69,-1,-1,-1,-1,-1,-1,0,0,50,-1,-1,-1,.,.,.,33,17,83,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,"FRANKSTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,0,50,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,53,24,79,55,25,81,54,25,85,53,22,77,65,44,82,30,3,68,71,33,95,-1,-1,-1,100,33,100,71,29,100,-1,-1,-1,-1,-1,-1
"'001906",53,23,83,57,31,93,58,26,89,52,22,78,51,23,81,38,7,73,50,6,94,-1,-1,-1,67,17,100,33,0,83,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,6,94,-1,-1,-1,67,17,100,33,0,83,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,7,93,-1,-1,-1,80,20,100,40,0,80,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,24,83,58,33,92,57,26,89,52,22,78,51,24,80,38,7,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'001907",38,16,66,43,18,71,37,17,69,39,15,64,45,24,70,23,4,51,17,4,49,23,5,61,21,6,59,14,3,44,13,4,33,12,0,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,7,54,25,5,60,27,10,64,18,7,48,14,4,42,10,0,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,8,55,24,4,54,30,12,67,18,8,49,10,5,57,6,0,38,17,5,54,.,.,.,19,10,57,19,5,52,.,.,.,14,0,52,13,0,44,18,0,65,13,0,53,5,0,27,-1,-1,-1,.,.,.,30,7,59,31,6,75,27,9,64,32,8,54,29,0,43,25,0,50,"PALESTINE ISD",21,8,55,24,4,54,30,12,67,18,8,49,10,5,57,6,0,38,18,5,49,25,7,59,23,6,62,17,5,52,9,5,28,9,0,23,40,18,67,45,20,71,37,17,68,41,17,66,48,27,73,25,6,54,64,25,88,65,28,89,69,35,93,65,19,88,58,27,83,50,5,75
"'001908",32,11,60,41,13,70,28,11,60,32,10,56,41,17,75,19,2,48,12,1,40,15,0,38,17,4,48,7,0,31,0,0,50,25,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,1,39,14,0,41,16,4,47,6,0,29,0,0,44,22,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,13,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,12,2,41,6,0,24,19,6,44,5,0,41,0,0,57,33,0,50,0,0,29,-1,-1,-1,-1,-1,-1,0,0,22,-1,-1,-1,-1,-1,-1,"WESTWOOD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,0,42,33,0,67,11,0,78,11,0,16,-1,-1,-1,.,.,.,34,12,62,44,15,73,29,11,61,35,11,59,43,18,76,18,2,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'001909",49,20,81,52,16,85,35,14,77,57,25,83,64,31,86,42,9,79,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,19,81,52,16,85,35,13,76,57,25,83,64,31,86,44,10,80,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'002901",42,17,71,42,18,71,42,19,74,44,16,70,47,27,72,29,5,61,13,3,41,15,2,63,19,6,54,12,1,29,6,0,33,8,4,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,16,5,45,10,1,52,17,6,53,19,5,41,6,2,42,12,2,33,26,9,61,0,0,42,20,9,59,41,15,71,.,.,.,22,0,51,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,26,9,60,0,0,42,20,8,58,40,15,70,.,.,.,24,0,53,23,8,46,.,.,.,18,0,64,30,10,40,.,.,.,20,20,20,13,2,40,15,2,63,19,6,53,10,0,29,6,0,33,5,0,20,8,3,32,14,0,43,10,3,35,7,2,18,7,7,60,0,0,14,"ANDREWS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,19,73,45,19,73,44,21,76,46,18,72,50,30,74,30,5,62,57,22,88,55,30,80,59,23,91,61,19,91,51,26,82,52,4,96
"'003801",49,24,75,51,24,79,49,26,78,50,23,75,54,32,76,33,10,57,13,1,55,10,0,70,16,3,63,15,0,56,0,0,40,13,0,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,1,55,10,0,70,16,3,63,15,0,56,0,0,40,13,0,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,2,55,0,0,80,19,4,62,12,0,54,.,.,.,14,0,14,12,0,56,20,0,60,0,0,67,25,0,63,0,0,40,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,25,76,53,26,79,51,28,78,53,24,76,57,35,78,34,10,59,47,14,83,57,14,86,67,22,89,30,10,90,38,13,75,-1,-1,-1
"'003902",58,28,84,62,28,90,64,33,87,57,26,83,60,34,88,37,13,70,20,6,64,21,0,57,38,12,76,12,2,60,0,0,62,17,17,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,10,68,24,5,70,46,19,76,27,6,65,15,0,70,19,3,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,12,69,20,0,80,49,20,73,39,10,69,.,.,.,29,0,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,6,64,21,0,57,38,12,76,12,2,60,0,0,62,17,17,50,35,13,72,38,25,75,53,29,82,30,5,65,43,0,86,0,0,50,"HUDSON ISD",39,12,69,20,0,80,49,20,73,39,10,69,.,.,.,29,0,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,30,85,65,30,91,64,34,88,59,28,84,62,36,88,37,14,71,74,29,94,58,18,94,85,40,96,77,25,93,75,36,96,67,27,93
