DISTRICT,D22C4X19R,D22C4X20R,D23C4X19R,D23C4X20R,D2DC4X19R,D2DC4X20R,D2EC4X19R,D2EC4X20R,D2GC419R,D2GC420R,D2GC4X19R,D2GC4X20R,D2NC4X19R,D2NC4X20R,D32C4X19R,D32C4X20R,D33C4X19R,D33C4X20R,D3DC4X19R,D3DC4X20R,D3EC4X19R,D3EC4X20R,D3GC419R,D3GC420R,D3GC4X19R,D3GC4X20R,D3NC4X19R,D3NC4X20R,D42C4X19R,D42C4X20R,D43C4X19R,D43C4X20R,D4DC4X19R,D4DC4X20R,D4EC4X19R,D4EC4X20R,D4GC419R,D4GC420R,D4GC4X19R,D4GC4X20R,D4NC4X19R,D4NC4X20R,DA2C4X19R,DA2C4X20R,DA3C4X19R,DA3C4X20R,DADC4X19R,DADC4X20R,DAEC4X19R,DAEC4X20R,DAGC419R,DAGC420R,DAGC4X19R,DAGC4X20R,DANC4X19R,DANC4X20R,DB2C4X19R,DB2C4X20R,DB3C4X19R,DB3C4X20R,DBDC4X19R,DBDC4X20R,DBEC4X19R,DBEC4X20R,DBGC419R,DBGC420R,DBGC4X19R,DBGC4X20R,DBNC4X19R,DBNC4X20R,DE2C4X19R,DE2C4X20R,DE3C4X19R,DE3C4X20R,DEDC4X19R,DEDC4X20R,DEEC4X19R,DEEC4X20R,DEGC419R,DEGC420R,DEGC4X19R,DEGC4X20R,DENC4X19R,DENC4X20R,DF2C4X19R,DF2C4X20R,DF3C4X19R,DF3C4X20R,DFDC4X19R,DFDC4X20R,DFEC4X19R,DFEC4X20R,DFGC419R,DFGC420R,DFGC4X19R,DFGC4X20R,DFNC4X19R,DFNC4X20R,DH2C4X19R,DH2C4X20R,DH3C4X19R,DH3C4X20R,DHDC4X19R,DHDC4X20R,DHEC4X19R,DHEC4X20R,DHGC419R,DHGC420R,DHGC4X19R,DHGC4X20R,DHNC4X19R,DHNC4X20R,DI2C4X19R,DI2C4X20R,DI3C4X19R,DI3C4X20R,DIDC4X19R,DIDC4X20R,DIEC4X19R,DIEC4X20R,DIGC419R,DIGC420R,DIGC4X19R,DIGC4X20R,DINC4X19R,DINC4X20R,DISTNAME,DL2C4X19R,DL2C4X20R,DL3C4X19R,DL3C4X20R,DLDC4X19R,DLDC4X20R,DLEC4X19R,DLEC4X20R,DLGC419R,DLGC420R,DLGC4X19R,DLGC4X20R,DLNC4X19R,DLNC4X20R,DM2C4X19R,DM2C4X20R,DM3C4X19R,DM3C4X20R,DMDC4X19R,DMDC4X20R,DMEC4X19R,DMEC4X20R,DMGC419R,DMGC420R,DMGC4X19R,DMGC4X20R,DMNC4X19R,DMNC4X20R,DR2C4X19R,DR2C4X20R,DR3C4X19R,DR3C4X20R,DRDC4X19R,DRDC4X20R,DREC4X19R,DREC4X20R,DRGC419R,DRGC420R,DRGC4X19R,DRGC4X20R,DRNC4X19R,DRNC4X20R,DS2C4X19R,DS2C4X20R,DS3C4X19R,DS3C4X20R,DSDC4X19R,DSDC4X20R,DSEC4X19R,DSEC4X20R,DSGC419R,DSGC420R,DSGC4X19R,DSGC4X20R,DSNC4X19R,DSNC4X20R,DW2C4X19R,DW2C4X20R,DW3C4X19R,DW3C4X20R,DWDC4X19R,DWDC4X20R,DWEC4X19R,DWEC4X20R,DWGC419R,DWGC420R,DWGC4X19R,DWGC4X20R,DWNC4X19R,DWNC4X20R
"'001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98,100,96,97.4,2,0,0,0,96,97.4,96,97.4,2,2.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95.2,100,90.5,92.9,4.8,0,0,0,90.5,92.9,90.5,92.9,4.8,7.1,100,100,100,95.2,0,0,0,0,100,95.2,100,95.2,0,4.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,96.8,100,93.5,100,3.2,0,0,0,93.5,100,93.5,100,3.2,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,88.9,100,0,0,0,0,88.9,100,88.9,100,11.1,0,100,100,97.7,97,0,0,0,0,97.7,97,97.7,97,2.3,3
"'001903",-1,100,-1,80,-1,0,-1,0,-1,80,-1,80,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,97.6,98.9,0,0,1.2,0,93.1,97.8,96.4,98.9,2.4,1.1,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,100,100,100,100,0,0,0,0,93,97.3,100,100,0,0,100,100,100,98,0,0,0,0,100,98,100,98,0,2,100,100,100,100,0,0,0,0,100,100,100,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,95.6,100,0,0,2.2,0,87.5,97.5,93.3,100,4.4,0,100,100,95,100,0,0,5,0,78.3,97.6,90,100,5,0,100,100,100,100,0,0,0,0,72.7,93.3,100,100,0,0,100,100,97.3,100,0,0,1.4,0,92.1,98.5,95.9,100,2.7,0
"'001904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83.3,100,66.7,98,16.7,0,50,0,16.7,98,16.7,98,16.7,2,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,100,-1,95,-1,0,-1,0,-1,95,-1,95,-1,5,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"FRANKSTON ISD",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,100,-1,97.1,-1,0,-1,0,-1,97.1,-1,97.1,-1,2.9,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,.,100,.,83.3,.,0,.,0,.,83.3,.,83.3,.,16.7,80,100,60,97.7,20,0,40,0,20,97.7,20,97.7,20,2.3
"'001906",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,91.7,100,0,0,0,3,91.7,97,91.7,97,8.3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,88.9,100,0,0,0,0,88.9,100,88.9,100,11.1,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,84.6,100,0,0,0,6.3,84.6,93.8,84.6,93.8,15.4,0,100,100,75,100,0,0,0,11.1,75,88.9,75,88.9,25,0,100,-1,80,-1,0,-1,0,-1,80,-1,80,-1,20,-1,100,100,89.5,100,0,0,0,4.2,89.5,95.8,89.5,95.8,10.5,0
"'001907",100,100,100,83.3,0,0,0,0,100,83.3,100,83.3,0,16.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.6,100,95.8,98.3,1.4,0,0,0,95.8,97.4,95.8,98.3,2.8,1.7,96.9,100,95.4,98.2,3.1,0,0,0,95.4,96.6,95.4,98.2,1.5,1.8,97.9,100,94.4,97.9,2.1,0,0,0,94.4,96.6,94.4,97.9,3.5,2.1,99,100,97.1,97.4,1,0,0,0,97.1,96.6,97.1,97.4,1.9,2.6,100,100,97.6,99,0,0,0,0,97.6,99,97.6,99,2.4,1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"PALESTINE ISD",100,100,100,100,0,0,0,0,100,100,100,100,0,0,98.2,100,94.5,99.1,1.8,0,0,0,94.5,98.2,94.5,99.1,3.6,0.9,97.9,100,95.8,97,2.1,0,0,0,95.8,95.6,95.8,97,2.1,3,100,100,100,95.5,0,0,0,0,100,95.5,100,95.5,0,4.5,98.1,100,94.4,98.4,1.9,0,0,0,94.4,96.8,94.4,98.4,3.7,1.6
"'001908",-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.4,98,96.1,98,2.6,2,0,1,96.1,97,96.1,97,1.3,0,95.2,96.6,95.2,96.6,4.8,3.4,0,0,95.2,96.6,95.2,96.6,0,0,97.7,96.2,95.3,96.2,2.3,3.8,0,1.9,95.3,94.2,95.3,94.2,2.3,0,97.9,100,97.9,100,2.1,0,0,0,97.9,100,97.9,100,0,0,94.1,100,94.1,100,5.9,0,0,0,94.1,100,94.1,100,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"WESTWOOD ISD",100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,96.6,95.9,93.1,95.9,3.4,4.1,0,2,93.1,93.9,93.1,93.9,3.4,0,96.6,100,96.6,100,3.4,0,0,0,96.6,100,96.6,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,97.9,97.1,97.9,0,2.1,0,2.1,97.1,95.7,97.1,95.7,2.9,0
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,96.3,0,0,0,0,95.5,96.3,100,96.3,0,3.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,0,0,0,0,85.7,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,94.4,0,0,0,0,87.5,94.4,100,94.4,0,5.6,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,100,100,100,100,0,0,0,0,95.2,100,100,100,0,0
"'002901",100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.8,98,94.2,95.2,2.2,2,0.4,0.4,92.5,93.4,93.8,94.8,3.6,2.8,100,-1,100,-1,0,-1,0,-1,100,-1,100,-1,0,-1,96.2,97.1,88.5,92.2,3.8,2.9,0,0,86.8,90.4,88.5,92.2,7.7,4.9,99.3,99.2,98.5,97.5,0.7,0.8,0.7,0,97.8,95.8,97.8,97.5,0.7,1.7,97.8,97.7,93.3,93.6,2.2,2.3,0,0,91.8,92.5,93.3,93.6,4.4,4.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",92.3,100,69.2,100,7.7,0,0,0,69.2,100,69.2,100,23.1,0,96.4,97,89.9,93.3,3.6,3,0,0.7,87.4,91.2,89.9,92.5,6.5,3.7,96.3,96.8,86.3,92.6,3.8,3.2,0,0,84.1,91.6,86.3,92.6,10,4.3,100,86.7,100,86.7,0,13.3,0,0,95,72.2,100,86.7,0,0,97.6,98.6,95.2,98.6,2.4,1.4,1.2,0,92.9,96.1,94,98.6,2.4,0
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,100,100,100,100,0,0
"'003902",83.3,-1,83.3,-1,16.7,-1,0,-1,83.3,-1,83.3,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.3,96.6,93.6,95.1,3.7,3.4,0,0.5,92.7,94.2,93.6,94.6,2.8,1.5,90.5,100,85.7,100,9.5,0,0,0,85.7,100,85.7,100,4.8,0,93.4,93.3,88.7,91.1,6.6,6.7,0,0,87.9,91.1,88.7,91.1,4.7,2.2,99.1,100,97.4,99.1,0.9,0,0,0.9,96.6,98.1,97.4,98.1,1.7,0.9,92.7,91.1,87.3,91.1,7.3,8.9,0,0,85.7,91.1,87.3,91.1,5.5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.1,92.9,89.2,90.9,6.9,7.1,0,0,88.3,90,89.2,90.9,3.9,2,93.1,95.7,88.9,94.2,6.9,4.3,0,0,88.9,94.2,88.9,94.2,4.2,1.4,86.4,86.7,86.4,86.7,13.6,13.3,0,0,79.2,86.7,86.4,86.7,0,0,99.2,97.8,97.7,95.7,0.8,2.2,0,0.7,97,94.2,97.7,94.9,1.5,2.2
