DISTRICT,D20GA19R,D20GA20R,D20GE19R,D20GE20R,D20GS19R,D20GS20R,D2AC4X19R,D2AC4X20R,D2PC4X19R,D2PC4X20R,D2SC4X19R,D2SC4X20R,D30GA19R,D30GA20R,D30GE19R,D30GE20R,D30GS19R,D30GS20R,D3AC4X19R,D3AC4X20R,D3PC4X19R,D3PC4X20R,D3SC4X19R,D3SC4X20R,D40GA19R,D40GA20R,D40GE19R,D40GE20R,D40GS19R,D40GS20R,D4AC4X19R,D4AC4X20R,D4PC4X19R,D4PC4X20R,D4SC4X19R,D4SC4X20R,DA0GA19R,DA0GA20R,DA0GE19R,DA0GE20R,DA0GS19R,DA0GS20R,DAAC4X19R,DAAC4X20R,DAPC4X19R,DAPC4X20R,DASC4X19R,DASC4X20R,DB0GA19R,DB0GA20R,DB0GE19R,DB0GE20R,DB0GS19R,DB0GS20R,DBAC4X19R,DBAC4X20R,DBPC4X19R,DBPC4X20R,DBSC4X19R,DBSC4X20R,DE0GA19R,DE0GA20R,DE0GE19R,DE0GE20R,DE0GS19R,DE0GS20R,DEAC4X19R,DEAC4X20R,DEPC4X19R,DEPC4X20R,DESC4X19R,DESC4X20R,DF0GA19R,DF0GA20R,DF0GE19R,DF0GE20R,DF0GS19R,DF0GS20R,DFAC4X19R,DFAC4X20R,DFPC4X19R,DFPC4X20R,DFSC4X19R,DFSC4X20R,DH0GA19R,DH0GA20R,DH0GE19R,DH0GE20R,DH0GS19R,DH0GS20R,DHAC4X19R,DHAC4X20R,DHPC4X19R,DHPC4X20R,DHSC4X19R,DHSC4X20R,DI0GA19R,DI0GA20R,DI0GE19R,DI0GE20R,DI0GS19R,DI0GS20R,DIAC4X19R,DIAC4X20R,DIPC4X19R,DIPC4X20R,DISC4X19R,DISC4X20R,DISTNAME,DL0GA19R,DL0GA20R,DL0GE19R,DL0GE20R,DL0GS19R,DL0GS20R,DLAC4X19R,DLAC4X20R,DLPC4X19R,DLPC4X20R,DLSC4X19R,DLSC4X20R,DM0GA19R,DM0GA20R,DM0GE19R,DM0GE20R,DM0GS19R,DM0GS20R,DMAC4X19R,DMAC4X20R,DMPC4X19R,DMPC4X20R,DMSC4X19R,DMSC4X20R,DR0GA19R,DR0GA20R,DR0GE19R,DR0GE20R,DR0GS19R,DR0GS20R,DRAC4X19R,DRAC4X20R,DRPC4X19R,DRPC4X20R,DRSC4X19R,DRSC4X20R,DS0GA19R,DS0GA20R,DS0GE19R,DS0GE20R,DS0GS19R,DS0GS20R,DSAC4X19R,DSAC4X20R,DSPC4X19R,DSPC4X20R,DSSC4X19R,DSSC4X20R,DW0GA19R,DW0GA20R,DW0GE19R,DW0GE20R,DW0GS19R,DW0GS20R,DWAC4X19R,DWAC4X20R,DWPC4X19R,DWPC4X20R,DWSC4X19R,DWSC4X20R
"'001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.4,75.6,0,14.6,85.4,90.2,85.4,78.9,0,15.8,85.4,94.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,60,0,26.7,80,86.7,78.9,69.2,0,30.8,78.9,100,84.2,86.4,0,9.1,84.2,95.5,84.2,90,0,10,84.2,100,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,.,.,86.2,63.2,0,21.1,86.2,84.2,86.2,66.7,0,22.2,86.2,88.9,46.2,50,0,31.3,46.2,81.3,46.2,50,0,35.7,46.2,85.7,12.5,20,0,60,12.5,80,12.5,22.2,0,66.7,12.5,88.9,86,87.9,0,12.1,86,100,86,87.5,0,12.5,86,100
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,77.5,69.6,2.5,1.1,80,70.7,77.8,72.7,3.7,1.1,81.5,73.9,-1,33.3,-1,0,-1,33.3,-1,33.3,-1,0,-1,33.3,70,56.4,2.5,0,72.5,56.4,70,61.1,5,0,75,61.1,83.3,72,0,2,83.3,74,79.5,73.5,2.6,2,82.1,75.5,71.4,72.7,0,0,71.4,72.7,71.4,80,0,0,71.4,80,.,.,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,72.7,66.7,4.5,0,77.3,66.7,76.2,71.8,4.8,0,81,71.8,50,47.7,5,2.3,55,50,50,52.5,5.6,2.5,55.6,55,25,0,0,6.7,25,6.7,25,0,0,7.1,25,7.1,78.3,72.9,2.9,1.4,81.2,74.3,78.6,76.1,4.3,1.5,82.9,77.6
"'001904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,90.2,-1,0,-1,90.2,-1,90,-1,0,-1,90,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,78.9,-1,0,-1,78.9,-1,78.9,-1,0,-1,78.9,-1,100,-1,0,-1,100,-1,100,-1,0,-1,100,.,100,.,0,.,100,.,100,.,0,.,100,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"FRANKSTON ISD",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,85.7,.,0,.,85.7,.,85.3,.,0,.,85.3,.,68.8,.,0,.,68.8,.,66.7,.,0,.,66.7,.,0,.,0,.,0,.,0,.,0,.,0,-1,88.4,-1,0,-1,88.4,-1,88.1,-1,0,-1,88.1
"'001906",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,72.7,70.6,0,0,72.7,70.6,72.7,75,0,0,72.7,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,63.6,0,0,50,63.6,50,70,0,0,50,70,81.8,94.1,0,0,81.8,94.1,81.8,94.1,0,0,81.8,94.1,-1,60,-1,0,-1,60,-1,60,-1,0,-1,60,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,.,63.6,47.1,0,0,63.6,47.1,63.6,53.3,0,0,63.6,53.3,0,30,0,0,0,30,0,37.5,0,0,0,37.5,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,70.6,72,0,0,70.6,72,70.6,78.3,0,0,70.6,78.3
"'001907",60,80,0,0,60,80,60,80,0,0,60,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,88.4,90.9,2.9,0,91.3,90.9,90.2,91.6,2.9,0,93.1,91.6,79.4,87.7,6.3,0,85.7,87.7,80.6,89.3,6.5,0,87.1,89.3,87.7,91.7,2.9,0,90.6,91.7,90.3,92.2,3,0,93.3,92.2,91,96.6,3,0,94,96.6,91,97.4,3,0,94,97.4,95.2,94.2,1.2,0,96.4,94.2,97.6,95,1.2,0,98.8,95,.,.,.,.,.,.,-1,.,-1,.,-1,.,"PALESTINE ISD",77.8,87.5,11.1,0,88.9,87.5,87.5,87.5,12.5,0,100,87.5,86,85.1,2.8,0,88.8,85.1,89.4,85.6,2.9,0,92.3,85.6,86.2,85.2,2.2,0,88.4,85.2,88.2,86.3,2.2,0,90.4,86.3,22.2,18.2,11.1,0,33.3,18.2,26.1,19,13,0,39.1,19,92.3,88.7,1.9,0,94.2,88.7,94.1,88.5,2,0,96.1,88.5
"'001908",-1,100,-1,0,-1,100,-1,100,-1,0,-1,100,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,90.1,84.8,1.4,0,91.5,84.8,90.4,85.6,1.4,0,91.8,85.6,95,85.7,0,0,95,85.7,94.7,89.3,0,0,94.7,89.3,92.1,80.4,2.6,0,94.7,80.4,92.5,79.6,2.5,0,95,79.6,93.3,82,2.2,0,95.6,82,93.6,82.4,2.1,0,95.7,82.4,92.3,94.7,0,0,92.3,94.7,93.8,94.4,0,0,93.8,94.4,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,"WESTWOOD ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84.6,87.8,0,0,84.6,87.8,84.6,89.1,0,0,84.6,89.1,80,76.1,0,0,80,76.1,81.5,77.3,0,0,81.5,77.3,0,0,0,0,0,0,0,0,0,0,0,0,84.8,78.3,3,0,87.9,78.3,84.8,77.8,3,0,87.9,77.8
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,88.5,0,0,100,88.5,100,92.3,0,0,100,92.3,.,.,.,.,.,.,.,.,.,.,.,.,100,80,0,0,100,80,100,83.3,0,0,100,83.3,100,77.8,0,0,100,77.8,100,77.8,0,0,100,77.8,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,100,94.1,0,0,100,94.1,100,100,0,0,100,100,-1,71.4,-1,0,-1,71.4,-1,83.3,-1,0,-1,83.3,-1,66.7,-1,0,-1,66.7,-1,80,-1,0,-1,80,100,91.7,0,0,100,91.7,100,95.8,0,0,100,95.8
"'002901",100,-1,0,-1,100,-1,100,-1,0,-1,100,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.9,86.7,1.5,0,87.5,86.7,86.9,90.4,1.2,0.4,88,90.9,83.3,-1,0,-1,83.3,-1,100,-1,0,-1,100,-1,79.2,79.2,2.1,0,81.3,79.2,81.5,84.3,1.1,1.1,82.6,85.4,87.6,91.2,2.2,0,89.8,91.2,88.8,91.9,2.2,0,91,91.9,85.9,89.1,1.8,0,87.6,89.1,86.9,92.4,1.8,0,88.7,92.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",54.5,66.7,18.2,0,72.7,66.7,66.7,66.7,11.1,6.7,77.8,73.3,84.1,82.8,0.8,0,84.9,82.8,84.8,89.1,0,0.8,84.8,89.9,65.7,74.2,4.3,0,70,74.2,63.8,79,2.9,1.2,66.7,80.2,38.9,63.2,11.1,0,50,63.2,36.8,92.3,10.5,0,47.4,92.3,85,80,1.3,0,86.3,80,84.8,84.8,0,1.5,84.8,86.4
"'003801",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,98,86,0,3.5,98,89.5,98,86,0,3.5,98,89.5,100,75,0,0,100,75,100,75,0,0,100,75,100,76.9,0,3.8,100,80.8,100,76.9,0,3.8,100,80.8,96.3,85.7,0,0,96.3,85.7,96.3,85.7,0,0,96.3,85.7,90,88.9,0,0,90,88.9,90,88.9,0,0,90,88.9,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,100,86.2,0,6.9,100,93.1,100,86.2,0,6.9,100,93.1,90.9,76.5,0,5.9,90.9,82.4,93.8,77.8,0,7.4,93.8,85.2,-1,16.7,-1,33.3,-1,50,-1,16.7,-1,33.3,-1,50,100,87.1,0,6.5,100,93.5,100,87.1,0,6.5,100,93.5
"'003902",60,80,20,0,80,80,60,-1,20,-1,80,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,78.9,78.4,3.9,6.4,82.8,84.8,80.9,79.9,4,6.7,84.9,86.6,50,57.9,16.7,5.3,66.7,63.2,52.9,64.7,17.6,5.9,70.6,70.6,64.8,64,7.7,10.1,72.5,74.2,67.4,67.1,7.9,11,75.3,78,83.9,80,3.6,4.5,87.5,84.5,85.5,82.7,3.6,4.8,89.1,87.5,73.5,68.2,4.1,11.4,77.6,79.5,75,73.2,4.2,12.2,79.2,85.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,72.8,76.6,4.3,8.5,77.2,85.1,75.3,76.7,4.5,8.9,79.8,85.6,52.4,49.3,11.1,12.7,63.5,62,54.1,50.8,11.5,13.8,65.6,64.6,7.1,14.3,28.6,7.1,35.7,21.4,7.1,15.4,28.6,7.7,35.7,23.1,85.3,84.3,1.6,5.2,86.8,89.6,87.3,84,1.6,5.3,88.9,89.3
