DISTRICT,D20GJ19R,D20GJ20R,D20GUA19R,D20GUA20R,D20GY19R,D20GY20R,D20GZ19R,D20GZ20R,D30GJ19R,D30GJ20R,D30GUA19R,D30GUA20R,D30GY19R,D30GY20R,D30GZ19R,D30GZ20R,D40GJ19R,D40GJ20R,D40GUA19R,D40GUA20R,D40GY19R,D40GY20R,D40GZ19R,D40GZ20R,DA0GJ19R,DA0GJ20R,DA0GUA19R,DA0GUA20R,DA0GY19R,DA0GY20R,DA0GZ19R,DA0GZ20R,DB0GJ19R,DB0GJ20R,DB0GUA19R,DB0GUA20R,DB0GY19R,DB0GY20R,DB0GZ19R,DB0GZ20R,DE0GJ19R,DE0GJ20R,DE0GUA19R,DE0GUA20R,DE0GY19R,DE0GY20R,DE0GZ19R,DE0GZ20R,DF0GJ19R,DF0GJ20R,DF0GUA19R,DF0GUA20R,DF0GY19R,DF0GY20R,DF0GZ19R,DF0GZ20R,DH0GJ19R,DH0GJ20R,DH0GUA19R,DH0GUA20R,DH0GY19R,DH0GY20R,DH0GZ19R,DH0GZ20R,DI0GJ19R,DI0GJ20R,DI0GUA19R,DI0GUA20R,DI0GY19R,DI0GY20R,DI0GZ19R,DI0GZ20R,DISTNAME,DL0GJ19R,DL0GJ20R,DL0GUA19R,DL0GUA20R,DL0GY19R,DL0GY20R,DL0GZ19R,DL0GZ20R,DM0GJ19R,DM0GJ20R,DM0GUA19R,DM0GUA20R,DM0GY19R,DM0GY20R,DM0GZ19R,DM0GZ20R,DR0GJ19R,DR0GJ20R,DR0GUA19R,DR0GUA20R,DR0GY19R,DR0GY20R,DR0GZ19R,DR0GZ20R,DS0GJ19R,DS0GJ20R,DS0GUA19R,DS0GUA20R,DS0GY19R,DS0GY20R,DS0GZ19R,DS0GZ20R,DW0GJ19R,DW0GJ20R,DW0GUA19R,DW0GUA20R,DW0GY19R,DW0GY20R,DW0GZ19R,DW0GZ20R
"'001902",-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,41.7,36.6,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,15,6.7,0,0,0,0,0,0,52.6,40.9,0,0,0,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,0,0,34.5,31.6,0,0,0,0,0,0,7.7,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,44.2,45.5,0,0,0,0
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0,0,21.3,25,3.8,2.2,0,0,-1,0,-1,16.7,-1,0,-1,0,0,0,7.5,17.9,2.5,2.6,0,0,0,0,19.4,34,5.6,2,0,0,0,0,14.3,27.3,0,9.1,0,0,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,0,0,22.7,14.3,2.3,2.4,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,24.3,4.3,1.4,0,0
"'001904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,5.9,-1,52.9,-1,21.6,-1,2,.,-1,.,-1,.,-1,.,-1,-1,5.3,-1,31.6,-1,21.1,-1,5.3,-1,18.8,-1,68.8,-1,56.3,-1,6.3,.,20,.,40,.,40,.,0,.,-1,.,-1,.,-1,.,-1,"FRANKSTON ISD",.,-1,.,-1,.,-1,.,-1,.,0,.,45.7,.,5.7,.,0,.,0,.,31.3,.,0,.,0,.,0,.,0,.,0,.,0,-1,4.7,-1,53.5,-1,18.6,-1,0
"'001906",-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,9.1,2.9,54.5,47.1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,37.5,45.5,0,0,0,0,9.1,5.9,63.6,64.7,0,0,0,0,-1,0,-1,40,-1,0,-1,0,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,9.1,0,45.5,29.4,0,0,0,0,0,0,0,10,0,0,0,0,-1,0,-1,0,-1,0,-1,0,11.8,4,52.9,52,0,0,0,0
"'001907",20,20,60,60,20,20,0,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,12.6,15.7,37.2,40.4,9.2,10.4,0,0,7.9,7,19,17.5,0,1.8,0,0,10.1,13.1,32.6,34.5,12.3,12.4,0,0,12,17.2,42,51.7,11,10.3,0,0,15.5,16.5,42.9,42.7,21.4,20.4,0,0,.,.,.,.,.,.,.,.,"PALESTINE ISD",0,0,0,0,33.3,12.5,0,0,13.1,14,32.7,28.9,7.5,10.5,0,0,1.4,2.2,15.9,16.3,6.5,5.9,0,0,0,0,0,0,3.7,0,0,0,13.5,21,48.1,54.8,0,1.6,0,0
"'001908",-1,0,-1,20,-1,0,-1,0,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,0,0,29.2,23.2,5.6,3,0,0,0,0,19,17.9,0,0,0,0,0,0,25.6,21.6,7.7,3.9,0,0,0,0,37.8,32,4.4,2,0,0,0,0,23.1,21.1,0,5.3,0,0,.,-1,.,-1,.,-1,.,-1,"WESTWOOD ISD",0,-1,0,-1,0,-1,0,-1,0,0,14.8,14.3,7.4,4.1,0,0,0,0,3.8,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4,26.1,12.1,4.3,0,0
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,77.3,73.1,0,0,0,0,.,.,.,.,.,.,.,.,0,0,57.1,70,0,0,0,0,0,0,84.6,77.8,0,0,0,0,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,0,0,66.7,70.6,0,0,0,0,-1,0,-1,28.6,-1,0,-1,0,-1,0,-1,16.7,-1,0,-1,0,0,0,76.2,70.8,0,0,0,0
"'002901",0,-1,66.7,-1,16.7,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.4,31.6,34.9,7.4,8.7,0,0,0,-1,0,-1,0,-1,0,-1,0,0,17.8,26,5,1,0,0,0,0.9,35.5,46,7.8,10.6,0,0,0,0.6,28.5,30.9,7,7.3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",0,0,0,0,9.1,0,0,0,0,0,27.5,25,6.9,7,0,0,0,0,3.9,11.2,2.6,2.2,0,0,0,0,0,5.3,0,0,0,0,0,0,36.8,45.7,8,12.9,0,0
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,50.9,38.6,69.1,68.4,0,0,0,0,50,16.7,66.7,41.7,0,0,0,0,31.6,23.1,52.6,53.8,0,0,0,0,51.7,53.6,72.4,71.4,0,0,0,0,27.3,44.4,63.6,66.7,0,0,0,0,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",-1,.,-1,.,-1,.,-1,.,50,24.1,65.4,65.5,0,0,0,0,0,0,28.6,52.9,0,0,0,0,0,0,0,16.7,0,0,0,0,58.6,41.9,72.4,74.2,0,0,0,0
"'003902",0,0,20,40,0,20,0,0,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,0,1.5,47.1,50,20.7,24,6.3,9.8,0,5.3,22.2,15.8,5.6,0,11.1,0,0,2.2,31.6,31.5,17.9,21.3,3.2,4.5,0,2.7,55.3,56.4,21.1,26.4,3.5,10.9,0,2.3,38.8,38.6,22.4,34.1,4.1,6.8,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,-1,0,0,37.2,42.6,20.2,21.3,9.6,8.5,0,0,24.6,9.9,4.6,8.5,3.1,2.8,0,0,0,0,0,0,0,0,0,0.7,53.4,59,21.8,23.9,6.8,12.7
