DISTRICT,ASVAB_STATUS,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION
"'001902"," ","ANDERSON","'001","N","N","CAYUGA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'001903"," ","ANDERSON","'001","N","N","ELKHART ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'001904","ASVAB Alternative Test Offered","ANDERSON","'001","N","N","FRANKSTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'001906"," ","ANDERSON","'001","N","N","NECHES ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'001907"," ","ANDERSON","'001","N","N","PALESTINE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'001908"," ","ANDERSON","'001","N","N","WESTWOOD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'001909"," ","ANDERSON","'001","N","N","SLOCUM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'002901","ASVAB Alternative Test Offered","ANDREWS","'002","N","N","ANDREWS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'18"
"'003801"," ","ANGELINA","'003","N","Y","PINEYWOODS COMMUNITY ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'003902"," ","ANGELINA","'003","N","N","HUDSON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'003903"," ","ANGELINA","'003","N","N","LUFKIN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'003904"," ","ANGELINA","'003","N","N","HUNTINGTON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'003905"," ","ANGELINA","'003","N","N","DIBOLL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'003906"," ","ANGELINA","'003","N","N","ZAVALLA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'003907"," ","ANGELINA","'003","N","N","CENTRAL ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'004901"," ","ARANSAS","'004","N","N","ARANSAS COUNTY ISD","Not Rated: Declared State of Disaster","Needs Intervention","'02"
"'005901"," ","ARCHER","'005","N","N","ARCHER CITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'005902"," ","ARCHER","'005","N","N","HOLLIDAY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'005904"," ","ARCHER","'005","N","N","WINDTHORST ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'006902"," ","ARMSTRONG","'006","N","N","CLAUDE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'007901"," ","ATASCOSA","'007","N","N","CHARLOTTE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'007902"," ","ATASCOSA","'007","N","N","JOURDANTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'007904"," ","ATASCOSA","'007","N","N","LYTLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'007905"," ","ATASCOSA","'007","N","N","PLEASANTON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'007906"," ","ATASCOSA","'007","N","N","POTEET ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'008901"," ","AUSTIN","'008","N","N","BELLVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'06"
"'008902"," ","AUSTIN","'008","N","N","SEALY ISD","Not Rated: Declared State of Disaster","Needs Assistance","'06"
"'008903"," ","AUSTIN","'008","N","N","BRAZOS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'009901"," ","BAILEY","'009","N","N","MULESHOE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'010901"," ","BANDERA","'010","N","N","MEDINA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'010902"," ","BANDERA","'010","N","N","BANDERA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'011901"," ","BASTROP","'011","N","N","BASTROP ISD","Not Rated: Declared State of Disaster","Needs Intervention","'13"
