DISTRICT,DD000AA01221R,DD000AA01321R,DD000AA01S21R,DD000AA11221R,DD000AA11321R,DD000AA11S21R,DD000ABI1221R,DD000ABI1321R,DD000ABI1S21R,DD000AR11221R,DD000AR11321R,DD000AR11S21R,DD000AR21221R,DD000AR21321R,DD000AR21S21R,DD000AUS1221R,DD000AUS1321R,DD000AUS1S21R,DD200AA01221R,DD200AA01321R,DD200AA01S21R,DD200AA11221R,DD200AA11321R,DD200AA11S21R,DD200ABI1221R,DD200ABI1321R,DD200ABI1S21R,DD200AR11221R,DD200AR11321R,DD200AR11S21R,DD200AR21221R,DD200AR21321R,DD200AR21S21R,DD200AUS1221R,DD200AUS1321R,DD200AUS1S21R,DD300AA01221R,DD300AA01321R,DD300AA01S21R,DD300AA11221R,DD300AA11321R,DD300AA11S21R,DD300ABI1221R,DD300ABI1321R,DD300ABI1S21R,DD300AR11221R,DD300AR11321R,DD300AR11S21R,DD300AR21221R,DD300AR21321R,DD300AR21S21R,DD300AUS1221R,DD300AUS1321R,DD300AUS1S21R,DD400AA01221R,DD400AA01321R,DD400AA01S21R,DD400AA11221R,DD400AA11321R,DD400AA11S21R,DD400ABI1221R,DD400ABI1321R,DD400ABI1S21R,DD400AR11221R,DD400AR11321R,DD400AR11S21R,DD400AR21221R,DD400AR21321R,DD400AR21S21R,DD400AUS1221R,DD400AUS1321R,DD400AUS1S21R,DDA00AA01221R,DDA00AA01321R,DDA00AA01S21R,DDA00AA11221R,DDA00AA11321R,DDA00AA11S21R,DDA00ABI1221R,DDA00ABI1321R,DDA00ABI1S21R,DDA00AR11221R,DDA00AR11321R,DDA00AR11S21R,DDA00AR21221R,DDA00AR21321R,DDA00AR21S21R,DDA00AUS1221R,DDA00AUS1321R,DDA00AUS1S21R,DDB00AA01221R,DDB00AA01321R,DDB00AA01S21R,DDB00AA11221R,DDB00AA11321R,DDB00AA11S21R,DDB00ABI1221R,DDB00ABI1321R,DDB00ABI1S21R,DDB00AR11221R,DDB00AR11321R,DDB00AR11S21R,DDB00AR21221R,DDB00AR21321R,DDB00AR21S21R,DDB00AUS1221R,DDB00AUS1321R,DDB00AUS1S21R,DDE00AA01221R,DDE00AA01321R,DDE00AA01S21R,DDE00AA11221R,DDE00AA11321R,DDE00AA11S21R,DDE00ABI1221R,DDE00ABI1321R,DDE00ABI1S21R,DDE00AR11221R,DDE00AR11321R,DDE00AR11S21R,DDE00AR21221R,DDE00AR21321R,DDE00AR21S21R,DDE00AUS1221R,DDE00AUS1321R,DDE00AUS1S21R,DDF00AA01221R,DDF00AA01321R,DDF00AA01S21R,DDF00AA11221R,DDF00AA11321R,DDF00AA11S21R,DDF00ABI1221R,DDF00ABI1321R,DDF00ABI1S21R,DDF00AR11221R,DDF00AR11321R,DDF00AR11S21R,DDF00AR21221R,DDF00AR21321R,DDF00AR21S21R,DDF00AUS1221R,DDF00AUS1321R,DDF00AUS1S21R,DDH00AA01221R,DDH00AA01321R,DDH00AA01S21R,DDH00AA11221R,DDH00AA11321R,DDH00AA11S21R,DDH00ABI1221R,DDH00ABI1321R,DDH00ABI1S21R,DDH00AR11221R,DDH00AR11321R,DDH00AR11S21R,DDH00AR21221R,DDH00AR21321R,DDH00AR21S21R,DDH00AUS1221R,DDH00AUS1321R,DDH00AUS1S21R,DDI00AA01221R,DDI00AA01321R,DDI00AA01S21R,DDI00AA11221R,DDI00AA11321R,DDI00AA11S21R,DDI00ABI1221R,DDI00ABI1321R,DDI00ABI1S21R,DDI00AR11221R,DDI00AR11321R,DDI00AR11S21R,DDI00AR21221R,DDI00AR21321R,DDI00AR21S21R,DDI00AUS1221R,DDI00AUS1321R,DDI00AUS1S21R,DDL00AA01221R,DDL00AA01321R,DDL00AA01S21R,DDL00AA11221R,DDL00AA11321R,DDL00AA11S21R,DDL00ABI1221R,DDL00ABI1321R,DDL00ABI1S21R,DDL00AR11221R,DDL00AR11321R,DDL00AR11S21R,DDL00AR21221R,DDL00AR21321R,DDL00AR21S21R,DDL00AUS1221R,DDL00AUS1321R,DDL00AUS1S21R,DDM00AA01221R,DDM00AA01321R,DDM00AA01S21R,DDM00AA11221R,DDM00AA11321R,DDM00AA11S21R,DDM00ABI1221R,DDM00ABI1321R,DDM00ABI1S21R,DDM00AR11221R,DDM00AR11321R,DDM00AR11S21R,DDM00AR21221R,DDM00AR21321R,DDM00AR21S21R,DDM00AUS1221R,DDM00AUS1321R,DDM00AUS1S21R,DDR00AA01221R,DDR00AA01321R,DDR00AA01S21R,DDR00AA11221R,DDR00AA11321R,DDR00AA11S21R,DDR00ABI1221R,DDR00ABI1321R,DDR00ABI1S21R,DDR00AR11221R,DDR00AR11321R,DDR00AR11S21R,DDR00AR21221R,DDR00AR21321R,DDR00AR21S21R,DDR00AUS1221R,DDR00AUS1321R,DDR00AUS1S21R,DDS00AA01221R,DDS00AA01321R,DDS00AA01S21R,DDS00AA11221R,DDS00AA11321R,DDS00AA11S21R,DDS00ABI1221R,DDS00ABI1321R,DDS00ABI1S21R,DDS00AR11221R,DDS00AR11321R,DDS00AR11S21R,DDS00AR21221R,DDS00AR21321R,DDS00AR21S21R,DDS00AUS1221R,DDS00AUS1321R,DDS00AUS1S21R,DDW00AA01221R,DDW00AA01321R,DDW00AA01S21R,DDW00AA11221R,DDW00AA11321R,DDW00AA11S21R,DDW00ABI1221R,DDW00ABI1321R,DDW00ABI1S21R,DDW00AR11221R,DDW00AR11321R,DDW00AR11S21R,DDW00AR21221R,DDW00AR21321R,DDW00AR21S21R,DDW00AUS1221R,DDW00AUS1321R,DDW00AUS1S21R,DISTNAME,DNC00AA01221R,DNC00AA01321R,DNC00AA01S21R,DNC00AA11221R,DNC00AA11321R,DNC00AA11S21R,DNC00ABI1221R,DNC00ABI1321R,DNC00ABI1S21R,DNC00AR11221R,DNC00AR11321R,DNC00AR11S21R,DNC00AR21221R,DNC00AR21321R,DNC00AR21S21R,DNC00AUS1221R,DNC00AUS1321R,DNC00AUS1S21R,DNM00AA01221R,DNM00AA01321R,DNM00AA01S21R,DNM00AA11221R,DNM00AA11321R,DNM00AA11S21R,DNM00ABI1221R,DNM00ABI1321R,DNM00ABI1S21R,DNM00AR11221R,DNM00AR11321R,DNM00AR11S21R,DNM00AR21221R,DNM00AR21321R,DNM00AR21S21R,DNM00AUS1221R,DNM00AUS1321R,DNM00AUS1S21R,DNS00AA01221R,DNS00AA01321R,DNS00AA01S21R,DNS00AA11221R,DNS00AA11321R,DNS00AA11S21R,DNS00ABI1221R,DNS00ABI1321R,DNS00ABI1S21R,DNS00AR11221R,DNS00AR11321R,DNS00AR11S21R,DNS00AR21221R,DNS00AR21321R,DNS00AR21S21R,DNS00AUS1221R,DNS00AUS1321R,DNS00AUS1S21R
"'001902",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,29,93,73,18,94,69,19,86,76,21,84,77,34,95,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,42,5,84,55,9,82,42,0,74,56,0,78,71,29,100,.,.,.,71,33,90,78,17,100,82,27,86,81,44,94,71,25,96,.,.,.,20,0,80,-1,-1,-1,20,0,60,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,60,25,95,67,20,87,55,10,85,73,5,77,85,45,95,.,.,.,44,6,83,30,10,90,39,6,72,60,5,70,52,19,90,.,.,.,50,8,83,50,0,67,25,0,50,29,0,43,44,22,78,.,.,.,71,35,94,80,20,97,80,23,91,81,23,87,80,31,94,"CAYUGA ISD",.,.,.,62,35,91,83,17,100,74,18,88,78,25,84,76,35,95,.,.,.,86,0,100,44,22,78,50,25,75,67,0,83,86,29,100,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
"'001903",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,0,93,54,24,89,70,35,95,71,15,85,67,23,83,77,41,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,0,40,50,0,83,-1,-1,-1,-1,-1,-1,42,16,82,58,28,89,60,12,79,56,15,74,65,35,91,44,0,89,53,18,92,62,27,98,70,20,87,79,29,91,73,30,94,-1,-1,-1,54,38,85,54,38,85,64,14,86,86,57,100,71,57,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,60,0,100,56,32,85,79,44,92,73,11,82,56,17,76,81,51,97,-1,-1,-1,29,6,65,50,17,83,38,6,69,14,0,43,43,14,100,.,.,.,18,0,55,33,22,78,33,0,56,43,14,43,0,0,40,44,0,89,57,22,92,75,33,98,75,16,87,66,21,81,79,39,98,"ELKHART ISD",55,0,91,54,22,89,71,33,93,70,17,86,72,23,82,79,42,95,-1,-1,-1,56,30,89,69,38,100,74,11,81,47,20,87,69,38,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001904",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,47,19,84,60,22,82,62,13,84,71,24,77,79,59,92,.,.,.,13,0,75,29,14,57,57,14,71,57,0,57,43,14,57,.,.,.,32,18,71,40,12,68,48,6,74,52,19,59,52,43,83,.,.,.,56,22,89,69,23,89,77,20,97,77,35,77,76,56,92,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,40,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,16,81,45,20,70,42,4,65,68,18,78,82,61,92,.,.,.,18,11,71,32,12,60,41,7,69,38,4,54,55,27,82,.,.,.,0,0,25,0,0,14,25,0,38,27,18,36,33,11,67,-1,-1,-1,57,21,90,69,24,86,68,15,89,79,28,85,90,69,96,"FRANKSTON ISD",-1,-1,-1,53,28,84,62,22,84,74,13,87,76,26,82,85,60,96,-1,-1,-1,38,8,85,56,22,78,41,14,77,56,19,63,60,53,80,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1
"'001906",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85,60,95,81,43,95,61,17,87,68,4,80,75,30,90,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,86,57,100,71,29,100,50,13,75,69,8,85,75,25,100,.,.,.,100,70,100,100,55,100,91,27,100,85,8,100,79,29,86,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,70,50,90,60,30,90,33,8,75,50,0,58,67,33,100,.,.,.,67,17,100,50,17,83,25,0,75,50,0,70,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,88,63,100,81,38,94,56,17,89,75,5,85,72,28,89,"NECHES ISD",.,.,.,87,60,93,87,47,93,69,19,94,71,5,81,76,24,94,.,.,.,80,60,100,67,33,100,43,14,71,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.
"'001907",.,.,.,38,20,74,34,4,69,26,0,53,25,0,44,27,8,70,.,.,.,33,25,75,63,13,63,29,14,43,-1,-1,-1,45,36,64,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,0,100,43,28,75,48,18,75,41,8,59,48,10,61,59,33,82,.,.,.,24,14,67,30,9,61,19,2,42,38,2,46,43,13,77,-1,-1,-1,44,29,75,48,19,75,41,7,59,44,5,55,51,25,78,-1,-1,-1,46,31,78,50,15,78,49,8,68,57,13,69,56,33,83,.,.,.,45,28,79,45,12,75,42,2,62,45,7,59,56,31,81,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,23,8,65,23,0,60,13,0,37,13,0,33,22,4,74,80,0,100,40,26,72,46,20,72,34,7,52,40,8,53,61,32,81,.,.,.,24,11,64,26,3,61,21,0,45,28,2,43,42,14,73,.,.,.,3,3,29,14,0,46,2,0,18,17,3,23,39,12,55,86,0,100,58,43,76,61,31,84,66,21,79,61,22,74,77,49,90,"PALESTINE ISD",83,0,100,42,29,76,47,15,75,37,5,58,47,7,59,58,32,82,-1,-1,-1,47,25,71,50,31,75,51,16,63,54,19,65,62,36,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"'001908",.,.,.,18,9,82,27,0,73,0,0,10,13,0,19,-1,-1,-1,.,.,.,38,38,88,-1,-1,-1,40,0,80,57,0,71,40,40,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,0,100,33,22,81,69,22,90,35,7,50,47,4,59,56,28,86,-1,-1,-1,35,18,82,57,22,87,32,4,44,32,3,48,18,9,64,-1,-1,-1,24,19,76,59,21,86,31,7,45,44,3,54,48,26,81,63,0,100,35,23,80,65,22,87,40,4,60,56,5,61,55,25,91,-1,-1,-1,24,11,79,69,22,89,36,5,50,50,5,58,66,31,86,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,18,9,82,27,0,73,0,0,10,13,0,19,-1,-1,-1,60,0,100,31,22,81,73,22,93,32,8,43,39,3,56,57,32,81,-1,-1,-1,18,10,75,52,7,82,16,4,34,29,3,42,36,15,77,.,.,.,33,20,80,20,10,60,28,17,39,23,8,23,19,6,50,64,0,100,38,31,82,77,23,91,36,11,51,53,5,65,60,29,90,"WESTWOOD ISD",58,0,100,35,22,82,74,22,92,34,6,52,50,6,60,54,29,89,-1,-1,-1,27,23,77,54,21,83,37,10,43,39,0,55,69,25,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,19,7,78,72,10,100,82,21,96,85,24,97,93,48,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,8,8,75,64,9,100,75,17,100,100,17,100,83,50,100,-1,-1,-1,7,7,80,75,6,100,81,19,100,94,35,100,100,45,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,8,75,69,15,100,83,25,92,75,13,94,89,50,100,-1,-1,-1,0,0,64,60,0,100,64,9,91,86,14,100,89,56,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,9,77,73,14,100,78,22,96,89,29,100,92,50,100,"SLOCUM ISD",.,.,.,22,11,78,78,11,100,78,22,94,82,27,100,95,48,100,-1,-1,-1,11,0,78,64,9,100,90,20,100,91,18,91,88,50,100,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'002901",.,.,.,39,27,77,34,11,77,17,2,33,18,0,31,19,11,65,.,.,.,67,50,83,83,67,83,71,43,71,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,29,82,57,24,86,40,8,59,55,7,68,61,39,84,.,.,.,25,0,63,14,0,43,33,0,50,20,20,20,20,20,60,.,.,.,38,21,76,45,16,81,29,4,46,40,3,56,45,26,79,.,.,.,55,38,87,62,29,91,46,11,68,57,9,72,53,30,81,.,.,.,46,25,79,51,19,84,33,5,51,50,5,66,55,33,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,30,18,70,18,3,73,6,0,21,9,0,18,10,3,59,.,.,.,45,23,77,52,20,82,35,5,51,54,5,65,68,47,86,.,.,.,35,17,74,42,11,77,21,2,42,34,1,50,42,21,75,.,.,.,15,8,51,14,6,46,8,5,15,8,3,18,26,18,55,.,.,.,58,38,88,69,32,92,55,12,77,68,11,76,75,51,92,"ANDREWS ISD",.,.,.,52,31,82,61,27,87,42,9,60,57,7,70,63,39,85,.,.,.,40,24,79,38,10,79,33,3,54,46,8,61,53,37,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003801",.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,47,35,77,70,34,96,55,8,77,69,9,78,80,59,93,.,.,.,29,14,57,50,17,92,33,0,53,43,0,43,67,33,67,-1,-1,-1,32,29,79,70,22,100,46,0,64,70,7,77,71,46,93,-1,-1,-1,52,40,79,65,37,98,59,7,78,79,15,85,86,69,97,-1,-1,-1,41,32,82,70,26,100,64,14,82,73,7,73,79,64,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,25,75,79,29,92,50,8,75,58,3,71,74,48,89,.,.,.,17,13,54,50,0,90,26,0,52,42,0,54,40,20,73,.,.,.,13,0,38,-1,-1,-1,13,0,38,0,0,20,.,.,.,-1,-1,-1,62,48,86,77,48,94,59,7,85,72,12,86,83,61,100,"PINEYWOODS COMMUNITY ACADEMY",-1,-1,-1,42,31,77,66,30,96,50,4,74,63,8,73,74,55,90,-1,-1,-1,64,50,79,82,47,94,73,20,87,93,14,100,100,71,100,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1
"'003902",.,.,.,63,21,89,37,7,78,50,0,68,52,4,68,40,7,87,.,.,.,-1,-1,-1,-1,-1,-1,60,0,80,-1,-1,-1,83,50,100,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88,10,100,69,44,93,62,20,91,68,19,81,79,18,85,80,50,95,-1,-1,-1,41,6,88,18,6,82,47,11,79,33,0,44,58,25,83,86,0,100,61,29,90,49,8,86,54,9,76,67,13,76,69,39,89,81,3,100,71,44,94,60,20,95,64,21,80,81,23,86,76,41,94,83,0,100,72,49,90,56,20,85,63,18,75,78,21,85,76,42,92,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,33,0,78,10,10,50,18,0,45,22,0,44,20,0,80,100,24,100,67,43,93,63,19,86,72,17,83,76,13,83,83,58,95,-1,-1,-1,53,20,89,45,7,83,48,5,68,61,4,72,56,31,86,.,.,.,35,8,77,25,0,67,20,8,36,14,7,36,32,11,68,90,12,100,71,47,97,71,21,95,75,21,86,83,18,88,83,56,97,"HUDSON ISD",91,11,100,72,49,95,62,23,89,73,25,81,82,20,88,81,51,97,-1,-1,-1,61,29,90,62,12,96,56,5,81,65,11,68,72,44,84,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
