DISTRICT,DD003AMA1221R,DD003AMA1321R,DD003AMA1S21R,DD003ARE1221R,DD003ARE1321R,DD003ARE1S21R,DD203AMA1221R,DD203AMA1321R,DD203AMA1S21R,DD203ARE1221R,DD203ARE1321R,DD203ARE1S21R,DD303AMA1221R,DD303AMA1321R,DD303AMA1S21R,DD303ARE1221R,DD303ARE1321R,DD303ARE1S21R,DD403AMA1221R,DD403AMA1321R,DD403AMA1S21R,DD403ARE1221R,DD403ARE1321R,DD403ARE1S21R,DDA03AMA1221R,DDA03AMA1321R,DDA03AMA1S21R,DDA03ARE1221R,DDA03ARE1321R,DDA03ARE1S21R,DDB03AMA1221R,DDB03AMA1321R,DDB03AMA1S21R,DDB03ARE1221R,DDB03ARE1321R,DDB03ARE1S21R,DDE03AMA1221R,DDE03AMA1321R,DDE03AMA1S21R,DDE03ARE1221R,DDE03ARE1321R,DDE03ARE1S21R,DDF03AMA1221R,DDF03AMA1321R,DDF03AMA1S21R,DDF03ARE1221R,DDF03ARE1321R,DDF03ARE1S21R,DDH03AMA1221R,DDH03AMA1321R,DDH03AMA1S21R,DDH03ARE1221R,DDH03ARE1321R,DDH03ARE1S21R,DDI03AMA1221R,DDI03AMA1321R,DDI03AMA1S21R,DDI03ARE1221R,DDI03ARE1321R,DDI03ARE1S21R,DDL03AMA1221R,DDL03AMA1321R,DDL03AMA1S21R,DDL03ARE1221R,DDL03ARE1321R,DDL03ARE1S21R,DDM03AMA1221R,DDM03AMA1321R,DDM03AMA1S21R,DDM03ARE1221R,DDM03ARE1321R,DDM03ARE1S21R,DDR03AMA1221R,DDR03AMA1321R,DDR03AMA1S21R,DDR03ARE1221R,DDR03ARE1321R,DDR03ARE1S21R,DDS03AMA1221R,DDS03AMA1321R,DDS03AMA1S21R,DDS03ARE1221R,DDS03ARE1321R,DDS03ARE1S21R,DDW03AMA1221R,DDW03AMA1321R,DDW03AMA1S21R,DDW03ARE1221R,DDW03ARE1321R,DDW03ARE1S21R,DISTNAME,DNC03AMA1221R,DNC03AMA1321R,DNC03AMA1S21R,DNC03ARE1221R,DNC03ARE1321R,DNC03ARE1S21R,DNM03AMA1221R,DNM03AMA1321R,DNM03AMA1S21R,DNM03ARE1221R,DNM03ARE1321R,DNM03ARE1S21R,DNS03AMA1221R,DNS03AMA1321R,DNS03AMA1S21R,DNS03ARE1221R,DNS03ARE1321R,DNS03ARE1S21R
"'001902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,63,88,71,50,92,-1,-1,-1,-1,-1,-1,57,57,71,71,43,86,91,82,100,91,64,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,62,46,77,54,38,85,43,29,71,43,14,86,-1,-1,-1,-1,-1,-1,77,68,91,77,55,95,"CAYUGA ISD",76,71,94,76,47,94,71,43,71,57,57,86,.,.,.,.,.,.
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,41,16,84,55,24,85,.,.,.,.,.,.,32,11,80,41,9,77,40,14,81,51,19,86,17,17,33,50,33,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,18,86,59,29,84,30,9,70,35,13,65,11,0,67,33,11,56,42,16,87,56,25,85,"ELKHART ISD",41,15,84,49,19,82,45,20,85,80,45,95,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,61,39,83,59,39,85,-1,-1,-1,-1,-1,-1,39,26,78,43,22,83,65,47,88,65,41,88,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,58,33,79,54,38,83,14,7,50,21,14,57,-1,-1,-1,-1,-1,-1,66,41,88,56,44,88,"FRANKSTON ISD",58,27,88,65,42,88,67,60,73,47,33,80,-1,-1,-1,-1,-1,-1
"'001906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,8,83,61,35,83,-1,-1,-1,-1,-1,-1,27,0,64,50,20,70,30,0,80,70,20,80,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,36,14,86,54,46,85,0,0,40,20,0,60,-1,-1,-1,-1,-1,-1,29,6,94,63,38,81,"NECHES ISD",29,0,93,69,38,92,40,20,70,50,30,70,-1,-1,-1,-1,-1,-1
"'001907",30,12,56,23,14,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,9,63,30,12,62,20,3,54,25,5,52,26,7,60,24,9,57,33,14,66,39,16,70,31,10,64,28,11,63,-1,-1,-1,-1,-1,-1,30,12,56,23,14,49,30,5,61,22,9,55,24,6,52,15,7,42,36,4,57,21,0,50,50,13,73,40,23,70,"PALESTINE ISD",34,11,65,31,13,64,17,0,50,21,8,50,17,0,67,33,17,67
"'001908",0,0,25,0,0,38,20,20,40,20,0,40,.,.,.,.,.,.,.,.,.,.,.,.,14,5,46,23,11,54,0,0,33,0,0,17,12,5,41,19,9,51,7,0,37,22,7,53,14,5,36,24,10,57,.,.,.,.,.,.,0,0,25,0,0,38,24,11,57,24,16,54,5,2,21,0,0,32,22,0,44,33,0,56,18,5,55,30,16,64,"WESTWOOD ISD",10,1,45,24,10,54,31,19,50,20,13,53,-1,-1,-1,-1,-1,-1
"'001909",.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,26,10,61,39,19,74,.,.,.,.,.,.,27,0,47,20,7,60,7,0,67,33,13,80,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,44,19,56,44,25,69,22,0,22,11,0,44,-1,-1,-1,-1,-1,-1,25,11,64,43,21,79,"SLOCUM ISD",20,4,60,36,16,72,50,33,67,50,33,83,.,.,.,.,.,.
"'002901",20,7,64,42,21,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,32,15,72,47,20,81,-1,-1,-1,-1,-1,-1,21,8,61,33,14,73,27,12,70,48,20,84,29,11,69,44,16,78,.,.,.,.,.,.,20,7,64,42,21,70,37,17,74,46,19,78,16,5,53,29,12,61,19,4,41,23,4,65,38,20,79,52,24,89,"ANDREWS ISD",31,14,71,46,20,79,38,21,77,49,18,90,-1,-1,-1,-1,-1,-1
"'003801",0,0,67,0,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,34,15,76,48,28,77,14,7,57,36,29,50,28,6,72,36,21,66,27,12,78,51,27,83,20,12,76,28,12,84,-1,-1,-1,-1,-1,-1,0,0,67,0,0,67,42,18,74,45,29,71,18,5,61,32,11,68,13,0,50,38,13,63,47,17,81,64,39,81,"PINEYWOODS COMMUNITY ACADEMY",33,16,78,40,22,74,38,14,71,71,43,86,.,.,.,.,.,.
"'003902",44,17,78,33,17,78,50,17,83,50,17,83,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,39,13,81,40,16,81,0,0,62,8,0,62,28,6,73,37,11,75,33,11,80,37,13,82,27,7,78,31,11,78,-1,-1,-1,-1,-1,-1,44,17,78,33,17,78,44,14,82,42,20,80,31,9,71,24,11,67,15,0,41,8,0,50,46,15,84,46,20,86,"HUDSON ISD",39,13,82,39,16,82,37,7,74,41,19,78,-1,-1,-1,-1,-1,-1
