DISTRICT,DD007AMA1221R,DD007AMA1321R,DD007AMA1S21R,DD007ARE1221R,DD007ARE1321R,DD007ARE1S21R,DD007AWR1221R,DD007AWR1321R,DD007AWR1S21R,DD207AMA1221R,DD207AMA1321R,DD207AMA1S21R,DD207ARE1221R,DD207ARE1321R,DD207ARE1S21R,DD207AWR1221R,DD207AWR1321R,DD207AWR1S21R,DD307AMA1221R,DD307AMA1321R,DD307AMA1S21R,DD307ARE1221R,DD307ARE1321R,DD307ARE1S21R,DD307AWR1221R,DD307AWR1321R,DD307AWR1S21R,DD407AMA1221R,DD407AMA1321R,DD407AMA1S21R,DD407ARE1221R,DD407ARE1321R,DD407ARE1S21R,DD407AWR1221R,DD407AWR1321R,DD407AWR1S21R,DDA07AMA1221R,DDA07AMA1321R,DDA07AMA1S21R,DDA07ARE1221R,DDA07ARE1321R,DDA07ARE1S21R,DDA07AWR1221R,DDA07AWR1321R,DDA07AWR1S21R,DDB07AMA1221R,DDB07AMA1321R,DDB07AMA1S21R,DDB07ARE1221R,DDB07ARE1321R,DDB07ARE1S21R,DDB07AWR1221R,DDB07AWR1321R,DDB07AWR1S21R,DDE07AMA1221R,DDE07AMA1321R,DDE07AMA1S21R,DDE07ARE1221R,DDE07ARE1321R,DDE07ARE1S21R,DDE07AWR1221R,DDE07AWR1321R,DDE07AWR1S21R,DDF07AMA1221R,DDF07AMA1321R,DDF07AMA1S21R,DDF07ARE1221R,DDF07ARE1321R,DDF07ARE1S21R,DDF07AWR1221R,DDF07AWR1321R,DDF07AWR1S21R,DDH07AMA1221R,DDH07AMA1321R,DDH07AMA1S21R,DDH07ARE1221R,DDH07ARE1321R,DDH07ARE1S21R,DDH07AWR1221R,DDH07AWR1321R,DDH07AWR1S21R,DDI07AMA1221R,DDI07AMA1321R,DDI07AMA1S21R,DDI07ARE1221R,DDI07ARE1321R,DDI07ARE1S21R,DDI07AWR1221R,DDI07AWR1321R,DDI07AWR1S21R,DDL07AMA1221R,DDL07AMA1321R,DDL07AMA1S21R,DDL07ARE1221R,DDL07ARE1321R,DDL07ARE1S21R,DDL07AWR1221R,DDL07AWR1321R,DDL07AWR1S21R,DDM07AMA1221R,DDM07AMA1321R,DDM07AMA1S21R,DDM07ARE1221R,DDM07ARE1321R,DDM07ARE1S21R,DDM07AWR1221R,DDM07AWR1321R,DDM07AWR1S21R,DDR07AMA1221R,DDR07AMA1321R,DDR07AMA1S21R,DDR07ARE1221R,DDR07ARE1321R,DDR07ARE1S21R,DDR07AWR1221R,DDR07AWR1321R,DDR07AWR1S21R,DDS07AMA1221R,DDS07AMA1321R,DDS07AMA1S21R,DDS07ARE1221R,DDS07ARE1321R,DDS07ARE1S21R,DDS07AWR1221R,DDS07AWR1321R,DDS07AWR1S21R,DDW07AMA1221R,DDW07AMA1321R,DDW07AMA1S21R,DDW07ARE1221R,DDW07ARE1321R,DDW07ARE1S21R,DDW07AWR1221R,DDW07AWR1321R,DDW07AWR1S21R,DISTNAME,DNC07AMA1221R,DNC07AMA1321R,DNC07AMA1S21R,DNC07ARE1221R,DNC07ARE1321R,DNC07ARE1S21R,DNC07AWR1221R,DNC07AWR1321R,DNC07AWR1S21R,DNM07AMA1221R,DNM07AMA1321R,DNM07AMA1S21R,DNM07ARE1221R,DNM07ARE1321R,DNM07ARE1S21R,DNM07AWR1221R,DNM07AWR1321R,DNM07AWR1S21R,DNS07AMA1221R,DNS07AMA1321R,DNS07AMA1S21R,DNS07ARE1221R,DNS07ARE1321R,DNS07ARE1S21R,DNS07AWR1221R,DNS07AWR1321R,DNS07AWR1S21R
"'001902",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,33,91,69,42,87,42,11,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,27,86,64,45,86,32,14,77,75,40,100,75,50,90,50,25,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,28,84,64,36,84,36,0,64,55,14,82,50,23,73,18,5,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,34,93,68,46,85,44,12,76,"CAYUGA ISD",62,24,88,59,26,82,38,12,74,91,64,100,100,91,100,55,9,91,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,25,85,61,44,87,56,24,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,16,81,55,29,84,41,9,81,51,23,85,64,41,90,55,18,85,56,33,100,78,67,100,67,22,89,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,27,84,58,47,84,57,30,76,25,0,50,38,0,63,0,0,63,25,0,50,13,0,25,13,0,13,54,26,83,61,43,87,56,26,79,"ELKHART ISD",62,24,82,62,40,89,56,18,84,45,28,90,59,52,83,55,35,74,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,46,22,78,51,21,71,30,2,62,50,0,67,17,0,50,17,0,33,41,21,79,41,17,66,28,0,55,44,18,79,53,21,74,38,3,65,56,33,89,56,22,78,33,0,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,28,76,48,21,69,21,0,59,18,0,41,6,0,24,0,0,12,10,0,50,20,0,20,10,0,10,45,25,77,59,25,75,34,2,70,"FRANKSTON ISD",48,21,71,50,14,67,29,2,60,43,24,90,52,33,81,33,0,67,.,.,.,.,.,.,.,.,.
"'001906",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,38,95,71,57,90,52,10,90,.,.,.,.,.,.,.,.,.,75,25,88,38,25,75,63,0,88,75,42,100,83,58,100,50,17,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89,33,89,56,56,78,56,0,89,83,0,100,50,0,83,33,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,35,94,76,59,88,41,12,88,"NECHES ISD",88,44,100,81,63,94,50,13,100,60,20,80,40,40,80,60,0,60,.,.,.,.,.,.,.,.,.
"'001907",26,9,65,35,15,62,24,2,50,67,11,78,56,44,100,44,11,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,31,12,66,45,26,70,31,7,60,14,10,59,33,12,65,22,2,59,25,10,62,41,22,65,25,4,57,27,13,64,51,30,77,42,11,67,29,12,66,44,27,68,32,5,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,6,53,17,9,49,13,0,40,34,12,68,40,23,64,22,4,54,13,5,49,23,10,55,15,1,41,15,9,30,24,18,42,12,3,24,38,13,69,52,34,72,35,13,62,"PALESTINE ISD",33,14,71,48,27,71,32,7,65,25,7,52,36,25,66,28,7,44,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001908",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,7,0,26,28,15,59,17,3,51,0,0,6,21,11,42,11,5,47,6,0,24,26,10,54,16,4,41,3,0,26,36,18,69,20,4,62,5,0,25,33,17,67,17,0,58,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,0,26,21,13,50,15,2,40,4,0,13,11,5,45,2,0,29,6,0,13,6,0,25,6,0,13,13,0,35,27,18,64,20,2,51,"WESTWOOD ISD",8,0,27,30,15,63,17,0,55,6,0,22,23,14,45,18,14,36,.,.,.,.,.,.,.,.,.
"'001909",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,24,81,52,38,86,41,9,82,.,.,.,.,.,.,.,.,.,33,17,67,67,33,83,17,0,83,36,21,93,57,43,100,47,13,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,29,57,43,29,57,29,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,19,81,44,38,88,41,12,82,"SLOCUM ISD",44,31,88,50,50,88,38,6,81,20,0,60,60,0,80,50,17,83,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'002901",13,0,54,23,15,46,21,3,49,29,0,86,71,29,100,29,14,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,30,10,65,47,25,70,32,6,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,4,54,33,16,56,21,3,50,29,10,65,53,28,72,42,8,69,27,7,60,42,21,62,30,5,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,26,4,0,17,4,0,17,31,9,64,42,23,69,24,4,58,10,1,45,24,11,46,14,2,40,14,0,31,14,10,28,7,3,10,38,18,73,58,35,86,38,9,76,"ANDREWS ISD",31,10,66,48,26,72,32,5,65,28,9,61,46,24,65,33,10,58,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003801",17,0,50,33,17,67,33,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,46,18,76,49,30,76,30,9,58,29,0,57,36,21,64,14,0,57,38,13,67,36,21,69,26,8,56,46,14,76,54,35,76,26,8,63,37,11,74,32,11,68,26,0,47,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,23,77,44,26,77,33,10,54,19,5,59,22,11,59,8,5,35,0,0,63,0,0,50,0,0,0,61,32,84,61,42,82,38,18,64,"PINEYWOODS COMMUNITY ACADEMY",45,18,75,52,36,73,30,9,56,50,20,80,40,15,85,30,10,65,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003902",60,32,72,56,32,92,40,16,76,43,14,71,57,29,71,29,29,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,63,30,84,62,39,89,40,16,79,38,13,69,50,44,81,19,6,75,54,21,75,57,33,84,32,10,71,63,28,81,67,37,92,46,19,84,61,28,81,56,28,84,46,18,77,.,.,.,.,.,.,.,.,.,27,18,45,27,9,91,9,9,55,63,32,86,57,40,86,34,14,75,36,11,61,35,13,73,11,4,48,29,10,38,25,20,60,14,10,33,67,33,87,66,43,94,42,17,81,"HUDSON ISD",66,32,86,64,39,93,41,16,80,55,25,77,55,38,80,39,18,77,.,.,.,.,.,.,.,.,.
