DISTRICT,D20GV19R,D20GV20R,D2HEC19R,D2HEC20R,D2HEE19R,D2HEE20R,D30GV19R,D30GV20R,D3HEC19R,D3HEC20R,D3HEE19R,D3HEE20R,D40GV19R,D40GV20R,D4HEC19R,D4HEC20R,D4HEE19R,D4HEE20R,DA0GV19R,DA0GV20R,DAHEC19R,DAHEC20R,DAHEE19R,DAHEE20R,DB0GV19R,DB0GV20R,DBHEC19R,DBHEC20R,DBHEE19R,DBHEE20R,DE0GV19R,DE0GV20R,DEHEC19R,DEHEC20R,DEHEE19R,DEHEE20R,DF0GV19R,DF0GV20R,DH0GV19R,DH0GV20R,DHHEC19R,DHHEC20R,DHHEE19R,DHHEE20R,DI0GV19R,DI0GV20R,DIHEC19R,DIHEC20R,DIHEE19R,DIHEE20R,DISTNAME,DL0GV19R,DL0GV20R,DLHEC19R,DLHEC20R,DLHEE19R,DLHEE20R,DM0GV19R,DM0GV20R,DR0GV19R,DR0GV20R,DS0GV19R,DS0GV20R,DSHEC19R,DSHEC20R,DSHEE19R,DSHEE20R,DW0GV19R,DW0GV20R,DWHEC19R,DWHEC20R,DWHEE19R,DWHEE20R
"'001902",-1,-1,.,.,-1,-1,.,.,-1,.,-1,.,.,.,.,.,.,.,79.2,70.7,93.3,26.3,41,60.4,-1,-1,.,.,-1,-1,80,66.7,-1,-1,28.6,31.6,84.2,68.2,.,-1,.,.,-1,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,75.9,73.7,92.3,68.8,87.5,70,.,.,0,0,83.7,72.7,92.3,26.3,43.8,65.1
"'001903",-1,-1,-1,.,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,86.3,65.2,82.1,100,54.1,41.3,-1,50,.,.,-1,-1,85,56.4,75,.,42.9,27.5,83.3,66,85.7,54.5,-1,.,66.7,14.3,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,88.6,64.3,85,65.9,100,46.7,-1,.,57.1,25,85.5,67.1,87.9,100,54.8,44.9
"'001904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,100,86.2,.,51.7,-1,.,-1,-1,.,20,.,-1,100,90.9,.,47.8,-1,-1,100,.,100,83.3,.,66.7,.,.,-1,.,.,.,.,"FRANKSTON ISD",.,-1,.,.,.,.,.,100,.,100,.,100,-1,.,-1,.,-1,100,86.4,.,53.5,-1
"'001906",-1,.,.,.,-1,-1,.,-1,.,.,-1,.,.,.,.,.,.,.,63.6,55.9,86.7,100,68.2,63.6,-1,-1,-1,-1,-1,-1,62.5,36.4,-1,-1,50,37.5,72.7,58.8,-1,40,-1,-1,-1,-1,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,54.5,52.9,66.7,30,-1,40,-1,.,16.7,-1,64.7,68,92.3,100,81.3,58.8
"'001907",40,60,-1,-1,-1,40,-1,-1,.,-1,.,-1,.,.,.,.,.,.,90.3,88.7,66.3,30,47.7,45.4,90.5,96.5,60.9,45.5,51,39.7,90.6,91,66.7,25,42.2,38.4,92,87.1,92.9,91.3,58.1,25.9,36.4,47.6,.,.,.,.,-1,.,"PALESTINE ISD",88.9,87.5,-1,.,-1,11.1,88.8,90.4,93.5,94.1,66.7,77.3,-1,.,18.2,11.1,92.3,83.9,73.8,30,58.9,50
"'001908",-1,80,.,.,0,-1,-1,.,.,.,.,-1,.,.,.,.,.,.,86.1,91.9,63.8,100,48.5,44.4,85.7,96.4,28.6,-1,68.2,52.4,84.6,88.2,42.9,-1,44.9,38.5,88.9,90,84.6,89.5,90,.,47.8,30.8,.,-1,.,.,.,.,"WESTWOOD ISD",60,-1,.,.,-1,20,81.5,93.9,80.8,93.5,83.3,100,-1,.,25,0,84.8,91.3,73.9,100,45.1,42.4
"'001909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,51.9,81.8,.,.,.,.,.,.,100,100,100,-1,33.3,57.1,100,100,.,-1,.,.,-1,.,-1,.,.,-1,.,-1,"SLOCUM ISD",.,.,.,.,.,.,100,100,-1,100,-1,100,.,.,0,-1,100,100,100,100,53.8,81
"'002901",16.7,-1,.,.,-1,0,.,.,.,.,-1,.,.,.,.,.,.,.,49.3,36.5,63.6,40.6,40.8,43.4,83.3,-1,-1,.,-1,16.7,49.5,30.2,60.9,50,33.8,30.7,46.8,38.1,53.5,41.8,51.9,37.1,35.1,40.1,-1,-1,.,-1,.,-1,"ANDREWS ISD",45.5,20,.,.,0,9.1,51.9,35.2,40.8,30.3,44.4,26.3,-1,.,13.3,5.3,40.2,27.1,82.9,46.4,52.1,54
"'003801",-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,25.5,12.3,57.7,10.3,60,65.5,41.7,0,44.4,0,81.8,83.3,36.8,15.4,55.6,12.5,75,52.6,34.5,10.7,9.1,22.2,-1,-1,-1,45.5,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",-1,.,.,.,.,-1,15.4,13.8,35.7,5.9,40,50,-1,-1,-1,40,24.1,16.1,57.1,6.3,50,65.5
"'003902",100,100,-1,.,-1,40,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,88.9,95.1,79.3,4.2,59.8,61.1,88.9,84.2,-1,-1,50,38.9,88.4,92.1,66.7,0,55.9,44.2,90.4,91.8,85.7,97.7,77.4,0,56.4,57.1,-1,-1,.,-1,.,-1,"HUDSON ISD",-1,-1,-1,.,40,-1,87.2,98.9,83.1,94.4,94.4,85.7,12.5,.,37.5,27.8,89.5,95.5,80.3,5.7,60.9,65.4
"'003903",87.5,100,42.9,-1,50,50,85.7,100,90,-1,90.9,71.4,-1,.,.,.,.,-1,87.6,94.5,66.4,6.3,58.8,56.3,85.8,95,44.7,4.3,62,47,87.2,94.6,59.8,3.9,53.9,52.1,86.9,93.6,90.6,96.2,66.7,10,58.8,62.3,-1,-1,-1,.,-1,-1,"LUFKIN ISD",76.9,97.2,42.9,-1,46.7,50,88.3,95.3,87.3,95.9,73,88.3,18.2,-1,21.6,20.6,85,90.4,85.2,4.5,54.4,56.5
"'003904",-1,-1,.,-1,-1,-1,-1,.,.,.,.,-1,.,.,.,.,.,.,69.2,77.4,70,0,43.5,42.1,-1,-1,-1,.,-1,-1,61.9,71.7,80,0,27.6,22.2,64.4,68.3,71.4,75,50,-1,42.9,28.6,-1,-1,-1,-1,-1,-1,"HUNTINGTON ISD",.,-1,.,.,-1,.,73,86.9,67.4,75,66.7,100,-1,-1,16.7,16.7,70,79.2,74.5,0,43.3,41.7
"'003905",-1,-1,.,.,-1,-1,.,.,-1,.,-1,.,.,.,-1,.,-1,.,90.7,86.1,44.4,0,53.2,52.5,90,78.9,20,.,38.5,30,96.9,92.2,45.5,0,47.3,41.5,91.5,87.3,92.2,92.5,37.2,0,58.4,54.9,.,.,.,.,.,.,"DIBOLL ISD",100,83.3,-1,.,20,40,89.8,85.1,95,82,80,84.6,-1,.,18.8,13.3,90.7,75.7,69.2,0,46.9,57.4
