DISTRICT,DD800A001222R,DD800A001322R,DD800A001S22R,DD800AC01222R,DD800AC01322R,DD800AC01S22R,DD800AM01222R,DD800AM01322R,DD800AM01S22R,DD800AR01222R,DD800AR01322R,DD800AR01S22R,DD800AS01222R,DD800AS01322R,DD800AS01S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDA00AC01222R,DDA00AC01322R,DDA00AC01S22R,DDA00AM01222R,DDA00AM01322R,DDA00AM01S22R,DDA00AR01222R,DDA00AR01322R,DDA00AR01S22R,DDA00AS01222R,DDA00AS01322R,DDA00AS01S22R,DDC00A001222R,DDC00A001322R,DDC00A001S22R,DDC00AC01222R,DDC00AC01322R,DDC00AC01S22R,DDC00AM01222R,DDC00AM01322R,DDC00AM01S22R,DDC00AR01222R,DDC00AR01322R,DDC00AR01S22R,DDC00AS01222R,DDC00AS01322R,DDC00AS01S22R,DDJ00A001222R,DDJ00A001322R,DDJ00A001S22R,DDJ00AC01222R,DDJ00AC01322R,DDJ00AC01S22R,DDJ00AM01222R,DDJ00AM01322R,DDJ00AM01S22R,DDJ00AR01222R,DDJ00AR01322R,DDJ00AR01S22R,DDJ00AS01222R,DDJ00AS01322R,DDJ00AS01S22R,DDK00A001222R,DDK00A001322R,DDK00A001S22R,DDK00AC01222R,DDK00AC01322R,DDK00AC01S22R,DDK00AM01222R,DDK00AM01322R,DDK00AM01S22R,DDK00AR01222R,DDK00AR01322R,DDK00AR01S22R,DDK00AS01222R,DDK00AS01322R,DDK00AS01S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDL00AC01222R,DDL00AC01322R,DDL00AC01S22R,DDL00AM01222R,DDL00AM01322R,DDL00AM01S22R,DDL00AR01222R,DDL00AR01322R,DDL00AR01S22R,DDL00AS01222R,DDL00AS01322R,DDL00AS01S22R,DDQ00A001222R,DDQ00A001322R,DDQ00A001S22R,DDQ00AC01222R,DDQ00AC01322R,DDQ00AC01S22R,DDQ00AM01222R,DDQ00AM01322R,DDQ00AM01S22R,DDQ00AR01222R,DDQ00AR01322R,DDQ00AR01S22R,DDQ00AS01222R,DDQ00AS01322R,DDQ00AS01S22R,DDT00A001222R,DDT00A001322R,DDT00A001S22R,DDT00AC01222R,DDT00AC01322R,DDT00AC01S22R,DDT00AM01222R,DDT00AM01322R,DDT00AM01S22R,DDT00AR01222R,DDT00AR01322R,DDT00AR01S22R,DDT00AS01222R,DDT00AS01322R,DDT00AS01S22R,DDU00A001222R,DDU00A001322R,DDU00A001S22R,DDU00AC01222R,DDU00AC01322R,DDU00AC01S22R,DDU00AM01222R,DDU00AM01322R,DDU00AM01S22R,DDU00AR01222R,DDU00AR01322R,DDU00AR01S22R,DDU00AS01222R,DDU00AS01322R,DDU00AS01S22R,DDX00A001222R,DDX00A001322R,DDX00A001S22R,DDX00AC01222R,DDX00AC01322R,DDX00AC01S22R,DDX00AM01222R,DDX00AM01322R,DDX00AM01S22R,DDX00AR01222R,DDX00AR01322R,DDX00AR01S22R,DDX00AS01222R,DDX00AS01322R,DDX00AS01S22R,DDY00A001222R,DDY00A001322R,DDY00A001S22R,DDY00AC01222R,DDY00AC01322R,DDY00AC01S22R,DDY00AM01222R,DDY00AM01322R,DDY00AM01S22R,DDY00AR01222R,DDY00AR01322R,DDY00AR01S22R,DDY00AS01222R,DDY00AS01322R,DDY00AS01S22R,DDZ00A001222R,DDZ00A001322R,DDZ00A001S22R,DDZ00AC01222R,DDZ00AC01322R,DDZ00AC01S22R,DDZ00AM01222R,DDZ00AM01322R,DDZ00AM01S22R,DDZ00AR01222R,DDZ00AR01322R,DDZ00AR01S22R,DDZ00AS01222R,DDZ00AS01322R,DDZ00AS01S22R,DISTNAME,DNB00A001222R,DNB00A001322R,DNB00A001S22R,DNB00AC01222R,DNB00AC01322R,DNB00AC01S22R,DNB00AM01222R,DNB00AM01322R,DNB00AM01S22R,DNB00AR01222R,DNB00AR01322R,DNB00AR01S22R,DNB00AS01222R,DNB00AS01322R,DNB00AS01S22R,DNE00A001222R,DNE00A001322R,DNE00A001S22R,DNE00AC01222R,DNE00AC01322R,DNE00AC01S22R,DNE00AM01222R,DNE00AM01322R,DNE00AM01S22R,DNE00AR01222R,DNE00AR01322R,DNE00AR01S22R,DNE00AS01222R,DNE00AS01322R,DNE00AS01S22R,DNT00A001222R,DNT00A001322R,DNT00A001S22R,DNT00AC01222R,DNT00AC01322R,DNT00AC01S22R,DNT00AM01222R,DNT00AM01322R,DNT00AM01S22R,DNT00AR01222R,DNT00AR01322R,DNT00AR01S22R,DNT00AS01222R,DNT00AS01322R,DNT00AS01S22R
"'001902",63,33,85,55,22,87,65,35,88,68,39,82,48,21,79,62,33,84,54,22,85,65,34,88,67,39,81,47,21,78,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'001903",59,31,86,64,30,87,50,24,84,64,35,85,64,41,90,59,30,85,63,29,86,49,23,84,64,34,85,63,42,90,39,5,79,-1,-1,-1,44,6,81,33,6,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,5,78,40,0,40,41,6,82,32,5,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,37,6,77,-1,-1,-1,40,7,80,35,6,82,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,44,89,80,40,80,50,25,88,70,60,90,-1,-1,-1
"'001904",58,25,83,50,22,81,57,26,85,64,24,85,49,28,74,57,25,83,49,21,81,57,26,85,63,24,84,48,26,74,32,11,60,25,0,63,35,12,76,35,17,52,20,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,11,60,25,0,63,35,12,76,35,17,52,20,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,9,50,-1,-1,-1,33,11,78,21,14,43,20,0,40,48,14,76,-1,-1,-1,38,13,75,56,22,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"FRANKSTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,46,96,50,33,100,100,75,100,88,38,88,-1,-1,-1
"'001906",64,28,90,52,22,90,69,27,94,67,31,88,52,26,83,64,27,90,54,23,90,69,27,94,67,30,87,51,26,83,58,8,83,-1,-1,-1,60,20,100,50,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,8,83,-1,-1,-1,60,20,100,50,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,8,83,-1,-1,-1,60,20,100,50,0,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'001907",48,21,75,49,24,78,44,20,75,52,22,74,43,23,75,46,20,74,48,22,78,44,20,75,48,20,72,42,20,72,30,6,66,28,9,78,41,10,85,26,3,55,26,5,57,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,12,63,31,10,68,34,15,70,29,11,59,23,5,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,18,69,40,15,70,36,18,71,36,19,66,.,.,.,32,9,71,33,17,83,40,10,75,35,10,85,17,0,39,0,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,31,14,64,33,13,67,33,21,58,27,8,68,33,17,67,"PALESTINE ISD",36,18,69,40,15,70,36,18,72,36,19,67,.,.,.,30,5,65,28,6,77,42,10,88,25,2,50,30,6,64,73,32,93,70,35,95,73,48,93,76,24,94,69,25,89
"'001908",42,17,70,44,17,75,35,15,67,47,19,71,41,16,69,40,16,69,41,15,73,34,14,66,45,19,70,38,15,68,21,6,50,0,0,9,26,12,59,24,5,55,14,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,7,51,13,4,35,21,9,55,22,7,55,17,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,20,90,.,.,.,80,40,80,60,0,100,.,.,.,15,6,46,0,0,11,19,10,48,18,7,54,14,0,50,22,0,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"WESTWOOD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,0,47,-1,-1,-1,13,0,75,22,0,33,.,.,.,44,19,86,17,0,100,46,8,77,64,55,91,33,0,83
"'001909",55,25,86,44,16,96,42,19,81,66,31,86,74,38,91,55,25,86,45,16,96,42,19,81,66,31,86,73,38,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'002901",50,23,78,49,19,77,47,22,78,52,23,78,53,30,83,47,21,76,46,18,75,44,21,76,50,22,75,50,27,81,17,4,45,15,4,44,21,4,51,17,4,39,11,2,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,6,54,13,2,47,23,6,59,28,9,52,11,2,50,35,12,68,14,0,50,26,9,66,51,19,75,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,35,12,68,14,0,51,26,9,66,51,19,75,.,.,.,26,4,48,20,20,40,33,0,56,22,0,44,.,.,.,17,4,45,14,2,45,20,5,51,17,4,39,11,2,46,16,5,59,10,0,60,24,4,76,13,8,44,13,0,75,"ANDREWS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,29,90,61,21,92,66,38,88,69,25,90,69,36,92
"'003801",58,31,83,58,29,84,54,30,83,62,32,82,53,33,84,56,30,82,57,27,83,53,29,81,60,31,82,51,32,82,28,10,67,36,0,73,29,12,65,28,14,72,0,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,9,64,36,0,73,26,12,62,25,11,69,0,0,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,10,65,57,0,57,26,6,65,32,16,74,-1,-1,-1,13,13,73,-1,-1,-1,-1,-1,-1,0,0,60,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,40,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003902",61,32,87,54,22,85,63,34,88,63,32,86,61,38,90,60,31,86,52,21,84,62,33,88,62,31,84,60,36,87,28,7,65,22,0,61,39,11,85,24,7,61,13,7,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,13,69,27,6,61,42,16,80,39,15,66,17,4,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,21,77,36,7,57,47,18,82,55,27,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,7,65,22,0,61,39,11,85,24,7,61,13,7,27,41,15,74,33,17,67,40,30,80,55,9,91,29,0,43,"HUDSON ISD",49,21,77,36,7,57,47,18,82,55,27,78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,38,96,68,25,96,81,54,97,86,31,97,74,41,92
