DISTRICT,D20708DR20R,D20708DR21R,D20912DR20R,D20912DR21R,D20AT20R,D20AT21R,D20CA20R,D20CA21R,D30708DR20R,D30708DR21R,D30912DR20R,D30912DR21R,D30AT20R,D30AT21R,D30CA20R,D30CA21R,D40708DR20R,D40708DR21R,D40912DR20R,D40912DR21R,D40AT20R,D40AT21R,D40CA20R,D40CA21R,DA0708DR20R,DA0708DR21R,DA0912DR20R,DA0912DR21R,DA0AT20R,DA0AT21R,DA0CA20R,DA0CA21R,DB0708DR20R,DB0708DR21R,DB0912DR20R,DB0912DR21R,DB0AT20R,DB0AT21R,DB0CA20R,DB0CA21R,DE0708DR20R,DE0708DR21R,DE0912DR20R,DE0912DR21R,DE0AT20R,DE0AT21R,DE0CA20R,DE0CA21R,DF0708DR20R,DF0708DR21R,DF0912DR20R,DF0912DR21R,DF0AT20R,DF0AT21R,DH0708DR20R,DH0708DR21R,DH0912DR20R,DH0912DR21R,DH0AT20R,DH0AT21R,DH0CA20R,DH0CA21R,DI0708DR20R,DI0708DR21R,DI0912DR20R,DI0912DR21R,DI0AT20R,DI0AT21R,DI0CA20R,DI0CA21R,DISTNAME,DL0708DR20R,DL0708DR21R,DL0912DR20R,DL0912DR21R,DL0AT20R,DL0AT21R,DL0CA20R,DL0CA21R,DM0708DR20R,DM0708DR21R,DM0912DR20R,DM0912DR21R,DM0AT20R,DM0AT21R,DR0708DR20R,DR0708DR21R,DR0912DR20R,DR0912DR21R,DR0AT20R,DR0AT21R,DR0CA20R,DR0CA21R,DS0708DR20R,DS0708DR21R,DS0912DR20R,DS0912DR21R,DS0AT20R,DS0AT21R,DS0CA20R,DS0CA21R,DW0708DR20R,DW0708DR21R,DW0912DR20R,DW0912DR21R,DW0AT20R,DW0AT21R,DW0CA20R,DW0CA21R
"'001902",-1,-1,0,0,98.7,96.5,8.7,4.2,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0,0,0,0,98.9,96.7,5.8,6.2,-1,-1,0,0,98.8,97.6,7.7,5.9,0,0,0,0,98.6,95.9,7.4,12.7,0,0,0,0,99.2,96.8,0,0,0,0,98.7,96.6,9.6,5.4,.,.,.,.,.,.,.,.,"CAYUGA ISD",-1,.,.,-1,-1,-1,-1,-1,0,0,0,0,98.7,96.6,0,0,0,0,98.5,96.2,8.2,8.9,0,0,0,0,97.9,96.3,10.4,6.5,0,0,0,0,99,96.7,5,6.5
"'001903",0,0,0,0,99,95.4,3.7,16.4,.,.,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,-1,0,0,0,0.3,98.8,96,5,9.4,0,0,0,0,98.4,95.9,5.2,8,0,0,0,0.6,98.5,95.2,6,13.6,0,0,0,0,98.8,95.9,0,0,0,0,98.8,95.9,2.2,9.9,.,.,-1,.,-1,-1,0,-1,"ELKHART ISD",-1,-1,.,-1,99.5,95.8,0,10.3,0,0,0,0.5,98.8,96,0,0,0,1.5,98.4,94.4,6.8,15.6,0,0,0,2.8,97.7,95.5,12.4,13.4,0,0,0,0.3,98.8,96,5.6,9
"'001904",0,0,-1,0,98.7,95.4,3.3,10.7,.,-1,-1,-1,99.5,97.7,0,0,.,.,.,.,.,.,.,.,0,0,0,0.4,98.9,95.4,4,12.3,0,0,0,0,98.8,94.3,5.6,17.1,0,0,0,0.9,98.7,94.5,6.1,16.1,0,0,0,0.9,99,95.8,0,0,0,5.9,99.2,95.9,3.3,14.3,.,-1,-1,-1,-1,-1,0,-1,"FRANKSTON ISD",-1,0,-1,0,99.7,96.4,0,14.8,0,0,0,0,98.9,95.1,0,0,0,0,99,94.7,3.8,15.6,0,0,0,0,98.4,93.4,7.8,21.3,0,0,0,0,98.9,95.5,4,11.7
"'001906",-1,-1,-1,-1,-1,95.4,0,18.2,.,.,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0,0,0,0,99,95.8,3.9,10.7,0,-1,0,0,99.3,96.4,0,4.2,0,0,0,0,98.7,94.6,4.9,17.9,0,0,0,0,98.9,95.5,0,0,0,0,98.2,96.6,11.1,13.9,.,.,.,.,-1,-1,-1,-1,"NECHES ISD",-1,-1,-1,-1,-1,95.5,42.9,28.6,0,0,0,0,99.1,96.1,0,0,0,0,98.6,94.6,8,19.4,0,-1,0,0,98.5,94.4,9.7,18.9,0,0,0,0,99.1,95.6,3.2,10.7
"'001907",0,0,0,0,97.8,89.8,7.8,38,0,-1,0,0,98.8,96.3,3.7,13,.,.,.,.,-1,-1,-1,-1,0,0,0.1,0,98.7,93.7,4.8,19.8,0,0,0.4,0,98.8,93.3,5.2,22.4,0,0,0.1,0,98.7,93.2,4.6,22.3,0,0,0,0,98.8,93.9,0,0,0,0,99,94.2,3.3,16.1,-1,-1,.,-1,-1,93.3,0,40,"PALESTINE ISD",0,0,0,0,99,94.4,2.2,15.6,0,0,0.2,0,98.7,93.5,0,0,0,0,98.6,92.8,5.5,23.3,0,0,0,0,98,92.8,8.8,25.4,0,0,0,0,98.5,93.8,6.1,20.1
"'001908",0,0,0,0,98.4,94.2,3.3,19.7,-1,-1,-1,-1,-1,98.1,0,0,.,.,.,.,.,.,.,.,0,0,0.4,0,98.5,94.5,6.9,18.4,0,0,0,0,98.5,93.3,7.8,26.1,0,0,0.4,0,98.4,93.9,7.6,21.4,0,0,0.4,0,98.6,95,0,0,1,0,98.8,95.1,5.4,14,-1,-1,-1,-1,98.3,91.6,8.3,30,"WESTWOOD ISD",0,0,0,0,99.2,94.5,2.3,18.4,0,0,0.4,0,98.4,94.1,0,0,0,0,98.5,94,8.2,21.1,0,0,0,0,98.1,93.1,12,25.9,0,0,0.4,0,98.4,94.7,7.7,17.3
"'001909",-1,-1,-1,0,99.5,93.3,0,35.7,.,.,.,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,0,0,0,0,99.4,96.7,2,8.4,.,.,-1,-1,-1,-1,-1,0,0,0,0,0,99.3,96,3,10.2,0,0,0,0,99.5,97,0,0,0,0,99,97,2.9,0,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,-1,-1,-1,-1,0,0,0,0,99.4,96.4,0,0,0,0,99.2,95.7,3,12.6,0,0,0,0,98.9,95.5,3.6,10.7,0,0,0,0,99.5,96.9,2,8
"'002901",0,0,4,0,97.8,93.9,8.2,20,-1,-1,-1,-1,99.1,97.5,5,10,.,.,.,.,.,.,.,.,0.1,0.8,0.9,0.4,98.6,92.8,4.6,24.8,0,0,0,0,97,92.1,10,34.3,0.3,1.5,1.7,0.6,98.3,92,6,29.2,0,0.9,0.7,0.7,98.6,92.7,0.2,0.9,1,0.4,98.6,92.6,4.4,26.5,-1,-1,0,0,98.3,93.9,5.9,23.1,"ANDREWS ISD",0,0,2,0,98.9,93.6,3.2,19,0.3,0.8,1.2,0.2,98.6,92.9,0,0.9,1.2,0.5,98.4,91.8,6.3,30.3,0,0,1.6,0,98.2,91.6,7.2,30.9,0,0.9,0.6,0.6,98.6,93.3,4.9,20.8
"'003801",0,0,0,-1,99.2,97.5,0,3.1,.,-1,-1,-1,-1,99.9,0,0,.,.,-1,.,-1,-1,-1,-1,0,0,0,0.4,98.9,97.3,3.6,7.5,0,0,0,0,99.3,97,1.4,6.5,0,0,0,0,98.9,96.8,3.3,8.5,0,0,0,0.7,99,97.5,0,0,0,0,99,97.4,2.9,6.5,.,.,.,.,-1,-1,-1,-1,"PINEYWOODS COMMUNITY ACADEMY",0,0,0,0,99.3,97.2,2.4,8.5,0,0,0,0,98.8,97,0,0,0,0,98.9,96.5,3.4,9.8,0,0,0,0,98.7,96.9,4.5,7.2,0,0,0,0.6,98.7,97.2,4.8,9
"'003902",0,0,0,5.3,98.8,94.1,8.2,19.2,-1,0,0,0,99.7,97,0,11.1,.,.,.,.,.,-1,.,-1,0,0.6,0.8,0.7,99,95.2,4.3,12.3,0,0,1.4,0,97.7,93.7,11.1,16.8,0,0.8,1.3,1.2,98.6,94.2,5.5,16.6,0,1.2,0.2,0.2,99,95.1,0,0.7,1.4,0.9,99.2,95.4,2.9,12.9,-1,-1,0,-1,97.9,92.3,4.5,18.2,"HUDSON ISD",0,0,0,0,99.5,96.1,1.2,8.8,0,0,1.4,1.2,99,95.2,0,0.7,1.2,0.3,98.6,94.4,6.6,15.3,0,0,0,1.2,98.6,94.5,7.8,15,0,0.7,0.5,0.6,99,95.3,3.9,11.1
