DISTRICT,D20GI20R,D20GI21R,D20GW20R,D20GW21R,D23G420R,D23G421R,D23GG20R,D23GG21R,D2SGA20R,D2SGA21R,D30GI20R,D30GI21R,D30GW20R,D30GW21R,D33G420R,D33G421R,D33GG20R,D33GG21R,D3SGA20R,D3SGA21R,D40GI20R,D40GI21R,D40GW20R,D40GW21R,D43G420R,D43G421R,D43GG20R,D43GG21R,D4SGA20R,D4SGA21R,DA0GI20R,DA0GI21R,DA0GW20R,DA0GW21R,DA3G420R,DA3G421R,DA3GG20R,DA3GG21R,DASGA20R,DASGA21R,DB0GI20R,DB0GI21R,DB0GW20R,DB0GW21R,DB3G420R,DB3G421R,DB3GG20R,DB3GG21R,DBSGA20R,DBSGA21R,DE0GI20R,DE0GI21R,DE0GW20R,DE0GW21R,DE3G420R,DE3G421R,DE3GG20R,DE3GG21R,DESGA20R,DESGA21R,DF0GI20R,DF0GI21R,DF0GW20R,DF0GW21R,DF3G420R,DF3G421R,DF3GG20R,DF3GG21R,DFSGA20R,DFSGA21R,DH0GI20R,DH0GI21R,DH0GW20R,DH0GW21R,DH3G420R,DH3G421R,DH3GG20R,DH3GG21R,DHSGA20R,DHSGA21R,DI0GI20R,DI0GI21R,DI0GW20R,DI0GW21R,DI3G420R,DI3G421R,DI3GG20R,DI3GG21R,DISGA20R,DISGA21R,DISTNAME,DL0GI20R,DL0GI21R,DL0GW20R,DL0GW21R,DL3G420R,DL3G421R,DL3GG20R,DL3GG21R,DLSGA20R,DLSGA21R,DM0GI20R,DM0GI21R,DM0GW20R,DM0GW21R,DM3G420R,DM3G421R,DM3GG20R,DM3GG21R,DMSGA20R,DMSGA21R,DR0GI20R,DR0GI21R,DR0GW20R,DR0GW21R,DR3G420R,DR3G421R,DR3GG20R,DR3GG21R,DRSGA20R,DRSGA21R,DS0GI20R,DS0GI21R,DS0GW20R,DS0GW21R,DS3G420R,DS3G421R,DS3GG20R,DS3GG21R,DSSGA20R,DSSGA21R,DW0GI20R,DW0GI21R,DW0GW20R,DW0GW21R,DW3G420R,DW3G421R,DW3GG20R,DW3GG21R,DWSGA20R,DWSGA21R
"'001902",-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,30.6,17.1,5.6,0,0,51.2,36.1,19.5,2.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,44.4,33.3,11.1,0,0,60,55.6,40,0,31.8,14.3,9.1,0,0,0,36.4,14.3,13.6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"CAYUGA ISD",.,.,.,.,.,.,.,.,.,.,47.4,40.9,26.3,9.1,0,0,68.4,50,26.3,4.5,37.5,22.2,37.5,0,0,0,62.5,22.2,37.5,0,40,-1,70,-1,0,-1,90,-1,80,-1,39.4,32.3,9.1,6.5,0,0,48.5,38.7,15.2,3.2
"'001903",-1,100,-1,0,-1,0,-1,100,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,16.3,60.4,12,5.5,0,1.1,29.3,64.8,1.1,3.3,0,40,33.3,20,0,0,33.3,60,0,20,17.9,61.7,15.4,8.5,0,0,33.3,70.2,0,6.4,14,69.2,16,0,0,2.6,32,74.4,2,7.7,18.2,50,9.1,0,0,0,27.3,50,0,0,.,.,.,.,.,.,.,.,.,.,"ELKHART ISD",.,.,.,.,.,.,.,.,.,.,19,53.8,7.1,9.6,0,0,26.2,57.7,0,0,13.6,65.4,20.5,7.7,0,0,36.4,73.1,2.3,11.5,0,33.3,73.3,44.4,0,0,80,77.8,6.7,33.3,18.6,60.9,10,5.8,0,1.4,30,65.2,1.4,2.9
"'001904",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,41.2,26.8,2,0,0,0,43.1,26.8,0,2.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.3,35.3,5.3,0,0,0,31.6,35.3,0,5.9,25,22.2,0,0,0,0,25,22.2,0,0,40,-1,0,-1,0,-1,40,-1,0,-1,-1,.,-1,.,-1,.,-1,.,-1,.,"FRANKSTON ISD",-1,.,-1,.,-1,.,-1,.,-1,.,48.6,30.4,2.9,0,0,0,51.4,30.4,0,4.3,56.3,33.3,6.3,0,0,0,62.5,33.3,0,16.7,40,-1,20,-1,0,-1,60,-1,0,-1,41.9,24.2,2.3,0,0,0,44.2,24.2,0,3
"'001906",.,-1,.,-1,.,-1,.,-1,.,-1,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,2.9,43.5,14.7,4.3,0,4.3,14.7,43.5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,85.7,18.2,14.3,0,0,18.2,85.7,0,0,0,50,5.9,8.3,0,0,5.9,50,0,0,0,-1,20,-1,0,-1,20,-1,0,-1,.,.,.,.,.,.,.,.,.,.,"NECHES ISD",.,.,.,.,.,.,.,.,.,.,5.9,36.4,23.5,0,0,9.1,23.5,36.4,0,0,10,-1,50,-1,0,-1,50,-1,0,-1,20,-1,100,-1,0,-1,100,-1,0,-1,4,41.2,12,5.9,0,5.9,12,41.2,0,0
"'001907",20,57.1,0,0,0,0,20,57.1,0,14.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,22.2,38.3,5.2,1.5,0,1,28.3,42.3,1.7,7,22.8,34.7,8.8,4.1,0,2,29.8,42.9,0,10.2,24.1,38.6,6.2,2.1,0,1.4,30.3,42.9,1.4,6.4,19,34.1,1.7,0,0,1.1,21.6,36.4,0.9,2.3,27.2,45.6,2.9,1.1,0,0,32,46.7,1.9,4.4,.,.,.,.,.,.,.,.,.,.,"PALESTINE ISD",25,47.6,12.5,4.8,0,0,37.5,52.4,0,9.5,25.4,41.6,8.8,2.7,0,0.9,35.1,46.9,2.6,10.6,23.7,42.7,8.9,2.7,0,1.8,33.3,50,1.5,10,22.7,52.9,54.5,17.6,0,0,86.4,100,18.2,82.4,14.5,28.8,6.5,0,0,1.9,22.6,34.6,3.2,7.7
"'001908",60,-1,0,-1,0,-1,60,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,32.3,56.8,6.1,0,0,0,36.4,56.8,0,0,50,72.7,0,0,0,0,50,72.7,0,0,39.2,51.1,5.9,0,0,0,43.1,51.1,0,0,40,52.4,6,0,0,0,42,52.4,0,0,31.6,75,5.3,0,0,0,36.8,75,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,"WESTWOOD ISD",-1,66.7,-1,0,-1,0,-1,66.7,-1,0,24.5,60.4,6.1,0,0,0,30.6,60.4,0,0,32.6,62.7,8.7,0,0,0,39.1,62.7,0,0,27.3,22.2,54.5,0,0,0,63.6,22.2,0,0,19.6,43.6,10.9,0,0,0,26.1,43.6,0,0
"'001909",.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.8,50,0,0,0,0,19.2,53.1,15.4,15.6,.,-1,.,-1,.,-1,.,-1,.,-1,0,45.5,0,0,0,0,20,54.5,20,27.3,11.1,50,0,0,0,0,22.2,58.3,11.1,16.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,"SLOCUM ISD",.,.,.,.,.,.,.,.,.,.,0,50,0,0,0,0,17.6,50,17.6,15,0,50,0,0,0,0,28.6,50,28.6,12.5,0,71.4,0,0,0,0,66.7,85.7,66.7,71.4,4.2,60,0,0,0,0,20.8,64,16.7,20
"'002901",-1,0,-1,0,-1,0,-1,0,-1,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,0,5.1,2.1,0.7,1.2,0.7,8.3,12.3,5,6.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4.6,3.1,1.9,0,0,8.3,13.9,5.2,7.4,0,2.6,1.8,0,1.8,1.3,5.3,7.2,1.8,4.6,0,5.8,1.8,0.5,1.8,1,7.9,13.1,4.2,7.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"ANDREWS ISD",0,3.6,0,0,0,0,6.7,10.7,6.7,7.1,0,7.9,2.3,1.4,0.8,0,10.9,17.9,7.8,9.3,0,2.2,1.1,0.7,1.1,0,11.2,15.9,9,13.8,0,3.1,26.3,6.3,0,0,89.5,68.8,63.2,62.5,0,3.8,2.9,1.3,0,0,10,11.5,7.1,6.4
"'003801",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,7,19.2,0,0,1.8,3.8,10.5,19.2,5.3,0,0,14.3,0,0,0,0,8.3,14.3,8.3,0,7.7,21.1,0,0,0,5.3,11.5,21.1,3.8,0,10.7,24,0,0,3.6,0,14.3,24,3.6,0,11.1,20,0,0,0,10,11.1,20,0,0,.,.,.,.,.,.,.,.,.,.,"PINEYWOODS COMMUNITY ACADEMY",.,-1,.,-1,.,-1,.,-1,.,-1,3.4,14.8,0,0,0,7.4,6.9,14.8,6.9,0,0,7.1,0,0,0,0,11.8,7.1,11.8,0,33.3,.,0,.,0,.,66.7,.,50,.,9.7,18.8,0,0,3.2,3.1,12.9,18.8,6.5,0
"'003902",0,-1,0,-1,0,-1,0,-1,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,18.6,34.7,1.5,2.6,1,0.5,22.5,39.8,1.5,2.6,15.8,20,10.5,13.3,0,0,31.6,33.3,5.3,0,19.1,22.4,3.4,4.7,1.1,1.2,27,31.8,3.4,3.5,10,29.6,1.8,0.9,0,0.9,11.8,33.3,0,1.9,18.2,22.2,0,0,2.3,2.8,20.5,33.3,0,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"HUDSON ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.7,40.9,1.1,4.5,2.1,0,35.1,47.7,3.2,3.4,16.9,31.6,4.2,6.6,1.4,0,26.8,43.4,4.2,6.6,0,6.3,21.4,31.3,0,0,42.9,62.5,21.4,31.3,19.4,39.9,0.7,1.4,0.7,0,22.4,42,1.5,1.4
