DISTRICT,DD008AMA1222R,DD008AMA1322R,DD008AMA1S22R,DD008ARE1222R,DD008ARE1322R,DD008ARE1S22R,DD008ASC1222R,DD008ASC1322R,DD008ASC1S22R,DD008ASS1222R,DD008ASS1322R,DD008ASS1S22R,DD208AMA1222R,DD208AMA1322R,DD208AMA1S22R,DD208ARE1222R,DD208ARE1322R,DD208ARE1S22R,DD208ASC1222R,DD208ASC1322R,DD208ASC1S22R,DD208ASS1222R,DD208ASS1322R,DD208ASS1S22R,DD308AMA1222R,DD308AMA1322R,DD308AMA1S22R,DD308ARE1222R,DD308ARE1322R,DD308ARE1S22R,DD308ASC1222R,DD308ASC1322R,DD308ASC1S22R,DD308ASS1222R,DD308ASS1322R,DD308ASS1S22R,DD408AMA1222R,DD408AMA1322R,DD408AMA1S22R,DD408ARE1222R,DD408ARE1322R,DD408ARE1S22R,DD408ASC1222R,DD408ASC1322R,DD408ASC1S22R,DD408ASS1222R,DD408ASS1322R,DD408ASS1S22R,DDA08AMA1222R,DDA08AMA1322R,DDA08AMA1S22R,DDA08ARE1222R,DDA08ARE1322R,DDA08ARE1S22R,DDA08ASC1222R,DDA08ASC1322R,DDA08ASC1S22R,DDA08ASS1222R,DDA08ASS1322R,DDA08ASS1S22R,DDB08AMA1222R,DDB08AMA1322R,DDB08AMA1S22R,DDB08ARE1222R,DDB08ARE1322R,DDB08ARE1S22R,DDB08ASC1222R,DDB08ASC1322R,DDB08ASC1S22R,DDB08ASS1222R,DDB08ASS1322R,DDB08ASS1S22R,DDE08AMA1222R,DDE08AMA1322R,DDE08AMA1S22R,DDE08ARE1222R,DDE08ARE1322R,DDE08ARE1S22R,DDE08ASC1222R,DDE08ASC1322R,DDE08ASC1S22R,DDE08ASS1222R,DDE08ASS1322R,DDE08ASS1S22R,DDF08AMA1222R,DDF08AMA1322R,DDF08AMA1S22R,DDF08ARE1222R,DDF08ARE1322R,DDF08ARE1S22R,DDF08ASC1222R,DDF08ASC1322R,DDF08ASC1S22R,DDF08ASS1222R,DDF08ASS1322R,DDF08ASS1S22R,DDH08AMA1222R,DDH08AMA1322R,DDH08AMA1S22R,DDH08ARE1222R,DDH08ARE1322R,DDH08ARE1S22R,DDH08ASC1222R,DDH08ASC1322R,DDH08ASC1S22R,DDH08ASS1222R,DDH08ASS1322R,DDH08ASS1S22R,DDI08AMA1222R,DDI08AMA1322R,DDI08AMA1S22R,DDI08ARE1222R,DDI08ARE1322R,DDI08ARE1S22R,DDI08ASC1222R,DDI08ASC1322R,DDI08ASC1S22R,DDI08ASS1222R,DDI08ASS1322R,DDI08ASS1S22R,DDL08AMA1222R,DDL08AMA1322R,DDL08AMA1S22R,DDL08ARE1222R,DDL08ARE1322R,DDL08ARE1S22R,DDL08ASC1222R,DDL08ASC1322R,DDL08ASC1S22R,DDL08ASS1222R,DDL08ASS1322R,DDL08ASS1S22R,DDM08AMA1222R,DDM08AMA1322R,DDM08AMA1S22R,DDM08ARE1222R,DDM08ARE1322R,DDM08ARE1S22R,DDM08ASC1222R,DDM08ASC1322R,DDM08ASC1S22R,DDM08ASS1222R,DDM08ASS1322R,DDM08ASS1S22R,DDR08AMA1222R,DDR08AMA1322R,DDR08AMA1S22R,DDR08ARE1222R,DDR08ARE1322R,DDR08ARE1S22R,DDR08ASC1222R,DDR08ASC1322R,DDR08ASC1S22R,DDR08ASS1222R,DDR08ASS1322R,DDR08ASS1S22R,DDS08AMA1222R,DDS08AMA1322R,DDS08AMA1S22R,DDS08ARE1222R,DDS08ARE1322R,DDS08ARE1S22R,DDS08ASC1222R,DDS08ASC1322R,DDS08ASC1S22R,DDS08ASS1222R,DDS08ASS1322R,DDS08ASS1S22R,DDW08AMA1222R,DDW08AMA1322R,DDW08AMA1S22R,DDW08ARE1222R,DDW08ARE1322R,DDW08ARE1S22R,DDW08ASC1222R,DDW08ASC1322R,DDW08ASC1S22R,DDW08ASS1222R,DDW08ASS1322R,DDW08ASS1S22R,DISTNAME,DNC08AMA1222R,DNC08AMA1322R,DNC08AMA1S22R,DNC08ARE1222R,DNC08ARE1322R,DNC08ARE1S22R,DNC08ASC1222R,DNC08ASC1322R,DNC08ASC1S22R,DNC08ASS1222R,DNC08ASS1322R,DNC08ASS1S22R,DNM08AMA1222R,DNM08AMA1322R,DNM08AMA1S22R,DNM08ARE1222R,DNM08ARE1322R,DNM08ARE1S22R,DNM08ASC1222R,DNM08ASC1322R,DNM08ASC1S22R,DNM08ASS1222R,DNM08ASS1322R,DNM08ASS1S22R,DNS08AMA1222R,DNS08AMA1322R,DNS08AMA1S22R,DNS08ARE1222R,DNS08ARE1322R,DNS08ARE1S22R,DNS08ASC1222R,DNS08ASC1322R,DNS08ASC1S22R,DNS08ASS1222R,DNS08ASS1322R,DNS08ASS1S22R
"'001902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,25,84,75,51,82,45,22,78,31,16,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,19,81,65,50,73,42,15,73,27,12,69,75,17,92,88,71,92,50,21,88,25,13,67,40,20,80,60,20,60,40,20,40,20,0,40,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,33,78,63,33,74,41,22,70,37,19,67,38,10,67,52,33,67,24,5,62,14,5,48,13,0,50,25,0,38,13,13,25,0,0,25,68,27,86,75,55,84,48,23,82,34,18,68,"CAYUGA ISD",59,24,84,73,51,81,41,16,78,32,19,68,71,29,86,79,50,86,57,36,79,29,7,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001903",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,15,86,77,58,91,69,32,90,54,33,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,0,85,52,35,87,48,17,87,48,26,87,48,18,88,84,59,97,70,19,95,38,22,86,33,0,100,88,88,100,75,25,100,63,38,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,13,84,71,56,85,68,44,85,68,44,88,0,0,67,33,11,61,28,6,56,33,11,67,14,0,57,14,14,29,29,14,29,29,14,57,43,18,86,79,57,91,69,34,90,55,34,88,"ELKHART ISD",40,12,83,77,56,90,65,33,88,50,31,88,43,22,91,77,62,92,77,31,92,62,38,85,.,.,.,.,.,.,.,.,.,.,.,.
"'001904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,33,0,77,62,26,80,18,3,65,23,12,60,60,0,80,33,0,83,17,0,50,17,0,50,52,0,76,47,10,70,10,3,50,17,7,53,41,0,82,68,26,87,19,0,58,10,3,55,40,0,100,80,30,90,0,0,70,0,0,60,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,73,56,26,74,18,6,71,35,21,65,28,0,72,28,3,63,3,0,34,3,0,28,17,0,42,25,0,33,8,0,25,8,0,25,27,0,73,62,31,78,24,4,69,31,18,67,"FRANKSTON ISD",31,0,73,59,26,78,17,2,59,22,11,57,38,0,85,68,26,84,21,5,79,26,16,68,.,.,.,.,.,.,.,.,.,.,.,.
"'001906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,30,95,80,50,90,70,50,85,45,30,65,.,.,.,.,.,.,.,.,.,.,.,.,56,22,89,67,44,89,67,22,78,33,22,56,73,27,100,82,45,91,64,45,82,36,27,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78,33,89,78,56,89,78,56,89,56,33,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,24,94,76,41,88,65,47,82,41,24,59,"NECHES ISD",93,36,100,100,57,100,86,57,100,43,36,71,33,17,83,33,33,67,33,33,50,50,17,50,.,.,.,.,.,.,.,.,.,.,.,.
"'001907",43,16,75,40,22,86,38,17,75,16,6,44,70,20,80,70,30,80,60,30,90,40,30,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,52,24,78,57,35,85,53,27,80,27,15,59,41,11,68,50,32,82,43,5,73,16,5,45,44,19,75,51,30,82,47,22,78,19,13,52,50,23,82,62,44,88,52,24,78,25,10,59,47,27,77,52,32,86,47,26,77,20,11,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,13,69,27,13,81,29,15,69,10,4,33,53,25,75,53,27,83,54,30,81,29,19,59,34,9,66,38,16,76,33,13,69,11,5,41,15,9,36,27,9,52,33,3,45,18,12,36,62,26,85,67,42,86,68,42,86,41,23,71,"PALESTINE ISD",51,22,79,58,33,87,54,25,81,27,14,60,52,31,73,54,42,79,50,35,75,25,19,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'001908",0,0,50,0,0,50,0,0,17,0,0,0,33,11,56,0,0,38,13,0,25,0,0,13,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,31,3,60,34,24,64,32,9,67,21,9,49,10,0,57,22,22,56,22,6,56,11,11,33,25,1,54,27,20,59,25,8,59,16,9,47,35,6,65,49,35,73,36,7,66,18,9,50,24,0,56,38,28,66,24,3,62,21,3,45,.,.,.,.,.,.,.,.,.,.,.,.,0,0,50,0,0,50,0,0,17,0,0,0,27,0,55,18,12,54,28,12,68,24,10,48,17,1,51,20,16,54,20,3,57,11,4,37,6,0,12,6,0,29,6,0,35,6,0,24,43,4,65,41,24,69,42,14,80,26,12,62,"WESTWOOD ISD",32,3,63,37,26,65,32,10,70,22,10,51,29,4,54,26,19,59,33,7,59,19,7,44,.,.,.,.,.,.,.,.,.,.,.,.
"'001909",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,38,95,76,57,90,43,24,100,48,19,81,.,.,.,.,.,.,.,.,.,.,.,.,60,20,80,80,40,80,20,0,100,60,0,80,80,40,100,80,67,100,40,20,100,47,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,33,83,67,33,67,50,33,100,50,17,83,88,13,100,75,50,88,38,13,100,50,0,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,35,94,71,59,88,35,24,100,47,18,76,"SLOCUM ISD",86,43,100,79,71,93,50,29,100,50,21,79,57,29,86,71,29,86,29,14,100,43,14,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'002901",43,14,73,38,19,68,27,8,57,16,11,51,100,33,100,67,50,100,50,50,100,67,33,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,26,84,59,36,82,48,20,80,44,27,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,15,75,46,23,72,35,11,70,30,18,59,61,24,86,63,39,84,43,15,79,37,20,72,55,22,79,55,30,78,41,16,75,38,22,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,0,58,21,8,50,17,4,38,0,0,33,62,27,82,56,33,81,54,25,81,51,34,78,42,12,70,38,19,70,30,8,65,23,12,56,30,15,45,24,3,36,18,6,36,18,9,27,77,36,93,68,50,91,64,29,90,57,40,87,"ANDREWS ISD",65,26,85,60,35,85,49,21,82,45,29,78,50,27,79,55,39,69,44,18,73,39,21,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003801",0,0,40,20,20,100,20,0,40,0,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,43,17,74,61,37,89,34,18,66,30,23,65,13,7,67,60,27,80,20,7,47,20,7,53,36,11,73,60,32,87,28,11,64,21,15,57,41,15,76,67,42,86,33,8,58,22,11,61,31,0,69,47,29,88,24,6,59,18,12,35,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,20,71,54,31,91,34,29,74,37,34,69,10,7,50,34,19,75,16,6,31,6,6,38,0,0,44,10,0,60,10,0,30,0,0,20,62,32,82,66,49,91,46,31,80,43,37,80,"PINEYWOODS COMMUNITY ACADEMY",43,18,75,65,39,91,33,18,67,32,23,67,46,15,69,43,29,79,36,21,64,21,21,57,.,.,.,.,.,.,.,.,.,.,.,.
"'003902",55,35,85,59,27,95,36,14,73,23,5,50,67,17,67,57,43,71,43,0,71,14,14,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,72,36,92,71,44,94,54,25,87,41,20,79,67,7,73,50,19,81,31,19,69,25,13,69,61,28,87,61,32,91,49,17,79,36,15,69,70,32,88,74,51,95,45,21,81,28,17,73,62,32,90,67,40,95,47,22,83,36,17,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,23,85,46,8,92,23,8,62,15,8,31,75,40,96,68,36,93,64,30,94,57,25,85,42,17,81,45,14,86,28,6,68,20,9,57,29,19,57,48,19,71,24,14,52,29,14,52,79,43,97,77,50,97,61,29,92,48,24,83,"HUDSON ISD",73,37,93,74,46,95,57,27,88,45,23,81,70,34,87,63,37,90,45,20,82,31,12,73,.,.,.,.,.,.,.,.,.,.,.,.
