DISTRICT,DD000A00200022R,DD000AA1200022R,DD000AE2200022R,DD000AM0200022R,DD000AR0200022R,DD004AM0200022R,DD004AR0200022R,DD005AM0200022R,DD005AR0200022R,DD006AM0200022R,DD006AR0200022R,DD007AM0200022R,DD007AR0200022R,DD008AM0200022R,DD008AR0200022R,DD200A00200022R,DD200AA1200022R,DD200AE2200022R,DD200AM0200022R,DD200AR0200022R,DD204AM0200022R,DD204AR0200022R,DD205AM0200022R,DD205AR0200022R,DD206AM0200022R,DD206AR0200022R,DD207AM0200022R,DD207AR0200022R,DD208AM0200022R,DD208AR0200022R,DD300A00200022R,DD300AA1200022R,DD300AE2200022R,DD300AM0200022R,DD300AR0200022R,DD304AM0200022R,DD304AR0200022R,DD305AM0200022R,DD305AR0200022R,DD306AM0200022R,DD306AR0200022R,DD307AM0200022R,DD307AR0200022R,DD308AM0200022R,DD308AR0200022R,DD400A00200022R,DD400AA1200022R,DD400AE2200022R,DD400AM0200022R,DD400AR0200022R,DD404AM0200022R,DD404AR0200022R,DD405AM0200022R,DD405AR0200022R,DD406AM0200022R,DD406AR0200022R,DD407AM0200022R,DD407AR0200022R,DD408AM0200022R,DD408AR0200022R,DDA00A00200022R,DDA00AA1200022R,DDA00AE2200022R,DDA00AM0200022R,DDA00AR0200022R,DDA04AM0200022R,DDA04AR0200022R,DDA05AM0200022R,DDA05AR0200022R,DDA06AM0200022R,DDA06AR0200022R,DDA07AM0200022R,DDA07AR0200022R,DDA08AM0200022R,DDA08AR0200022R,DDB00A00200022R,DDB00AA1200022R,DDB00AE2200022R,DDB00AM0200022R,DDB00AR0200022R,DDB04AM0200022R,DDB04AR0200022R,DDB05AM0200022R,DDB05AR0200022R,DDB06AM0200022R,DDB06AR0200022R,DDB07AM0200022R,DDB07AR0200022R,DDB08AM0200022R,DDB08AR0200022R,DDE00A00200022R,DDE00AA1200022R,DDE00AE2200022R,DDE00AM0200022R,DDE00AR0200022R,DDE04AM0200022R,DDE04AR0200022R,DDE05AM0200022R,DDE05AR0200022R,DDE06AM0200022R,DDE06AR0200022R,DDE07AM0200022R,DDE07AR0200022R,DDE08AM0200022R,DDE08AR0200022R,DDF00A00200022R,DDF00AA1200022R,DDF00AE2200022R,DDF00AM0200022R,DDF00AR0200022R,DDF04AM0200022R,DDF04AR0200022R,DDF05AM0200022R,DDF05AR0200022R,DDF06AM0200022R,DDF06AR0200022R,DDF07AM0200022R,DDF07AR0200022R,DDF08AM0200022R,DDF08AR0200022R,DDH00A00200022R,DDH00AA1200022R,DDH00AE2200022R,DDH00AM0200022R,DDH00AR0200022R,DDH04AM0200022R,DDH04AR0200022R,DDH05AM0200022R,DDH05AR0200022R,DDH06AM0200022R,DDH06AR0200022R,DDH07AM0200022R,DDH07AR0200022R,DDH08AM0200022R,DDH08AR0200022R,DDI00A00200022R,DDI00AA1200022R,DDI00AE2200022R,DDI00AM0200022R,DDI00AR0200022R,DDI04AM0200022R,DDI04AR0200022R,DDI05AM0200022R,DDI05AR0200022R,DDI06AM0200022R,DDI06AR0200022R,DDI07AM0200022R,DDI07AR0200022R,DDI08AM0200022R,DDI08AR0200022R,DDM00A00200022R,DDM00AA1200022R,DDM00AE2200022R,DDM00AM0200022R,DDM00AR0200022R,DDM04AM0200022R,DDM04AR0200022R,DDM05AM0200022R,DDM05AR0200022R,DDM06AM0200022R,DDM06AR0200022R,DDM07AM0200022R,DDM07AR0200022R,DDM08AM0200022R,DDM08AR0200022R,DDR00A00200022R,DDR00AA1200022R,DDR00AE2200022R,DDR00AM0200022R,DDR00AR0200022R,DDR04AM0200022R,DDR04AR0200022R,DDR05AM0200022R,DDR05AR0200022R,DDR06AM0200022R,DDR06AR0200022R,DDR07AM0200022R,DDR07AR0200022R,DDR08AM0200022R,DDR08AR0200022R,DDS00A00200022R,DDS00AA1200022R,DDS00AE2200022R,DDS00AM0200022R,DDS00AR0200022R,DDS04AM0200022R,DDS04AR0200022R,DDS05AM0200022R,DDS05AR0200022R,DDS06AM0200022R,DDS06AR0200022R,DDS07AM0200022R,DDS07AR0200022R,DDS08AM0200022R,DDS08AR0200022R,DDW00A00200022R,DDW00AA1200022R,DDW00AE2200022R,DDW00AM0200022R,DDW00AR0200022R,DDW04AM0200022R,DDW04AR0200022R,DDW05AM0200022R,DDW05AR0200022R,DDW06AM0200022R,DDW06AR0200022R,DDW07AM0200022R,DDW07AR0200022R,DDW08AM0200022R,DDW08AR0200022R,DISTNAME,DNC00A00200022R,DNC00AA1200022R,DNC00AE2200022R,DNC00AM0200022R,DNC00AR0200022R,DNC04AM0200022R,DNC04AR0200022R,DNC05AM0200022R,DNC05AR0200022R,DNC06AM0200022R,DNC06AR0200022R,DNC07AM0200022R,DNC07AR0200022R,DNC08AM0200022R,DNC08AR0200022R,DNM00A00200022R,DNM00AA1200022R,DNM00AE2200022R,DNM00AM0200022R,DNM00AR0200022R,DNM04AM0200022R,DNM04AR0200022R,DNM05AM0200022R,DNM05AR0200022R,DNM06AM0200022R,DNM06AR0200022R,DNM07AM0200022R,DNM07AR0200022R,DNM08AM0200022R,DNM08AR0200022R,DNS00A00200022R,DNS00AA1200022R,DNS00AE2200022R,DNS00AM0200022R,DNS00AR0200022R,DNS04AM0200022R,DNS04AR0200022R,DNS05AM0200022R,DNS05AR0200022R,DNS06AM0200022R,DNS06AR0200022R,DNS07AM0200022R,DNS07AR0200022R,DNS08AM0200022R,DNS08AR0200022R
"'001902",-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,71,-1,.,60,86,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,90,71,66,78,66,78,78,78,24,67,83,86,61,85,50,.,-1,63,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,91,90,62,76,65,80,72,59,17,62,72,88,63,83,74,86,70,64,82,56,84,93,87,20,65,94,92,58,100,68,100,80,61,75,-1,-1,80,100,13,50,-1,-1,90,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,93,72,68,74,77,69,71,73,29,69,74,81,63,72,69,84,77,62,77,50,100,88,75,8,77,65,69,55,79,58,-1,88,45,69,60,60,71,71,13,63,50,44,44,75,74,89,68,67,80,65,75,76,81,27,71,88,91,58,86,"CAYUGA ISD",73,93,71,68,79,74,82,83,83,21,71,85,85,57,82,68,75,72,62,75,54,71,64,60,32,57,80,90,71,93,63,.,.,58,67,.,.,-1,-1,-1,-1,.,.,-1,-1
"'001903",82,-1,-1,87,77,-1,-1,-1,-1,-1,-1,80,70,-1,-1,66,-1,-1,54,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,51,74,65,80,82,76,78,84,35,61,77,94,63,90,53,17,-1,41,68,.,.,-1,-1,50,50,-1,-1,-1,-1,71,57,78,66,76,77,81,82,80,38,53,79,86,62,80,75,54,75,67,82,82,76,81,88,30,67,80,91,63,96,76,64,95,68,84,67,67,85,85,14,57,89,88,60,100,-1,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,71,50,73,64,77,82,77,74,79,39,55,74,97,64,86,68,45,77,63,73,75,82,76,81,49,45,65,90,63,78,57,23,56,56,59,75,60,83,42,61,22,71,83,29,79,73,55,71,66,80,83,77,76,83,37,63,74,94,66,90,"ELKHART ISD",72,49,72,63,80,82,74,72,84,33,61,76,96,56,89,76,58,80,71,80,81,83,88,84,39,59,81,83,81,93,75,-1,.,64,89,-1,-1,-1,-1,-1,-1,-1,-1,.,.
"'001904",75,90,-1,66,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,-1,61,88,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,100,-1,-1,100,100,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,92,81,70,79,69,63,93,92,81,61,32,95,58,84,74,80,93,77,72,-1,-1,-1,-1,83,50,-1,-1,80,83,70,89,76,68,73,53,53,90,88,81,46,24,90,68,88,76,93,81,71,80,78,61,95,93,81,60,25,95,62,90,80,96,-1,78,82,-1,-1,-1,-1,75,50,0,-1,-1,100,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,-1,73,92,81,70,77,63,65,91,91,82,62,38,94,55,77,71,78,78,64,78,58,50,90,95,84,56,30,92,69,83,69,71,71,60,78,33,50,100,94,78,61,38,85,50,91,73,93,75,68,78,71,65,91,90,82,66,32,93,48,80,"FRANKSTON ISD",73,91,85,68,78,75,63,90,90,80,56,28,93,62,80,77,93,72,74,80,61,64,100,96,83,69,44,100,50,94,71,-1,.,64,80,-1,-1,-1,-1,-1,-1,-1,-1,.,.
"'001906",80,-1,-1,90,70,.,.,.,.,-1,-1,-1,-1,.,.,-1,.,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,92,63,83,78,85,78,65,90,95,74,78,86,83,80,86,100,-1,82,91,-1,-1,-1,-1,-1,-1,-1,-1,.,.,82,82,79,78,87,94,83,56,89,94,85,67,88,78,94,81,96,61,86,76,86,73,70,100,96,64,81,94,77,73,82,-1,-1,78,86,-1,-1,50,100,-1,-1,80,70,-1,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.,81,86,65,81,81,83,83,60,80,94,89,75,80,89,89,86,94,67,90,82,-1,-1,82,91,92,81,100,90,-1,-1,79,-1,-1,86,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,88,53,84,74,82,74,78,89,97,72,75,92,79,76,"NECHES ISD",81,92,62,83,78,88,71,68,94,92,75,82,86,82,79,82,92,67,84,79,82,86,-1,-1,100,72,71,86,83,83,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.
"'001907",74,72,79,70,78,48,78,91,87,66,63,67,88,77,78,70,43,56,68,73,-1,-1,50,58,75,83,44,100,100,60,83,-1,-1,100,64,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,74,68,75,71,78,57,72,88,86,72,64,65,90,77,78,73,59,78,70,77,66,67,88,82,87,65,53,85,74,82,73,66,75,69,77,56,70,88,86,71,64,61,88,75,75,75,71,74,72,79,59,74,90,87,68,61,66,93,80,81,75,76,84,71,80,51,78,91,89,62,59,69,90,77,79,56,.,-1,-1,60,-1,-1,.,.,-1,-1,.,.,-1,-1,73,64,76,70,77,55,70,86,85,75,66,64,88,74,75,72,57,75,68,77,54,74,87,86,73,62,60,86,73,74,59,26,67,54,65,52,67,69,69,82,57,58,76,53,55,74,58,63,71,77,50,66,86,89,77,71,72,94,73,75,"PALESTINE ISD",74,68,76,71,78,57,71,87,86,72,63,65,89,77,77,75,64,73,69,80,55,78,93,88,71,64,63,94,74,80,79,-1,-1,79,78,56,75,88,88,100,57,-1,-1,-1,-1
"'001908",75,33,71,60,89,100,100,75,100,35,100,50,100,67,50,75,88,67,73,78,-1,-1,81,75,-1,-1,-1,100,63,75,-1,-1,.,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,66,78,67,82,89,90,75,91,52,78,49,87,69,70,74,57,69,69,78,90,80,90,100,67,67,47,83,67,69,74,68,75,67,81,85,90,80,88,57,77,44,87,65,69,77,62,76,69,85,86,97,79,93,47,77,62,94,77,77,77,70,84,68,84,89,93,76,88,46,83,47,100,72,59,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,70,80,66,79,92,82,72,89,58,78,39,81,61,63,69,52,75,60,77,87,93,81,94,52,76,46,85,69,67,66,50,79,59,73,90,60,74,79,54,60,44,84,47,71,73,62,77,65,82,87,92,65,94,51,80,52,79,70,75,"WESTWOOD ISD",75,66,76,68,81,87,89,75,89,53,80,51,87,76,68,74,67,86,64,85,93,91,76,94,48,73,42,86,43,78,71,.,.,57,86,-1,-1,-1,-1,-1,-1,-1,-1,.,.
"'001909",-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,-1,-1,67,.,-1,-1,83,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,59,78,70,80,46,70,76,74,70,72,83,100,98,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,44,86,66,83,40,73,91,82,65,70,83,100,-1,-1,78,68,79,75,81,42,63,77,73,77,77,81,100,100,93,78,-1,-1,64,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,53,75,63,77,50,75,75,75,60,65,88,100,90,80,70,42,92,64,78,33,67,92,67,54,75,80,100,94,75,69,40,-1,57,82,0,80,-1,-1,56,88,-1,-1,-1,-1,75,64,79,72,78,52,70,73,70,71,66,83,100,100,88,"SLOCUM ISD",73,62,82,68,79,48,63,71,74,66,72,79,100,96,89,82,-1,-1,80,83,40,100,-1,-1,79,71,-1,-1,100,92,67,-1,.,60,-1,-1,-1,-1,-1,.,.,.,.,-1,-1
"'002901",73,51,62,70,75,60,55,91,88,56,50,71,88,87,85,62,-1,40,66,58,50,60,50,60,42,42,-1,-1,100,67,100,-1,-1,100,100,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,63,68,69,75,58,68,76,86,58,63,72,84,87,80,72,-1,-1,69,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,52,68,64,72,49,62,74,82,57,59,70,82,82,77,74,64,77,69,78,52,64,78,90,59,63,72,90,89,81,71,60,71,68,75,57,65,78,87,55,61,71,86,85,79,56,.,-1,-1,67,.,.,.,.,-1,-1,-1,-1,-1,-1,71,61,61,69,72,63,71,73,83,57,62,73,78,86,79,70,43,67,66,74,56,63,78,85,66,59,66,83,81,76,64,38,61,59,69,48,63,75,80,55,58,66,87,77,60,74,67,63,72,76,59,73,71,87,66,67,75,80,92,84,"ANDREWS ISD",72,62,69,70,75,61,67,75,86,58,62,73,85,88,79,71,64,59,67,76,38,72,78,87,59,66,66,79,85,81,78,-1,-1,72,84,-1,-1,-1,-1,-1,-1,71,93,-1,-1
"'003801",68,-1,-1,61,76,70,70,-1,-1,-1,-1,38,75,40,90,65,-1,-1,63,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,.,.,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,76,86,74,71,80,81,76,86,90,72,65,43,91,61,85,75,90,64,73,76,79,81,100,85,71,57,50,90,57,77,74,79,70,68,81,78,77,85,96,70,66,37,85,61,89,77,91,73,74,79,81,78,93,89,74,62,51,94,62,85,73,88,68,71,75,84,73,80,93,63,50,43,88,69,88,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,75,82,74,69,81,80,73,82,90,70,68,33,88,60,84,72,84,71,69,76,73,69,88,88,64,64,45,83,57,84,71,81,79,64,77,61,73,85,88,44,67,58,92,50,67,78,83,85,71,85,79,76,85,90,85,81,40,93,59,88,"PINEYWOODS COMMUNITY ACADEMY",77,89,76,72,82,86,77,84,89,67,71,43,92,64,85,73,-1,63,70,75,72,76,92,92,84,50,40,87,50,86,85,-1,.,100,60,-1,-1,-1,-1,-1,-1,.,.,.,.
"'003902",72,75,90,67,78,60,73,85,88,42,55,50,79,89,83,76,100,-1,69,82,90,50,89,100,50,57,38,100,60,83,79,-1,.,75,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,77,79,79,74,79,71,72,90,82,63,71,56,88,87,81,72,89,71,66,76,50,89,100,88,64,57,25,79,71,80,73,69,79,70,76,67,71,91,80,58,69,50,82,86,78,79,83,80,76,82,73,78,90,87,63,71,58,91,86,84,76,78,79,71,81,69,83,90,86,48,67,56,87,84,84,92,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,-1,-1,74,75,79,72,77,68,67,90,78,64,70,55,86,89,78,70,64,83,66,75,55,70,90,77,53,60,43,84,78,76,65,69,89,58,71,50,58,96,67,40,50,42,79,60,84,77,77,81,76,78,72,68,89,79,70,74,61,89,93,79,"HUDSON ISD",76,81,80,73,80,69,71,89,83,62,72,54,90,87,80,77,66,77,78,77,77,77,92,80,69,68,69,82,90,83,77,-1,-1,79,75,81,81,100,75,-1,-1,-1,-1,.,.
