DISTRICT,DAUND21C,DAUND21R,DISTNAME,DPCTENGA,DPCTFLAA,DPCTG01A,DPCTG02A,DPCTG03A,DPCTG04A,DPCTG05A,DPCTG06A,DPCTGKGA,DPCTGMEA,DPCTMATA,DPCTSCIA,DPCTSOCA,DPEMALLC,DPEMALLP,DPEMASIC,DPEMASIP,DPEMBLAC,DPEMBLAP,DPEMECOC,DPEMECOP,DPEMECOT,DPEMHISC,DPEMHISP,DPEMINDC,DPEMINDP,DPEMLEPC,DPEMLEPP,DPEMLEPT,DPEMPCIC,DPEMPCIP,DPEMSPEC,DPEMSPEP,DPEMSPET,DPEMTWOC,DPEMTWOP,DPEMWHIC,DPEMWHIP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DPERSAKR,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETG9XC,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGP3C,DPETGP3P,DPETGP4C,DPETGP4P,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNT504C,DPNT504P,DPNTALLC,DPNTASIC,DPNTASIP,DPNTBILC,DPNTBILP,DPNTBLAC,DPNTBLAP,DPNTDSLC,DPNTDSLP,DPNTECOC,DPNTECOP,DPNTFEMC,DPNTFEMP,DPNTFOSC,DPNTFOSP,DPNTG01C,DPNTG01P,DPNTG02C,DPNTG02P,DPNTG03C,DPNTG03P,DPNTG04C,DPNTG04P,DPNTG05C,DPNTG05P,DPNTG06C,DPNTG06P,DPNTG07C,DPNTG07P,DPNTG08C,DPNTG08P,DPNTG09C,DPNTG09P,DPNTG10C,DPNTG10P,DPNTG11C,DPNTG11P,DPNTG12C,DPNTG12P,DPNTGEEC,DPNTGEEP,DPNTGIFC,DPNTGIFP,DPNTGKNC,DPNTGKNP,DPNTGP3C,DPNTGP3P,DPNTGP4C,DPNTGP4P,DPNTGPKC,DPNTGPKP,DPNTHISC,DPNTHISP,DPNTHOMC,DPNTHOMP,DPNTIMMC,DPNTIMMP,DPNTINDC,DPNTINDP,DPNTLEPC,DPNTLEPP,DPNTMALC,DPNTMALP,DPNTMIGC,DPNTMIGP,DPNTMLCC,DPNTMLCP,DPNTNEDC,DPNTNEDP,DPNTPCIC,DPNTPCIP,DPNTRSKC,DPNTRSKP,DPNTSPEC,DPNTSPEP,DPNTTT1C,DPNTTT1P,DPNTTWOC,DPNTTWOP,DPNTWHIC,DPNTWHIP
"'001902",0,0,"CAYUGA ISD",10.1,8.3,14.7,15.4,17.1,14.8,17.3,17.2,15.7,12,13.2,11.8,14.1,63,11.8,0,0,1,0.2,40,18.8,213,8,1.5,0,0,1,33.3,3,0,0,15,16.3,92,5,0.9,49,9.2,8,6.7,0,11.1,0,0,0,0,6.5,10.3,0,0,0,0,0,0,0,0,0,40,52,9.1,574,3,0.5,32,413,7.7,6,1,25,4.4,5,0.9,38,6.6,234,40.8,286,49.8,0,0,45,7.8,33,5.7,37,6.4,32,5.6,52,9.1,53,9.2,53,9.2,53,9.2,42,7.3,42,7.3,38,6.6,47,8.2,169,0,0,35,6.1,47,8.2,0,0,0,0,0,0,66,11.5,1,0.2,0,0,0,0,6,1,288,50.2,0,0,9,1.6,340,59.2,0,0,228,39.7,-1,-1,7,8.3,84,63,75,-1,-1,84,14.6,11,13.1,574,100,26,4.5,147,87,175,30.5,454,79.1,52,9,576,3,0.5,6,1,26,4.5,38,6.6,234,40.6,287,49.8,0,0,45,7.8,33,5.7,38,6.6,32,5.6,52,9,53,9.2,53,9.2,53,9.2,42,7.3,42,7.3,38,6.6,47,8.2,1,0.2,35,6.1,47,8.2,0,0,0,0,0,0,66,11.5,1,0.2,0,0,0,0,6,1,289,50.2,0,0,9,1.6,342,59.4,0,0,228,39.6,86,14.9,576,100,26,4.5,455,79
"'001903",1,0.2,"ELKHART ISD",9.1,13.3,16.2,16.3,15.5,19.4,15,14,16.1,.,9.9,12,9.5,188,16.3,0,0,14,1.2,101,18.8,537,27,2.3,2,0.2,7,24.1,29,0,0,24,16.1,149,18,1.6,127,11,4.5,4.5,0,0,1.4,0,1.2,0,3.9,7.1,14.3,0,0,0,0,0,0,0,11.1,20,79,6.9,1150,2,0.2,149,864,17.2,31,2.7,46,4,0,0,65,5.7,522,45.4,560,48.7,6,0.5,87,7.6,88,7.7,78,6.8,100,8.7,77,6.7,86,7.5,97,8.4,85,7.4,86,7.5,88,7.7,67,5.8,66,5.7,307,0,0,53,4.6,82,7.1,8,0.7,55,4.8,63,5.5,136,11.8,16,1.4,0,0,3,0.3,32,2.8,590,51.3,0,0,23,2,628,54.6,0,0,336,29.2,-3,-3,21,15.1,139,63,45.3,-1,-1,139,12.1,40,28.8,1150,100,39,3.4,253,82.4,366,31.8,924,80.3,79,6.9,1150,2,0.2,31,2.7,46,4,65,5.7,522,45.4,560,48.7,6,0.5,87,7.6,88,7.7,78,6.8,100,8.7,77,6.7,86,7.5,97,8.4,85,7.4,86,7.5,88,7.7,67,5.8,66,5.7,0,0,53,4.6,82,7.1,8,0.7,55,4.8,63,5.5,136,11.8,16,1.4,0,0,3,0.3,32,2.8,590,51.3,0,0,23,2,628,54.6,0,0,336,29.2,139,12.1,1150,100,39,3.4,924,80.3
"'001904",6,1.6,"FRANKSTON ISD",15.1,10.5,18.2,15.8,18.9,12.1,12.4,16.4,14.7,.,13.9,17.8,16.1,143,18.5,3,0.4,21,2.7,90,21.3,423,16,2.1,1,0.1,3,11.1,27,0,0,23,18.7,123,6,0.8,96,12.5,13.3,0,0,2.5,0,1.8,0,0,0,0,11.1,12.5,22.2,10,0,0,0,0,0,0,69,8.5,808,8,1,84,606,13.9,33,4.1,69,8.5,7,0.8,52,6.4,438,54.2,365,45.2,6,0.7,55,6.8,66,8.2,63,7.8,50,6.2,53,6.6,60,7.4,72,8.9,71,8.8,66,8.2,58,7.2,64,7.9,44,5.4,232,0,0,59,7.3,45,5.6,0,0,41,5.1,41,5.1,91,11.3,6,0.7,0,0,3,0.4,33,4.1,443,54.8,0,0,29,3.6,370,45.8,0,0,361,44.7,-3,-3,29,27.4,106,60,56.6,-1,-1,106,13.1,10,9.4,808,100,29,3.6,214,92.2,355,43.9,608,75.2,69,8.5,808,8,1,33,4.1,69,8.5,52,6.4,438,54.2,365,45.2,6,0.7,55,6.8,66,8.2,63,7.8,50,6.2,53,6.6,60,7.4,72,8.9,71,8.8,66,8.2,58,7.2,64,7.9,44,5.4,0,0,59,7.3,45,5.6,0,0,41,5.1,41,5.1,91,11.3,6,0.7,0,0,3,0.4,33,4.1,443,54.8,0,0,29,3.6,370,45.8,0,0,361,44.7,106,13.1,808,100,29,3.6,608,75.2
"'001906",0,0,"NECHES ISD",8.9,1.5,17.5,11,24,12.5,10.3,11.8,21,11,10.1,11.6,10.1,49,15.9,0,0,5,1.6,26,17.3,150,3,1,0,0,0,0,7,0,0,5,13.5,37,2,0.6,39,12.7,6.7,0,4.3,0,0,0,0,0,5.9,6.1,0,0,33.3,0,0,0,0,0,0,25,31,9.1,342,1,0.3,42,289,14.5,7,2,28,8.2,1,0.3,9,2.6,185,54.1,166,48.5,2,0.6,35,10.2,24,7,24,7,25,7.3,26,7.6,26,7.6,21,6.1,22,6.4,31,9.1,21,6.1,29,8.5,23,6.7,104,0,0,19,5.6,21,6.1,0,0,14,4.1,14,4.1,46,13.5,6,1.8,0,0,1,0.3,7,2,176,51.5,0,0,52,15.2,157,45.9,0,0,132,38.6,-1,-1,-3,-3,36,23,63.9,0,0,36,10.5,-3,-3,342,100,9,2.6,80,76.9,101,29.5,257,75.1,31,9,343,1,0.3,7,2,28,8.2,9,2.6,185,53.9,167,48.7,2,0.6,36,10.5,24,7,24,7,25,7.3,26,7.6,26,7.6,21,6.1,22,6.4,31,9,21,6.1,29,8.5,23,6.7,0,0,19,5.5,21,6.1,0,0,14,4.1,14,4.1,46,13.4,6,1.7,0,0,1,0.3,7,2,176,51.3,0,0,52,15.2,158,46.1,0,0,132,38.5,37,10.8,343,100,9,2.6,258,75.2
"'001907",1,0.1,"PALESTINE ISD",17.8,18.2,20.3,19.5,19.6,20.5,17.8,16.7,20.3,.,15.9,18.1,18.7,488,15.2,3,0.1,134,4.2,343,13.8,2482,108,3.4,3,0.1,37,6.6,558,0,0,95,19.8,480,43,1.3,197,6.1,1.9,0,0,0,0.6,0,0,0.4,10.5,0.5,2.9,2.8,0,2.6,0,0,0,0,2.9,0,207,6.2,3360,24,0.7,288,2029,14.2,540,16.1,844,25.1,87,2.3,112,3.3,2741,81.6,1597,47.5,18,0.5,239,7.1,231,6.9,237,7.1,207,6.2,218,6.5,214,6.4,266,7.9,236,7,312,9.3,245,7.3,255,7.6,228,6.8,1040,0,0,76,2.3,245,7.3,54,1.6,173,5.1,227,6.8,1442,42.9,12,0.4,42,1.3,8,0.2,595,17.7,1763,52.5,0,0,45,1.3,619,18.4,2,0.1,1918,57.1,65,14.3,98,21.5,455,191,42,10,2.2,455,13.5,91,20,3360,100,124,3.7,902,86.7,1027,30.6,916,27.3,207,6.2,3361,24,0.7,540,16.1,844,25.1,112,3.3,2742,81.6,1597,47.5,18,0.5,239,7.1,231,6.9,237,7.1,207,6.2,218,6.5,214,6.4,266,7.9,236,7,312,9.3,245,7.3,255,7.6,228,6.8,0,0,76,2.3,245,7.3,55,1.6,173,5.1,228,6.8,1443,42.9,12,0.4,42,1.2,8,0.2,595,17.7,1764,52.5,0,0,45,1.3,619,18.4,2,0.1,1918,57.1,456,13.6,3361,100,124,3.7,916,27.3
"'001908",0,0,"WESTWOOD ISD",15.4,20.7,14,16.6,15.5,15.2,16.5,17.7,19.9,.,15.3,16.1,19.9,235,17.5,0,0,56,4.2,175,19.1,918,28,2.1,0,0,3,3.4,87,0,0,49,21.7,226,18,1.3,133,9.9,0,0,0,1.3,1.3,0,1.3,0,10.6,1.3,0,0,0,0,0,0,0,0,11.8,0,103,7.7,1332,6,0.5,175,979,17.9,90,6.8,263,19.7,11,0.7,77,5.8,986,74,644,48.3,15,1.1,71,5.3,105,7.9,97,7.3,93,7,100,7.5,94,7.1,98,7.4,108,8.1,103,7.7,105,7.9,103,7.7,89,6.7,400,2,0.2,43,3.2,94,7.1,0,0,70,5.3,70,5.3,349,26.2,2,0.2,4,0.3,9,0.7,95,7.1,688,51.7,3,0.2,1,0.1,346,26,1,0.1,734,55.1,-3,-3,30,15.5,193,115,59.6,-1,-1,193,14.5,28,14.5,727,54.6,65,4.9,315,78.8,515,38.7,639,48,103,7.7,1332,6,0.5,90,6.8,263,19.7,77,5.8,986,74,644,48.3,15,1.1,71,5.3,105,7.9,97,7.3,93,7,100,7.5,94,7.1,98,7.4,108,8.1,103,7.7,105,7.9,103,7.7,89,6.7,2,0.2,43,3.2,94,7.1,0,0,70,5.3,70,5.3,349,26.2,2,0.2,4,0.3,9,0.7,95,7.1,688,51.7,3,0.2,1,0.1,346,26,1,0.1,734,55.1,193,14.5,727,54.6,65,4.9,639,48
"'001909",2,1.1,"SLOCUM ISD",10.1,12,12,14,13.3,14.9,13,14.1,11,.,11.5,11.8,12.8,49,14.1,1,0.3,2,0.6,32,21.2,151,2,0.6,0,0,0,0,1,0,0,10,17.9,56,4,1.1,40,11.5,9.1,0,3.4,0,11.1,4.2,9.5,0,4,0,0,33.3,0,0,0,0,0,0,33.3,.,26,7.2,361,2,0.6,47,306,15.4,2,0.6,1,0.3,0,0,26,7.2,169,46.8,187,51.8,0,0,24,6.6,14,3.9,32,8.9,32,8.9,29,8,26,7.2,27,7.5,23,6.4,30,8.3,20,5.5,29,8,25,6.9,104,0,0,12,3.3,22,6.1,0,0,28,7.8,28,7.8,31,8.6,0,0,0,0,0,0,2,0.6,174,48.2,0,0,6,1.7,192,53.2,0,0,136,37.7,-1,-1,-1,-1,53,39,73.6,0,0,53,14.7,8,15.1,360,99.7,13,3.6,88,84.6,136,37.7,314,87,26,7.2,361,2,0.6,2,0.6,1,0.3,26,7.2,169,46.8,187,51.8,0,0,24,6.6,14,3.9,32,8.9,32,8.9,29,8,26,7.2,27,7.5,23,6.4,30,8.3,20,5.5,29,8,25,6.9,0,0,12,3.3,22,6.1,0,0,28,7.8,28,7.8,31,8.6,0,0,0,0,0,0,2,0.6,174,48.2,0,0,6,1.7,192,53.2,0,0,136,37.7,53,14.7,360,99.7,13,3.6,314,87
"'002901",1,0.1,"ANDREWS ISD",15.6,18.5,20.8,16.8,18.2,19.7,20.2,17.3,15.8,.,17.4,17.6,17.9,637,15.8,0,0,7,0.2,329,17.4,1893,438,10.8,2,0,87,17.5,497,0,0,70,15.5,453,16,0.4,174,4.3,5.1,2.4,0.4,0,0,1.1,0.7,0.7,7.1,1.4,3.3,0,0,0,0,0,2.9,0,10.3,15.2,333,8.1,4131,13,0.3,318,2633,12.1,628,15.2,32,0.8,132,3,303,7.3,2048,49.6,2027,49.1,9,0.2,347,8.4,290,7,332,8,305,7.4,300,7.3,289,7,324,7.8,318,7.7,369,8.9,292,7.1,297,7.2,253,6.1,1211,11,0.3,281,6.8,317,7.7,0,0,87,2.1,87,2.1,2839,68.7,44,1.1,17,0.4,14,0.3,588,14.2,2104,50.9,0,0,81,2,2083,50.4,0,0,1785,43.2,-3,-3,73,16.9,431,228,52.9,-1,-1,431,10.4,87,20.2,4071,98.5,70,1.7,996,82.2,1024,24.8,1163,28.2,333,8,4147,13,0.3,628,15.1,32,0.8,303,7.3,2051,49.5,2028,48.9,9,0.2,347,8.4,290,7,332,8,305,7.4,300,7.2,289,7,324,7.8,318,7.7,369,8.9,292,7,297,7.2,253,6.1,27,0.7,281,6.8,317,7.6,0,0,87,2.1,87,2.1,2847,68.7,44,1.1,17,0.4,14,0.3,588,14.2,2119,51.1,0,0,81,2,2096,50.5,0,0,1785,43,447,10.8,4087,98.6,70,1.7,1171,28.2
"'003801",0,0,"PINEYWOODS COMMUNITY ACADEMY",12.6,13.2,18.8,20,18.3,23.9,19.5,16.9,18.3,.,12.5,13.9,15.8,82,9.3,0,0,8,0.9,45,9.8,457,21,2.4,0,0,3,6.4,47,0,0,11,9.9,111,4,0.5,49,5.6,4.1,3.3,1.4,0,0,0,2.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,78,7.8,995,10,1,122,792,15.4,50,5,156,15.7,0,0,49,4.9,575,57.8,518,52.1,4,0.4,75,7.5,80,8,73,7.3,83,8.3,78,7.8,82,8.2,74,7.4,75,7.5,70,7,64,6.4,67,6.7,60,6,261,0,0,92,9.2,73,7.3,0,0,41,4.1,41,4.1,310,31.2,5,0.5,0,0,1,0.1,51,5.1,477,47.9,0,0,14,1.4,420,42.2,1,0.1,438,44,13,11.3,10,8.7,115,66,57.4,0,0,115,11.6,26,22.6,995,100,34,3.4,188,72,188,18.9,483,48.5,78,7.8,995,10,1,50,5,156,15.7,49,4.9,575,57.8,518,52.1,4,0.4,75,7.5,80,8,73,7.3,83,8.3,78,7.8,82,8.2,74,7.4,75,7.5,70,7,64,6.4,67,6.7,60,6,0,0,92,9.2,73,7.3,0,0,41,4.1,41,4.1,310,31.2,5,0.5,0,0,1,0.1,51,5.1,477,47.9,0,0,14,1.4,420,42.2,1,0.1,438,44,115,11.6,995,100,34,3.4,483,48.5
"'003902",1,0.1,"HUDSON ISD",16.9,19.4,18.6,17,20.3,17.3,17.5,18.5,17.8,.,18.5,19.1,19.1,332,12.2,5,0.2,44,1.6,238,16.4,1450,85,3.1,2,0.1,17,9.9,171,1,0,51,14.6,349,14,0.5,181,6.7,5.4,2.1,1.7,1.7,2.4,1.1,0.5,0,3.9,6,10,0,2.6,2.8,0,0,0,0,8,15.8,275,9.8,2799,27,1,235,1949,12.1,167,6,202,7.2,46,1.5,203,7.3,1403,50.1,1390,49.7,11,0.4,209,7.5,191,6.8,225,8,211,7.5,216,7.7,202,7.2,226,8.1,218,7.8,243,8.7,203,7.3,195,7,183,6.5,824,7,0.3,168,6,200,7.1,0,0,70,2.5,70,2.5,780,27.9,11,0.4,10,0.4,8,0.3,192,6.9,1409,50.3,0,0,153,5.5,1396,49.9,2,0.1,992,35.4,-3,-3,43,12.9,334,189,56.6,-1,-1,334,11.9,58,17.4,2790,99.7,85,3,678,82.3,963,34.4,1695,60.6,275,9.8,2802,27,1,167,6,202,7.2,203,7.2,1405,50.1,1391,49.6,11,0.4,209,7.5,191,6.8,225,8,211,7.5,216,7.7,202,7.2,226,8.1,218,7.8,243,8.7,203,7.2,195,7,183,6.5,10,0.4,168,6,200,7.1,0,0,70,2.5,70,2.5,780,27.8,11,0.4,10,0.4,8,0.3,192,6.9,1411,50.4,0,0,153,5.5,1397,49.9,2,0.1,992,35.4,336,12,2793,99.7,85,3,1698,60.6
