"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)",
"0100000US","United States","69021","null","146","null",
"860Z200US00601","ZCTA5 00601","15292","null","1299","null",
"860Z200US00602","ZCTA5 00602","18716","null","1340","null",
"860Z200US00603","ZCTA5 00603","16789","null","966","null",
"860Z200US00606","ZCTA5 00606","18835","null","2837","null",
"860Z200US00610","ZCTA5 00610","21239","null","1919","null",
"860Z200US00611","ZCTA5 00611","17143","null","10456","null",
"860Z200US00612","ZCTA5 00612","19934","null","1156","null",
"860Z200US00616","ZCTA5 00616","19130","null","2212","null",
"860Z200US00617","ZCTA5 00617","19048","null","2626","null",
"860Z200US00622","ZCTA5 00622","17728","null","4116","null",
"860Z200US00623","ZCTA5 00623","18690","null","1180","null",
"860Z200US00624","ZCTA5 00624","18136","null","1095","null",
"860Z200US00627","ZCTA5 00627","19745","null","1269","null",
"860Z200US00631","ZCTA5 00631","15234","null","8031","null",
"860Z200US00636","ZCTA5 00636","-","-","**","**",
"860Z200US00637","ZCTA5 00637","19042","null","1565","null",
"860Z200US00638","ZCTA5 00638","18968","null","1978","null",
"860Z200US00641","ZCTA5 00641","16233","null","1160","null",
"860Z200US00646","ZCTA5 00646","29568","null","3990","null",
"860Z200US00647","ZCTA5 00647","14430","null","3220","null",
"860Z200US00650","ZCTA5 00650","20362","null","3037","null",
"860Z200US00652","ZCTA5 00652","23813","null","3129","null",
"860Z200US00653","ZCTA5 00653","11788","null","1506","null",
"860Z200US00656","ZCTA5 00656","19054","null","1724","null",
"860Z200US00659","ZCTA5 00659","20694","null","1174","null",
"860Z200US00660","ZCTA5 00660","20770","null","2087","null",
"860Z200US00662","ZCTA5 00662","17375","null","1583","null",
"860Z200US00664","ZCTA5 00664","16389","null","2239","null",
"860Z200US00667","ZCTA5 00667","15426","null","1670","null",
"860Z200US00669","ZCTA5 00669","17589","null","1259","null",
"860Z200US00670","ZCTA5 00670","15516","null","3112","null",
"860Z200US00674","ZCTA5 00674","19103","null","1462","null",
"860Z200US00676","ZCTA5 00676","17423","null","1923","null",
"860Z200US00677","ZCTA5 00677","24325","null","3336","null",
"860Z200US00678","ZCTA5 00678","18269","null","2762","null",
"860Z200US00680","ZCTA5 00680","15340","null","880","null",
"860Z200US00682","ZCTA5 00682","15678","null","1530","null",
"860Z200US00683","ZCTA5 00683","16764","null","1623","null",
"860Z200US00685","ZCTA5 00685","16785","null","1441","null",
"860Z200US00687","ZCTA5 00687","21598","null","1557","null",
"860Z200US00688","ZCTA5 00688","16181","null","1282","null",
"860Z200US00690","ZCTA5 00690","18142","null","2737","null",
"860Z200US00692","ZCTA5 00692","22144","null","1400","null",
"860Z200US00693","ZCTA5 00693","21647","null","1099","null",
"860Z200US00694","ZCTA5 00694","-","-","**","**",
"860Z200US00698","ZCTA5 00698","16403","null","1424","null",
"860Z200US00703","ZCTA5 00703","22023","null","2197","null",
"860Z200US00704","ZCTA5 00704","18917","null","3246","null",
"860Z200US00705","ZCTA5 00705","21282","null","2185","null",
"860Z200US00707","ZCTA5 00707","21365","null","3179","null",
"860Z200US00714","ZCTA5 00714","14933","null","1660","null",
"860Z200US00715","ZCTA5 00715","13787","null","3701","null",
"860Z200US00716","ZCTA5 00716","19164","null","1692","null",
"860Z200US00717","ZCTA5 00717","12228","null","1354","null",
"860Z200US00718","ZCTA5 00718","18333","null","1819","null",
