,School Year,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level Grade 3 Reading",,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA03ARE1S21R,DDA03ARE1S21R,CDA03ARE1S21R,"CDB03ARE1S21R
:unselected:",CDH03ARE1S21R,CDW03ARE1S21R,CDI03ARE1S21R,CD303ARE1S21R,CD403ARE1S21R,CD203ARE1S21R,CDS03ARE1S21R,"CNS03ARE1S21R
:unselected:","CNC03ARE1S21R
:unselected:","CNM03ARE1S21R
:unselected:",CDE03ARE1S21R,CD003ARE1S21R,
,2019,SDA03ARE1S19R,DDA03ARE1S19R,CDA03ARE1S19R,"CDB03ARE1S19R
:unselected:",CDH03ARE1S19R,CDW03ARE1S19R,CDI03ARE1S19R,CD303ARE1S19R,CD403ARE1S19R,CD203ARE1S19R,CDS03ARE1S19R,"CNS03ARE1S19R
:unselected:","CNC03ARE1S19R
:unselected:","CNM03ARE1S19R
:unselected:",CDE03ARE1S19R,CD003ARE1S19R,
At Meets Grade Level or Above,2021,SDA03ARE1221R,DDA03ARE1221R,CDA03ARE1221R,"CDB03ARE1221R
:unselected:",CDH03ARE1221R,CDW03ARE1221R,CDI03ARE1221R,CD303ARE1221R,CD403ARE1221R,CD203ARE1221R,CDS03ARE1221R,"CNS03ARE1221R
:unselected:","CNC03ARE1221R
:unselected:",CNM03ARE1221R,CDE03ARE1221R,CD003ARE1221R,
,2019,SDA03ARE1219R,DDA03ARE1219R,CDA03ARE1219R,"CDB03ARE1219R
:unselected:",CDH03ARE1219R,CDW03ARE1219R,CDI03ARE1219R,CD303ARE1219R,CD403ARE1219R,CD203ARE1219R,CDS03ARE1219R,"CNS03ARE1219R
:unselected:","CNC03ARE1219R
:unselected:",CNM03ARE1219R,CDE03ARE1219R,CD003ARE1219R,
At Masters Grade Level,2021,SDA03ARE1321R,DDA03ARE1321R,CDA03ARE1321R,"CDB03ARE1321R
:unselected:",CDH03ARE1321R,CDW03ARE1321R,CDI03ARE1321R,CD303ARE1321R,CD403ARE1321R,CD203ARE1321R,CDS03ARE1321R,"CNS03ARE1321R
:unselected:","CNC03ARE1321R
:unselected:",CNM03ARE1321R,CDE03ARE1321R,CD003ARE1321R,
,2019,SDA03ARE1319R,DDA03ARE1319R,CDA03ARE1319R,"CDB03ARE1319R
:unselected:",CDH03ARE1319R,CDW03ARE1319R,CDI03ARE1319R,CD303ARE1319R,CD403ARE1319R,CD203ARE1319R,CDS03ARE1319R,"CNS03ARE1319R
:unselected:","CNC03ARE1319R
:unselected:",CNM03ARE1319R,CDE03ARE1319R,CD003ARE1319R,
Grade 3 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA03AMA1S21R,DDA03AMA1S21R,CDA03AMA1S21R,"CDB03AMA1S21R
:unselected:",CDH03AMA1S21R,CDW03AMA1S21R,CDI03AMA1S21R,CD303AMA1S21R,CD403AMA1S21R,CD203AMA1S21R,CDS03AMA1S21R,"CNS03AMA1S21R
:unselected:","CNC03AMA1S21R
:unselected:",CNM03AMA1S21R,CDE03AMA1S21R,CD003AMA1S21R,
,2019,SDA03AMA1S19R,"DDA03AMA1S19R
:unselected:",CDA03AMA1S19R,CDB03AMA1S19R,CDH03AMA1S19R,CDW03AMA1S19R,CDI03AMA1S19R,CD303AMA1S19R,CD403AMA1S19R,CD203AMA1S19R,CDS03AMA1S19R,"CNS03AMA1S19R
:unselected:","CNC03AMA1S19R
:unselected:",CNM03AMA1S19R,CDE03AMA1S19R,CD003AMA1S19R,
At Meets Grade Level or Above,2021,SDA03AMA1221R,"DDA03AMA1221R
:unselected:",CDA03AMA1221R,CDB03AMA1221R,CDH03AMA1221R,CDW03AMA1221R,CDI03AMA1221R,CD303AMA1221R,CD403AMA1221R,CD203AMA1221R,CDS03AMA1221R,CNS03AMA1221R,CNC03AMA1221R,CNM03AMA1221R,CDE03AMA1221R,CD003AMA1221R,
,2019,SDA03AMA1219R,"DDA03AMA1219R
:unselected:",CDA03AMA1219R,"CDB03AMA1219R
:unselected:",CDH03AMA1219R,CDW03AMA1219R,CDI03AMA1219R,CD303AMA1219R,CD403AMA1219R,CD203AMA1219R,CDS03AMA1219R,CNS03AMA1219R,"CNC03AMA1219R
:unselected:","CNM03AMA1219R
:unselected:",CDE03AMA1219R,CD003AMA1219R,
At Masters Grade Level,2021,SDA03AMA1321R,"DDA03AMA1321R
:unselected:",CDA03AMA1321R,"CDB03AMA1321R
:unselected:",CDH03AMA1321R,CDW03AMA1321R,CDI03AMA1321R,CD303AMA1321R,CD403AMA1321R,CD203AMA1321R,CDS03AMA1321R,"CNS03AMA1321R
:unselected:","CNC03AMA1321R
:unselected:","CNM03AMA1321R
:unselected:",CDE03AMA1321R,CD003AMA1321R,
,2019,SDA03AMA1319R,"DDA03AMA1319R
:unselected:",CDA03AMA1319R,CDB03AMA1319R,CDH03AMA1319R,CDW03AMA1319R,CDI03AMA1319R,CD303AMA1319R,CD403AMA1319R,CD203AMA1319R,CDS03AMA1319R,"CNS03AMA1319R
:unselected:","CNC03AMA1319R
:unselected:","CNM03AMA1319R
:unselected:",CDE03AMA1319R,CD003AMA1319R,
Grade 4 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA04ARE1S21R,DDA04ARE1S21R,CDA04ARE1S21R,CDB04ARE1S21R,CDH04ARE1S21R,CDW04ARE1S21R,CDI04ARE1S21R,CD304ARE1S21R,CD404ARE1S21R,CD204ARE1S21R,CDS04ARE1S21R,CNS04ARE1S21R,"CNC04ARE1S21R
:unselected:","CNM04ARE1S21R
:unselected:",CDE04ARE1S21R,CD004ARE1S21R,
,2019,SDA04ARE1S19R,DDA04ARE1S19R,CDA04ARE1S19R,CDB04ARE1S19R,CDH04ARE1S19R,CDW04ARE1S19R,CDI04ARE1S19R,CD304ARE1S19R,CD404ARE1S19R,CD204ARE1S19R,CDS04ARE1S19R,CNS04ARE1S19R,"CNC04ARE1S19R
:unselected:",CNM04ARE1S19R,CDE04ARE1S19R,CD004ARE1S19R,
At Meets Grade Level or Above,2021,SDA04ARE1221R,DDA04ARE1221R,CDA04ARE1221R,CDB04ARE1221R,CDH04ARE1221R,CDW04ARE1221R,CDI04ARE1221R,CD304ARE1221R,CD404ARE1221R,CD204ARE1221R,CDS04ARE1221R,CNS04ARE1221R,"CNC04ARE1221R
:unselected:",CNM04ARE1221R,CDE04ARE1221R,CD004ARE1221R,
,2019,SDA04ARE1219R,DDA04ARE1219R,CDA04ARE1219R,CDB04ARE1219R,CDH04ARE1219R,CDW04ARE1219R,CDI04ARE1219R,CD304ARE1219R,CD404ARE1219R,CD204ARE1219R,CDS04ARE1219R,CNS04ARE1219R,"CNC04ARE1219R
:unselected:",CNM04ARE1219R,CDE04ARE1219R,CD004ARE1219R,
At Masters Grade Level,2021,SDA04ARE1321R,DDA04ARE1321R,CDA04ARE1321R,CDB04ARE1321R,CDH04ARE1321R,CDW04ARE1321R,CDI04ARE1321R,CD304ARE1321R,CD404ARE1321R,CD204ARE1321R,CDS04ARE1321R,CNS04ARE1321R,"CNC04ARE1321R
:unselected:",CNM04ARE1321R,CDE04ARE1321R,CD004ARE1321R,
,2019,SDA04ARE1319R,DDA04ARE1319R,CDA04ARE1319R,CDB04ARE1319R,CDH04ARE1319R,CDW04ARE1319R,CDI04ARE1319R,CD304ARE1319R,CD404ARE1319R,CD204ARE1319R,CDS04ARE1319R,CNS04ARE1319R,"CNC04ARE1319R
:unselected:",CNM04ARE1319R,CDE04ARE1319R,CD004ARE1319R,
Grade 4 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA04AMA1S21R,DDA04AMA1S21R,CDA04AMA1S21R,CDB04AMA1S21R,CDH04AMA1S21R,CDW04AMA1S21R,CDI04AMA1S21R,CD304AMA1S21R,CD404AMA1S21R,CD204AMA1S21R,CDS04AMA1S21R,CNS04AMA1S21R,CNC04AMA1S21R,CNM04AMA1S21R,CDE04AMA1S21R,CD004AMA1S21R,
,2019,SDA04AMA1S19R,DDA04AMA1S19R,CDA04AMA1S19R,CDB04AMA1S19R,CDH04AMA1S19R,CDW04AMA1S19R,CDI04AMA1S19R,CD304AMA1S19R,CD404AMA1S19R,CD204AMA1S19R,CDS04AMA1S19R,CNS04AMA1S19R,CNC04AMA1S19R,CNM04AMA1S19R,CDE04AMA1S19R,CD004AMA1S19R,
At Meets Grade Level or Above,2021,SDA04AMA1221R,DDA04AMA1221R,CDA04AMA1221R,CDB04AMA1221R,CDH04AMA1221R,CDW04AMA1221R,CDI04AMA1221R,CD304AMA1221R,CD404AMA1221R,CD204AMA1221R,CDS04AMA1221R,CNS04AMA1221R,CNC04AMA1221R,CNM04AMA1221R,CDE04AMA1221R,CD004AMA1221R,
,2019,SDA04AMA1219R,DDA04AMA1219R,CDA04AMA1219R,CDB04AMA1219R,CDH04AMA1219R,CDW04AMA1219R,CDI04AMA1219R,CD304AMA1219R,CD404AMA1219R,CD204AMA1219R,CDS04AMA1219R,CNS04AMA1219R,CNC04AMA1219R,CNM04AMA1219R,CDE04AMA1219R,CD004AMA1219R,
At Masters Grade Level,2021,SDA04AMA1321R,DDA04AMA1321R,CDA04AMA1321R,CDB04AMA1321R,CDH04AMA1321R,CDW04AMA1321R,CDI04AMA1321R,CD304AMA1321R,CD404AMA1321R,CD204AMA1321R,CDS04AMA1321R,CNS04AMA1321R,CNC04AMA1321R,CNM04AMA1321R,CDE04AMA1321R,CD004AMA1321R,
,2019,SDA04AMA1319R,DDA04AMA1319R,CDA04AMA1319R,CDB04AMA1319R,CDH04AMA1319R,CDW04AMA1319R,CDI04AMA1319R,CD304AMA1319R,CD404AMA1319R,CD204AMA1319R,CDS04AMA1319R,CNS04AMA1319R,CNC04AMA1319R,CNM04AMA1319R,CDE04AMA1319R,CD004AMA1319R,
Grade 4 Writing,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,SDA04AWR1S21R,DDA04AWR1S21R,CDA04AWR1S21R,CDB04AWR1S21R,CDH04AWR1S21R,CDW04AWR1S21R,CDI04AWR1S21R,CD304AWR1S21R,CD404AWR1S21R,CD204AWR1S21R,CDS04AWR1S21R,CNS04AWR1S21R,CNC04AWR1S21R,CNM04AWR1S21R,CDE04AWR1S21R,CD004AWR1S21R,
,2019,SDA04AWR1S19R,DDA04AWR1S19R,CDA04AWR1S19R,CDB04AWR1S19R,CDH04AWR1S19R,CDW04AWR1S19R,CDI04AWR1S19R,CD304AWR1S19R,CD404AWR1S19R,CD204AWR1S19R,CDS04AWR1S19R,CNS04AWR1S19R,CNC04AWR1S19R,CNM04AWR1S19R,CDE04AWR1S19R,CD004AWR1S19R,
