,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,EL,
"STAAR Performance Rates by Tested Grade, Subject, and Performance Levels^ Grade 3 Reading",,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA03ARE1S18R,RDA03ARE1S18R,DDA03ARE1S18R,DDB03ARE1S18R,"DDH03ARE1S18R
:unselected:","DDW03ARE1S18R
:unselected:","DDI03ARE1S18R
:unselected:",DD303ARE1S18R,DD403ARE1S18R,DD203ARE1S18R,DDS03ARE1S18R,DDE03ARE1S18R,DDL03ARE1S18R,
,2017,SDA03ARE1S17R,RDA03ARE1S17R,DDA03ARE1S17R,DDB03ARE1S17R,"DDH03ARE1S17R
:unselected:","DDW03ARE1S17R
:unselected:","DDI03ARE1S17R
:unselected:",DD303ARE1S17R,DD403ARE1S17R,DD203ARE1S17R,DDS03ARE1S17R,DDE03ARE1S17R,DDL03ARE1S17R,
At Meets Grade Level or Above,2018,SDA03ARE1218R,RDA03ARE1218R,DDA03ARE1218R,DDB03ARE1218R,DDH03ARE1218R,"DDW03ARE1218R
:unselected:","DDI03ARE1218R
:unselected:",DD303ARE1218R,DD403ARE1218R,DD203ARE1218R,DDS03ARE1218R,DDE03ARE1218R,DDL03ARE1218R,
,2017,SDA03ARE1217R,RDA03ARE1217R,DDA03ARE1217R,DDB03ARE1217R,DDH03ARE1217R,"DDW03ARE1217R
:unselected:","DDI03ARE1217R
:unselected:",DD303ARE1217R,DD403ARE1217R,DD203ARE1217R,DDS03ARE1217R,DDE03ARE1217R,DDL03ARE1217R,
At Masters Grade Level or Above,2018 2017,SDA03ARE1318R SDA03ARE1317R,RDA03ARE1318R RDA03ARE1317R,DDA03ARE1318R DDA03ARE1317R,"DDB03ARE1318R DDB03ARE1317R
:unselected:","DDH03ARE1318R DDH03ARE1317R
:unselected:
:unselected:","DDW03ARE1318R DDW03ARE1317R
:unselected:
:unselected:","DDI03ARE1318R DDI03ARE1317R
:unselected:
:unselected:",DD303ARE1318R DD303ARE1317R,"DD403ARE1318R DD403ARE1317R
:unselected:",DD203ARE1318R DD203ARE1317R,DDS03ARE1318R DDS03ARE1317R,DDE03ARE1318R DDE03ARE1317R,DDL03ARE1318R DDL03ARE1317R,
Grade 3 Mathematics,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2018,SDA03AMA1S18R,RDA03AMA1S18R,DDA03AMA1S18R,DDB03AMA1S18R,"DDH03AMA1S18R
:unselected:","DDW03AMA1S18R
:unselected:","DDI03AMA1S18R
:unselected:",DD303AMA1S18R,DD403AMA1S18R,DD203AMA1S18R,DDS03AMA1S18R,DDE03AMA1S18R,DDL03AMA1S18R,
,2017,SDA03AMA1S17R,RDA03AMA1S17R,DDA03AMA1S17R,DDB03AMA1S17R,"DDH03AMA1S17R
:unselected:","DDW03AMA1S17R
:unselected:","DDI03AMA1S17R
:unselected:",DD303AMA1S17R,DD403AMA1S17R,DD203AMA1S17R,DDS03AMA1S17R,DDE03AMA1S17R,DDL03AMA1S17R,
