,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA03ARE1S22R,RDA03ARE1S22R,DDA03ARE1S22R,DDB03ARE1S22R,DDH03ARE1S22R,DDW03ARE1S22R,DDI03ARE1S22R,DD303ARE1S22R,DD403ARE1S22R,DD203ARE1S22R,DDS03ARE1S22R,DNS03ARE1S22R,DNC03ARE1S22R,DNM03ARE1S22R,DDE03ARE1S22R,DD003ARE1S22R,
,2021,SDA03ARE1S21R,RDA03ARE1S21R,DDA03ARE1S21R,DDB03ARE1S21R,DDH03ARE1S21R,DDW03ARE1S21R,DDI03ARE1S21R,DD303ARE1S21R,DD403ARE1S21R,DD203ARE1S21R,DDS03ARE1S21R,DNS03ARE1S21R,DNC03ARE1S21R,DNM03ARE1S21R,DDE03ARE1S21R,DD003ARE1S21R,
At Meets Grade Level or Above,2022,SDA03ARE1222R,RDA03ARE1222R,DDA03ARE1222R,DDB03ARE1222R,DDH03ARE1222R,DDW03ARE1222R,DDI03ARE1222R,DD303ARE1222R,DD403ARE1222R,DD203ARE1222R,DDS03ARE1222R,DNS03ARE1222R,DNC03ARE1222R,DNM03ARE1222R,DDE03ARE1222R,DD003ARE1222R,
,2021,SDA03ARE1221R,RDA03ARE1221R,DDA03ARE1221R,DDB03ARE1221R,DDH03ARE1221R,DDW03ARE1221R,DDI03ARE1221R,DD303ARE1221R,DD403ARE1221R,DD203ARE1221R,DDS03ARE1221R,DNS03ARE1221R,DNC03ARE1221R,DNM03ARE1221R,DDE03ARE1221R,DD003ARE1221R,
At Masters Grade Level,2022,SDA03ARE1322R,RDA03ARE1322R,DDA03ARE1322R,DDB03ARE1322R,DDH03ARE1322R,DDW03ARE1322R,DDI03ARE1322R,DD303ARE1322R,DD403ARE1322R,DD203ARE1322R,DDS03ARE1322R,DNS03ARE1322R,DNC03ARE1322R,DNM03ARE1322R,DDE03ARE1322R,"DD003ARE1322R
:unselected:",
Grade 3 Mathematics,2021,SDA03ARE1321R,RDA03ARE1321R,DDA03ARE1321R,DDB03ARE1321R,DDH03ARE1321R,DDW03ARE1321R,DDI03ARE1321R,DD303ARE1321R,DD403ARE1321R,DD203ARE1321R,DDS03ARE1321R,"DNS03ARE1321R
:unselected:","DNC03ARE1321R
:unselected:",DNM03ARE1321R,DDE03ARE1321R,"DD003ARE1321R
:unselected:",
At Approaches Grade Level or Above,2022,SDA03AMA1S22R,RDA03AMA1S22R,DDA03AMA1S22R,DDB03AMA1S22R,DDH03AMA1S22R,DDW03AMA1S22R,DDI03AMA1S22R,DD303AMA1S22R,DD403AMA1S22R,DD203AMA1S22R,DDS03AMA1S22R,"DNS03AMA1S22R
:unselected:","DNC03AMA1S22R
:unselected:",DNM03AMA1S22R,DDE03AMA1S22R,"DD003AMA1S22R
:unselected:",
,2021,SDA03AMA1S21R,RDA03AMA1S21R,DDA03AMA1S21R,DDB03AMA1S21R,DDH03AMA1S21R,DDW03AMA1S21R,DDI03AMA1S21R,DD303AMA1S21R,DD403AMA1S21R,DD203AMA1S21R,DDS03AMA1S21R,DNS03AMA1S21R,"DNC03AMA1S21R
:unselected:",DNM03AMA1S21R,DDE03AMA1S21R,"DD003AMA1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA03AMA1222R,RDA03AMA1222R,DDA03AMA1222R,DDB03AMA1222R,DDH03AMA1222R,DDW03AMA1222R,DDI03AMA1222R,DD303AMA1222R,DD403AMA1222R,DD203AMA1222R,DDS03AMA1222R,"DNS03AMA1222R
:unselected:",DNC03AMA1222R,DNM03AMA1222R,DDE03AMA1222R,DD003AMA1222R,
,2021,SDA03AMA1221R,RDA03AMA1221R,DDA03AMA1221R,DDB03AMA1221R,DDH03AMA1221R,DDW03AMA1221R,DDI03AMA1221R,DD303AMA1221R,DD403AMA1221R,DD203AMA1221R,DDS03AMA1221R,DNS03AMA1221R,DNC03AMA1221R,DNM03AMA1221R,DDE03AMA1221R,DD003AMA1221R,
At Masters Grade Level,2022,SDA03AMA1322R,RDA03AMA1322R,DDA03AMA1322R,DDB03AMA1322R,DDH03AMA1322R,DDW03AMA1322R,DDI03AMA1322R,DD303AMA1322R,DD403AMA1322R,DD203AMA1322R,DDS03AMA1322R,"DNS03AMA1322R
:unselected:",DNC03AMA1322R,DNM03AMA1322R,DDE03AMA1322R,DD003AMA1322R,
,2021,SDA03AMA1321R,RDA03AMA1321R,DDA03AMA1321R,DDB03AMA1321R,DDH03AMA1321R,DDW03AMA1321R,DDI03AMA1321R,DD303AMA1321R,DD403AMA1321R,DD203AMA1321R,DDS03AMA1321R,"DNS03AMA1321R
:unselected:","DNC03AMA1321R
:unselected:","DNM03AMA1321R
:unselected:",DDE03AMA1321R,DD003AMA1321R,
Grade 4 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA04ARE1S22R,RDA04ARE1S22R,DDA04ARE1S22R,DDB04ARE1S22R,DDH04ARE1S22R,DDW04ARE1S22R,DDI04ARE1S22R,DD304ARE1S22R,DD404ARE1S22R,DD204ARE1S22R,"DDS04ARE1S22R
:unselected:","DNS04ARE1S22R
:unselected:","DNC04ARE1S22R
:unselected:","DNM04ARE1S22R
:unselected:",DDE04ARE1S22R,"DD004ARE1S22R
:unselected:",
,2021,SDA04ARE1S21R,RDA04ARE1S21R,DDA04ARE1S21R,DDB04ARE1S21R,DDH04ARE1S21R,DDW04ARE1S21R,DDI04ARE1S21R,DD304ARE1S21R,DD404ARE1S21R,DD204ARE1S21R,DDS04ARE1S21R,"DNS04ARE1S21R
:unselected:","DNC04ARE1S21R
:unselected:","DNM04ARE1S21R
:unselected:",DDE04ARE1S21R,DD004ARE1S21R,
At Meets Grade Level or Above,2022,SDA04ARE1222R,RDA04ARE1222R,DDA04ARE1222R,DDB04ARE1222R,DDH04ARE1222R,DDW04ARE1222R,DDI04ARE1222R,DD304ARE1222R,DD404ARE1222R,DD204ARE1222R,"DDS04ARE1222R
:unselected:","DNS04ARE1222R
:unselected:","DNC04ARE1222R
:unselected:","DNM04ARE1222R
:unselected:",DDE04ARE1222R,"DD004ARE1222R
:unselected:",
,2021,SDA04ARE1221R,RDA04ARE1221R,DDA04ARE1221R,DDB04ARE1221R,DDH04ARE1221R,DDW04ARE1221R,DDI04ARE1221R,DD304ARE1221R,DD404ARE1221R,DD204ARE1221R,"DDS04ARE1221R
:unselected:","DNS04ARE1221R
:unselected:","DNC04ARE1221R
:unselected:","DNM04ARE1221R
:unselected:",DDE04ARE1221R,"DD004ARE1221R
:unselected:",
At Masters Grade Level,2022,SDA04ARE1322R,RDA04ARE1322R,DDA04ARE1322R,DDB04ARE1322R,DDH04ARE1322R,DDW04ARE1322R,DDI04ARE1322R,DD304ARE1322R,DD404ARE1322R,DD204ARE1322R,"DDS04ARE1322R
:unselected:","DNS04ARE1322R
:unselected:","DNC04ARE1322R
:unselected:","DNM04ARE1322R
:unselected:",DDE04ARE1322R,"DD004ARE1322R
:unselected:",
,2021,SDA04ARE1321R,RDA04ARE1321R,DDA04ARE1321R,DDB04ARE1321R,DDH04ARE1321R,DDW04ARE1321R,DDI04ARE1321R,DD304ARE1321R,DD404ARE1321R,DD204ARE1321R,DDS04ARE1321R,DNS04ARE1321R,"DNC04ARE1321R
:unselected:",DNM04ARE1321R,DDE04ARE1321R,"DD004ARE1321R
:unselected:",
Grade 4 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA04AMA1S22R,RDA04AMA1S22R,DDA04AMA1S22R,DDB04AMA1S22R,DDH04AMA1S22R,DDW04AMA1S22R,DDI04AMA1S22R,DD304AMA1S22R,DD404AMA1S22R,DD204AMA1S22R,DDS04AMA1S22R,DNS04AMA1S22R,DNC04AMA1S22R,"DNM04AMA1S22R
:unselected:","DDE04AMA1S22R
:unselected:","DD004AMA1S22R
:unselected:",
,2021,SDA04AMA1S21R,RDA04AMA1S21R,DDA04AMA1S21R,DDB04AMA1S21R,DDH04AMA1S21R,DDW04AMA1S21R,DDI04AMA1S21R,DD304AMA1S21R,DD404AMA1S21R,DD204AMA1S21R,DDS04AMA1S21R,DNS04AMA1S21R,DNC04AMA1S21R,"DNM04AMA1S21R
:unselected:",DDE04AMA1S21R,"DD004AMA1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA04AMA1222R,RDA04AMA1222R,DDA04AMA1222R,DDB04AMA1222R,DDH04AMA1222R,DDW04AMA1222R,DDI04AMA1222R,DD304AMA1222R,DD404AMA1222R,DD204AMA1222R,DDS04AMA1222R,DNS04AMA1222R,DNC04AMA1222R,DNM04AMA1222R,DDE04AMA1222R,DD004AMA1222R,
