Data field,Subcategory,Unnamed: 1,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,Unnamed: 15
STAAR Percent at Approaches Grade Level or Above,STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,
Grade 3,Grade 3,,,,,,,,,,,,,,,
Grade 3,Reading,2017 2016,SA03ARE1S17R SA03ARE1S16R,RA03ARE1S17R RA03ARE1S16R,DA03ARE1S17R DA03ARE1S16R,DB03ARE1S17R DB03ARE1S16R,DH03ARE1S17R DH03ARE1S16R,DW03ARE1S17R DW03ARE1S16R,DI03ARE1S17R DI03ARE1S16R,D303ARE1S17R D303ARE1S16R,D403ARE1S17R D403ARE1S16R,D203ARE1S17R D203ARE1S16R,DS03ARE1S17R DS03ARE1S16R,DE03ARE1S17R DE03ARE1S16R,DL03ARE1S17R DL03ARE1S16R,
Grade 3,Mathematics,2017 2016,SA03AMA1S17R SA03AMA1S16R,RA03AMA1S17R RA03AMA1S16R,DA03AMA1S17R DA03AMA1S16R,DB03AMA1S17R DB03AMA1S16R,DH03AMA1S17R DH03AMA1S16R,DW03AMA1S17R DW03AMA1S16R,DI03AMA1S17R DI03AMA1S16R,D303AMA1S17R D303AMA1S16R,D403AMA1S17R D403AMA1S16R,D203AMA1S17R D203AMA1S16R,DS03AMA1S17R DS03AMA1S16R,DE03AMA1S17R DE03AMA1S16R,DL03AMA1S17R DL03AMA1S16R,
STAAR Percent at Approaches Grade Level or Above,STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,
Grade 4,Grade 4,,,,,,,,,,,,,,,
Grade 4,Reading,2017 2016,SA04ARE1S17R SA04ARE1S16R,RA04ARE1S17R RA04ARE1S16R,DA04ARE1S17R DA04ARE1S16R,DB04ARE1S17R DB04ARE1S16R,DH04ARE1S17R DH04ARE1S16R,DW04ARE1S17R DW04ARE1S16R,DI04ARE1S17R DI04ARE1S16R,D304ARE1S17R D304ARE1S16R,D404ARE1S17R D404ARE1S16R,D204ARE1S17R D204ARE1S16R,DS04ARE1S17R DS04ARE1S16R,DE04ARE1S17R DE04ARE1S16R,DL04ARE1S17R DL04ARE1S16R,
Grade 4,Mathematics,2017 2016,SA04AMA1S17R SA04AMA1S16R,RA04AMA1S17R RA04AMA1S16R,DA04AMA1S17R DA04AMA1S16R,DB04AMA1S17R DB04AMA1S16R,DH04AMA1S17R DH04AMA1S16R,DW04AMA1S17R DW04AMA1S16R,DI04AMA1S17R DI04AMA1S16R,D304AMA1S17R D304AMA1S16R,D404AMA1S17R D404AMA1S16R,D204AMA1S17R D204AMA1S16R,DS04AMA1S17R DS04AMA1S16R,DE04AMA1S17R DE04AMA1S16R,DL04AMA1S17R DL04AMA1S16R,
Grade 4,Writing,2017 2016,SA04AWR1S17R SA04AWR1S16R,RA04AWR1S17R RA04AWR1S16R,DA04AWR1S17R DA04AWR1S16R,DB04AWR1S17R DB04AWR1S16R,DH04AWR1S17R DH04AWR1S16R,DW04AWR1S17R DW04AWR1S16R,DI04AWR1S17R DI04AWR1S16R,D304AWR1S17R D304AWR1S16R,D404AWR1S17R D404AWR1S16R,D204AWR1S17R D204AWR1S16R,DS04AWR1S17R DS04AWR1S16R,DE04AWR1S17R DE04AWR1S16R,DL04AWR1S17R DL04AWR1S16R,
