Data field,Subcategory,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),Unnamed: 18
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,,,,,,,,,,,,,,,,,,
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,At Approaches Grade Level or Above,2021,SDA03ARE1S21R,RDA03ARE1S21R,DDA03ARE1S21R,DDB03ARE1S21R,DDH03ARE1S21R,DDW03ARE1S21R,DDI03ARE1S21R,DD303ARE1S21R,DD403ARE1S21R,DD203ARE1S21R,DDS03ARE1S21R,DNS03ARE1S21R,DNC03ARE1S21R,DNM03ARE1S21R,DDE03ARE1S21R,DD003ARE1S21R,
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,At Approaches Grade Level or Above,2019,SDA03ARE1S19R,RDA03ARE1S19R,DDA03ARE1S19R,DDB03ARE1S19R,DDH03ARE1S19R,DDW03ARE1S19R,DDI03ARE1S19R,DD303ARE1S19R,DD403ARE1S19R,DD203ARE1S19R,DDS03ARE1S19R,DNS03ARE1S19R,DNC03ARE1S19R,DNM03ARE1S19R,DDE03ARE1S19R,DD003ARE1S19R,
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,At Meets Grade Level or Above,2021,SDA03ARE1221R,RDA03ARE1221R,DDA03ARE1221R,DDB03ARE1221R,DDH03ARE1221R,DDW03ARE1221R,DDI03ARE1221R,DD303ARE1221R,DD403ARE1221R,DD203ARE1221R,DDS03ARE1221R,DNS03ARE1221R,DNC03ARE1221R,DNM03ARE1221R,DDE03ARE1221R,DD003ARE1221R,
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,At Meets Grade Level or Above,2019,SDA03ARE1219R,RDA03ARE1219R,DDA03ARE1219R,DDB03ARE1219R,DDH03ARE1219R,DDW03ARE1219R,DDI03ARE1219R,DD303ARE1219R,DD403ARE1219R,DD203ARE1219R,DDS03ARE1219R,DNS03ARE1219R,DNC03ARE1219R,DNM03ARE1219R,DDE03ARE1219R,DD003ARE1219R,
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,At Masters Grade Level,2021,SDA03ARE1321R,RDA03ARE1321R,DDA03ARE1321R,DDB03ARE1321R,DDH03ARE1321R,DDW03ARE1321R,DDI03ARE1321R,DD303ARE1321R,DD403ARE1321R,DD203ARE1321R,DDS03ARE1321R,DNS03ARE1321R,DNC03ARE1321R,DNM03ARE1321R,DDE03ARE1321R,DD003ARE1321R,
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,At Masters Grade Level,2019,SDA03ARE1319R,RDA03ARE1319R,DDA03ARE1319R,DDB03ARE1319R,DDH03ARE1319R,DDW03ARE1319R,DDI03ARE1319R,DD303ARE1319R,DD403ARE1319R,DD203ARE1319R,DDS03ARE1319R,DNS03ARE1319R,DNC03ARE1319R,DNM03ARE1319R,DDE03ARE1319R,DD003ARE1319R,
Grade 3 Mathematics,Grade 3 Mathematics,,,,,,,,,,,,,,,,,,
Grade 3 Mathematics,At Approaches Grade Level or Above,2021,SDA03AMA1S21R,RDA03AMA1S21R,DDA03AMA1S21R,DDB03AMA1S21R,DDH03AMA1S21R,DDW03AMA1S21R,DDI03AMA1S21R,DD303AMA1S21R,DD403AMA1S21R,DD203AMA1S21R,DDS03AMA1S21R,DNS03AMA1S21R,DNC03AMA1S21R,DNM03AMA1S21R,DDE03AMA1S21R,DD003AMA1S21R,
