City_1,State,Zip5,Zip4,District_N,District_1
WESLACO,TX,78596, ,WESLACO ISD,108913
DONNA,TX,78537,2799,DONNA ISD,108902
WYLIE,TX,75098,490,WYLIE ISD,43914
ROUND ROCK,TX,78681,4999,ROUND ROCK ISD,246909
COLLEGE STATION,TX,77840,5198,COLLEGE STATION ISD,21901
COLLEGE STATION,TX,77840, ,COLLEGE STATION ISD,21901
FLOYDADA,TX,79235,4029,FLOYDADA ISD,77901
MEXIA,TX,76667,2000,MEXIA ISD,147903
ARANSAS PASS,TX,78336,4612,ARANSAS PASS ISD,205901
BEEVILLE,TX,78102,2796,BEEVILLE ISD,13901
BEEVILLE,TX,78102, ,BEEVILLE ISD,13901
QUINLAN,TX,75474, ,QUINLAN ISD,116908
JOSHUA,TX,76058,3180,JOSHUA ISD,126905
SAN ANTONIO,TX,78211,2742,HARLANDALE ISD,15904
DONNA,TX,78537,2799,DONNA ISD,108902
FORT WORTH,TX,76119,2126,FORT WORTH ISD,220905
ROSHARON,TX,77583,8820,WINDHAM SCHOOL DISTRICT,236903
WESLACO,TX,78596,8420,WESLACO ISD,108913
FREEPORT,TX,77541,1926,BRAZOSPORT ISD,20905
DONNA,TX,78537,2799,DONNA ISD,108902
FORT WORTH,TX,76114,2698,CASTLEBERRY ISD,220917
DALLAS,TX,75217, ,A+ ACADEMY,57829
DALLAS,TX,75217, ,A+ ACADEMY,57829
HOUSTON,TX,77098, ,A+ UNLIMITED POTENTIAL,101871
HOUSTON,TX,77098, ,A+ UNLIMITED POTENTIAL,101871
PARIS,TX,75460, ,NORTH LAMAR ISD,139911
WYLIE,TX,75098,490,WYLIE ISD,43914
GARLAND,TX,75044,4102,GARLAND ISD,57909
ABBOTT,TX,76621,226,ABBOTT ISD,109901
MIDLAND,TX,79707,5001,MIDLAND ISD,165901
ABERNATHY,TX,79311, ,ABERNATHY ISD,95901
ABERNATHY,TX,79311,3318,ABERNATHY ISD,95901
ABERNATHY,TX,79311,3318,ABERNATHY ISD,95901
ABERNATHY,TX,79311,3318,ABERNATHY ISD,95901
ABILENE,TX,79603,7190,ABILENE ISD,221901
EL PASO,TX,79902, ,EL PASO ISD,71902
EL PASO,TX,79904, ,EL PASO ISD,71902
SAN ANTONIO,TX,78242,2214,SOUTH SAN ANTONIO ISD,15908
HOUSTON,TX,77012, ,HARRIS COUNTY DEPT OF ED,101000
HOUSTON,TX,77063, ,HARRIS COUNTY DEPT OF ED,101000
NORTH RICHLAND HILLS,TX,76180,5598,BIRDVILLE ISD,220902
BURLESON,TX,76028,4809,BURLESON ISD,126902
LITTLE RIVER,TX,76554,2661,ACADEMY ISD,14901
ABILENE,TX,79601, ,ABILENE ISD,221901
LITTLE RIVER,TX,76554,548,ACADEMY ISD,14901
LITTLE RIVER,TX,76554, ,ACADEMY ISD,14901
LITTLE RIVER,TX,76554,2635,ACADEMY ISD,14901
LITTLE RIVER,TX,76554, ,ACADEMY ISD,14901
HOUSTON,TX,77081, ,ACADEMY OF ACCELERATED LEARNING INC,101810
HOUSTON,TX,77055, ,SPRING BRANCH ISD,101920
SAN ANTONIO,TX,78217,3809,NORTH EAST ISD,15910
DALLAS,TX,75224, ,ACADEMY OF DALLAS,57810
HOUSTON,TX,77225,589,ACCELERATED INTERMEDIATE ACADEMY,101849
HOUSTON,TX,77225,589,ACCELERATED INTERMEDIATE ACADEMY,101849
WYLIE,TX,75098, ,WYLIE ISD,43914
MCALLEN,TX,78501,2000,MCALLEN ISD,108906
MESQUITE,TX,75181, ,MESQUITE ISD,57914
GRANBURY,TX,76049,9781,GRANBURY ISD,111901
GRANBURY,TX,76048,2046,GRANBURY ISD,111901
CLEBURNE,TX,76033,5496,CLEBURNE ISD,126903
CEDAR PARK,TX,78613,3613,LEANDER ISD,246913
HOUSTON,TX,77065,2413,CYPRESS-FAIRBANKS ISD,101907
ARLINGTON,TX,76010, ,ARLINGTON ISD,220901
CLEBURNE,TX,76031, ,CLEBURNE ISD,126903
SAN ANTONIO,TX,78245,1999,NORTHSIDE ISD,15915
KATY,TX,77492,159,KATY ISD,101914
ALICE,TX,78332,4201,ALICE ISD,125901
DALLAS,TX,75227, ,DALLAS ISD,57905
DALLAS,TX,75232,2062,DALLAS ISD,57905
CORPUS CHRISTI,TX,78414, ,CORPUS CHRISTI ISD,178904
HOUSTON,TX,77072, ,ALIEF ISD,101903
ADRIAN,TX,79001,189,ADRIAN ISD,180903
PLANO,TX,75074, ,PLANO ISD,43910
BROWNSVILLE,TX,78520, ,BROWNSVILLE ISD,31901
FORT WORTH,TX,76104,2916,FORT WORTH ISD,220905
ABILENE,TX,79602,2601,ABILENE ISD,221901
PLANO,TX,75075, ,PLANO ISD,43910
AUSTIN,TX,78746, ,EANES ISD,227909
EL PASO,TX,79907, ,YSLETA ISD,71905
SAN ANTONIO,TX,78212, ,SAN ANTONIO ISD,15907
DALLAS,TX,75116, ,ADVANTAGE ACADEMY,57806
KILLEEN,TX,76543, ,KILLEEN ISD,14906
MAGNOLIA,TX,77353, ,MAGNOLIA ISD,170906
HOWE,TX,75459,4594,HOWE ISD,91905
GREENVILLE,TX,75401, ,GREENVILLE ISD,116905
SAN ANTONIO,TX,78212,2796,SAN ANTONIO ISD,15907
MESQUITE,TX,75149,5199,MESQUITE ISD,57914
AGUA DULCE,TX,78330,250,AGUA DULCE ISD,178901
AGUA DULCE,TX,78330,250,AGUA DULCE ISD,178901
HOUSTON,TX,77049, ,CHANNELVIEW ISD,101905
HOUSTON,TX,77225, ,ACCELERATED INTERMEDIATE ACADEMY,101849
HOUSTON,TX,77225, ,ACCELERATED INTERMEDIATE ACADEMY,101849
PHARR,TX,78577,4419,PHARR-SAN JUAN-ALAMO ISD,108909
BROWNSVILLE,TX,78521,6537,BROWNSVILLE ISD,31901
DALLAS,TX,75243,4107,RICHARDSON ISD,57916
PARIS,TX,75460,4937,PARIS ISD,139909
HEREFORD,TX,79045,3603,HEREFORD ISD,59901
GALVESTON,TX,77553, ,GALVESTON ISD,84902
WESLACO,TX,78596,5508,WESLACO ISD,108913
HALE CENTER,TX,79041,590,HALE CENTER ISD,95903
AUSTIN,TX,78748, ,AUSTIN ISD,227901
BAYTOWN,TX,77522,30,GOOSE CREEK CISD,101911
SAN ANTONIO,TX,78209,3799,ALAMO HEIGHTS ISD,15901
SAN ANTONIO,TX,78209,2799,ALAMO HEIGHTS ISD,15901
MIDLAND,TX,79703,5599,MIDLAND ISD,165901
ALAMO,TX,78516,2102,PHARR-SAN JUAN-ALAMO ISD,108909
SAN ANTONIO,TX,78242,2299,SOUTH SAN ANTONIO ISD,15908
ALBA,TX,75410,9706,ALBA-GOLDEN ISD,250906
ALBA,TX,75410,9706,ALBA-GOLDEN ISD,250906
ALBANY,TX,76430,188,ALBANY ISD,209901
MCKINNEY,TX,75069,3211,MCKINNEY ISD,43907
COMMERCE,TX,75428, ,COMMERCE ISD,116903
RIO GRANDE CITY,TX,78582,4799,RIO GRANDE CITY CISD,214901
HOUSTON,TX,77083,1339,ALIEF ISD,101903
HOUSTON,TX,77033,2199,HOUSTON ISD,101912
LUBBOCK,TX,79403, ,LUBBOCK ISD,152901
HOUSTON,TX,77037,1183,ALDINE ISD,101902
HOUSTON,TX,77054,1622,ALDINE ISD,101902
HOUSTON,TX,77032,3097,ALDINE ISD,101902
RICHARDSON,TX,75080,1545,PLANO ISD,43910
ALEDO,TX,76008,4407,ALEDO ISD,184907
ALEDO,TX,76008,4489,ALEDO ISD,184907
DALLAS,TX,75218,4319,DALLAS ISD,57905
DALLAS,TX,75204,3617,DALLAS ISD,57905
HOUSTON,TX,77099, ,ALIEF ISD,101903
PEARLAND,TX,77581, ,PEARLAND ISD,20908
SAN ELIZARIO,TX,79849,920,SAN ELIZARIO ISD,71904
EDINBURG,TX,78540,990,EDINBURG CISD,108904
SAN JUAN,TX,78589,2446,PHARR-SAN JUAN-ALAMO ISD,108909
FORT WORTH,TX,76109,3091,FORT WORTH ISD,220905
FORT WORTH,TX,76115, ,FORT WORTH ISD,220905
ALICE,TX,78332,4144,ALICE ISD,125901
CHANNELVIEW,TX,77530,2674,CHANNELVIEW ISD,101905
DENTON,TX,76201,6314,DENTON ISD,61901
MANSFIELD,TX,76063, ,MANSFIELD ISD,220908
KILLEEN,TX,76542, ,KILLEEN ISD,14906
EL PASO,TX,79907, ,YSLETA ISD,71905
HOUSTON,TX,77082, ,ALIEF ISD,101903
HOUSTON,TX,77054, ,ALIEF ISD,101903
HOUSTON,TX,77072,1815,ALIEF ISD,101903
HOUSTON,TX,77072,1815,ALIEF ISD,101903
HOUSTON,TX,77072,1104,ALIEF ISD,101903
HOUSTON,TX,77072, ,ALIEF MONTESSORI COMMUNITY SCHOOL,101815
BANDERA,TX,78003,727,BANDERA ISD,10902
PLANO,TX,75074,5952,PLANO ISD,43910
PHARR,TX,78577, ,PHARR-SAN JUAN-ALAMO ISD,108909
FRISCO,TX,75034, ,FRISCO ISD,43905
SAN ANTONIO,TX,78227,4499,NORTHSIDE ISD,15915
CORPUS CHRISTI,TX,78404,3415,CORPUS CHRISTI ISD,178904
ALLEN,TX,75002,3007,ALLEN ISD,43901
NORTH RICHLAND HILLS,TX,76180,8532,BIRDVILLE ISD,220902
AUSTIN,TX,78741,2455,AUSTIN ISD,227901
SCHERTZ,TX,78154, ,SCHERTZ-CIBOLO-U CITY ISD,94902
IOWA PARK,TX,76367, ,WINDHAM SCHOOL DISTRICT,236903
DALE,TX,78616, ,LOCKHART ISD,28902
MANSFIELD,TX,76063,1794,MANSFIELD ISD,220908
HOUSTON,TX,77047,5061,HOUSTON ISD,101912
VICTORIA,TX,77902,9998,VICTORIA ISD,235902
SAN ANTONIO,TX,78237,4312,EDGEWOOD ISD,15905
MAGNOLIA,TX,77353, ,MAGNOLIA ISD,170906
ALPINE,TX,79830,3618,ALPINE ISD,22901
ALPINE,TX,79830,2027,ALPINE ISD,22901
ALPINE,TX,79830,4430,ALPINE ISD,22901
SAN ANGELO,TX,76901,1899,SAN ANGELO ISD,226903
WACO,TX,76706,3726,WACO ISD,161914
FORT WORTH,TX,76179,9160,EAGLE MT-SAGINAW ISD,220918
ODESSA,TX,79760,3912,ECTOR COUNTY ISD,68901
EULESS,TX,76040,6235,HURST-EULESS-BEDFORD ISD,220916
SAN ANTONIO,TX,78216,6700,NORTH EAST ISD,15910
BUDA,TX,78610,9390,HAYS CISD,105906
KEENE,TX,76059,656,KEENE ISD,126906
SAN ANTONIO,TX,78216,6700,NORTH EAST ISD,15910
LUFKIN,TX,75904,8428,LUFKIN ISD,3903
FREDERICKSBURG,TX,78624,5004,FREDERICKSBURG ISD,86901
PORT NECHES,TX,77651,2894,PORT NECHES-GROVES ISD,123908
ALBA,TX,75410,9706,ALBA-GOLDEN ISD,250906
SAN ANTONIO,TX,78237,1399,EDGEWOOD ISD,15905
NEDERLAND,TX,77627,5029,NEDERLAND ISD,123905
