Postal,City,RegionAbbr,ARC_City,ARC_State,ARC_ZIP_Co,City_1,State,Zip5,Zip4,Site_Zip5,Site_Zip4,District_N,District_1
78872,La Pryor,TX,LA PRYOR,TX,78872,LA PRYOR,TX,78872,519,78872,519,LA PRYOR ISD,254902
78872,La Pryor,TX,LA PRYOR,TX,78872,LA PRYOR,TX,78872,519,78872,519,LA PRYOR ISD,254902
78839,Crystal City,TX,CRYSTAL CITY,TX,78839,CRYSTAL CITY,TX,78839,2799,78839,9999,CRYSTAL CITY ISD,254901
78839,Crystal City,TX,CRYSTAL CITY,TX,78839,CRYSTAL CITY,TX,78839,2799,78839,2401,CRYSTAL CITY ISD,254901
78839,Crystal City,TX,CRYSTAL CITY,TX,78839,CRYSTAL CITY,TX,78839,2799,78839,9999,CRYSTAL CITY ISD,254901
78839,Crystal City,TX,CRYSTAL CITY,TX,78839,CRYSTAL CITY,TX,78839,2799,78839,2623,CRYSTAL CITY ISD,254901
78839,Crystal City,TX,CRYSTAL CITY,TX,78839,CRYSTAL CITY,TX,78839,2799,78839, ,CRYSTAL CITY ISD,254901
78067,San Ygnacio,TX,SAN YGNACIO,TX,78067,ZAPATA,TX,78076, ,78067,219,ZAPATA COUNTY ISD,253901
78076,Zapata,TX,ZAPATA,TX,78076,ZAPATA,TX,78076, ,78076, ,ZAPATA COUNTY ISD,253901
78076,Zapata,TX,ZAPATA,TX,78076,ZAPATA,TX,78076, ,78076, ,ZAPATA COUNTY ISD,253901
78076,Zapata,TX,ZAPATA,TX,78076,ZAPATA,TX,78076,3636,78076, ,ZAPATA COUNTY ISD,253901
78076,Zapata,TX,ZAPATA,TX,78076,ZAPATA,TX,78076,3224,78076, ,ZAPATA COUNTY ISD,253901
78076,Zapata,TX,ZAPATA,TX,78076,ZAPATA,TX,78076, ,78076, ,ZAPATA COUNTY ISD,253901
76374,Olney,TX,OLNEY,TX,76374,OLNEY,TX,76374, ,76374,1362,OLNEY ISD,252903
76374,Olney,TX,OLNEY,TX,76374,OLNEY,TX,76374, ,76374,1362,OLNEY ISD,252903
76374,Olney,TX,OLNEY,TX,76374,OLNEY,TX,76374,1362,76374,1362,OLNEY ISD,252903
76372,Newcastle,TX,NEWCASTLE,TX,76372,NEWCASTLE,TX,73672,129,76372,129,NEWCASTLE ISD,252902
76450,Graham,TX,GRAHAM,TX,76450,GRAHAM,TX,76450,4103,76450,4103,GRAHAM ISD,252901
76450,Graham,TX,GRAHAM,TX,76450,GRAHAM,TX,76450,3900,76450,3900,GRAHAM ISD,252901
76450,Graham,TX,GRAHAM,TX,76450,GRAHAM,TX,76450,2618,76450,2618,GRAHAM ISD,252901
76450,Graham,TX,GRAHAM,TX,76450,GRAHAM,TX,76450,3226,76450,3226,GRAHAM ISD,252901
79355,Plains,TX,PLAINS,TX,79355,PLAINS,TX,79355,479,79355,479,PLAINS ISD,251902
79355,Plains,TX,PLAINS,TX,79355,PLAINS,TX,79355,479,79355,479,PLAINS ISD,251902
79355,Plains,TX,PLAINS,TX,79355,PLAINS,TX,79355,479,79355,479,PLAINS ISD,251902
79323,Denver City,TX,DENVER CITY,TX,79323,DENVER CITY,TX,79323,2797,79323,2797,DENVER CITY ISD,251901
79323,Denver City,TX,DENVER CITY,TX,79323,DENVER CITY,TX,79323, ,79323, ,DENVER CITY ISD,251901
79323,Denver City,TX,DENVER CITY,TX,79323,DENVER CITY,TX,79323,2824,79323,2824,DENVER CITY ISD,251901
79323,Denver City,TX,DENVER CITY,TX,79323,DENVER CITY,TX,79323,2798,79323,2798,DENVER CITY ISD,251901
75494,Winnsboro,TX,WINNSBORO,TX,75494,WINNSBORO,TX,75494,2628,75494,2628,WINNSBORO ISD,250907
75494,Winnsboro,TX,WINNSBORO,TX,75494,WINNSBORO,TX,75494,2628,75494,2628,WINNSBORO ISD,250907
75494,Winnsboro,TX,WINNSBORO,TX,75494,WINNSBORO,TX,75494,2628,75494,2628,WINNSBORO ISD,250907
75494,Winnsboro,TX,WINNSBORO,TX,75494,WINNSBORO,TX,75494,2628,75494,2628,WINNSBORO ISD,250907
75410,Alba,TX,ALBA,TX,75410,ALBA,TX,75410,9706,75410,9706,ALBA-GOLDEN ISD,250906
75410,Alba,TX,ALBA,TX,75410,ALBA,TX,75410,9706,75410,9706,ALBA-GOLDEN ISD,250906
75410,Alba,TX,ALBA,TX,75410,ALBA,TX,75410,9706,75410,9706,ALBA-GOLDEN ISD,250906
75497,Yantis,TX,YANTIS,TX,75497,YANTIS,TX,75497, ,75497, ,YANTIS ISD,250905
75497,Yantis,TX,YANTIS,TX,75497,YANTIS,TX,75497, ,75497, ,YANTIS ISD,250905
75783,Quitman,TX,QUITMAN,TX,75783,QUITMAN,TX,75783,1642,75783,1642,QUITMAN ISD,250904
75783,Quitman,TX,QUITMAN,TX,75783,QUITMAN,TX,75783,1640,75783,1640,QUITMAN ISD,250904
75783,Quitman,TX,QUITMAN,TX,75783,QUITMAN,TX,75783,1640,75783,1640,QUITMAN ISD,250904
75773,Mineola,TX,MINEOLA,TX,75773,MINEOLA,TX,75773,1617,75773,1617,MINEOLA ISD,250903
75773,Mineola,TX,MINEOLA,TX,75773,MINEOLA,TX,75773,1617,75773,1617,MINEOLA ISD,250903
75773,Mineola,TX,MINEOLA,TX,75773,MINEOLA,TX,75773,1617,75773,1617,MINEOLA ISD,250903
75773,Mineola,TX,MINEOLA,TX,75773,MINEOLA,TX,75773,1617,75773,1617,MINEOLA ISD,250903
75765,Hawkins,TX,HAWKINS,TX,75765,HAWKINS,TX,75765,1430,75765,1430,HAWKINS ISD,250902
75765,Hawkins,TX,HAWKINS,TX,75765,HAWKINS,TX,75765,1430,75765,1430,HAWKINS ISD,250902
76267,Slidell,TX,SLIDELL,TX,76267,SLIDELL,TX,76267,69,76267,69,SLIDELL ISD,249908
76073,Paradise,TX,PARADISE,TX,76073,PARADISE,TX,76073,646,76073,646,PARADISE ISD,249906
76073,Paradise,TX,PARADISE,TX,76073,PARADISE,TX,76073,646,76073,646,PARADISE ISD,249906
76073,Paradise,TX,PARADISE,TX,76073,PARADISE,TX,76073, ,76073, ,PARADISE ISD,249906
76073,Paradise,TX,PARADISE,TX,76073,PARADISE,TX,76073,646,76073,646,PARADISE ISD,249906
76234,Decatur,TX,DECATUR,TX,76234,DECATUR,TX,76234,2800,76234,2800,DECATUR ISD,249905
76234,Decatur,TX,DECATUR,TX,76234,DECATUR,TX,76234,3609,76234,3609,DECATUR ISD,249905
76234,Decatur,TX,DECATUR,TX,76234,DECATUR,TX,76234,3717,76234,3717,DECATUR ISD,249905
76234,Decatur,TX,DECATUR,TX,76234,DECATUR,TX,76234,4403,76234,4403,DECATUR ISD,249905
76234,Decatur,TX,DECATUR,TX,76234,DECATUR,TX,76234, ,76234, ,DECATUR ISD,249905
76431,Chico,TX,CHICO,TX,76431,CHICO,TX,76431,95,76431, ,CHICO ISD,249904
76431,Chico,TX,CHICO,TX,76431,CHICO,TX,76431,95,76431,95,CHICO ISD,249904
76431,Chico,TX,CHICO,TX,76431,CHICO,TX,76431,95,76431, ,CHICO ISD,249904
76426,Bridgeport,TX,BRIDGEPORT,TX,76426,BRIDGEPORT,TX,76426,3299,76426,3299,BRIDGEPORT ISD,249903
76426,Bridgeport,TX,BRIDGEPORT,TX,76426,BRIDGEPORT,TX,76426,3999,76426,3999,BRIDGEPORT ISD,249903
76426,Bridgeport,TX,BRIDGEPORT,TX,76426,BRIDGEPORT,TX,76426,36,76426,36,BRIDGEPORT ISD,249903
76426,Bridgeport,TX,BRIDGEPORT,TX,76426,BRIDGEPORT,TX,76426,2099,76426,2099,BRIDGEPORT ISD,249903
76023,Boyd,TX,BOYD,TX,76023,BOYD,TX,76023,2308,76023,2308,BOYD ISD,249902
76023,Boyd,TX,BOYD,TX,76023,BOYD,TX,76023,2308,76023,2308,BOYD ISD,249902
76023,Boyd,TX,BOYD,TX,76023,BOYD,TX,76023,2308,76023,2308,BOYD ISD,249902
76023,Boyd,TX,BOYD,TX,76023,BOYD,TX,76023,2308,76023,2308,BOYD ISD,249902
76225,Alvord,TX,ALVORD,TX,76225,ALVORD,TX,76225,70,76225,70,ALVORD ISD,249901
76225,Alvord,TX,ALVORD,TX,76225,ALVORD,TX,76225,70,76225,70,ALVORD ISD,249901
76225,Alvord,TX,ALVORD,TX,76225,ALVORD,TX,76225,70,76225,70,ALVORD ISD,249901
79789,Wink,TX,WINK,TX,79789,WINK,TX,79789,637,79789,637,WINK-LOVING ISD,248902
79789,Wink,TX,WINK,TX,79789,WINK,TX,79789,637,79789,637,WINK-LOVING ISD,248902
79745,Kermit,TX,KERMIT,TX,79745,KERMIT,TX,79745, ,79745, ,KERMIT ISD,248901
79745,Kermit,TX,KERMIT,TX,79745,KERMIT,TX,79745,4712,79745,4712,KERMIT ISD,248901
79745,Kermit,TX,KERMIT,TX,79745,KERMIT,TX,79745,4712,79745,4712,KERMIT ISD,248901
