,year,zipcode,DISTRICT,distname,area,median_ppsf,graduate_rate,Average 4yr Graduation Rate,grad_rate_change,Year-over-year change%,Rolling 4-yr Change%,Average 4yr PPSF,home_price_change_1_lag,home_price_change_2_lag,home_price_change_3_lag,scale_median_ppsf,scale_graduate_rate
0,2015,75001,57905.0,DALLAS ISD,2006.4419475655432,147.02643171806167,88.0,,,3.200470701828495,8.600586445725789,138.58145406182337,,,,0.4002905149051783,-0.2095652337162764
1,2016,75001,57905.0,DALLAS ISD,1910.2691652470187,163.32776850306067,88.0,,,11.087351161632286,26.170701168614375,145.56771530087906,5.041267091871471,,,0.6609292891149577,-0.2095652337162764
2,2017,75001,57905.0,DALLAS ISD,2091.750331578947,179.07634307257305,88.4,,,9.642312947670796,25.696874233406074,157.97434152209675,8.522924328086079,13.993854799374471,,0.9127300601490412,-0.18040576106799652
3,2018,75001,57905.0,DALLAS ISD,2121.569858712716,169.68566862013853,87.4,87.95,,-5.243950312648959,15.411675735644792,164.77905297845845,4.30747891765062,13.197526414336313,18.904116062274777,0.7625844671484745,-0.2533044426886952
4,2019,75001,57905.0,DALLAS ISD,1949.843076923077,170.78297425118234,85.6,87.35,-0.6822057987493024,0.646669597949523,4.564567199105496,170.71818861173864,3.604302565118278,8.067036055889698,17.27750776253867,0.7801290647714089,-0.3845220696059536
5,2020,75001,57905.0,DALLAS ISD,1813.636363636364,192.98245614035088,83.0,86.1,-1.431024613623355,12.998650472334683,7.765466297322243,178.13186052106118,4.342637401210547,8.10346175757446,12.759995582032468,1.1350720871749205,-0.5740586418197697
6,2021,75001,57905.0,DALLAS ISD,1972.770213948319,202.7605633802817,81.2,84.3,-2.0905923344947674,5.06683738796414,19.491861056448577,184.05291559798837,3.3239730723112926,7.810958571366222,11.69679171663256,1.2914122645923087,-0.7052762687370271
7,2015,75002,43901.0,ALLEN ISD,2226.058819382926,110.62151541362311,97.4,,,10.00087252398345,33.13170750360457,96.20021430867652,,,,-0.18178032296194244,0.47568237351829146
8,2016,75002,43901.0,ALLEN ISD,2211.856614794256,122.54252747988932,97.9,,,10.776395551708484,35.371198325440226,106.06289931874548,10.252248480884528,,,0.008822325966263525,0.5121317143286408
9,2017,75002,43901.0,ALLEN ISD,2148.594242407893,132.64486815370282,98.6,,,8.243946719208495,31.900663068833346,116.59328184514854,9.928431708015673,21.1985676778609,,0.17034660612808283,0.563160791463129
10,2018,75002,43901.0,ALLEN ISD,2111.833043478261,138.22115384615384,97.3,97.79999999999998,,4.203921169411151,24.949611591681208,126.00751622334228,8.074422667591685,18.804517915975726,30.984652299238547,0.25950470933722747,0.46839250535622096
11,2019,75002,43901.0,ALLEN ISD,2229.9798768875,140.1357937077767,97.7,97.875,0.07668711656443339,1.3852003172784677,14.356865807892415,133.38608579688068,5.8556582930023415,14.402891561140919,25.761304521784,0.2901174985316566,0.49755197800450085
12,2020,75002,43901.0,ALLEN ISD,2157.964912280702,154.8913043478261,98.5,98.025,0.1532567049808531,10.529437376163052,16.771426217820284,141.47328001386484,6.062996877574833,12.273683550043346,21.33913530434821,0.52604037140923,0.5558709233010596
13,2021,75002,43901.0,ALLEN ISD,2232.727314929883,193.9175451945402,98.0,97.875,-0.15302218821729996,25.195888827352263,40.29512834944127,156.7914492740742,10.827605932871665,17.54708022007261,24.430235571161397,1.1500230367857014,0.5194215824907102
14,2015,75002,43919.0,LOVEJOY ISD,2226.058819382926,110.62151541362311,100.0,,,10.00087252398345,33.13170750360457,96.20021430867652,,,,-0.18178032296194244,0.6652189457321076
15,2016,75002,43919.0,LOVEJOY ISD,2211.856614794256,122.54252747988932,99.3,,,10.776395551708484,35.371198325440226,106.06289931874548,10.252248480884528,,,0.008822325966263525,0.6141898685976183
16,2017,75002,43919.0,LOVEJOY ISD,2148.594242407893,132.64486815370282,99.7,,,8.243946719208495,31.900663068833346,116.59328184514854,9.928431708015673,21.1985676778609,,0.17034660612808283,0.6433493412458982
17,2018,75002,43919.0,LOVEJOY ISD,2111.833043478261,138.22115384615384,100.0,99.75,,4.203921169411151,24.949611591681208,126.00751622334228,8.074422667591685,18.804517915975726,30.984652299238547,0.25950470933722747,0.6652189457321076
18,2019,75002,43919.0,LOVEJOY ISD,2229.9798768875,140.1357937077767,99.4,99.60000000000001,-0.15037593984961184,1.3852003172784677,14.356865807892415,133.38608579688068,5.8556582930023415,14.402891561140919,25.761304521784,0.2901174985316566,0.6214797367596888
19,2020,75002,43919.0,LOVEJOY ISD,2157.964912280702,154.8913043478261,100.0,99.77499999999999,0.175702811244971,10.529437376163052,16.771426217820284,141.47328001386484,6.062996877574833,12.273683550043346,21.33913530434821,0.52604037140923,0.6652189457321076
