,year,zipcode,DISTRICT,distname,area,median_ppsf,graduate_rate,Average 4yr Graduation Rate,grad_rate_change,Year-over-year change%,Rolling 4-yr Change%,Average 4yr PPSF,home_price_change_1_lag,home_price_change_2_lag,home_price_change_3_lag,scale_median_ppsf,scale_graduate_rate
21,2015,75006,57828.0,WINFREE ACADEMY CHARTER SCHOOLS,1883.040468740329,109.9285986872464,32.3,,,18.182886448323863,42.695777142098734,92.04874498415735,,,,-0.1928592282427948,-4.270021799989192
22,2016,75006,57828.0,WINFREE ACADEMY CHARTER SCHOOLS,1835.5813953488373,122.5769669327252,29.4,,,11.505985154476651,38.954603337899755,103.4337274580794,12.368427701954587,,,0.00937297140657247,-4.481427976689218
23,2017,75006,57828.0,WINFREE ACADEMY CHARTER SCHOOLS,1799.873876365648,133.31489675516224,32.9,,,8.760152980723056,43.32520830098847,114.70903204286962,10.900994155276855,24.617703438121154,,0.18105955781254723,-4.226282591016773
24,2018,75006,57828.0,WINFREE ACADEMY CHARTER SCHOOLS,1751.9333333333332,136.36363636363637,38.2,33.2,,2.2868709219144856,24.047461708849106,125.54602468469255,9.447375196900687,21.378227170218757,36.39080544368147,0.22980523829985158,-3.8399195784270694
25,2019,75006,57828.0,WINFREE ACADEMY CHARTER SCHOOLS,1768.1591455370217,144.21778754680588,41.9,35.6,7.2289156626506035,5.75971086765763,17.654883421905822,134.1183218995824,6.8280116685646375,16.920454746282807,29.665946684498202,0.3553836717644857,-3.570194456430485
26,2020,75006,57828.0,WINFREE ACADEMY CHARTER SCHOOLS,1706.1422834415591,153.4455845452162,43.0,39.0,9.550561797752799,6.398515159175799,15.100103799371144,141.83547630270516,5.753989681514771,12.97488443694126,23.64804564796408,0.5029250501216042,-3.490005906647716
27,2021,75006,57828.0,WINFREE ACADEMY CHARTER SCHOOLS,1890.6,182.4817518248175,36.7,39.95,2.4358974358974494,18.92277797739115,33.8199513381995,154.12719007011898,8.666177241285421,14.918817867045565,22.765488160383974,0.967178451380675,-3.9492676008581173
301,2015,75044,57804.0,TEXANS CAN ACADEMIES,1868.4584080587133,101.68810779010369,47.5,,,8.771210470655744,34.29185735030569,88.11508719355075,,,,-0.324614769192945,-3.1619618393545723
302,2016,75044,57804.0,TEXANS CAN ACADEMIES,1867.4742857142855,115.66424322538003,51.2,,,13.744119876952322,41.81066011519843,98.10071733259808,11.33248624848231,,,-0.10115316870675428,-2.892236717357987
303,2017,75044,57804.0,TEXANS CAN ACADEMIES,1789.8527607361962,127.94348508634224,52.4,,,10.616281677506167,36.85541059925297,109.6959770783256,11.819750212850376,24.49170802880891,,0.09517714389753176,-2.804758299413149
