OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
1,30180,Memphis ISD,Memphis,96904,096-904,96904,4830180,4,0.170096263,2.468568688
2,34380,Patton Springs ISD,Patton Springs,63906,063-906,63906,4834380,5,0.098241526,1.483851785
3,2,Spur ISD,Spur,63903,063-903,63903,4800002,3,0.133311983,2.116864251
4,40080,Sherman ISD,Sherman,91906,091-906,91906,4840080,1,0.019260726,1.039260413
5,38400,S and S Cons ISD,S and S Cons,91914,091-914,91914,4838400,6,0.032660288,1.311266685
6,35580,Pottsboro ISD,Pottsboro,91913,091-913,91913,4835580,7,0.024355988,1.059686293
7,44730,Waxahachie ISD,Waxahachie,70912,070-912,70912,4844730,6,0.047446138,1.30203198
8,34110,Palmer ISD,Palmer,70910,070-910,70910,4834110,1,0.013689582,0.732817699
9,18540,Ennis ISD,Ennis,70903,070-903,70903,4818540,7,0.064615447,1.890406474
10,16710,Denison ISD,Denison,91903,091-903,91903,4816710,3,0.02450845,1.129391673
11,9780,Bells ISD,Bells,91901,091-901,91901,4809780,2,0.014699156,0.738710268
12,45630,Whitesboro ISD,Whitesboro,91909,091-909,91909,4845630,1,0.043595026,1.614602766
13,14580,Collinsville ISD,Collinsville,91902,091-902,91902,4814580,3,0.013241269,0.717002925
14,18750,Evadale ISD,Evadale,121906,121-906,121906,4818750,2,0.006821711,0.554420165
15,12090,Buna ISD,Buna,121903,121-903,121903,4812090,7,0.053470686,1.311418282
16,39300,Santa Gertrudis ISD,Santa Gertrudis,137904,137-904,137904,4839300,5,0.046667772,1.180570156
17,37320,Riviera ISD,Riviera,137903,137-903,137903,4837320,3,0.169266469,2.363769301
18,36930,Ricardo ISD,Ricardo,137902,137-902,137902,4836930,2,0.018983435,0.702976653
19,25680,Kingsville ISD,Kingsville,137901,137-901,137901,4825680,1,0.024431261,1.129619787
20,8490,Apple Springs ISD,Apple Springs,228905,228-905,228905,4808490,3,0.027473771,1.143397593
21,43200,Trinity ISD,Trinity,228903,228-903,228903,4843200,2,0.038825042,1.356988597
22,25470,Kennard ISD,Kennard,113906,113-906,113906,4825470,1,0.081082052,2.035486332
23,24730,Jefferson ISD,Jefferson,155901,155-901,155901,4824730,1,0.100595803,2.273236179
24,9090,Avinger ISD,Avinger,34902,034-902,34902,4809090,4,0.017583892,0.850386713
25,34550,Pecos-Barstow-Toyah ISD,Pecos-Barstow-Toyah,195901,195-901,195901,4834550,2,0.556031448,4.674551581
26,9330,Balmorhea ISD,Balmorhea,195902,195-902,195902,4809330,4,0.130011736,1.733357744
27,42420,Terrell County ISD,Terrell County,222901,222-901,222901,4842420,6,0.572287482,3.858338946
28,17100,Dilley ISD,Dilley,82902,082-902,82902,4817100,5,0.081808728,1.596064115
29,41250,Springlake-Earth ISD,Springlake-Earth,140907,140-907,140907,4841250,3,0.049931347,1.104649279
30,42090,Tahoka ISD,Tahoka,153904,153-904,153904,4842090,3,0.09102943,1.883766561
31,33390,O'Donnell ISD,O'Donnell,153903,153-903,153903,4833390,4,0.08133144,1.79233655
32,16350,Dawson ISD (Dawson),Dawson (Dawson),58902,058-902,58902,4816350,7,0.034481274,0.842385432
33,40290,Silverton ISD,Silverton,23902,023-902,23902,4840290,1,0.140919862,1.668572823
34,32220,Nazareth ISD,Nazareth,35903,035-903,35903,4832220,6,0.027611397,0.862409557
