,School Year,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More,Special Ed,Special Ed,Continu- ously,Non-Continu- ously,Econ,EB/EL (Current & Monitored),
,,,,,,,,,,,Races,(Current),(Former),Enrolled,Enrolled,Disadv,,
"STAAR Performance Rates by Tested Grade,
Grade","Subject, and Performance Level",,,,,,,,,,,,,,,,,
3 Reading At Approaches Grade Level or Above,2022,SDA03ARE1S22R,DDA03ARE1S22R,CDA03ARE1S22R,CDB03ARE1S22R,CDH03ARE1S22R,CDW03ARE1S22R,CDI03ARE1S22R,CD303ARE1S22R,CD403ARE1S22R,CD203ARE1S22R,"CDS03ARE1S22R
:unselected:","CNS03ARE1S22R
:unselected:","CNC03ARE1S22R
:unselected:","CNM03ARE1S22R
:unselected:","CDE03ARE1S22R
:unselected:","CD003ARE1S22R
:unselected:",
,2021,SDA03ARE1S21R,DDA03ARE1S21R,CDA03ARE1S21R,CDB03ARE1S21R,CDH03ARE1S21R,CDW03ARE1S21R,CDI03ARE1S21R,CD303ARE1S21R,CD403ARE1S21R,CD203ARE1S21R,"CDS03ARE1S21R
:unselected:","CNS03ARE1S21R
:unselected:","CNC03ARE1S21R
:unselected:","CNM03ARE1S21R
:unselected:","CDE03ARE1S21R
:unselected:","CD003ARE1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA03ARE1222R,DDA03ARE1222R,CDA03ARE1222R,CDB03ARE1222R,CDH03ARE1222R,CDW03ARE1222R,CDI03ARE1222R,CD303ARE1222R,CD403ARE1222R,CD203ARE1222R,"CDS03ARE1222R
:unselected:","CNS03ARE1222R
:unselected:","CNC03ARE1222R
:unselected:","CNM03ARE1222R
:unselected:","CDE03ARE1222R
:unselected:","CD003ARE1222R
:unselected:",
,2021,SDA03ARE1221R,"DDA03ARE1221R
:unselected:",CDA03ARE1221R,CDB03ARE1221R,CDH03ARE1221R,CDW03ARE1221R,CDI03ARE1221R,CD303ARE1221R,CD403ARE1221R,CD203ARE1221R,"CDS03ARE1221R
:unselected:","CNS03ARE1221R
:unselected:","CNC03ARE1221R
:unselected:","CNM03ARE1221R
:unselected:","CDE03ARE1221R
:unselected:","CD003ARE1221R
:unselected:",
At Masters Grade Level,2022,SDA03ARE1322R,"DDA03ARE1322R
:unselected:",CDA03ARE1322R,CDB03ARE1322R,CDH03ARE1322R,CDW03ARE1322R,CDI03ARE1322R,CD303ARE1322R,CD403ARE1322R,CD203ARE1322R,"CDS03ARE1322R
:unselected:","CNS03ARE1322R
:unselected:","CNC03ARE1322R
:unselected:","CNM03ARE1322R
:unselected:","CDE03ARE1322R
:unselected:","CD003ARE1322R
:unselected:",
,2021,SDA03ARE1321R,DDA03ARE1321R,CDA03ARE1321R,CDB03ARE1321R,CDH03ARE1321R,CDW03ARE1321R,CDI03ARE1321R,CD303ARE1321R,CD403ARE1321R,"CD203ARE1321R
:unselected:","CDS03ARE1321R
:unselected:","CNS03ARE1321R
:unselected:","CNC03ARE1321R
:unselected:","CNM03ARE1321R
:unselected:","CDE03ARE1321R
:unselected:","CD003ARE1321R
:unselected:",
Grade 3 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA03AMA1S22R,DDA03AMA1S22R,CDA03AMA1S22R,CDB03AMA1S22R,CDH03AMA1S22R,CDW03AMA1S22R,CDI03AMA1S22R,CD303AMA1S22R,CD403AMA1S22R,"CD203AMA1S22R
:unselected:","CDS03AMA1S22R
:unselected:","CNS03AMA1S22R
:unselected:","CNC03AMA1S22R
:unselected:","CNM03AMA1S22R
:unselected:","CDE03AMA1S22R
:unselected:","CD003AMA1S22R
:unselected:",
,2021,SDA03AMA1S21R,DDA03AMA1S21R,CDA03AMA1S21R,CDB03AMA1S21R,CDH03AMA1S21R,CDW03AMA1S21R,CDI03AMA1S21R,CD303AMA1S21R,CD403AMA1S21R,"CD203AMA1S21R
:unselected:","CDS03AMA1S21R
:unselected:","CNS03AMA1S21R
:unselected:","CNC03AMA1S21R
:unselected:","CNM03AMA1S21R
:unselected:","CDE03AMA1S21R
:unselected:","CD003AMA1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA03AMA1222R,DDA03AMA1222R,CDA03AMA1222R,CDB03AMA1222R,CDH03AMA1222R,CDW03AMA1222R,CDI03AMA1222R,CD303AMA1222R,CD403AMA1222R,"CD203AMA1222R
:unselected:","CDS03AMA1222R
:unselected:","CNS03AMA1222R
:unselected:","CNC03AMA1222R
:unselected:","CNM03AMA1222R
:unselected:","CDE03AMA1222R
:unselected:","CD003AMA1222R
:unselected:",
,2021,SDA03AMA1221R,DDA03AMA1221R,CDA03AMA1221R,CDB03AMA1221R,CDH03AMA1221R,CDW03AMA1221R,CDI03AMA1221R,CD303AMA1221R,CD403AMA1221R,CD203AMA1221R,"CDS03AMA1221R
:unselected:","CNS03AMA1221R
:unselected:","CNC03AMA1221R
:unselected:","CNM03AMA1221R
:unselected:","CDE03AMA1221R
:unselected:","CD003AMA1221R
:unselected:",
At Masters Grade Level,2022,SDA03AMA1322R,DDA03AMA1322R,CDA03AMA1322R,CDB03AMA1322R,CDH03AMA1322R,CDW03AMA1322R,CDI03AMA1322R,CD303AMA1322R,CD403AMA1322R,CD203AMA1322R,"CDS03AMA1322R
:unselected:","CNS03AMA1322R
:unselected:","CNC03AMA1322R
:unselected:","CNM03AMA1322R
:unselected:","CDE03AMA1322R
:unselected:","CD003AMA1322R
:unselected:",
,2021,SDA03AMA1321R,DDA03AMA1321R,CDA03AMA1321R,CDB03AMA1321R,CDH03AMA1321R,CDW03AMA1321R,CDI03AMA1321R,CD303AMA1321R,CD403AMA1321R,CD203AMA1321R,"CDS03AMA1321R
:unselected:","CNS03AMA1321R
:unselected:","CNC03AMA1321R
:unselected:","CNM03AMA1321R
:unselected:","CDE03AMA1321R
:unselected:","CD003AMA1321R
:unselected:",
Grade 4 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA04ARE1S22R,DDA04ARE1S22R,CDA04ARE1S22R,CDB04ARE1S22R,CDH04ARE1S22R,CDW04ARE1S22R,CDI04ARE1S22R,CD304ARE1S22R,CD404ARE1S22R,CD204ARE1S22R,"CDS04ARE1S22R
:unselected:","CNS04ARE1S22R
:unselected:","CNC04ARE1S22R
:unselected:","CNM04ARE1S22R
:unselected:","CDE04ARE1S22R
:unselected:","CD004ARE1S22R
:unselected:",
,2021,SDA04ARE1S21R,DDA04ARE1S21R,CDA04ARE1S21R,CDB04ARE1S21R,CDH04ARE1S21R,CDW04ARE1S21R,CDI04ARE1S21R,CD304ARE1S21R,CD404ARE1S21R,CD204ARE1S21R,"CDS04ARE1S21R
:unselected:","CNS04ARE1S21R
:unselected:","CNC04ARE1S21R
:unselected:","CNM04ARE1S21R
:unselected:","CDE04ARE1S21R
:unselected:","CD004ARE1S21R
:unselected:",
At Meets Grade Level or Above,2022,SDA04ARE1222R,DDA04ARE1222R,CDA04ARE1222R,CDB04ARE1222R,CDH04ARE1222R,CDW04ARE1222R,CDI04ARE1222R,CD304ARE1222R,CD404ARE1222R,CD204ARE1222R,"CDS04ARE1222R
:unselected:","CNS04ARE1222R
:unselected:","CNC04ARE1222R
:unselected:","CNM04ARE1222R
:unselected:","CDE04ARE1222R
:unselected:",CD004ARE1222R,
,2021,SDA04ARE1221R,DDA04ARE1221R,CDA04ARE1221R,CDB04ARE1221R,CDH04ARE1221R,CDW04ARE1221R,CDI04ARE1221R,CD304ARE1221R,CD404ARE1221R,CD204ARE1221R,"CDS04ARE1221R
:unselected:","CNS04ARE1221R
:unselected:","CNC04ARE1221R
:unselected:","CNM04ARE1221R
:unselected:",CDE04ARE1221R,CD004ARE1221R,
At Masters Grade Level,2022,SDA04ARE1322R,DDA04ARE1322R,CDA04ARE1322R,CDB04ARE1322R,CDH04ARE1322R,CDW04ARE1322R,CDI04ARE1322R,CD304ARE1322R,CD404ARE1322R,CD204ARE1322R,"CDS04ARE1322R
:unselected:","CNS04ARE1322R
:unselected:","CNC04ARE1322R
:unselected:","CNM04ARE1322R
:unselected:","CDE04ARE1322R
:unselected:","CD004ARE1322R
:unselected:",
,2021,SDA04ARE1321R,DDA04ARE1321R,CDA04ARE1321R,CDB04ARE1321R,CDH04ARE1321R,CDW04ARE1321R,CDI04ARE1321R,CD304ARE1321R,CD404ARE1321R,CD204ARE1321R,"CDS04ARE1321R
:unselected:","CNS04ARE1321R
:unselected:","CNC04ARE1321R
:unselected:","CNM04ARE1321R
:unselected:","CDE04ARE1321R
:unselected:","CD004ARE1321R
:unselected:",
Grade 4 Mathematics,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA04AMA1S22R,DDA04AMA1S22R,CDA04AMA1S22R,CDB04AMA1S22R,CDH04AMA1S22R,CDW04AMA1S22R,CDI04AMA1S22R,CD304AMA1S22R,CD404AMA1S22R,CD204AMA1S22R,"CDS04AMA1S22R
:unselected:","CNS04AMA1S22R
:unselected:","CNC04AMA1S22R
:unselected:","CNM04AMA1S22R
:unselected:","CDE04AMA1S22R
:unselected:","CD004AMA1S22R
:unselected:",
,2021,SDA04AMA1S21R,DDA04AMA1S21R,CDA04AMA1S21R,CDB04AMA1S21R,CDH04AMA1S21R,CDW04AMA1S21R,CDI04AMA1S21R,CD304AMA1S21R,CD404AMA1S21R,CD204AMA1S21R,"CDS04AMA1S21R
:unselected:","CNS04AMA1S21R
:unselected:","CNC04AMA1S21R
:unselected:","CNM04AMA1S21R
:unselected:","CDE04AMA1S21R
:unselected:",CD004AMA1S21R,
At Meets Grade Level or Above,2022,SDA04AMA1222R,DDA04AMA1222R,CDA04AMA1222R,CDB04AMA1222R,CDH04AMA1222R,CDW04AMA1222R,CDI04AMA1222R,CD304AMA1222R,CD404AMA1222R,CD204AMA1222R,"CDS04AMA1222R
:unselected:","CNS04AMA1222R
:unselected:","CNC04AMA1222R
:unselected:","CNM04AMA1222R
:unselected:","CDE04AMA1222R
:unselected:","CD004AMA1222R
:unselected:",
,2021,SDA04AMA1221R,DDA04AMA1221R,CDA04AMA1221R,CDB04AMA1221R,CDH04AMA1221R,CDW04AMA1221R,CDI04AMA1221R,CD304AMA1221R,CD404AMA1221R,CD204AMA1221R,"CDS04AMA1221R
:unselected:","CNS04AMA1221R
:unselected:","CNC04AMA1221R
:unselected:","CNM04AMA1221R
:unselected:","CDE04AMA1221R
:unselected:","CD004AMA1221R
:unselected:",
At Masters Grade Level,2022,SDA04AMA1322R,DDA04AMA1322R,CDA04AMA1322R,CDB04AMA1322R,CDH04AMA1322R,CDW04AMA1322R,CDI04AMA1322R,CD304AMA1322R,CD404AMA1322R,CD204AMA1322R,"CDS04AMA1322R
:unselected:","CNS04AMA1322R
:unselected:","CNC04AMA1322R
:unselected:","CNM04AMA1322R
:unselected:",CDE04AMA1322R,"CD004AMA1322R
:unselected:",
,2021,SDA04AMA1321R,DDA04AMA1321R,CDA04AMA1321R,CDB04AMA1321R,CDH04AMA1321R,CDW04AMA1321R,CDI04AMA1321R,CD304AMA1321R,CD404AMA1321R,CD204AMA1321R,CDS04AMA1321R,"CNS04AMA1321R
:unselected:","CNC04AMA1321R
:unselected:","CNM04AMA1321R
:unselected:",CDE04AMA1321R,CD004AMA1321R,
Grade 5 Reading,,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2022,SDA05ARE1S22R,DDA05ARE1S22R,CDA05ARE1S22R,CDB05ARE1S22R,CDH05ARE1S22R,CDW05ARE1S22R,CDI05ARE1S22R,CD305ARE1S22R,CD405ARE1S22R,CD205ARE1S22R,"CDS05ARE1S22R
:unselected:","CNS05ARE1S22R
:unselected:","CNC05ARE1S22R
:unselected:",CNM05ARE1S22R,"CDE05ARE1S22R
:unselected:",CD005ARE1S22R,
,2021,SDA05ARE1S21R,DDA05ARE1S21R,CDA05ARE1S21R,CDB05ARE1S21R,CDH05ARE1S21R,CDW05ARE1S21R,CDI05ARE1S21R,CD305ARE1S21R,CD405ARE1S21R,CD205ARE1S21R,CDS05ARE1S21R,"CNS05ARE1S21R
:unselected:","CNC05ARE1S21R
:unselected:",CNM05ARE1S21R,CDE05ARE1S21R,CD005ARE1S21R,
At Meets Grade Level or Above,2022,SDA05ARE1222R,DDA05ARE1222R,CDA05ARE1222R,CDB05ARE1222R,CDH05ARE1222R,CDW05ARE1222R,CDI05ARE1222R,CD305ARE1222R,CD405ARE1222R,CD205ARE1222R,CDS05ARE1222R,"CNS05ARE1222R
:unselected:",CNC05ARE1222R,CNM05ARE1222R,CDE05ARE1222R,CD005ARE1222R,
