,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,
Grade 3,,,,,,,,,,,,,,,
Reading,2017 2016,SA03ARE1S17R SA03ARE1S16R,RA03ARE1S17R RA03ARE1S16R,"DA03ARE1S17R DA03ARE1S16R
:unselected:
:unselected:","DB03ARE1S17R DB03ARE1S16R
:unselected:
:unselected:","DH03ARE1S17R DH03ARE1S16R
:unselected:
:unselected:","DW03ARE1S17R DW03ARE1S16R
:unselected:
:unselected:","DI03ARE1S17R DI03ARE1S16R
:unselected:
:unselected:","D303ARE1S17R D303ARE1S16R
:unselected:","D403ARE1S17R D403ARE1S16R
:unselected:
:unselected:",D203ARE1S17R D203ARE1S16R,DS03ARE1S17R DS03ARE1S16R,DE03ARE1S17R DE03ARE1S16R,DL03ARE1S17R DL03ARE1S16R,
Mathematics,2017 2016,SA03AMA1S17R SA03AMA1S16R,RA03AMA1S17R RA03AMA1S16R,"DA03AMA1S17R DA03AMA1S16R
:unselected:
:unselected:","DB03AMA1S17R DB03AMA1S16R
:unselected:
:unselected:","DH03AMA1S17R DH03AMA1S16R
:unselected:
:unselected:","DW03AMA1S17R DW03AMA1S16R
:unselected:
:unselected:","DI03AMA1S17R DI03AMA1S16R
:unselected:
:unselected:","D303AMA1S17R D303AMA1S16R
:unselected:
:unselected:","D403AMA1S17R D403AMA1S16R
:unselected:
:unselected:",D203AMA1S17R D203AMA1S16R,DS03AMA1S17R DS03AMA1S16R,DE03AMA1S17R DE03AMA1S16R,DL03AMA1S17R DL03AMA1S16R,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,
Grade 4,,,,,,,,,,,,,,,
Reading,2017 2016,SA04ARE1S17R SA04ARE1S16R,RA04ARE1S17R RA04ARE1S16R,"DA04ARE1S17R DA04ARE1S16R
:unselected:
:unselected:","DB04ARE1S17R DB04ARE1S16R
:unselected:
:unselected:","DH04ARE1S17R DH04ARE1S16R
:unselected:
:unselected:","DW04ARE1S17R DW04ARE1S16R
:unselected:
:unselected:","DI04ARE1S17R DI04ARE1S16R
:unselected:
:unselected:",D304ARE1S17R D304ARE1S16R,D404ARE1S17R D404ARE1S16R,D204ARE1S17R D204ARE1S16R,DS04ARE1S17R DS04ARE1S16R,DE04ARE1S17R DE04ARE1S16R,DL04ARE1S17R DL04ARE1S16R,
Mathematics,2017 2016,SA04AMA1S17R SA04AMA1S16R,RA04AMA1S17R RA04AMA1S16R,"DA04AMA1S17R DA04AMA1S16R
:unselected:
:unselected:","DB04AMA1S17R DB04AMA1S16R
:unselected:
:unselected:","DH04AMA1S17R DH04AMA1S16R
:unselected:
:unselected:","DW04AMA1S17R DW04AMA1S16R
:unselected:
:unselected:","DI04AMA1S17R DI04AMA1S16R
:unselected:
:unselected:",D304AMA1S17R D304AMA1S16R,D404AMA1S17R D404AMA1S16R,D204AMA1S17R D204AMA1S16R,DS04AMA1S17R DS04AMA1S16R,DE04AMA1S17R DE04AMA1S16R,DL04AMA1S17R DL04AMA1S16R,
Writing,2017 2016,SA04AWR1S17R SA04AWR1S16R,RA04AWR1S17R RA04AWR1S16R,"DA04AWR1S17R DA04AWR1S16R
:unselected:
:unselected:","DB04AWR1S17R DB04AWR1S16R
:unselected:
:unselected:","DH04AWR1S17R DH04AWR1S16R
:unselected:
:unselected:","DW04AWR1S17R DW04AWR1S16R
:unselected:
:unselected:","DI04AWR1S17R DI04AWR1S16R
:unselected:
:unselected:",D304AWR1S17R D304AWR1S16R,D404AWR1S17R D404AWR1S16R,D204AWR1S17R D204AWR1S16R,DS04AWR1S17R DS04AWR1S16R,DE04AWR1S17R DE04AWR1S16R,DL04AWR1S17R DL04AWR1S16R,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,
Grade 5***,,,,,,,,,,,,,,,
Reading Mathematics,2017 2016 2017 2016,SA05ARE1S17R SA05ARE1S16R SA05AMA1S17R SA05AMA1S16R,RA05ARE1S17R RA05ARE1S16R RA05AMA1S17R RA05AMA1S16R,"DA05ARE1S17R DA05ARE1S16R DA05AMA1S17R DA05AMA1S16R
:unselected:
:unselected:
:unselected:
:unselected:","DB05ARE1S17R DB05ARE1S16R DB05AMA1S17R DB05AMA1S16R
:unselected:
:unselected:
:unselected:
:unselected:","DH05ARE1S17R DH05ARE1S16R DH05AMA1S17R DH05AMA1S16R
:unselected:
:unselected:
:unselected:
:unselected:","DW05ARE1S17R DW05ARE1S16R DW05AMA1S17R DW05AMA1S16R
:unselected:
:unselected:
:unselected:
:unselected:","DI05ARE1S17R DI05ARE1S16R DI05AMA1S17R DI05AMA1S16R
:unselected:
:unselected:
:unselected:
:unselected:",D305ARE1S17R D305ARE1S16R D305AMA1S17R D305AMA1S16R,D405ARE1S17R D405ARE1S16R D405AMA1S17R D405AMA1S16R,D205ARE1S17R D205ARE1S16R D205AMA1S17R D205AMA1S16R,DS05ARE1S17R DS05ARE1S16R DS05AMA1S17R DS05AMA1S16R,DE05ARE1S17R DE05ARE1S16R DE05AMA1S17R DE05AMA1S16R,DL05ARE1S17R DL05ARE1S16R DL05AMA1S17R DL05AMA1S16R,
Science,2017 2016,SA05ASC1S17R SA05ASC1S16R,RA05ASC1S17R RA05ASC1S16R,"DA05ASC1S17R DA05ASC1S16R
:unselected:
:unselected:","DB05ASC1S17R DB05ASC1S16R
:unselected:
:unselected:","DH05ASC1S17R DH05ASC1S16R
:unselected:
:unselected:","DW05ASC1S17R DW05ASC1S16R
:unselected:
:unselected:","DI05ASC1S17R DI05ASC1S16R
:unselected:",D305ASC1S17R D305ASC1S16R,D405ASC1S17R D405ASC1S16R,D205ASC1S17R D205ASC1S16R,DS05ASC1S17R DS05ASC1S16R,DE05ASC1S17R DE05ASC1S16R,DL05ASC1S17R DL05ASC1S16R,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,
Grade 6,,,,,,,,,,,,,,,
Reading,2017 2016,SA06ARE1S17R SA06ARE1S16R,RA06ARE1S17R RA06ARE1S16R,"DA06ARE1S17R DA06ARE1S16R
:unselected:
:unselected:","DB06ARE1S17R DB06ARE1S16R
:unselected:
:unselected:","DH06ARE1S17R DH06ARE1S16R
:unselected:
:unselected:","DW06ARE1S17R DW06ARE1S16R
:unselected:
:unselected:",DI06ARE1S17R DI06ARE1S16R,D306ARE1S17R D306ARE1S16R,D406ARE1S17R D406ARE1S16R,D206ARE1S17R D206ARE1S16R,DS06ARE1S17R DS06ARE1S16R,DE06ARE1S17R DE06ARE1S16R,DL06ARE1S17R DL06ARE1S16R,
Mathematics,2017 2016,SA06AMA1S17R SA06AMA1S16R,RA06AMA1S17R RA06AMA1S16R,"DA06AMA1S17R DA06AMA1S16R
:unselected:
:unselected:","DB06AMA1S17R DB06AMA1S16R
:unselected:
:unselected:","DH06AMA1S17R DH06AMA1S16R
:unselected:
:unselected:","DW06AMA1S17R DW06AMA1S16R
:unselected:
:unselected:","DI06AMA1S17R DI06AMA1S16R
:unselected:",D306AMA1S17R D306AMA1S16R,D406AMA1S17R D406AMA1S16R,D206AMA1S17R D206AMA1S16R,DS06AMA1S17R DS06AMA1S16R,DE06AMA1S17R DE06AMA1S16R,DL06AMA1S17R DL06AMA1S16R,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,
Grade 7,,,,,,,,,,,,,,,
Reading,2017 2016,SA07ARE1S17R SA07ARE1S16R,RA07ARE1S17R RA07ARE1S16R,"DA07ARE1S17R DA07ARE1S16R
:unselected:
:unselected:","DB07ARE1S17R DB07ARE1S16R
:unselected:
:unselected:","DH07ARE1S17R DH07ARE1S16R
:unselected:
:unselected:","DW07ARE1S17R DW07ARE1S16R
:unselected:
:unselected:",DI07ARE1S17R DI07ARE1S16R,D307ARE1S17R D307ARE1S16R,D407ARE1S17R D407ARE1S16R,D207ARE1S17R D207ARE1S16R,DS07ARE1S17R DS07ARE1S16R,DE07ARE1S17R DE07ARE1S16R,DL07ARE1S17R DL07ARE1S16R,
Mathematics,2017 2016,SA07AMA1S17R SA07AMA1S16R,RA07AMA1S17R RA07AMA1S16R,"DA07AMA1S17R DA07AMA1S16R
:unselected:
:unselected:","DB07AMA1S17R DB07AMA1S16R
:unselected:
:unselected:","DH07AMA1S17R DH07AMA1S16R
:unselected:
:unselected:","DW07AMA1S17R DW07AMA1S16R
:unselected:
:unselected:",DI07AMA1S17R DI07AMA1S16R,D307AMA1S17R D307AMA1S16R,D407AMA1S17R D407AMA1S16R,D207AMA1S17R D207AMA1S16R,DS07AMA1S17R DS07AMA1S16R,DE07AMA1S17R DE07AMA1S16R,DL07AMA1S17R DL07AMA1S16R,
